district-name,normal-votes:democrat,normal-votes:republican
"Congressional District 5",114410,77080
"Congressional District 8",81440,155690
"Congressional District 25",39410,85980
"Congressional District 20",107360,31700
"Congressional District 17",70710,137160
"Congressional District 3",77700,127910
"Congressional District 2",81810,146030
"Congressional District 24",110890,23980
"Congressional District 27",68230,90350
"Congressional District 26",59820,73790
"Congressional District 11",84560,163690
"Congressional District 15",66030,111890
"Congressional District 1",57930,158460
"Congressional District 9",68000,85430
"Congressional District 18",84890,130050
"Congressional District 21",105830,93700
"Congressional District 12",80150,135000
"Congressional District 13",92980,117070
"Congressional District 22",94980,96080
"Congressional District 6",89710,129270
"Congressional District 23",99490,66660
"Congressional District 16",81760,140560
"Congressional District 14",78450,91110
"Congressional District 4",71030,169660
"Congressional District 19",63320,152170
"Congressional District 10",79450,74570
"Congressional District 7",82380,115800
