district-name,normal-votes:democrat,normal-votes:republican,us-senate-2010:democrat,us-senate-2010:republican,us-senate-2010:other,pres-2008:democrat,pres-2008:republican,gov-2010:democrat,gov-2010:republican
"Congressional District 4",77260,157630,41980,150080,50030,134430,224050,92710,142690
"Congressional District 24",94370,140400,47280,134910,61220,171450,177230,108720,126120
"Congressional District 15",88930,151140,44390,137500,68220,110310,124100,106340,133530
"Congressional District 18",62390,84090,27600,78610,43560,124430,119330,72320,74150
"Congressional District 21",56910,79680,28070,76620,35460,120490,126520,66290,70750
"Congressional District 23",100460,30080,70710,25110,36730,193280,42510,104820,25850
"Congressional District 16",85200,148940,35020,130470,78880,173130,190310,106360,127780
"Congressional District 3",96630,54500,74070,50490,28460,192260,78270,101000,49470
"Congressional District 17",110990,18510,85640,15550,29070,207220,29780,112660,16560
"Congressional District 25",60530,82660,30030,78570,36640,124140,127470,68880,74340
"Congressional District 2",108860,135070,49940,131410,69220,163200,198150,123540,120450
"Congressional District 6",91600,163620,50830,151790,60940,168530,224610,108300,147120
"Congressional District 5",104490,198590,44350,169760,103500,196990,255240,127080,175930
"Congressional District 1",57560,154010,30820,147090,45510,115270,238130,69460,142040
"Congressional District 8",91130,121160,51110,117910,50420,181460,164340,106120,105950
"Congressional District 22",89430,128620,32210,108170,82760,176250,160330,108560,109610
"Congressional District 13",93020,165000,33500,131820,104380,179730,199220,116630,141300
"Congressional District 14",78910,188130,26110,163060,83110,168030,226250,98780,168250
"Congressional District 9",80540,145700,31070,114990,89550,170010,190370,104270,122090
"Congressional District 10",80780,120490,30850,86670,93220,163290,151110,103620,97810
"Congressional District 20",105670,62970,42660,58450,69960,190180,106220,107180,61120
"Congressional District 7",94250,165490,49180,154770,65140,184180,215480,113530,146410
"Congressional District 19",118660,90510,43570,72800,97730,220830,114700,135670,73310
"Congressional District 11",82650,67810,47400,53140,54450,176280,88570,95760,54900
"Congressional District 12",81540,126100,43810,103330,68770,164490,168700,97760,109770
