district-name,us-senate-2010:democrat,us-senate-2010:republican,us-senate-2010:other
"Congressional District 5",79010,70640,45880
"Congressional District 8",38930,139360,69490
"Congressional District 25",16460,84930,27410
"Congressional District 20",73410,26500,40210
"Congressional District 17",28310,113650,76370
"Congressional District 3",43410,118460,48980
"Congressional District 2",33900,142520,58840
"Congressional District 24",83440,21490,31080
"Congressional District 27",28610,84500,48620
"Congressional District 26",31070,68250,36770
"Congressional District 11",39100,144680,78050
"Congressional District 15",33750,93240,56950
"Congressional District 1",30370,151310,46680
"Congressional District 9",38950,78550,41440
"Congressional District 18",35620,113200,74110
"Congressional District 21",38890,75680,90470
"Congressional District 12",28800,105850,90340
"Congressional District 13",40920,83490,95170
"Congressional District 22",38040,81140,75360
"Congressional District 6",47080,120140,60720
"Congressional District 23",41160,59990,67400
"Congressional District 16",31870,112420,87270
"Congressional District 14",39620,73060,62260
"Congressional District 4",35070,161940,50020
"Congressional District 19",20940,132090,66280
"Congressional District 10",51500,73010,32820
"Congressional District 7",43970,112930,47920
