district-name,pres-2008:democrat,pres-2008:republican,pres-2008:libertarian,race:white,race:black,race:asian-pacific-islander,race:other,race:multirace,race:native-american,ethnicity:hispanic,ethnicity:non-hispanic,gov-2008:democrat,gov-2008:republican,gov-2008:libertarian,us-senate-2008:democrat,us-senate-2008:republican,us-senate-2008:libertarian,us-senate-2010:democrat,us-senate-2010:republican,us-senate-2010:libertarian,age:18-25,age:26-40,age:41-65,age:66+,gender:male,gender:female,gender:undesignated,party-affiliation:democrat,party-affiliation:republican,party-affiliation:unaffiliated,party-affiliation:libertarian,normal-votes:democrat,normal-votes:republican
"Congressional District 1",230930,95500,1000,280040,379470,10420,34250,13120,6240,57350,666180,239340,79180,6190,232610,86930,5470,131820,63730,2530,57810,117080,199650,85230,195670,257730,5640,319530,65650,73320,480,236060,92930
"Congressional District 10",140160,190000,2280,602970,84960,10360,19440,13480,2470,41370,691890,137210,185200,8370,154360,163580,12610,76780,123660,4960,46720,114730,219980,91880,214100,254630,3900,185840,168430,118200,690,143860,189520
"Congressional District 11",136730,196670,2750,659650,22710,8150,19470,12040,10960,39650,693850,151280,173150,11300,151810,170970,13430,84350,141360,6550,47080,107690,223500,121470,231420,265690,3290,179820,186980,132390,730,143840,194540
"Congressional District 12",227950,63640,1050,249900,368810,30130,59240,20310,4260,103800,628790,210940,72750,5970,223610,58310,6380,104920,39090,2160,63500,142510,181040,59720,190780,249110,6920,284370,73050,88970,620,218610,75170
"Congressional District 13",166630,197830,2270,544860,131180,17640,29240,15190,3300,59690,682360,162500,192040,11220,171600,184110,9860,94890,143480,5230,47700,128340,235780,69850,222590,256080,3330,195580,171090,114580,780,163570,204070
"Congressional District 2",132160,169510,1970,522790,121430,23710,35750,21810,8610,78030,656250,136600,155650,9600,141900,150270,10180,68110,111490,4250,46640,116100,197000,76440,198330,235020,2680,165140,157310,112700,740,133360,171540
"Congressional District 3",133830,173550,1720,539510,144170,9860,19560,18740,3770,47220,688100,163890,132590,8930,141550,154880,9370,70400,116980,3740,57690,114260,198560,84620,206300,244760,4180,197820,140680,116470,720,141840,168030
"Congressional District 4",245380,92760,1920,388280,235480,38120,41200,22880,4660,84790,645450,224940,97690,12450,238070,89260,8740,132200,61230,3970,71410,151060,182540,59320,205880,253080,5670,255390,86720,121220,940,232910,107830
"Congressional District 5",146230,197330,2650,581630,91930,10860,34150,12890,2520,60240,673890,151870,182160,10800,158770,174460,12510,74650,137370,5010,55870,111910,215550,94220,218970,255730,2910,168600,198320,109710,810,144460,202960
"Congressional District 6",156660,200910,2650,572460,109860,14270,21000,13310,3140,41790,692180,164800,180970,12500,173890,173700,11420,81260,140110,5160,49380,115110,236680,98160,227220,270710,1490,208430,178950,111120,850,157820,203750
"Congressional District 7",135700,187570,1740,530620,129000,5140,41920,13500,15290,68480,666590,156360,155880,9780,155630,156330,10690,81670,137780,4170,43260,113990,215890,94660,212270,251520,4400,202760,155800,108840,620,147690,177860
"Congressional District 8",123430,169980,1800,483990,136860,8760,34990,13950,54110,61330,672170,127300,160440,6460,136950,146840,10130,67000,108570,3630,46340,108240,203010,79220,197570,236990,2930,200580,144620,91490,480,130600,165500
"Congressional District 9",157710,189140,1880,571970,92600,28370,23660,15430,2520,56450,677080,111320,229260,7370,159790,174290,12150,73630,129090,4390,45120,149240,240950,68190,230710,267140,5170,160410,200710,141310,860,140170,209250
