district-name,normal-votes:democrat,normal-votes:republican
"Congressional District 6",157820,203750
"Congressional District 4",232910,107830
"Congressional District 2",133360,171540
"Congressional District 5",144460,202960
"Congressional District 8",130600,165500
"Congressional District 11",143840,194540
"Congressional District 3",141840,168030
"Congressional District 1",236060,92930
"Congressional District 7",147690,177860
"Congressional District 10",143860,189520
"Congressional District 12",218610,75170
"Congressional District 9",140170,209250
"Congressional District 13",163570,204070
