district-name,normal-votes:democrat,normal-votes:republican
"Congressional District 2",140120,126220
"Congressional District 3",157370,155300
"Congressional District 9",148030,87460
"Congressional District 8",145520,88800
"Congressional District 5",136680,177480
"Congressional District 13",122940,42690
"Congressional District 1",170470,101450
"Congressional District 4",124060,147990
"Congressional District 10",152070,28620
"Congressional District 11",128520,179310
"Congressional District 7",135120,156890
"Congressional District 12",167350,137800
"Congressional District 6",149520,101470
