district-name,normal-votes:democrat,normal-votes:republican
"Congressional District 21",129270,85600
"Congressional District 20",123410,115380
"Congressional District 29",101760,103790
"Congressional District 17",104530,37300
"Congressional District 7",77780,17620
"Congressional District 16",63040,2700
"Congressional District 15",113240,9290
"Congressional District 5",78450,39650
"Congressional District 22",108680,79000
"Congressional District 24",101760,91770
"Congressional District 27",101120,99740
"Congressional District 25",120770,90660
"Congressional District 23",96610,80660
"Congressional District 19",113280,98790
"Congressional District 26",97360,119620
"Congressional District 28",106550,58250
"Congressional District 10",106710,8360
"Congressional District 12",86370,13400
"Congressional District 11",101800,10890
"Congressional District 13",66040,61010
"Congressional District 8",101730,36470
"Congressional District 9",70770,43420
"Congressional District 14",105660,36140
"Congressional District 3",93860,94870
"Congressional District 2",99230,72290
"Congressional District 4",105170,72770
"Congressional District 6",96480,10370
"Congressional District 18",115250,74620
"Congressional District 1",107320,90840
