ia_geo_id	ia_vote_id	fips	county	vap	statefp10	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	logrecno	pop100	ia_agg	fraction	precinct	pres_tot	pres_d_08	pres_r_08	uss_d_08	uss_r_08	ush_d_08	ush_r_08	cong_other	ssen_dem	ssen_rep	ssen_other	sh_dem	sh_rep	gov_d_06	gov_r_06	gov_other	ush_d_06	ush_r_06	sh_other	precinct06	x_merge	t_08	p_08	us_08	uh_08	g_06	uh_06	av	ndv	nrv	precinct08
1	"2"	1	"Adair"	114	19	1022	19001001022	"P"	"WASHINGTON TWP"	"WASHINGTON TWP Voting District"	"V2"	"G5240"	"S"	92185161	156769	41.19768	-94.64482	21728	145	"1293"	"0.088167053"	"FONTANELLE COMMUNITY BUILDING"	49.197216	22.12993	27.067286	30.770302	19.13225	29.976799	15.341067	1.675174				15.4292345	34.12065	21.160093	20.278421	0.35266823	17.809744	20.719257		"FONTANELLE COMMUNITY BUILDING"	"3"	49.197216	0.4498208	0.6166078	0.6614786	0.5106383	0.46224257	0.5401576	26.57425	22.62296	"FONTANELLE COMMUNITY BUILDING"
2	"2"	1	"Adair"	137	19	1021	19001001021	"P"	"RICHLAND TWP"	"RICHLAND TWP Voting District"	"V2"	"G5240"	"S"	92233089	70720	41.19646	-94.53013	21657	174	"1293"	"0.105955143"	"FONTANELLE COMMUNITY BUILDING"	59.12297	26.594742	32.52823	36.978344	22.992266	36.02475	18.436195	2.0131478				18.54215	41.00464	25.429234	24.369682	0.42382059	21.402939	24.899458		"FONTANELLE COMMUNITY BUILDING"	"3"	59.12297	0.4498208	0.6166078	0.6614786	0.5106383	0.46224257	0.5401576	31.93572	27.18725	"FONTANELLE COMMUNITY BUILDING"
3	"3"	1	"Adair"	457	19	1020	19001001020	"P"	"ORIENT TWP"	"ORIENT TWP Voting District"	"V2"	"G5240"	"S"	91191176	156199	41.200474	-94.4121	21533	572	"2185"	"0.209153318"	"ORIENT UNITED METHODIST CHURCH & YMCA OF ADAIR COUNTY"	197.85904	98.30206	99.55698	121.30892	77.59588	116.4984	70.06636	6.0654464				70.90298	129.04759	97.88375	85.33456	3.5556064	84.49794	85.96201		"ORIENT UNITED METHODIST CHURCH"	"3"	197.85904	0.49682876	0.6098843	0.6244395	0.53424656	0.49570552	0.5522209	109.2619	88.59714	"ORIENT UNITED METHODIST CHURCH"
4	"3"	1	"Adair"	130	19	1019	19001001019	"P"	"UNION TWP"	"UNION TWP Voting District"	"V2"	"G5240"	"S"	92669530	166199	41.193417	-94.30604	21465	177	"2185"	"0.059496568"	"ORIENT UNITED METHODIST CHURCH & YMCA OF ADAIR COUNTY"	56.283752	27.963387	28.320366	34.50801	22.073227	33.139587	19.93135	1.7254004				20.169336	36.70938	27.844393	24.2746	1.0114416	24.036613	24.453089		"ORIENT UNITED METHODIST CHURCH"	"3"	56.283752	0.49682876	0.6098843	0.6244395	0.53424656	0.49570552	0.5522209	31.08107	25.20269	"ORIENT UNITED METHODIST CHURCH"
5	"4"	1	"Adair"	111	19	1018	19001001018	"P"	"GRAND RIVER TWP"	"GRAND RIVER TWP Voting District"	"V2"	"G5240"	"S"	92785301	247261	41.290344	-94.31147	21389	145	"1398"	"0.079399142"	"STUART RECREATIONAL CENTER"	41.36695	18.341202	23.025751	22.23176	19.45279	24.375536	14.927038	0.9527897				19.135193	22.549356	18.896996	16.75322	0.6351931	17.150215	16.67382		"STUART RECREATIONAL CENTER"	"3"	41.36695	0.44337812	0.53333336	0.620202	0.5300668	0.5070422	0.5268045	21.7923	19.57466	"STUART RECREATIONAL CENTER"
6	"3"	1	"Adair"	1539	19	1017	19001001017	"P"	"GREENFIELD"	"GREENFIELD Voting District"	"V2"	"G5240"	"S"	4697097	0	41.3056	-94.45915	21167	1982	"2185"	"0.704347826"	"ORIENT UNITED METHODIST CHURCH & YMCA OF ADAIR COUNTY"	666.31305	331.0435	335.26956	408.52173	261.31305	392.32175	235.95653	20.426086				238.77391	434.5826	329.6348	287.3739	11.973913	284.55652	289.48697		"ORIENT UNITED METHODIST CHURCH"	"3"	666.31305	0.49682876	0.6098843	0.6244395	0.53424656	0.49570552	0.5522209	367.952	298.361	"ORIENT UNITED METHODIST CHURCH"
7	"3"	1	"Adair"	59	19	1016	19001001016	"P"	"GREENFIELD TWP W/O GREENFIELD"	"GREENFIELD TWP W/O GREENFIELD Voting District"	"V2"	"G5240"	"S"	10165078	18015	41.289783	-94.44465	21125	90	"2185"	"0.027002288"	"ORIENT UNITED METHODIST CHURCH & YMCA OF ADAIR COUNTY"	25.544165	12.691075	12.853089	15.661327	10.017849	15.040275	9.045767	0.78306633				9.153776	16.660412	12.637071	11.016933	0.4590389	10.908924	11.09794		"ORIENT UNITED METHODIST CHURCH"	"3"	25.544165	0.49682876	0.6098843	0.6244395	0.53424656	0.49570552	0.5522209	14.10602	11.43814	"ORIENT UNITED METHODIST CHURCH"
8	"4"	1	"Adair"	171	19	1015	19001001015	"P"	"LEE TWP W/O GREENFIELD"	"LEE TWP W/O GREENFIELD Voting District"	"V2"	"G5240"	"S"	76971506	95684	41.284958	-94.4084	21047	214	"1398"	"0.122317597"	"STUART RECREATIONAL CENTER"	63.727467	28.255365	35.472103	34.248928	29.967812	37.551502	22.995708	1.4678111				29.47854	34.738197	29.111588	25.809013	0.9785408	26.4206	25.686695		"STUART RECREATIONAL CENTER"	"3"	63.727467	0.44337812	0.53333336	0.620202	0.5300668	0.5070422	0.5268045	33.57192	30.15555	"STUART RECREATIONAL CENTER"
9	"2"	1	"Adair"	767	19	1014	19001001014	"P"	"SUMMERSET TWP"	"SUMMERSET TWP Voting District"	"V2"	"G5240"	"S"	92390404	411212	41.286747	-94.53632	20859	996	"1293"	"0.593194122"	"FONTANELLE COMMUNITY BUILDING"	331.00232	148.89172	182.1106	207.02475	128.72313	201.686	103.215775	11.270688				103.80897	229.56613	142.3666	136.43465	2.3727765	119.82521	139.40062		"FONTANELLE COMMUNITY BUILDING"	"3"	331.00232	0.4498208	0.6166078	0.6614786	0.5106383	0.46224257	0.5401576	178.7934	152.2089	"FONTANELLE COMMUNITY BUILDING"
10	"2"	1	"Adair"	143	19	1013	19001001013	"P"	"BRIDGEWATER"	"BRIDGEWATER Voting District"	"V2"	"G5240"	"S"	748447	0	41.2471	-94.66894	20824	182	"1293"	"0.110595514"	"FONTANELLE COMMUNITY BUILDING"	61.712296	27.759474	33.952824	38.597836	23.999228	37.602474	19.24362	2.1013148				19.354216	42.800465	26.542923	25.436968	0.44238207	22.340294	25.989946		"FONTANELLE COMMUNITY BUILDING"	"3"	61.712296	0.4498208	0.6166078	0.6614786	0.5106383	0.46224257	0.5401576	33.33437	28.37793	"FONTANELLE COMMUNITY BUILDING"
11	"2"	1	"Adair"	132	19	1012	19001001012	"P"	"JACKSON TWP W/O BRIDGEWATER"	"JACKSON TWP W/O BRIDGEWATER Voting District"	"V2"	"G5240"	"S"	92276346	110045	41.295612	-94.65179	20739	165	"1293"	"0.102088167"	"FONTANELLE COMMUNITY BUILDING"	56.9652	25.62413	31.341066	35.62877	22.153131	34.709976	17.763342	1.9396752				17.865429	39.50812	24.50116	23.480278	0.40835267	20.621809	23.990719		"FONTANELLE COMMUNITY BUILDING"	"3"	56.9652	0.4498208	0.6166078	0.6614786	0.5106383	0.46224257	0.5401576	30.77019	26.19501	"FONTANELLE COMMUNITY BUILDING"
12	"1"	1	"Adair"	68	19	1011	19001001011	"P"	"EUREKA TWP"	"EUREKA TWP Voting District"	"V2"	"G5240"	"S"	92122690	131772	41.365887	-94.64593	20671	88	"1081"	"0.062904718"	"ADAIR COMMUNITY CENTRE"	35.9815	14.593895	21.387604	21.19889	15.411655	23.840889	10.945421	0.62904716				9.938946	26.357077	14.090657	15.474561	0.56614244	11.826087	16.355227		"ADAIR COMMUNITY CENTRE"	"3"	35.9815	0.4055944	0.5790378	0.6853526	0.47659576	0.41964287	0.5132447	18.46731	17.51418	"ADAIR COMMUNITY CENTRE"
13	"1"	1	"Adair"	137	19	1010	19001001010	"P"	"PRUSSIA TWP"	"PRUSSIA TWP Voting District"	"V2"	"G5240"	"S"	91733796	58277	41.359604	-94.52363	20604	173	"1081"	"0.126734505"	"ADAIR COMMUNITY CENTRE"	72.492134	29.402405	43.089733	42.70953	31.049953	48.03238	22.051804	1.2673451				20.024052	53.101757	28.388529	31.17669	1.1406106	23.826086	32.95097		"ADAIR COMMUNITY CENTRE"	"3"	72.492134	0.4055944	0.5790378	0.6853526	0.47659576	0.41964287	0.5132447	37.2062	35.28593	"ADAIR COMMUNITY CENTRE"
14	"4"	1	"Adair"	125	19	1009	19001001009	"P"	"GROVE TWP"	"GROVE TWP Voting District"	"V2"	"G5240"	"S"	91414881	228298	41.37771	-94.40583	20514	169	"1398"	"0.089413448"	"STUART RECREATIONAL CENTER"	46.584408	20.654507	25.9299	25.035765	21.906294	27.449928	16.809729	1.0729613				21.548641	25.39342	21.280401	18.866238	0.7153076	19.313305	18.776825		"STUART RECREATIONAL CENTER"	"3"	46.584408	0.44337812	0.53333336	0.620202	0.5300668	0.5070422	0.5268045	24.54088	22.04353	"STUART RECREATIONAL CENTER"
15	"4"	1	"Adair"	137	19	1008	19001001008	"P"	"HARRISON TWP"	"HARRISON TWP Voting District"	"V2"	"G5240"	"S"	92790596	76830	41.378952	-94.31116	20440	178	"1398"	"0.097997139"	"STUART RECREATIONAL CENTER"	51.05651	22.637339	28.41917	27.4392	24.009298	30.085121	18.423462	1.1759657				23.61731	27.831188	23.323318	20.677397	0.7839771	21.167381	20.5794		"STUART RECREATIONAL CENTER"	"3"	51.05651	0.44337812	0.53333336	0.620202	0.5300668	0.5070422	0.5268045	26.8968	24.15971	"STUART RECREATIONAL CENTER"
16	"4"	1	"Adair"	543	19	1007	19001001007	"P"	"STUART IN ADAIR COUNTY"	"STUART IN ADAIR COUNTY Voting District"	"V2"	"G5240"	"S"	4418716	0	41.495068	-94.3219	20351	699	"1398"	"0.388412017"	"STUART RECREATIONAL CENTER"	202.36266	89.723175	112.63949	108.75536	95.16094	119.24249	73.02146	4.660944				93.6073	110.30901	92.44206	81.95493	3.1072962	83.896996	81.56652		"STUART RECREATIONAL CENTER"	"3"	202.36266	0.44337812	0.53333336	0.620202	0.5300668	0.5070422	0.5268045	106.6056	95.7571	"STUART RECREATIONAL CENTER"
17	"4"	1	"Adair"	176	19	1006	19001001006	"P"	"LINCOLN TWP W/O STUART"	"LINCOLN TWP W/O STUART Voting District"	"V2"	"G5240"	"S"	87938459	20146	41.453354	-94.28929	20257	227	"1398"	"0.125894134"	"STUART RECREATIONAL CENTER"	65.59084	29.081545	36.5093	35.25036	30.844063	38.649498	23.668097	1.5107297				30.340487	35.753933	29.962805	26.563662	1.007153	27.193132	26.437769		"STUART RECREATIONAL CENTER"	"3"	65.59084	0.44337812	0.53333336	0.620202	0.5300668	0.5070422	0.5268045	34.55355	31.03729	"STUART RECREATIONAL CENTER"
18	"4"	1	"Adair"	135	19	1005	19001001005	"P"	"JEFFERSON TWP"	"JEFFERSON TWP Voting District"	"V2"	"G5240"	"S"	91661157	242529	41.46052	-94.413795	20150	163	"1398"	"0.096566524"	"STUART RECREATIONAL CENTER"	50.311157	22.306868	28.004292	27.038626	23.658798	29.645924	18.154507	1.1587983				23.272532	27.424892	22.982832	20.375536	0.77253217	20.85837	20.27897		"STUART RECREATIONAL CENTER"	"3"	50.311157	0.44337812	0.53333336	0.620202	0.5300668	0.5070422	0.5268045	26.50414	23.80701	"STUART RECREATIONAL CENTER"
19	"1"	1	"Adair"	7	19	1004	19001001004	"P"	"CASEY IN ADAIR COUNTY"	"CASEY IN ADAIR COUNTY Voting District"	"V2"	"G5240"	"S"	458406	0	41.502026	-94.52123	20131	10	"1081"	"0.006475486"	"ADAIR COMMUNITY CENTRE"	3.7039778	1.5023127	2.2016652	2.1822386	1.586494	2.454209	1.1267345	0.06475486				1.0231267	2.7132285	1.4505088	1.5929694	0.058279373	1.2173913	1.6836263		"ADAIR COMMUNITY CENTRE"	"3"	3.7039778	0.4055944	0.5790378	0.6853526	0.47659576	0.41964287	0.5132447	1.901047	1.802931	"ADAIR COMMUNITY CENTRE"
20	"1"	1	"Adair"	128	19	1003	19001001003	"P"	"WALNUT TWP W/O CASEY"	"WALNUT TWP W/O CASEY Voting District"	"V2"	"G5240"	"S"	91508743	265714	41.455425	-94.52643	20051	166	"1081"	"0.118408881"	"ADAIR COMMUNITY CENTRE"	67.72988	27.47086	40.259018	39.903793	29.010176	44.876965	20.603146	1.1840888				18.708603	49.61332	26.52359	29.128584	1.0656799	22.26087	30.786308		"ADAIR COMMUNITY CENTRE"	"3"	67.72988	0.4055944	0.5790378	0.6853526	0.47659576	0.41964287	0.5132447	34.762	32.96788	"ADAIR COMMUNITY CENTRE"
