state	year	ed_precinct	precinct	ed	precinct_code	g2002_REG_tv	g2002_GOV_tv	g2002_GOV_dv	g2002_GOV_rv	g2002_STH_dv	g2002_STH_rv	g2002_STS_dv	g2002_STS_rv	g2002_USH_dv	g2002_USH_rv	g2002_USS_dv	g2002_USS_rv
"AK"	2002	"01-000"	"District 1 Absentee"	1	0						701			140	732	101	754
"AK"	2002	"01-000"	"District 1 Question"	1	0						135			44	178	35	177
"AK"	2002	"01-110"	"Ketchikan No. 1"	1	110	2174	697	237	427		507			114	502	81	516
"AK"	2002	"01-120"	"Ketchikan No. 2"	1	120	2361	915	281	603		682			141	688	102	712
"AK"	2002	"01-130"	"Ketchikan No. 3"	1	130	1611	587	139	436		460			63	494	44	514
"AK"	2002	"01-140"	"North Tongass No. 1"	1	140	817	351	77	269		276			47	287	31	288
"AK"	2002	"01-150"	"North Tongass No. 2"	1	150	1497	664	139	509		509			63	560	34	576
"AK"	2002	"01-160"	"Saxman"	1	160	290	114	56	54		75			24	81	17	79
"AK"	2002	"01-170"	"South Tongass"	1	170	1465	579	152	417		439			74	466	55	469
"AK"	2002	"01-180"	"Thorne Bay"	1	180	617	193	32	156		151			23	165	7	165
"AK"	2002	"01-185"	"Coffman Cove"	1	185	175	52	8	43		38			2	47	2	46
"AK"	2002	"02-000"	"District 2 Absentee"	2	0					359	721			217	776	117	824
"AK"	2002	"02-000"	"District 2 Question"	2	0					65	46			36	120	29	123
"AK"	2002	"02-210"	"Sitka No. 1"	2	210	2630	967	542	388	569	389			228	612	161	663
"AK"	2002	"02-220"	"Sitka No. 2"	2	220	2174	888	469	404	460	427			201	588	144	620
"AK"	2002	"02-230"	"Halibut Point"	2	230	1226	465	254	202	263	198			117	304	85	324
"AK"	2002	"02-240"	"Sawmill Creek"	2	240	1363	580	330	237	311	268			127	374	98	402
"AK"	2002	"02-250"	"Petersburg/Kupreanof"	2	250	2590	1042	399	623	234	797			188	763	132	799
"AK"	2002	"02-260"	"Wrangell"	2	260	1816	783	164	594	143	632			79	670	52	684
"AK"	2002	"02-285"	"Pelican/Elfin Cove"	2	285	244	70	31	34	26	41			11	50	10	52
"AK"	2002	"02-295"	"Port Alexander"	2	295	81	23	15	6	13	8			7	12	6	13
"AK"	2002	"03-000"	"District 3 Absentee"	3	0					1305	791	1204	977	675	1193	425	1389
"AK"	2002	"03-000"	"District 3 Question"	3	0					150	97	184	185	118	241	92	253
"AK"	2002	"03-300"	"Douglas"	3	300	1715	809	505	286	515	282	472	333	240	429	151	488
"AK"	2002	"03-310"	"Juneau No. 1"	3	310	983	348	252	83	240	109	209	142	115	155	78	170
"AK"	2002	"03-320"	"Juneau No. 2"	3	320	1059	482	385	86	402	74	363	112	183	136	106	182
"AK"	2002	"03-330"	"Juneau No. 3"	3	330	1581	729	533	180	527	194	512	214	232	283	169	349
"AK"	2002	"03-340"	"Juneau No. 4"	3	340	1382	524	332	181	346	168	291	230	149	292	103	330
"AK"	2002	"03-350"	"Juneau Airport Area"	3	350	1300	563	290	264	329	221	272	286	128	367	95	379
"AK"	2002	"03-360"	"Lemon Creek"	3	360	1272	562	278	272	293	261	260	299	121	409	94	419
"AK"	2002	"03-370"	"North Douglas"	3	370	1280	610	420	180	436	173	376	236	197	282	125	330
