state	year	precinct_code	precinct	g2006_REG_tv	g2006_GOV_tv	g2006_GOV_dv	g2006_GOV_rv	g2006_USH_tv	g2006_USH_dv	g2006_USH_rv	g2006_STS_tv	g2006_STS_dv	g2006_STS_rv	g2006_STH_tv	g2006_STH_dv	g2006_STH_rv
"AK"	2006	"01-000"	"District 1 - Absentee"	10827	850	309	448							667		615
"AK"	2006	"01-000"	"District 1 - Early Voting"	10827	4	0	4							4		4
"AK"	2006	"01-000"	"District 1 - Question"	10827	231	97	102							138		130
"AK"	2006	"01-110"	"01-110 Ketchikan No. 1"	2171	637	304	246	634	260	341				508		467
"AK"	2006	"01-120"	"01-120 Ketchikan No. 2"	2212	797	333	347	790	274	475				641		601
"AK"	2006	"01-130"	"01-130 Ketchikan No. 3"	1575	544	195	280	536	128	384				453		430
"AK"	2006	"01-140"	"01-140 North Tongass No. 1"	811	330	100	187	329	81	236				282		275
"AK"	2006	"01-150"	"01-150 North Tongass No. 2"	1612	655	188	379	649	171	455				542		526
"AK"	2006	"01-160"	"01-160 Saxman"	274	105	60	32	103	47	52				87		81
"AK"	2006	"01-170"	"01-170 South Tongass"	1472	548	185	282	538	151	365				454		429
"AK"	2006	"01-180"	"01-180 Thorne Bay"	562	190	47	115	189	43	130				150		143
"AK"	2006	"01-185"	"01-185 Coffman Cove"	138	65	13	45	64	16	48				52		51
"AK"	2006	"02-000"	"District 2 - Absentee"	11579	1078	541	452							1007	377	623
"AK"	2006	"02-000"	"District 2 - Early Voting"	11579	14	7	3							12	4	8
"AK"	2006	"02-000"	"District 2 - Question"	11579	130	75	41							81	33	48
"AK"	2006	"02-210"	"02-210 Sitka No. 1"	2409	851	577	191	848	502	313				830	495	331
"AK"	2006	"02-220"	"02-220 Sitka No. 2"	2168	877	532	253	866	447	398				868	431	432
"AK"	2006	"02-230"	"02-230 Halibut Point"	1249	491	315	118	484	254	215				487	268	217
"AK"	2006	"02-240"	"02-240 Sawmill Creek"	1350	566	369	149	561	296	250				563	307	254
"AK"	2006	"02-250"	"02-250 Petersburg/Kupreanof"	2540	948	391	435	933	398	504				911	276	633
"AK"	2006	"02-260"	"02-260 Wrangell"	1590	624	150	400	618	139	458				614	117	495
"AK"	2006	"02-285"	"02-285 Pelican/Elfin Cove"	201	55	35	12	52	26	24				53	35	18
"AK"	2006	"02-295"	"02-295 Port Alexander"	72	26	19	5	25	21	3				26	13	13
"AK"	2006	"03-000"	"District 3 - Absentee"	12391	1134	810	222				1077	796	278	897	871	
"AK"	2006	"03-000"	"District 3 - Early Voting"	12391	439	292	106				432	281	150	374	349	
"AK"	2006	"03-000"	"District 3 - Question"	12391	458	314	88				407	278	125	229	215	
"AK"	2006	"03-300"	"03-300 Douglas"	1762	791	555	150	779	491	249	768	532	232	667	629	
"AK"	2006	"03-310"	"03-310 Juneau No. 1"	947	334	275	35	328	241	71	324	256	65	299	285	
"AK"	2006	"03-320"	"03-320 Juneau No. 2"	998	432	343	41	427	344	61	416	357	58	384	376	
"AK"	2006	"03-330"	"03-330 Juneau No. 3"	1517	678	541	77	669	489	155	652	518	132	613	594	
"AK"	2006	"03-340"	"03-340 Juneau No. 4"	1408	582	406	114	577	344	210	562	391	169	492	471	
"AK"	2006	"03-350"	"03-350 Juneau Airport Area"	1299	524	324	125	520	263	239	508	307	200	432	402	
"AK"	2006	"03-360"	"03-360 Lemon Creek"	1177	488	328	105	481	242	222	472	289	182	407	396	
"AK"	2006	"03-370"	"03-370 North Douglas"	1357	669	486	115	656	440	195	645	447	198	588	558	
"AK"	2006	"03-380"	"03-380 Salmon Creek"	983	427	298	75	423	250	162	413	275	137	361	351	
"AK"	2006	"03-390"	"03-390 Switzer Creek"	943	266	183	55	263	151	107	259	171	87	225	211	
"AK"	2006	"04-000"	"District 4 - Absentee"	12109	744	433	248				698	415	280	680	324	351
"AK"	2006	"04-000"	"District 4 - Early Voting"	12109	794	491	202				779	470	308	787	414	371
"AK"	2006	"04-000"	"District 4 - Question"	12109	231	128	73				192	112	79	124	60	64
"AK"	2006	"04-410"	"04-410 Mendenhall Valley No. 1"	2210	826	515	210	810	357	425	790	464	326	823	413	403
"AK"	2006	"04-420"	"04-420 Mendenhall Valley No. 2"	2310	941	552	264	928	391	512	912	512	399	929	429	492
