state	year	county	precinct	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	cd	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	cd2	g2000_USH_dv2	g2000_USH_rv2	g2000_USH_tv2
"AL"	2000	"AUTAUGA"	"ABSENTEE VOTERS"	138	451	605	2	18	55	79				
"AL"	2000	"AUTAUGA"	"AUTAUGA COUNTY COURTHOUSE"	680	436	1130	2	58	40	110				
"AL"	2000	"AUTAUGA"	"AUTAUGA COUNTY VOTING SITE"	68	180	250	2	21	76	106				
"AL"	2000	"AUTAUGA"	"AUTAUGAVILLE TOWN HALL"	270	119	392	2	192	237	557				
"AL"	2000	"AUTAUGA"	"BILLINGSLEY GOVERNMENT BLDG."	33	224	260	2	12	56	74				
"AL"	2000	"AUTAUGA"	"BOOTH POST OFFICE"	152	378	541	2	184	172	375				
"AL"	2000	"AUTAUGA"	"CAMELLIA BAPTIST CHURCH"	310	796	1122	2	54	48	106				
"AL"	2000	"AUTAUGA"	"EAST MEMORIAL BAPTIST CHURCH"	317	1263	1618	2	103	114	228				
"AL"	2000	"AUTAUGA"	"HAYNES COMMUNITY CENTER"	46	164	214	2	391	569	989				
"AL"	2000	"AUTAUGA"	"INDEPENDENCE VOTING SITE"	252	107	361	2	400	611	1041				
"AL"	2000	"AUTAUGA"	"JONES COMMUNITY CENTER"	104	138	245	2	505	348	877				
"AL"	2000	"AUTAUGA"	"MARBURY COMMUNITY CENTER"	186	429	626	2	574	356	944				
"AL"	2000	"AUTAUGA"	"MULBERRY STATESVILLE COMM."	215	59	274	2	75	146	229				
"AL"	2000	"AUTAUGA"	"NATIONAL GUARD ARMORY #1"	201	804	1029	2	162	437	619				
"AL"	2000	"AUTAUGA"	"NATIONAL GUARD ARMORY #2"	192	689	895	2	170	355	542				
"AL"	2000	"AUTAUGA"	"NEWTON PARK VOTING SITE #1"	260	1149	1427	2	60	28	88				
"AL"	2000	"AUTAUGA"	"NEWTON PARK VOTING SITE #2"	295	1129	1438	2	232	82	320				
"AL"	2000	"AUTAUGA"	"OLD KINGSTON VOTING SITE"	362	148	516	2	564	379	1014				
"AL"	2000	"AUTAUGA"	"PINE LEVEL VOLUNTEER FIRE"	210	967	1195	2	57	58	119				
"AL"	2000	"AUTAUGA"	"PRATTMONT BAPTIST CHURCH"	330	988	1346	2	148	28	177				
"AL"	2000	"AUTAUGA"	"UPPER KINGSTON COMMUNITY CNTR"	256	1087	1367	2	213	211	491				
"AL"	2000	"AUTAUGA"	"WHITE CITY FIRE"	65	288	357	2	54	79	147				
"AL"	2000	"BALDWIN"	"Absentee"	485	1730	2282	2	38	195	279				
"AL"	2000	"BALDWIN"	"Barnewll Ch."	163	514	701	2	38	26	71				
"AL"	2000	"BALDWIN"	"Barnwell Comm. Ctr."	102	423	544	2	225	211	454				
"AL"	2000	"BALDWIN"	"Bay Minette City Hall Civ. #1"	312	991	1328	2	159	182	348				
"AL"	2000	"BALDWIN"	"Bay Minette City Hall Civ. #2"	280	990	1292	2	21	95	117				
"AL"	2000	"BALDWIN"	"Bay Minette Int. Sch."	447	148	606	2	21	106	133				
"AL"	2000	"BALDWIN"	"Belforest Comm. Ctr."	98	598	720	2	82	111	199				
"AL"	2000	"BALDWIN"	"Bon Secour Swift Sch."	156	459	647	2	51	126	184				
"AL"	2000	"BALDWIN"	"Bromley Crossrds. Vol Fire"	113	188	311	2	34	136	173				
"AL"	2000	"BALDWIN"	"Clearsprings Fellowshp. Hall"	19	76	95	2	107	68	177				
"AL"	2000	"BALDWIN"	"Crossrds. Alt. Sch."	107	207	324	2	18	16	34				
"AL"	2000	"BALDWIN"	"Daphne Civic Center"	349	1450	1859	2	75	91	168				
"AL"	2000	"BALDWIN"	"Daphne Hi Sch. #1"	489	1828	2373	2	274	256	533				
"AL"	2000	"BALDWIN"	"Daphne Hi Sch. #2"	0	0	0	2	337	273	621				
"AL"	2000	"BALDWIN"	"Daphne Int. Sch. #1"	638	925	1600	2	149	487	655				
"AL"	2000	"BALDWIN"	"Daphne Int. Sch. #2"	565	982	1572	2	97	294	398				
"AL"	2000	"BALDWIN"	"Daphne St. Paul Episcopal Ch."	385	1300	1733	2	181	185	374				
"AL"	2000	"BALDWIN"	"Elberta Civ. Ctr."	314	914	1269	2	270	102	378				
"AL"	2000	"BALDWIN"	"Elsanor Comm. Ctr."	133	467	625	2	264	100	368				
"AL"	2000	"BALDWIN"	"Fairhope Civ. Crt. #3"	669	1500	2237	2	72	75	148				
"AL"	2000	"BALDWIN"	"Fairhope Civ. Ctr. #1"	433	1052	1538	2	337	196	540				
"AL"	2000	"BALDWIN"	"Fairhope Civ. Ctr. #2"	563	1318	1953	2	122	99	225				
"AL"	2000	"BALDWIN"	"Ferguson Store"	38	24	63	2	60	139	203				
"AL"	2000	"BALDWIN"	"Foley Civ. Ctr. #1"	426	953	1415	2	28	88	116				
"AL"	2000	"BALDWIN"	"Foley Civ. Ctr. #2"	384	1004	1419	2	60	173	237				
"AL"	2000	"BALDWIN"	"Fort Morgan Shell Bks. Ch."	77	219	305	2	73	36	110				
"AL"	2000	"BALDWIN"	"Gateswood Fire Sta."	13	16	30	2	41	61	106				
"AL"	2000	"BALDWIN"	"Gateswood Ham. Ch."	36	93	131	2	90	246	346				
"AL"	2000	"BALDWIN"	"Gulf Shores Activ. Ctr. #1"	246	758	1040	2	149	179	340				
"AL"	2000	"BALDWIN"	"Gulf Shores Activ. Ctr. #2"	439	1615	2132	2	176	156	340				
"AL"	2000	"BALDWIN"	"Josephine Fire House"	72	259	341	3	0	589	704				
"AL"	2000	"BALDWIN"	"Lillian Comm. Hall #1"	461	1035	1547	3	0	693	838				
"AL"	2000	"BALDWIN"	"Lillian Comm. Hall #2"	217	629	881	3	0	465	602				
