state	year	county	precinct	cd	cd2	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	g2008_USH_dv2	g2008_USH_rv2	g2008_USH_tv2
"AL"	2008	"AUTAUGA"	"ABSENTEE VOTERS"	2		312	987	1303	266	1000	1267	455	815	1270			
"AL"	2008	"AUTAUGA"	"AUTAUGAVILLE VOL_ FIRE DEPT_"	2		474	334	809	438	352	790	547	247	794			
"AL"	2008	"AUTAUGA"	"BILLINGSLEY GOVERNMENT CENTER"	2		46	359	406	44	358	402	133	267	400			
"AL"	2008	"AUTAUGA"	"BOOTH VOL_ FIRE"	2		169	461	633	154	466	620	273	351	625			
"AL"	2008	"AUTAUGA"	"CAMELLIA BAPTIST CHURCH #1"	2		408	992	1410	344	1048	1393	620	773	1393			
"AL"	2008	"AUTAUGA"	"CAMELLIA BAPTIST CHURCH #2"	2		35	67	104	27	74	101	50	55	105			
"AL"	2008	"AUTAUGA"	"CENTRAL AL ELECTRIC COOP BLDG_"	2		276	124	402	260	133	393	315	79	394			
"AL"	2008	"AUTAUGA"	"CHAMBER OF COMMERCE"	2		612	298	916	556	339	897	668	232	900			
"AL"	2008	"AUTAUGA"	"CHURCH OF LIVING WATER #1"	2		101	615	723	84	626	710	230	483	713			
"AL"	2008	"AUTAUGA"	"CHURCH OF LIVING WATER #2"	2		225	1183	1419	183	1216	1400	475	918	1396			
"AL"	2008	"AUTAUGA"	"INDEPENDENCE VOTING HOUSE"	2		259	230	493	246	236	482	306	177	483			
"AL"	2008	"AUTAUGA"	"JONES COMMUNITY CENTER"	2		131	177	308	119	181	301	158	144	302			
"AL"	2008	"AUTAUGA"	"MARBURY COMMUNITY CENTER"	2		106	538	652	98	543	643	230	412	645			
"AL"	2008	"AUTAUGA"	"OLD KINGSTON VOTING SITE"	2		402	347	752	368	363	733	444	296	741			
"AL"	2008	"AUTAUGA"	"PINE LEVEL FIRE STATION #1"	2		212	1459	1686	178	1487	1668	479	1188	1669			
"AL"	2008	"AUTAUGA"	"PINE LEVEL FIRE STATION #2"	2		86	525	616	76	532	608	208	405	613			
"AL"	2008	"AUTAUGA"	"PRATTMONT BAPTIST CHURCH"	2		224	878	1110	194	903	1098	445	648	1096			
"AL"	2008	"AUTAUGA"	"PROVISIONAL"	2		2	5	7	2	5	7	3	4	7			
"AL"	2008	"AUTAUGA"	"SAFE HARBOR MINISTRIES #1"	2		120	379	503	98	399	498	196	303	500			
"AL"	2008	"AUTAUGA"	"SAFE HARBOR MINISTRIES #2"	2		245	853	1099	207	871	1081	402	680	1085			
"AL"	2008	"AUTAUGA"	"SAFE HARBOR MINISTRIES #3"	2		298	974	1281	262	999	1262	490	775	1266			
"AL"	2008	"AUTAUGA"	"TRINITY UNITED METHODIST #1"	2		387	1625	2023	314	1677	1994	659	1332	1996			
"AL"	2008	"AUTAUGA"	"TRINITY UNITED METHODIST #2"	2		261	1182	1455	212	1228	1442	470	968	1441			
"AL"	2008	"AUTAUGA"	"TRINITY UNITED METHODIST #3"	2		169	699	874	137	730	868	312	557	869			
"AL"	2008	"AUTAUGA"	"UPPER KINGSTON COMM_ CNTR #1"	2		274	1212	1496	224	1256	1482	515	968	1486			
"AL"	2008	"AUTAUGA"	"UPPER KINGSTON COMM_ CNTR #2"	2		127	583	712	97	607	706	235	473	710			
"AL"	2008	"AUTAUGA"	"WHITE CITY FIRE"	2		132	317	449	128	312	442	200	241	441			
"AL"	2008	"BALDWIN"	"Absentee"	1		795	2652	3482	669	2671	3346	0	2815	2854			
"AL"	2008	"BALDWIN"	"BARWELL COMM CTR"	1		261	1367	1646	221	1404	1629	0	1450	1470			
"AL"	2008	"BALDWIN"	"BAY MINETTE CITY HALL CIVIC #1"	1		245	895	1146	209	928	1138	0	946	958			
"AL"	2008	"BALDWIN"	"BAY MINETTE CITY HALL CIVIC #2"	1		595	1830	2448	554	1859	2415	0	1969	2005			
"AL"	2008	"BALDWIN"	"BELFOREST COMM CTR"	1		132	737	878	94	768	862	0	779	782			
"AL"	2008	"BALDWIN"	"BON SECOUR MORGANS CHAPEL"	1		205	804	1023	186	821	1007	0	863	871			
"AL"	2008	"BALDWIN"	"BOSINTON UNITED METH CH"	1		153	987	1149	145	990	1137	0	1017	1029			
"AL"	2008	"BALDWIN"	"BROMLEY CROSSROADS VOL FIRE"	1		210	382	596	199	387	586	0	424	430			
"AL"	2008	"BALDWIN"	"CLEARSPRGS FELLOWSHIP HALL"	1		8	110	119	11	105	117	0	105	108			
"AL"	2008	"BALDWIN"	"CROSSROADS DURANT CHAPEL"	1		150	369	521	145	364	510	0	401	407			
"AL"	2008	"BALDWIN"	"DAPHNE CIV CTR #1"	1		560	1030	1599	487	1090	1580	0	1186	1210			
"AL"	2008	"BALDWIN"	"DAPHNE CIV CTR #2"	1		407	894	1307	360	930	1291	0	996	1016			
"AL"	2008	"BALDWIN"	"DAPHNE CIV CTR #3"	1		327	743	1079	275	791	1066	0	843	859			
"AL"	2008	"BALDWIN"	"DAPHNE CIV CTR #4"	1		535	1556	2112	448	1629	2082	0	1708	1734			
"AL"	2008	"BALDWIN"	"DAPHNE CIV CTR #5"	1		870	1309	2201	743	1435	2182	0	1545	1583			
"AL"	2008	"BALDWIN"	"DAPHNE HIGH SCH #1"	1		0	0	24	469	1902	2376	0	2022	2057			
"AL"	2008	"BALDWIN"	"DAPHNE HIGH SCH #2"			608	1770	2381	0	0	0						
"AL"	2008	"BALDWIN"	"DOUGLASVILLE COMM CTR"	1		480	30	512	464	37	501	0	131	143			
"AL"	2008	"BALDWIN"	"EAST POINTE BAP CH #1"	1		349	1696	2073	272	1774	2050	0	1818	1840			
"AL"	2008	"BALDWIN"	"EAST POINTE BAP CH #2"	1		153	796	958	125	824	950	0	846	851			
"AL"	2008	"BALDWIN"	"ELBERTA CIVIC CTR"	1		275	1141	1444	255	1165	1423	0	1242	1256			
"AL"	2008	"BALDWIN"	"ELSANOR COMM CTR"	1		104	703	818	93	709	802	0	725	733			
"AL"	2008	"BALDWIN"	"FAIRHOPE CIVIC CTR #1"	1		229	918	1154	187	956	1145	0	971	983			
"AL"	2008	"BALDWIN"	"FAIRHOPE CIVIC CTR #2"	1		560	1692	2269	427	1804	2235	0	1873	1894			
"AL"	2008	"BALDWIN"	"FAIRHOPE CIVIC CTR #3"	1		614	1792	2428	504	1893	2405	0	1982	2013			
