state	year	county	precinct	cd	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv
"AR"	2000	"Arkansas County"	"Alcorn Fire Dept."	1	28	54	83	41	36	77
"AR"	2000	"Arkansas County"	"Shiloh Methodist"	1	118	105	230	131	69	200
"AR"	2000	"Arkansas County"	"Almyra Comm. Center"	1	45	120	168	86	64	150
"AR"	2000	"Arkansas County"	"Stuttgart Farm Supply"	1	47	138	191	106	65	171
"AR"	2000	"Arkansas County"	"Allen Temple Baptist Church"	1	484	158	654	430	127	557
"AR"	2000	"Arkansas County"	"Grand Avenue"	1	349	516	880	491	302	793
"AR"	2000	"Arkansas County"	"Stuttgart City Hall"	1	243	311	569	301	200	501
"AR"	2000	"Arkansas County"	"Meekins Middle"	1	163	276	451	242	152	394
"AR"	2000	"Arkansas County"	"SD Early Voting"	1	187	184	376	237	86	323
"AR"	2000	"Arkansas County"	"SD Absentee"	1	44	39	85	69	14	83
"AR"	2000	"Arkansas County"	"Gillett City Hall"	1	159	168	336	251	64	315
"AR"	2000	"Arkansas County"	"ND Early Voting"	1	177	284	465	246	175	421
"AR"	2000	"Arkansas County"	"ND Absentee"	1	47	75	123	67	49	116
"AR"	2000	"Arkansas County"	"Lodges Corner"	1	26	125	155	104	43	147
"AR"	2000	"Arkansas County"	"Tichnor Fire Dept."	1	35	58	97	76	18	94
"AR"	2000	"Arkansas County"	"St. Charles City Hall"	1	95	111	209	134	57	191
"AR"	2000	"Arkansas County"	"Dewitt Fire Dept."	1	293	165	472	311	101	412
"AR"	2000	"Arkansas County"	"Assembly of God"	1	130	185	327	213	82	295
"AR"	2000	"Arkansas County"	"First National"	1	119	214	342	210	110	320
"AR"	2000	"Arkansas County"	"Humphrey City Hall"	1	88	67	159	91	43	134
"AR"	2000	"Ashley County"	"Early"	4	285	249	546	272	283	555
"AR"	2000	"Ashley County"	"Crossett Ward 1"	4	465	82	550	447	110	557
"AR"	2000	"Ashley County"	"Crossett Ward 2"	4	345	315	671	332	337	669
"AR"	2000	"Ashley County"	"Crossett Ward 3"	4	424	593	1035	387	648	1035
"AR"	2000	"Ashley County"	"Mt. Zion"	4	24	51	78	34	45	79
"AR"	2000	"Ashley County"	"Milo"	4	103	190	298	111	184	295
"AR"	2000	"Ashley County"	"Fountain Hill City & Rural"	4	124	92	220	135	87	222
"AR"	2000	"Ashley County"	"Portland City & Rural"	4	138	75	213	127	97	224
"AR"	2000	"Ashley County"	"Boydell"	4	9	7	16	6	10	16
"AR"	2000	"Ashley County"	"Snyder/Trafalger & Mist"	4	34	57	93	36	56	92
"AR"	2000	"Ashley County"	"Montrose City & Rural"	4	120	21	145	117	29	146
"AR"	2000	"Ashley County"	"Parkdale City & Rural"	4	90	28	120	98	32	130
"AR"	2000	"Ashley County"	"Wilmot City & Rural"	4	234	80	317	240	85	325
"AR"	2000	"Ashley County"	"Absentee"	4	159	122	282	143	137	280
"AR"	2000	"Ashley County"	"North Crossett East"	4	186	213	409	204	211	415
"AR"	2000	"Ashley County"	"North Crossett West"	4	130	177	314	140	172	312
"AR"	2000	"Ashley County"	"West Crossett Rural"	4	298	271	577	321	256	577
"AR"	2000	"Ashley County"	"Vo-Tech"	4	109	167	280	115	169	284
"AR"	2000	"Ashley County"	"Cooter"	4	85	87	177	92	87	179
"AR"	2000	"Ashley County"	"Hickory Grove"	4	134	211	354	141	212	353
"AR"	2000	"Ashley County"	"Crossroads"	4	112	189	312	141	174	315
"AR"	2000	"Ashley County"	"Hamburg Ward 3"	4	135	195	336	128	205	333
"AR"	2000	"Ashley County"	"Hamburg Ward 2"	4	117	104	226	109	115	224
"AR"	2000	"Ashley County"	"Hamburg Ward 1"	4	227	42	270	207	65	272
"AR"	2000	"Ashley County"	"Hamburg Rural & Beech Creek"	4	166	258	432	166	267	433
"AR"	2000	"Baxter County"	"40392"	3	7	6	13			
"AR"	2000	"Baxter County"	"Early & Absentee"	3	1935	2643	4736			
"AR"	2000	"Baxter County"	"40179"	3	131	258	406			
"AR"	2000	"Baxter County"	"40180"	3	273	338	648			
"AR"	2000	"Baxter County"	"40181"	3	171	206	391			
"AR"	2000	"Baxter County"	"40210"	3	133	235	387			
"AR"	2000	"Baxter County"	"40211"	3	102	157	264			
"AR"	2000	"Baxter County"	"40212"	3	194	291	502			
"AR"	2000	"Baxter County"	"40238"	3	140	147	302			
"AR"	2000	"Baxter County"	"40239"	3	94	121	224			
"AR"	2000	"Baxter County"	"40240"	3	207	356	582			
"AR"	2000	"Baxter County"	"40241"	3	68	69	148			
"AR"	2000	"Baxter County"	"40269"	3	139	252	409			
"AR"	2000	"Baxter County"	"40270"	3	223	428	672			
"AR"	2000	"Baxter County"	"40299"	3	262	388	678			
"AR"	2000	"Baxter County"	"40300"	3	56	75	140			
"AR"	2000	"Baxter County"	"40330"	3	187	266	478			
"AR"	2000	"Baxter County"	"40331"	3	91	93	197			
"AR"	2000	"Baxter County"	"40332"	3	32	60	96			
"AR"	2000	"Baxter County"	"40360"	3	331	528	893			
"AR"	2000	"Baxter County"	"40361"	3	37	57	95			
"AR"	2000	"Baxter County"	"40362"	3	39	42	83			
"AR"	2000	"Baxter County"	"40391"	3	377	682	1097			
"AR"	2000	"Baxter County"	"40422"	3	59	51	112			
"AR"	2000	"Baxter County"	"40423"	3	143	261	410			
"AR"	2000	"Baxter County"	"40424"	3	126	187	330			
"AR"	2000	"Baxter County"	"40425"	3	74	105	197			
"AR"	2000	"Baxter County"	"40426"	3	93	81	181			
"AR"	2000	"Baxter County"	"40427"	3	26	29	58			
"AR"	2000	"Baxter County"	"40452"	3	133	148	302			
"AR"	2000	"Baxter County"	"40453"	3	182	258	448			
"AR"	2000	"Baxter County"	"40454"	3	103	164	276			
"AR"	2000	"Baxter County"	"40483"	3	38	56	94			
"AR"	2000	"Baxter County"	"40484"	3	130	233	387			
"AR"	2000	"Baxter County"	"40485"	3	63	134	206			
"AR"	2000	"Baxter County"	"40486"	3	60	78	147			
"AR"	2000	"Baxter County"	"40487"	3	26	15	44			
"AR"	2000	"Baxter County"	"40488"	3	12	25	37			
"AR"	2000	"Baxter County"	"40489"	3	19	15	38			
"AR"	2000	"Baxter County"	"Overseas Absentees"	3	0	0	0			
"AR"	2000	"Benton County"	"10 BENTONVILLE 4B"	3	203	569	797			
"AR"	2000	"Benton County"	"11 BETHEL HEIGHTS & SPRINGDALE"	3	283	611	904			
"AR"	2000	"Benton County"	"12 BRIGHTWATER & BRIGHTWATER CITY"	3	304	659	1006			
"AR"	2000	"Benton County"	"13 CHEROKEE"	3	39	61	102			
"AR"	2000	"Benton County"	"14 COLVILLE, COLVILLE CITY, & COLVILLE CITY B"	3	227	759	1011			
"AR"	2000	"Benton County"	"15 DECATUR & DECATUR CITY"	3	189	416	622			
"AR"	2000	"Benton County"	"16 DICKSON A & DICKSON C"	3	204	387	604			
"AR"	2000	"Benton County"	"17 DICKSON B-1 (A-K)"	3	551	1051	1643			
"AR"	2000	"Benton County"	"18 DICKSON B-2 (L-Z)"	3	577	1039	1655			
"AR"	2000	"Benton County"	"19 ESCULAPIA A"	3	474	836	1348			
"AR"	2000	"Benton County"	"21 ESCULAPIA C"	3	213	395	636			
"AR"	2000	"Benton County"	"22 FELKER"	3	21	60	83			
"AR"	2000	"Benton County"	"23 FLINT & FLINT CITY"	3	48	138	194			
"AR"	2000	"Benton County"	"24 GARFIELD & GARFIELD CITY & GARFIELD CITY RR"	3	311	636	985			
"AR"	2000	"Benton County"	"25 GARLAND & GARLAND CITY & GARLAND CITY B"	3	324	767	1127			
"AR"	2000	"Benton County"	"26 GENTRY & GENTRY CITY"	3	299	753	1100			
"AR"	2000	"Benton County"	"27 HICO B"	3	123	395	527			
"AR"	2000	"Benton County"	"28 HOOVER & HOOVER CITY & HOOVER CITY A & B & C"	3	80	155	246			
"AR"	2000	"Benton County"	"29 LITTLE FLOCK O & LITTLE FLOCK E & OSAGE C"	3	192	498	709			
"AR"	2000	"Benton County"	"30 LOGAN"	3	41	82	127			
"AR"	2000	"Benton County"	"31 MASON VALLEY"	3	55	131	195			
"AR"	2000	"Benton County"	"32 MT. VERNON & MT. VERNON CITY & SUGAR CREEK"	3	530	1011	1593			
"AR"	2000	"Benton County"	"33 BELLA VISTA 1"	3	379	566	979			
