state	year	county	precinct	cd	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"AR"	2004	"Arkansas County"	"Alcorn Fire Department"	1	26	61	87	42	46	88	53	36	89
"AR"	2004	"Arkansas County"	"Allen Temple Baptist Church"	1	352	92	449	386	88	474	439	53	492
"AR"	2004	"Arkansas County"	"Almyra Community Center"	1	52	124	179	100	78	178	137	51	188
"AR"	2004	"Arkansas County"	"Dewitt City Fire Dept."	1	87	111	200	125	72	197	167	38	205
"AR"	2004	"Arkansas County"	"Dewitt Courthouse (absentee)"	1	60	61	122	79	30	109	78	29	107
"AR"	2004	"Arkansas County"	"Dewitt Courthouse (early)"	1	315	413	730	476	233	709	569	180	749
"AR"	2004	"Arkansas County"	"First Assembly Of God"	1	75	184	262	154	117	271	218	53	271
"AR"	2004	"Arkansas County"	"First Baptist Church"	1	324	443	772	508	268	776	599	189	788
"AR"	2004	"Arkansas County"	"First National Bank Community Room"	1	93	206	301	164	132	296	240	65	305
"AR"	2004	"Arkansas County"	"Gillett City Hall"	1	154	161	317	214	100	314	283	42	325
"AR"	2004	"Arkansas County"	"Grand Avenue Methodist Church"	1	272	406	685	421	272	693	483	215	698
"AR"	2004	"Arkansas County"	"Humphrey City Hall"	1	99	90	190	117	69	186	140	45	185
"AR"	2004	"Arkansas County"	"Lodges Corner Methodist Church"	1	40	105	145	82	60	142	103	43	146
"AR"	2004	"Arkansas County"	"Shiloh Methodist Church"	1	71	127	199	108	92	200	141	58	199
"AR"	2004	"Arkansas County"	"St. Charles City Hall"	1	106	128	236	146	91	237	192	51	243
"AR"	2004	"Arkansas County"	"St. Lukes Lutheran Church"	1	144	42	188	168	29	197	192	14	206
"AR"	2004	"Arkansas County"	"Stuttgart Courthouse (absentee)"	1	58	67	125	78	42	120	86	37	123
"AR"	2004	"Arkansas County"	"Stuttgart Courthouse (early)"	1	706	810	1523	1016	504	1520	1117	445	1562
"AR"	2004	"Arkansas County"	"Stuttgart Farm Supply"	1	48	110	158	72	83	155	89	68	157
"AR"	2004	"Arkansas County"	"Tichnor Fire Department"	1	28	48	78	44	36	80	72	14	86
"AR"	2004	"Arkansas County"	"(blank)"	1	0	0	0	0	0	0	0	0	0
"AR"	2004	"Ashley County"	"Absentee"	4	152	158	314	184	129	314			
"AR"	2004	"Ashley County"	"Cooter"	4	78	101	183	97	91	188			
"AR"	2004	"Ashley County"	"Crossett Ward 1"	4	404	87	494	421	84	505			
"AR"	2004	"Ashley County"	"Crossett Ward 2"	4	328	291	621	402	228	630			
"AR"	2004	"Ashley County"	"Crossett Ward 3"	4	347	641	993	483	509	993			
"AR"	2004	"Ashley County"	"Crossroads"	4	95	212	310	135	178	314			
"AR"	2004	"Ashley County"	"Early"	4	425	625	1057	602	457	1062			
