state	year	county	precinct	cd	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv
"AR"	2008	"Arkansas County"	"Almyra"	1	18	68	91	70		87			
"AR"	2008	"Arkansas County"	"Arkansas"	1	10	16	27	23		25			
"AR"	2008	"Arkansas County"	"Barton"	1	7	66	74	57		68			
"AR"	2008	"Arkansas County"	"Bayou Meto"	1	10	61	71	54		66			
"AR"	2008	"Arkansas County"	"Brewer"	1	3	7	10	11		11			
"AR"	2008	"Arkansas County"	"Chester"	1	14	62	80	63		74			
"AR"	2008	"Arkansas County"	"City Of Gillett"	1	61	142	210	174		203			
"AR"	2008	"Arkansas County"	"Crockett"	1	9	24	35	26		33			
"AR"	2008	"Arkansas County"	"Dewitt Ward 1"	1	120	43	168	144		155			
"AR"	2008	"Arkansas County"	"Dewitt Ward 2"	1	51	102	162	144		161			
"AR"	2008	"Arkansas County"	"Dewitt Ward 3"	1	42	160	205	161		201			
"AR"	2008	"Arkansas County"	"Early Voting"	1	1281	1715	3066	2559		2901			
"AR"	2008	"Arkansas County"	"Garland"	1	11	48	61	54		60			
"AR"	2008	"Arkansas County"	"Gumpond"	1	13	65	80	59		70			
"AR"	2008	"Arkansas County"	"Henton"	1	22	62	84	69		76			
"AR"	2008	"Arkansas County"	"Humphrey Ward 1"	1	60	18	78	68		71			
"AR"	2008	"Arkansas County"	"Humphrey Ward 3"	1	11	16	27	23		23			
"AR"	2008	"Arkansas County"	"Keaton"	1	72	119	196	167		192			
"AR"	2008	"Arkansas County"	"Lagrue"	1	30	148	184	155		179			
"AR"	2008	"Arkansas County"	"Mcfall"	1	1	10	12	8		10			
"AR"	2008	"Arkansas County"	"Mill Bayou"	1	25	50	79	66		75			
"AR"	2008	"Arkansas County"	"Morris"	1	2	39	42	37		42			
"AR"	2008	"Arkansas County"	"Northern District - Absentee"	1	44	72	116	92		109			
"AR"	2008	"Arkansas County"	"Prairie"	1	25	47	74	58		69			
"AR"	2008	"Arkansas County"	"Pt. Deluce"	1	9	42	52	46		49			
"AR"	2008	"Arkansas County"	"Southern District- Absentee"	1	37	62	102	84		94			
"AR"	2008	"Arkansas County"	"St. Charles"	1	24	66	94	86		91			
"AR"	2008	"Arkansas County"	"Stanley"	1	1	8	9	6		8			
"AR"	2008	"Arkansas County"	"Stuttgart Ward 1"	1	292	61	364	312		338			
"AR"	2008	"Arkansas County"	"Stuttgart Ward 2"	1	130	351	493	418		468			
"AR"	2008	"Arkansas County"	"Stuttgart Ward 3"	1	184	435	632	520		600			
"AR"	2008	"Ashley County"	"Absentee"	4	109	164	277	234		264	236		263
"AR"	2008	"Ashley County"	"Beech Creek"	4	1	11	14	13		13	14		14
"AR"	2008	"Ashley County"	"Boydell"	4	4	6	10	10		10	8		8
"AR"	2008	"Ashley County"	"Cooter"	4	25	130	163	132		151	135		153
"AR"	2008	"Ashley County"	"Crossett Ward 1"	4	265	77	358	294		317	321		333
"AR"	2008	"Ashley County"	"Crossett Ward 2"	4	271	249	528	415		484	425		481
"AR"	2008	"Ashley County"	"Crossett Ward 3"	4	136	608	757	574		700	611		701
"AR"	2008	"Ashley County"	"Crossroads"	4	45	244	297	225		271	239		270
"AR"	2008	"Ashley County"	"Early"	4	717	1138	1901	1534		1801	1605		1798
"AR"	2008	"Ashley County"	"Fountain Hill Rural"	4	40	103	156	109		135	128		144
"AR"	2008	"Ashley County"	"Ftn. Hill City"	4	31	19	54	40		46	42		44
"AR"	2008	"Ashley County"	"Hamburg Rural"	4	42	196	246	194		238	211		240
"AR"	2008	"Ashley County"	"Hamburg Ward 1"	4	148	44	201	167		180	169		178
"AR"	2008	"Ashley County"	"Hamburg Ward 2"	4	90	174	280	233		258	238		257
"AR"	2008	"Ashley County"	"Hamburg Ward 3"	4	49	175	230	188		219	202		221
"AR"	2008	"Ashley County"	"Hickory Grove"	4	61	294	363	260		325	285		329
"AR"	2008	"Ashley County"	"Milo"	4	48	224	287	201		258	222		264
"AR"	2008	"Ashley County"	"Mist"	4	9	79	95	72		91	77		92
"AR"	2008	"Ashley County"	"Montrose City"	4	106	21	129	99		120	113		121
"AR"	2008	"Ashley County"	"Montrose Rural"	4	0	0	0	0		0	0		0
"AR"	2008	"Ashley County"	"Mt. Zion"	4	14	150	167	133		157	146		161
"AR"	2008	"Ashley County"	"N. Crossett East"	4	74	291	378	285		339	317		347
"AR"	2008	"Ashley County"	"N. Crossett West"	4	52	208	265	197		249	211		251
"AR"	2008	"Ashley County"	"Parkdale City"	4	75	19	103	82		93	80		89
"AR"	2008	"Ashley County"	"Parkdale Rural"	4	6	10	16	16		16	16		16
"AR"	2008	"Ashley County"	"Portland City"	4	81	80	163	142		159	153		159
"AR"	2008	"Ashley County"	"Portland Rural"	4	19	22	44	40		44	43		45
"AR"	2008	"Ashley County"	"Snyder/trafalgar"	4	6	41	48	34		41	4		41
"AR"	2008	"Ashley County"	"Vo-tech"	4	93	243	346	276		321	293		324
"AR"	2008	"Ashley County"	"W. Crossett Rural"	4	172	300	483	350		421	378		425
"AR"	2008	"Ashley County"	"Wilmot City"	4	175	62	247	180		205	192		208
"AR"	2008	"Ashley County"	"Wilmot Rural"	4	12	24	36	30		33	30		31
"AR"	2008	"Baxter County"	"1st Baptist Church 14"	1	182	418	612	372		565			
"AR"	2008	"Baxter County"	"3 Brothers Cmt Ctr 05"	1	74	161	242	137		219			
"AR"	2008	"Baxter County"	"Av Absentee 100-1 (1-1 To 2-4)"	1	59	115	177	106		157			
"AR"	2008	"Baxter County"	"Av Absentee 100-2 (3-1 To 6-2)"	1	169	283	465	296		396			
"AR"	2008	"Baxter County"	"Av Absentee 100-3 (7-1 To 8-4)"	1	82	111	202	135		181			
"AR"	2008	"Baxter County"	"Av Absentee 100-4(9-1 To 10-4)"	1	61	84	148	96		137			
"AR"	2008	"Baxter County"	"Av Absentee 100-5 11-1 To 11-9"	1	46	50	98	63		85			
