state	year	county	precinct	g2006_GOV_dv	g2006_GOV_rv	g2006_USH_dv	g2006_USH_rv
"CO"	2006	"ADAMS"	"2233301070"	147	123	152	111
"CO"	2006	"ADAMS"	"2233301071"	184	179	198	155
"CO"	2006	"ADAMS"	"2233301072"	142	105	139	103
"CO"	2006	"ADAMS"	"2233301073"	93	100	100	94
"CO"	2006	"ADAMS"	"2233301074"	200	110	187	112
"CO"	2006	"ADAMS"	"2233301075"	94	61	99	57
"CO"	2006	"ADAMS"	"2233301076"	134	85	143	75
"CO"	2006	"ADAMS"	"2233301077"	265	145	269	133
"CO"	2006	"ADAMS"	"2233301078"	34	35	34	34
"CO"	2006	"ADAMS"	"2233301079"	124	135	134	121
"CO"	2006	"ADAMS"	"2233401034"	295	258	300	236
"CO"	2006	"ADAMS"	"2233401035"	254	150	266	135
"CO"	2006	"ADAMS"	"2233401036"	193	105	189	110
"CO"	2006	"ADAMS"	"2233401037"	211	145	208	143
"CO"	2006	"ADAMS"	"2233401038"	284	179	279	172
"CO"	2006	"ADAMS"	"2233401039"	166	116	165	110
"CO"	2006	"ADAMS"	"2233401050"	212	151	219	142
"CO"	2006	"ADAMS"	"2233401051"	144	64	145	59
"CO"	2006	"ADAMS"	"2233501029"	166	74	172	66
"CO"	2006	"ADAMS"	"2233501030"	218	126	227	116
"CO"	2006	"ADAMS"	"2233501031"	210	112	228	94
"CO"	2006	"ADAMS"	"2233501032"	203	133	202	128
"CO"	2006	"ADAMS"	"2233501033"	156	116	159	111
"CO"	2006	"ADAMS"	"2243101119"	188	111	196	103
"CO"	2006	"ADAMS"	"2243101120"	230	126	247	97
"CO"	2006	"ADAMS"	"2243101121"	72	29	70	23
"CO"	2006	"ADAMS"	"2243101122"	156	107	165	94
"CO"	2006	"ADAMS"	"2243101123"	169	92	167	80
"CO"	2006	"ADAMS"	"2243101124"	155	81	158	73
"CO"	2006	"ADAMS"	"2243101131"	230	121	242	99
"CO"	2006	"ADAMS"	"2243101132"	212	133	208	120
"CO"	2006	"ADAMS"	"2243101133"	186	99	193	90
"CO"	2006	"ADAMS"	"2243101134"	210	139	237	103
"CO"	2006	"ADAMS"	"2243101135"	175	91	169	83
"CO"	2006	"ADAMS"	"2243101136"	129	66	135	56
"CO"	2006	"ADAMS"	"2243101137"	134	75	142	66
"CO"	2006	"ADAMS"	"2243101138"	223	131	231	114
"CO"	2006	"ADAMS"	"2243101139"	130	100	135	85
"CO"	2006	"ADAMS"	"2243101140"	256	146	261	134
"CO"	2006	"ADAMS"	"2243101145"	157	97	157	92
"CO"	2006	"ADAMS"	"2243101146"	156	111	163	98
"CO"	2006	"ADAMS"	"2243101147"	183	111	177	112
"CO"	2006	"ADAMS"	"2243101148"	161	161	174	149
"CO"	2006	"ADAMS"	"2243101149"	179	118	182	110
"CO"	2006	"ADAMS"	"2243101150"	169	98	165	100
"CO"	2006	"ADAMS"	"2243101151"	178	136	187	129
"CO"	2006	"ADAMS"	"2243101152"	221	192	228	178
"CO"	2006	"ADAMS"	"2243101153"	161	116	159	112
"CO"	2006	"ADAMS"	"2243101154"	219	206	226	189
"CO"	2006	"ADAMS"	"2243101155"	232	190	225	185
"CO"	2006	"ADAMS"	"2243101156"	184	127	186	121
"CO"	2006	"ADAMS"	"2243101157"	162	132	165	124
"CO"	2006	"ADAMS"	"2243101158"	151	117	143	119
"CO"	2006	"ADAMS"	"2243101159"	137	134	148	119
"CO"	2006	"ADAMS"	"2243101160"	154	86	154	82
"CO"	2006	"ADAMS"	"2243101161"	128	168	137	150
"CO"	2006	"ADAMS"	"2243101162"	72	81	73	74
"CO"	2006	"ADAMS"	"2243101163"	99	102	99	95
"CO"	2006	"ADAMS"	"2243201080"	93	43	92	34
"CO"	2006	"ADAMS"	"2243201081"	162	59	175	47
"CO"	2006	"ADAMS"	"2243201082"	263	118	271	92
"CO"	2006	"ADAMS"	"2243201083"	99	61	107	49
"CO"	2006	"ADAMS"	"2243201084"	249	120	239	122
"CO"	2006	"ADAMS"	"2243201085"	181	71	196	52
"CO"	2006	"ADAMS"	"2243201086"	230	71	236	63
"CO"	2006	"ADAMS"	"2243201087"	153	104	171	84
"CO"	2006	"ADAMS"	"2243201088"	173	77	179	65
"CO"	2006	"ADAMS"	"2243201089"	123	86	134	72
"CO"	2006	"ADAMS"	"2243201090"	158	77	161	69
"CO"	2006	"ADAMS"	"2243201091"	220	108	231	91
"CO"	2006	"ADAMS"	"2243201092"	169	85	164	85
"CO"	2006	"ADAMS"	"2243201093"	151	94	151	88
"CO"	2006	"ADAMS"	"2243401040"	225	134	230	122
"CO"	2006	"ADAMS"	"2243401041"	150	100	171	84
"CO"	2006	"ADAMS"	"2243401042"	191	113	197	103
"CO"	2006	"ADAMS"	"2243401043"	134	72	140	62
"CO"	2006	"ADAMS"	"2243401044"	148	97	171	81
"CO"	2006	"ADAMS"	"2243401045"	82	69	82	63
"CO"	2006	"ADAMS"	"2243401046"	188	90	190	82
"CO"	2006	"ADAMS"	"2243401047"	169	127	185	106
"CO"	2006	"ADAMS"	"2243401048"	222	123	236	101
"CO"	2006	"ADAMS"	"2243401049"	157	81	156	76
"CO"	2006	"ADAMS"	"2243401052"	148	80	147	73
"CO"	2006	"ADAMS"	"2243401053"	68	47	72	42
"CO"	2006	"ADAMS"	"2243401054"	168	103	164	91
"CO"	2006	"ADAMS"	"2243401055"	97	41	100	35
"CO"	2006	"ADAMS"	"2243401056"	148	61	152	46
"CO"	2006	"ADAMS"	"2243401057"	157	72	162	63
"CO"	2006	"ADAMS"	"2243401058"	82	27	84	21
"CO"	2006	"ADAMS"	"2243401059"	135	58	141	48
"CO"	2006	"ADAMS"	"2243401060"	137	68	147	57
"CO"	2006	"ADAMS"	"2243401061"	123	41	126	28
"CO"	2006	"ADAMS"	"2243401062"	139	72	147	59
"CO"	2006	"ADAMS"	"2243401063"	234	113	251	84
"CO"	2006	"ADAMS"	"2243401064"	195	97	203	81
"CO"	2006	"ADAMS"	"2243401065"	130	55	136	41
"CO"	2006	"ADAMS"	"2253101125"	134	73	125	73
"CO"	2006	"ADAMS"	"2253101127"	256	169	251	161
"CO"	2006	"ADAMS"	"2253101128"	239	182	256	158
"CO"	2006	"ADAMS"	"2253101129"	158	123	170	105
"CO"	2006	"ADAMS"	"2253101130"	191	146	195	138
"CO"	2006	"ADAMS"	"2253101141"	118	94	130	80
"CO"	2006	"ADAMS"	"2253101142"	146	109	146	104
"CO"	2006	"ADAMS"	"2253101143"	185	142	195	125
"CO"	2006	"ADAMS"	"2253101144"	390	303	384	283
"CO"	2006	"ADAMS"	"2253101164"	87	72	84	72
"CO"	2006	"ADAMS"	"2253201094"	152	74	155	62
"CO"	2006	"ADAMS"	"2253201095"	111	68	110	63
"CO"	2006	"ADAMS"	"2253201096"	166	106	169	99
"CO"	2006	"ADAMS"	"2253201097"	143	109	148	94
"CO"	2006	"ADAMS"	"2313401066"	144	77	148	66
"CO"	2006	"ADAMS"	"2313401067"	126	40	129	33
"CO"	2006	"ADAMS"	"2313401068"	179	75	182	69
"CO"	2006	"ADAMS"	"2313501011"	179	107	184	102
"CO"	2006	"ADAMS"	"2313501012"	216	81	228	60
"CO"	2006	"ADAMS"	"2313501013"	94	31	87	32
"CO"	2006	"ADAMS"	"2313501014"	150	63	154	53
"CO"	2006	"ADAMS"	"2313501015"	167	44	175	36
"CO"	2006	"ADAMS"	"2313501016"	236	109	241	84
"CO"	2006	"ADAMS"	"2313501017"	136	82	137	81
"CO"	2006	"ADAMS"	"2313501018"	206	86	210	69
"CO"	2006	"ADAMS"	"2313501019"	185	113	204	83
"CO"	2006	"ADAMS"	"2313501020"	161	91	167	81
"CO"	2006	"ADAMS"	"2313501021"	175	63	173	55
"CO"	2006	"ADAMS"	"2313501023"	161	86	169	74
"CO"	2006	"ADAMS"	"2313501024"	243	103	260	83
"CO"	2006	"ADAMS"	"2313501025"	169	55	174	37
"CO"	2006	"ADAMS"	"2313501026"	90	48	88	44
"CO"	2006	"ADAMS"	"2313501027"	201	132	222	108
"CO"	2006	"ADAMS"	"2313501028"	105	48	104	47
"CO"	2006	"ADAMS"	"320"	22802	13365	22714	13303
"CO"	2006	"ADAMS"	"390"	718	417	687	396
"CO"	2006	"ADAMS"	"7243201112"	1	0	1	0
"CO"	2006	"ADAMS"	"7243401069"	133	73	137	70
"CO"	2006	"ADAMS"	"7253001169"	73	68	62	78
"CO"	2006	"ADAMS"	"7253001170"	133	136	108	157
"CO"	2006	"ADAMS"	"7253001171"	139	89	131	100
"CO"	2006	"ADAMS"	"7253001172"	207	82	193	97
"CO"	2006	"ADAMS"	"7253001173"	192	139	184	143
"CO"	2006	"ADAMS"	"7253001174"	245	151	222	168
"CO"	2006	"ADAMS"	"7253001175"	111	77	102	87
"CO"	2006	"ADAMS"	"7253001176"	120	94	108	105
"CO"	2006	"ADAMS"	"7253001177"	141	117	128	130
"CO"	2006	"ADAMS"	"7253001178"	85	62	64	82
"CO"	2006	"ADAMS"	"7253001179"	115	102	99	114
"CO"	2006	"ADAMS"	"7253001180"	163	121	142	136
"CO"	2006	"ADAMS"	"7253001181"	113	128	107	133
"CO"	2006	"ADAMS"	"7253001182"	115	134	103	143
"CO"	2006	"ADAMS"	"7253001183"	197	195	164	219
"CO"	2006	"ADAMS"	"7253001184"	46	22	42	26
"CO"	2006	"ADAMS"	"7253001185"	33	21	29	26
"CO"	2006	"ADAMS"	"7253001186"	220	221	188	247
"CO"	2006	"ADAMS"	"7253001187"	40	43	37	46
"CO"	2006	"ADAMS"	"7253001188"	198	215	188	215
"CO"	2006	"ADAMS"	"7253001189"	75	101	67	107
"CO"	2006	"ADAMS"	"7253001190"	192	65	170	84
"CO"	2006	"ADAMS"	"7253001191"	210	100	198	110
"CO"	2006	"ADAMS"	"7253001192"	161	58	149	66
"CO"	2006	"ADAMS"	"7253001193"	21	7	17	12
"CO"	2006	"ADAMS"	"7253001194"	226	83	215	98
"CO"	2006	"ADAMS"	"7253001195"	179	91	171	98
"CO"	2006	"ADAMS"	"7253001196"	77	32	73	38
"CO"	2006	"ADAMS"	"7253001197"	119	74	95	93
"CO"	2006	"ADAMS"	"7253001198"	111	70	110	69
"CO"	2006	"ADAMS"	"7253001199"	173	114	168	117
"CO"	2006	"ADAMS"	"7253001200"	144	89	136	93
"CO"	2006	"ADAMS"	"7253001201"	99	67	97	71
"CO"	2006	"ADAMS"	"7253001202"	58	101	51	107
"CO"	2006	"ADAMS"	"7253001203"	16	22	16	22
"CO"	2006	"ADAMS"	"7253001204"	7	27	6	29
"CO"	2006	"ADAMS"	"7253001205"	3	4	3	4
"CO"	2006	"ADAMS"	"7253001206"	18	22	20	20
"CO"	2006	"ADAMS"	"7253001207"	15	23	13	22
"CO"	2006	"ADAMS"	"7253001208"	84	2	72	159
"CO"	2006	"ADAMS"	"7253001208"	84	150	72	159
"CO"	2006	"ADAMS"	"7253001209"	86	141	71	157
"CO"	2006	"ADAMS"	"7253101126"	34	52	33	52
"CO"	2006	"ADAMS"	"7253101165"	21	22	21	20
"CO"	2006	"ADAMS"	"7253101166"	154	197	142	207
"CO"	2006	"ADAMS"	"7253101167"	128	131	111	145
"CO"	2006	"ADAMS"	"7253101168"	98	112	86	126
"CO"	2006	"ADAMS"	"7253201098"	220	179	210	187
"CO"	2006	"ADAMS"	"7253201099"	241	178	233	189
"CO"	2006	"ADAMS"	"7253201100"	120	72	99	88
"CO"	2006	"ADAMS"	"7253201101"	101	98	97	99
"CO"	2006	"ADAMS"	"7253201102"	207	187	175	219
"CO"	2006	"ADAMS"	"7253201103"	104	127	98	133
"CO"	2006	"ADAMS"	"7253201104"	305	261	274	284
"CO"	2006	"ADAMS"	"7253201105"	198	163	188	172
"CO"	2006	"ADAMS"	"7253201106"	47	40	40	48
"CO"	2006	"ADAMS"	"7253201107"	61	38	60	36
"CO"	2006	"ADAMS"	"7253201108"	41	35	35	41
"CO"	2006	"ADAMS"	"7253201109"	151	81	133	98
"CO"	2006	"ADAMS"	"7253201110"	200	105	202	96
"CO"	2006	"ADAMS"	"7253201111"	123	60	117	62
"CO"	2006	"ADAMS"	"7253201113"	201	87	188	101
"CO"	2006	"ADAMS"	"7253201114"	189	60	172	69
"CO"	2006	"ADAMS"	"7253201115"	176	84	163	100
"CO"	2006	"ADAMS"	"7253201116"	201	84	180	105
"CO"	2006	"ADAMS"	"7253201117"	184	87	171	94
"CO"	2006	"ADAMS"	"7253201118"	207	81	199	89
"CO"	2006	"ADAMS"	"7256301210"	133	162	107	189
"CO"	2006	"ADAMS"	"7256301211"	105	142	85	160
"CO"	2006	"ADAMS"	"7256301212"	15	14	14	14
"CO"	2006	"ADAMS"	"7256301213"	14	19	8	24
"CO"	2006	"ADAMS"	"7256301214"	0	4	0	4
"CO"	2006	"ADAMS"	"7256301215"	3	4	4	3
"CO"	2006	"ADAMS"	"7256301216"	7	13	8	12
"CO"	2006	"ADAMS"	"7256301217"	4	10	3	11
"CO"	2006	"ADAMS"	"7313501001"	225	116	208	130
"CO"	2006	"ADAMS"	"7313501002"	226	70	217	82
"CO"	2006	"ADAMS"	"7313501003"	91	44	90	43
"CO"	2006	"ADAMS"	"7313501004"	25	21	24	22
"CO"	2006	"ADAMS"	"7313501005"	125	65	110	75
"CO"	2006	"ADAMS"	"7313501006"	247	66	231	78
"CO"	2006	"ADAMS"	"7313501007"	200	107	187	122
"CO"	2006	"ADAMS"	"7313501008"	221	1	207	156
"CO"	2006	"ADAMS"	"7313501008"	221	139	207	156
"CO"	2006	"ADAMS"	"7313501009"	164	94	140	107
"CO"	2006	"ADAMS"	"7313501010"	62	28	60	28
"CO"	2006	"ADAMS"	"990"	0	0	0	0
"CO"	2006	"ALAMOSA"	"3056202001"	169	31	184	15
"CO"	2006	"ALAMOSA"	"3056202002"	149	62	171	41
"CO"	2006	"ALAMOSA"	"3056202003"	180	95	210	72
"CO"	2006	"ALAMOSA"	"3056202004"	242	120	282	87
"CO"	2006	"ALAMOSA"	"3056202005"	91	108	122	79
"CO"	2006	"ALAMOSA"	"3056202006"	174	39	192	26
"CO"	2006	"ALAMOSA"	"3056202007"	238	89	272	58
"CO"	2006	"ALAMOSA"	"3056202008"	116	115	163	69
"CO"	2006	"ALAMOSA"	"960"	160	90	191	61
"CO"	2006	"ALAMOSA"	"970"	1579	840	1926	557
"CO"	2006	"ALAMOSA"	"980"	0	0	0	0
"CO"	2006	"ALAMOSA"	"990"	0	0	0	0
"CO"	2006	"ARAPAHOE"	"1260103101"	309	137	303	0
"CO"	2006	"ARAPAHOE"	"1260103102"	224	122	238	0
"CO"	2006	"ARAPAHOE"	"1260103103"	173	97	174	0
"CO"	2006	"ARAPAHOE"	"1260303104"	135	78	135	0
"CO"	2006	"ARAPAHOE"	"1260303105"	318	137	315	0
"CO"	2006	"ARAPAHOE"	"1260303106"	130	49	129	0
"CO"	2006	"ARAPAHOE"	"1260303107"	272	102	269	0
"CO"	2006	"ARAPAHOE"	"1260303108"	276	126	264	0
"CO"	2006	"ARAPAHOE"	"1260303109"	330	115	294	0
"CO"	2006	"ARAPAHOE"	"1260303110"	208	101	199	0
"CO"	2006	"ARAPAHOE"	"1260303111"	388	195	379	0
"CO"	2006	"ARAPAHOE"	"1260303112"	288	134	280	0
"CO"	2006	"ARAPAHOE"	"1260303113"	172	134	160	0
"CO"	2006	"ARAPAHOE"	"1260303114"	186	83	184	0
"CO"	2006	"ARAPAHOE"	"1260303115"	303	145	291	0
"CO"	2006	"ARAPAHOE"	"1260303116"	370	195	363	0
"CO"	2006	"ARAPAHOE"	"1260303117"	136	47	125	0
"CO"	2006	"ARAPAHOE"	"1260303118"	280	94	257	0
"CO"	2006	"ARAPAHOE"	"1260303119"	241	141	246	0
"CO"	2006	"ARAPAHOE"	"1260303201"	295	321	260	0
"CO"	2006	"ARAPAHOE"	"1260303202"	220	136	226	0
"CO"	2006	"ARAPAHOE"	"1260303203"	343	212	337	0
"CO"	2006	"ARAPAHOE"	"1260303204"	329	290	333	0
"CO"	2006	"ARAPAHOE"	"1260303205"	328	318	297	0
"CO"	2006	"ARAPAHOE"	"1260303285"	144	111	140	0
"CO"	2006	"ARAPAHOE"	"1263803120"	190	97	194	0
"CO"	2006	"ARAPAHOE"	"1263803121"	210	113	205	0
"CO"	2006	"ARAPAHOE"	"1263803122"	305	160	307	0
"CO"	2006	"ARAPAHOE"	"1263803123"	330	215	335	0
"CO"	2006	"ARAPAHOE"	"1263803124"	229	118	231	0
"CO"	2006	"ARAPAHOE"	"1263803125"	187	94	181	0
"CO"	2006	"ARAPAHOE"	"1263803126"	335	168	338	0
"CO"	2006	"ARAPAHOE"	"1263803127"	221	134	217	0
"CO"	2006	"ARAPAHOE"	"1263803128"	137	55	139	0
"CO"	2006	"ARAPAHOE"	"1284103401"	363	93	364	0
"CO"	2006	"ARAPAHOE"	"1284103402"	0	0	0	0
"CO"	2006	"ARAPAHOE"	"1284103403"	95	28	94	0
"CO"	2006	"ARAPAHOE"	"1284103404"	131	57	129	0
"CO"	2006	"ARAPAHOE"	"1284103405"	46	17	42	0
"CO"	2006	"ARAPAHOE"	"1284103406"	345	164	344	0
"CO"	2006	"ARAPAHOE"	"1284103407"	181	59	182	0
"CO"	2006	"ARAPAHOE"	"1350603129"	171	57	169	0
"CO"	2006	"ARAPAHOE"	"1350603130"	245	77	242	0
"CO"	2006	"ARAPAHOE"	"1350903206"	320	121	321	0
"CO"	2006	"ARAPAHOE"	"1350903207"	183	94	179	0
"CO"	2006	"ARAPAHOE"	"1350903208"	391	175	393	0
"CO"	2006	"ARAPAHOE"	"1350903209"	0	0	0	0
"CO"	2006	"ARAPAHOE"	"1350903408"	0	0	0	0
"CO"	2006	"ARAPAHOE"	"1999903999"	7	0	7	0
"CO"	2006	"ARAPAHOE"	"6263703131"	250	203	192	267
"CO"	2006	"ARAPAHOE"	"6263703132"	217	184	161	243
"CO"	2006	"ARAPAHOE"	"6263703133"	248	167	186	229
"CO"	2006	"ARAPAHOE"	"6263703134"	237	223	192	272
"CO"	2006	"ARAPAHOE"	"6263703135"	293	228	218	305
"CO"	2006	"ARAPAHOE"	"6263703136"	279	278	208	354
"CO"	2006	"ARAPAHOE"	"6263703137"	372	274	292	352
"CO"	2006	"ARAPAHOE"	"6263703138"	331	216	262	289
"CO"	2006	"ARAPAHOE"	"6263703139"	233	175	173	231
