state	year	town	cd	cd2	g2000_USP_rv	g2000_USP_dv	g2000_USS_rv	g2000_USS_dv	g2000_USH_rv	g2000_USH_dv	g2000_USH_rv2	g2000_USH_dv2
"CT"	2000	"Andover"	1		609	871	553	848	513	924		
"CT"	2000	"Ansonia"	5		2431	4410	1881	4519	2201	4243		
"CT"	2000	"Ashford"	2		737	1093	629	1118	810	1022		
"CT"	2000	"Avon"	6		4741	4326	3844	4774	6135	2289		
"CT"	2000	"Barkhamsted"	6		832	894	724	919	1066	503		
"CT"	2000	"Beacon Falls"	5		1158	1198	800	1396	966	1251		
"CT"	2000	"Berlin"	1		3938	5513	3231	5440	2907	5573		
"CT"	2000	"Bethany"	5		1285	1470	1003	1648	1290	1374		
"CT"	2000	"Bethel"	5		4057	4324	3203	4410	3898	4137		
"CT"	2000	"Bethlehem"	6		1064	817	740	1005	1137	542		
"CT"	2000	"Bloomfield"	1		1849	7907	1734	7081	1580	7141		
"CT"	2000	"Bolton"	1	2	1250	1368	1044	1379	990	1333	72	62
"CT"	2000	"Bozrah"	2		561	687	421	747	636	626		
"CT"	2000	"Branford"	3		5133	8302	4047	8903	4053	9223		
"CT"	2000	"Bridgeport"	4		7406	24303	5622	23006	9775	19043		
"CT"	2000	"Bridgewater"	6		545	508	433	545	684	282		
"CT"	2000	"Bristol"	6		7948	14665	6738	14081	11404	9167		
"CT"	2000	"Brookfield"	5		4153	3536	3360	3835	3886	3472		
"CT"	2000	"Brooklyn"	2		1153	1589	885	1598	1338	1311		
"CT"	2000	"Burlington"	6		1965	2137	1596	2321	3115	1180		
"CT"	2000	"Canaan"	6		211	288	182	312	317	154		
"CT"	2000	"Canterbury"	2		1001	1085	844	1124	1192	903		
"CT"	2000	"Canton"	6		2073	2440	1763	2483	2955	1156		
"CT"	2000	"Chaplin"	2		403	516	337	540	468	448		
"CT"	2000	"Cheshire"	5		6507	6977	4687	8181	6020	6802		
"CT"	2000	"Chester"	2		701	1207	555	1279	809	1072		
"CT"	2000	"Clinton"	3		2595	3473	2033	3674	1857	3920		
"CT"	2000	"Colchester"	2		2454	3845	2049	3905	2878	3247		
"CT"	2000	"Colebrook"	6		373	374	327	399	470	212		
"CT"	2000	"Columbia"	2		1041	1567	889	1613	1290	1294		
"CT"	2000	"Cornwall"	6		277	455	231	480	402	240		
"CT"	2000	"Coventry"	2		1927	3005	1722	2961	2251	2598		
"CT"	2000	"Cromwell"	1		2472	3865	2138	3819	1886	4009		
"CT"	2000	"Danbury"	5		9371	12987	7311	12868	8901	12307		
"CT"	2000	"Darien"	4		6446	3496	5202	3948	7267	1997		
"CT"	2000	"Deep River"	2		896	1348	711	1404	963	1209		
"CT"	2000	"Derby"	5		1755	2851	1349	2939	1569	2701		
"CT"	2000	"Durham"	3		1561	1824	1337	1945	1197	2084		
"CT"	2000	"East Granby"	6		1134	1254	971	1218	1533	642		
"CT"	2000	"East Haddam"	2		1687	2186	1439	2223	1947	1818		
"CT"	2000	"East Hampton"	1		2311	3010	1945	3064	1979	3042		
"CT"	2000	"East Hartford"	1		5124	12371	4645	11285	3890	12578		
"CT"	2000	"East Haven"	3		3499	7278	2802	7231	2524	7667		
"CT"	2000	"East Lyme"	2		3513	4546	2738	4965	4509	3517		
"CT"	2000	"East Windsor"	1		1673	2313	1460	2169	1222	2512		
"CT"	2000	"Eastford"	2		421	375	328	404	441	325		
"CT"	2000	"Easton"	5		2176	1783	1765	2002	2227	1545		
"CT"	2000	"Ellington"	2		2910	3113	2363	3076	2935	2671		
"CT"	2000	"Enfield"	6		6920	10403	5853	10265	9781	5576		
"CT"	2000	"Essex"	2		2244	1865	1307	2072	1814	1635		
"CT"	2000	"Fairfield"	4		13042	14210	10082	15662	16907	8770		
"CT"	2000	"Farmington"	6		5443	6374	4498	6498	7413	3480		
"CT"	2000	"Franklin"	2		420	534	314	552	525	406		
"CT"	2000	"Glastonbury"	1		7928	9134	6840	9447	5706	10734		
"CT"	2000	"Goshen"	6		788	585	605	681	972	280		
"CT"	2000	"Granby"	6		2749	2576	2248	2661	3531	627		
"CT"	2000	"Greenwich"	4		14905	12780	12319	13115	16311	9732		
"CT"	2000	"Griswold"	2		1516	2519	1129	2357	1912	1888		
"CT"	2000	"Groton"	2		5486	7242	4416	7324	6865	5345		
"CT"	2000	"Guilford"	3		4721	6377	2599	6917	3343	7321		
"CT"	2000	"Haddam"	2		1654	2188	1429	2237	1968	1836		
"CT"	2000	"Hamden"	3		7833	16638	6134	16668	5918	17109		
"CT"	2000	"Hampton"	2		372	465	324	484	414	425		
"CT"	2000	"Hartford"	1		3095	21445	2830	20194	2728	19790		
"CT"	2000	"Hartland"	6		581	388	509	424	649	224		
"CT"	2000	"Harwinton"	6		1378	1282	1169	1371	1813	670		
"CT"	2000	"Hebron"	1		1895	2421	1594	2525	1477	2649		
"CT"	2000	"Kent"	6		629	839	522	841	889	465		
"CT"	2000	"Killingly"	2		2151	3178	1645	3085	2361	2712		
"CT"	2000	"Killingworth"	3		1492	1684	1176	1825	1108	1914		
"CT"	2000	"Lebanon"	2		1490	1667	1208	1746	1710	1384		
"CT"	2000	"Ledyard"	2		3122	3081	2370	2907	4171	1891		
"CT"	2000	"Lisbon"	2		696	1103	561	1063	890	795		
"CT"	2000	"Litchfield"	6		2198	1989	1617	2386	2885	1036		
"CT"	2000	"Lyme"	2		639	633	532	709	780	525		
"CT"	2000	"Madison"	3		4946	4608	3744	5360	3810	5402		
"CT"	2000	"Manchester"	1		8541	14184	7570	13492	7009	14259		
"CT"	2000	"Mansfield"	2		1617	4183	1405	3784	1892	3918		
"CT"	2000	"Marlborough"	1		1411	1654	1163	1726	1093	1840		
"CT"	2000	"Meriden"	5		6614	13668	5711	13065	6157	12717		
"CT"	2000	"Middlebury"	5		2118	1497	1301	1971	1833	1518		
"CT"	2000	"Middlefield"	3		902	1327	745	1400	686	1493		
"CT"	2000	"Middletown"	2		5155	12129	4772	11082	5890	10316		
"CT"	2000	"Milford"	3		9514	12949	7173	13998	6506	15065		
"CT"	2000	"Monroe"	4	5	4960	4352	3816	4912	5414	2277	545	473
"CT"	2000	"Montville"	2		2641	4027	2075	3995	3481	2963		
"CT"	2000	"Morris"	6		593	532	439	605	729	295		
"CT"	2000	"Naugatuck"	5		4930	5980	3401	6547	4291	5634		
"CT"	2000	"New Britain"	6		5059	13913	4346	12070	7676	8785		
"CT"	2000	"New Canaan"	4		6501	3516	5331	4070	7204	2149		
"CT"	2000	"New Fairfield"	5		3601	2866	2920	3045	3324	2918		
"CT"	2000	"New Hartford"	6		1510	1632	1334	1639	1960	943		
"CT"	2000	"New Haven"	3		5160	28145	3828	26356	3661	26604		
"CT"	2000	"New London"	2		1738	4924	1546	4793	2445	4267		
"CT"	2000	"New Milford"	6		5546	5498	4451	5730	7248	2780		
"CT"	2000	"Newington"	1		5115	9612	4385	9186	3913	9598		
"CT"	2000	"Newtown"	5		6059	5606	4565	6245	5346	5679		
"CT"	2000	"Norfolk"	6		364	471	323	469	507	268		
"CT"	2000	"North Branford"	3		2603	3542	1964	3711	1939	3791		
"CT"	2000	"North Canaan"	6		584	695	520	680	792	376		
"CT"	2000	"North Haven"	3		5045	6500	4115	6887	3798	7117		
"CT"	2000	"North Stonington"	2		1186	1245	866	1346	1790	546		
"CT"	2000	"Norwalk"	4		11519	19293	9554	18727	15107	13136		
"CT"	2000	"Norwich"	2		4047	8266	3142	8106	5206	6711		
"CT"	2000	"Old Lyme"	2		1918	2331	1599	2468	2402	1792		
"CT"	2000	"Old Saybrook"	2		2504	2898	2083	3039	2777	2481		
"CT"	2000	"Orange"	3		3623	3895	2766	4419	2601	4680		
"CT"	2000	"Oxford"	5		2442	2056	1825	2308	2242	1957		
"CT"	2000	"Plainfield"	2		1977	3192	1527	3119	2092	2536		
"CT"	2000	"Plainville"	6		2434	4574	2120	4344	3629	2742		
"CT"	2000	"Plymouth"	6		1905	2643	1492	2649	2556	1478		
"CT"	2000	"Pomfret"	2		856	938	685	1032	946	844		
"CT"	2000	"Portland"	1		1724	2595	1439	2576	1327	2753		
"CT"	2000	"Preston"	2		940	1178	734	1209	1303	748		
"CT"	2000	"Prospect"	5		2310	1985	1394	2555	1965	2029		
"CT"	2000	"Putnam"	2		1321	1826	984	1858	1379	1649		
"CT"	2000	"Redding"	5		2256	2151	1781	2369	2254	2037		
"CT"	2000	"Ridgefield"	5		6902	5760	5875	6337	6776	5502		
"CT"	2000	"Rocky Hill"	1		3243	5184	2858	4919	2401	5252		
"CT"	2000	"Roxbury"	6		641	589	487	674	775	379		
"CT"	2000	"Salem"	2		802	1001	634	1053	1080	688		
"CT"	2000	"Salisbury"	6		766	1290	688	1293	1182	759		
"CT"	2000	"Scotland"	2		312	374	261	404	372	329		
"CT"	2000	"Seymour"	5		2923	3392	2211	3651	2648	3232		
"CT"	2000	"Sharon"	6		621	697	555	698	834	377		
"CT"	2000	"Shelton"	5		8678	8441	6618	9278	8014	8080		
"CT"	2000	"Sherman"	6		936	809	798	856	1184	449		
"CT"	2000	"Simsbury"	6		6492	6156	5326	6916	8637	3046		
"CT"	2000	"Somers"	6		2288	1860	1856	1929	2749	1008		
"CT"	2000	"South Windsor"	1		5091	7288	4333	7292	3266	8561		
"CT"	2000	"Southbury"	6	5	5477	4306	4257	5054	5002	2495	1013	686
"CT"	2000	"Southington"	6		7614	10977	6212	11126	11345	5797		
"CT"	2000	"Sprague"	2		496	727	427	720	646	559		
"CT"	2000	"Stafford"	2		2061	3055	1704	2921	2137	2620		
"CT"	2000	"Stamford"	4		15159	27430	12378	26551	21665	17154		
"CT"	2000	"Sterling"	2		480	538	339	550	533	434		
"CT"	2000	"Stonington"	2		3419	4944	2629	5200	5472	2845		
"CT"	2000	"Stratford"	3		9152	12310	6829	13087	6349	13987		
"CT"	2000	"Suffield"	6		3072	2924	1746	2934	3999	1380		
"CT"	2000	"Thomaston"	6		1696	1592	1117	1932	2106	884		
"CT"	2000	"Thompson"	2		1628	2242	1108	2175	1534	1999		
"CT"	2000	"Tolland"	2		3035	3521	2518	3602	3208	3111		
"CT"	2000	"Torrington"	6		5843	7762	5039	7746	7785	4570		
"CT"	2000	"Trumbull"	4		9142	8659	7019	9745	11356	5214		
"CT"	2000	"Union"	2		205	185	162	193	202	170		
"CT"	2000	"Vernon"	2		4831	7014	4157	6761	5148	5975		
"CT"	2000	"Voluntown"	2		507	523	370	556	616	392		
