state	year	town	cd	cd2	g2002_GOV_rv	g2002_GOV_dv	g2002_SOS_rv	g2002_SOS_dv	g2002_TRE_rv	g2002_TRE_dv	g2002_COM_rv	g2002_COM_dv	g2002_ATG_rv	g2002_ATG_dv	g2002_USS_rv	g2002_USS_dv	g2002_USH_rv	g2002_USH_dv	g2002_USH_rv2	g2002_USH_dv2
"CT"	2002	"Andover"	2		668	579	325	828	475	587	358	787	374	780	553	848	613	594		
"CT"	2002	"Ansonia"	3		4423	3057	1983	4815	2730	3859	2189	4353	2382	4530	3231	5440	1268	3098		
"CT"	2002	"Ashford"	2		2397	4839	1095	5603	1448	5457	1176	5489	1380	5502	1734	7081	686	832		
"CT"	2002	"Avon"	5		2742	2079	1194	3363	1808	2584	1420	2999	1516	3090	2138	3819	4743	2390		
"CT"	2002	"Barkhamsted"	1		2446	1715	1129	2795	1519	2188	1174	2494	1464	2439	1945	3064	663	690		
"CT"	2002	"Beacon Falls"	3		5600	6965	2504	9061	3622	7734	2761	8493	3032	8648	4645	11285	761	1163		
"CT"	2002	"Berlin"	1		1717	1339	847	1997	1137	1605	937	1888	1026	1894	1460	2169	2661	4117		
"CT"	2002	"Bethany"	3		9620	5136	4424	9337	6639	6976	4980	8412	6270	7824	6840	9447	767	1187		
"CT"	2002	"Bethel"	5		3805	12941	1537	12845	1644	13193	1509	12695	1847	12570	2830	20194	2990	2598		
"CT"	2002	"Bethlehem"	5		2061	1346	1028	2181	1588	1583	1158	1981	1294	2018	1594	2525	973	576		
"CT"	2002	"Bloomfield"	1		9521	8266	4580	12225	6746	9625	4924	11591	5494	11694	7570	13492	1394	5444		
"CT"	2002	"Bolton"	2		1568	1037	781	1653	1089	1266	815	1550	953	1525	1163	1726	1190	911		
"CT"	2002	"Bozrah"	2		5735	5437	2455	7955	3616	6531	2697	7389	3013	7593	4385	9186	576	448		
"CT"	2002	"Branford"	3		1827	1638	768	2530	1211	1922	931	2207	1076	2233	1439	2576	2705	6224		
"CT"	2002	"Bridgeport"	4		3621	2889	1715	4299	2371	3482	1806	3990	2034	4085	2858	4919	6814	10779		
"CT"	2002	"Bridgewater"	5		6155	4070	2764	6862	3962	5535	3052	6450	3276	6572	4333	7292	509	295		
"CT"	2002	"Bristol"	1		12375	12218	6259	17176	8385	14773	6617	16371	7539	16371	8850	21220	5318	9952		
"CT"	2002	"Brookfield"	5		6138	4791	2913	7244	4169	5640	3239	6680	3611	6774	4978	8082	3325	2219		
"CT"	2002	"Brooklyn"	2		4649	5206	2249	6862	2968	6160	2424	6513	2811	6521	3732	8148	1116	919		
"CT"	2002	"Burlington"	5		665	865	366	1074	528	877	374	1088	442	1028	629	1118	2069	1265		
"CT"	2002	"Canaan"	5		528	511	283	684	367	554	291	654	309	686	421	747	225	187		
"CT"	2002	"Canterbury"	2		930	1129	557	1331	717	1106	597	1284	614	1357	885	1598	966	711		
"CT"	2002	"Canton"	5		808	872	518	1055	688	821	561	990	587	1061	844	1124	2311	1307		
"CT"	2002	"Chaplin"	2		328	440	229	474	269	416	236	472	242	487	337	540	367	390		
"CT"	2002	"Cheshire"	5		786	799	399	1102	512	970	421	1042	456	1077	555	1279	5911	4452		
"CT"	2002	"Chester"	2		2558	2215	1269	3253	1824	2558	1401	3007	1460	3148	2049	3905	719	841		
"CT"	2002	"Clinton"	2		1143	1072	555	1557	829	1204	588	1460	683	1474	889	1613	2547	1891		
"CT"	2002	"Colchester"	2		2043	1941	1008	2739	1421	2223	1072	2660	1226	2616	1722	2961	2430	2273		
"CT"	2002	"Colebrook"	1		961	875	476	1271	663	1023	539	1138	540	1227	711	1404	292	334		
"CT"	2002	"Columbia"	2		1770	1459	937	2110	1256	1664	1014	1945	1150	1961	1439	2223	1079	1093		
"CT"	2002	"Cornwall"	5		3537	2753	1851	4110	2375	3410	1954	3909	1867	4300	2738	4965	291	361		
"CT"	2002	"Coventry"	2		401	287	278	370	348	292	279	373	290	378	328	404	1842	2050		
"CT"	2002	"Cromwell"	1		2720	1667	1378	2697	1844	2131	1466	2579	1645	2563	2363	3076	1657	2882		
"CT"	2002	"Danbury"	5		1787	1129	1035	1750	1278	1414	1126	1585	1082	1750	1307	2072	7201	8102		
"CT"	2002	"Darien"	4		342	406	191	513	276	408	208	483	189	537	314	552	5294	1254		
"CT"	2002	"Deep River"	2		1235	1730	660	2027	882	1708	730	1886	750	2038	1129	2357	917	874		
"CT"	2002	"Derby"	3		4986	4490	3023	5609	3579	4790	3119	5331	3110	5895	4416	7324	958	2134		
"CT"	2002	"Durham"	2	3	1716	1287	839	2037	1145	1598	963	1776	1088	1810	1429	2237	1213	892	278	427
"CT"	2002	"East Granby"	1		321	417	201	487	270	397	213	467	230	472	324	484	824	957		
