state	year	town	cd	cd2	g2004_USP_dv	g2004_USS_rv	g2004_USS_dv	g2004_USH_dv	g2004_USH_rv	g2004_USH_rv2	g2004_USH_dv2
"CT"	2004	"Andover"	2		980	507	1101	814	843		
"CT"	2004	"Ansonia"	3		4065	1934	4646	4902	1604		
"CT"	2004	"Ashford"	2		1311	613	1444	1127	983		
"CT"	2004	"Avon"	5		4925	3924	5591	3071	6437		
"CT"	2004	"Barkhamsted"	1		1124	771	1203	1166	729		
"CT"	2004	"Beacon Falls"	3		1206	972	1583	1617	875		
"CT"	2004	"Berlin"	1		5571	3156	6422	6245	2727		
"CT"	2004	"Bethany"	3		1617	1097	1903	1964	1021		
"CT"	2004	"Bethel"	5		4486	3302	5187	3254	5152		
"CT"	2004	"Bethlehem"	5		922	959	1052	729	1294		
"CT"	2004	"Bloomfield"	1		8156	1547	8025	7449	1444		
"CT"	2004	"Bolton"	2		1542	991	1786	1266	1540		
"CT"	2004	"Bozrah"	2		723	398	881	546	770		
"CT"	2004	"Branford"	3		8338	3933	9553	10036	3460		
"CT"	2004	"Bridgeport"	4		26280	6505	25077	23760	9946		
"CT"	2004	"Bridgewater"	5		521	468	595	369	719		
"CT"	2004	"Bristol"	1		14201	6616	15978	15494	6160		
"CT"	2004	"Brookfield"	5		3619	3745	4268	2520	5432		
"CT"	2004	"Brooklyn"	2		1668	951	2016	1337	1760		
"CT"	2004	"Burlington"	5		2501	1766	2884	1586	3077		
"CT"	2004	"Canaan"	5		378	151	392	226	325		
"CT"	2004	"Canterbury"	2		1193	825	1555	992	1484		
"CT"	2004	"Canton"	5		3003	1833	3265	1729	3367		
"CT"	2004	"Chaplin"	2		590	303	348	491	538		
"CT"	2004	"Cheshire"	5		7283	5287	6918	5025	8722		
"CT"	2004	"Chester"	2		1375	543	1489	1165	884		
"CT"	2004	"Clinton"	2		3332	2072	3897	2745	3266		
"CT"	2004	"Colchester"	2		4081	2057	4963	3355	3794		
"CT"	2004	"Colebrook"	1		458	321	505	479	319		
"CT"	2004	"Columbia"	2		1771	819	2058	1497	1418		
"CT"	2004	"Cornwall"	5		625	250	590	437	417		
"CT"	2004	"Coventry"	2		3588	1705	3973	2957	2841		
"CT"	2004	"Cromwell"	1		4126	2071	4806	4691	1963		
"CT"	2004	"Danbury"	5		13477	8669	14468	10183	13093		
"CT"	2004	"Darien"	4		4057	5589	4487	2854	7303		
