state	year	town	cd	cd2	g2006_GOV_rv	g2006_GOV_dv	g2006_SOS_dv	g2006_SOS_lv	g2006_TRE_rv	g2006_TRE_dv	g2006_COM_rv	g2006_COM_dv	g2006_ATG_rv	g2006_ATG_dv	g2006_USS_rv	g2006_USS_dv	g2006_USH_dv	g2006_USH_rv	g2006_USH_rv2	g2006_USH_dv2	g2006_USS_iv
"CT"	2006	"Andover"	2		924	510	1071	33	380	925	333	963	323	1060	170	632	719	700			645
"CT"	2006	"Ansonia"	3		3441	1766	3361	49	1285	3141	1151	3031	864	3760	658	1729	3696	979			2811
"CT"	2006	"Ashford"	2		965	776	1330	22	420	1206	371	1281	335	1367	173	899	1041	737			711
"CT"	2006	"Avon"	5		5647	2532	5163	66	3105	4513	3027	4510	2929	5001	884	2871	4225	3870			4516
"CT"	2006	"Barkhamsted"	1		1442	550	1146	21	512	1000	478	1012	460	1129	229	656	979	547			805
"CT"	2006	"Beacon Falls"	3		1521	521	1316	29	616	1083	608	1077	448	1439	257	567	1284	561			1272
"CT"	2006	"Berlin"	1		5099	2895	5631	63	1978	4980	1865	4894	1722	5618	809	3109	4732	2020			4129
"CT"	2006	"Bethany"	3		1755	795	1600	20	817	1420	807	1409	628	1777	259	919	1706	692			1403
"CT"	2006	"Bethel"	5		4829	1680	3558	92	2463	3150	2330	3256	1795	4186	745	2530	3296	2931			3339
"CT"	2006	"Bethlehem"	5		1251	497	1104	25	636	953	622	951	510	1175	225	583	870	811			943
"CT"	2006	"Bloomfield"	1		3358	4329	6067	60	1038	6182	1061	5772	1071	6083	474	4270	5793	1100			3228
"CT"	2006	"Bolton"	2		1616	784	1741	19	778	1462	674	1545	583	1757	274	1016	1203	1180			1113
"CT"	2006	"Bozrah"	2		669	349	712	15	308	597	327	595	232	744	111	366	464	564			569
"CT"	2006	"Branford"	3		7068	3758	7529	69	2828	6648	2817	6580	2091	8080	927	4151	8047	2291			5908
"CT"	2006	"Bridgeport"	4		8366	11267	14000	321	3277	13830	3113	13625	2702	15084	1476	12038	13351	6400			6935
"CT"	2006	"Bridgewater"	5		785	162	486	8	378	417	362	436	282	582	71	343	439	477			515
"CT"	2006	"Bristol"	1		11129	6741	13279	146	4184	11561	3844	10830	3362	13402	1929	7396	11724	4316			8687
"CT"	2006	"Brookfield"	5		5434	887	2897	57	2904	2535	2817	2608	2249	3530	854	1955	2805	3220			3447
"CT"	2006	"Brooklyn"	2		1634	896	1788	25	735	1554	671	1611	533	1866	236	940	1155	1335			1378
"CT"	2006	"Burlington"	5		2528	1249	2637	26	1145	2290	1119	2317	1030	2594	473	1538	2048	1623			1800
"CT"	2006	"Canaan"	5		274	189	338	4	103	331	96	330	87	359	49	290	310	162			148
"CT"	2006	"Canterbury"	2		1237	708	1354	25	638	1124	652	1134	476	1393	218	737	873	1073			1009
"CT"	2006	"Canton"	5		2873	1539	3038	30	1331	2703	1346	2662	1256	2985	511	1889	2578	1803			2065
"CT"	2006	"Chaplin"	2		494	313	584	10	224	505	210	518	186	584	100	388	429	387			348
"CT"	2006	"Cheshire"	5		8149	3483	7312	80	3714	6662	3691	6585	3054	7888	1199	3780	6241	4992			6772
"CT"	2006	"Chester"	2		972	727	1260	14	404	1183	392	1190	348	1299	140	894	1019	660			695
