state	year	town	cd	cd2	g2008_USP_rv	g2008_USP_dv	g2008_USH_dv	g2008_USH_rv	g2008_USH_dv2	g2008_USH_rv2
"CT"	2008	"Andover"	2		745	1090	1030.0	563		
"CT"	2008	"Ansonia"	3		2918	4616	5077.0	1256		
"CT"	2008	"Ashford"	2		837	1422	1429.0	660		
"CT"	2008	"Avon"	5		4868	5698	5577.0	4500		
"CT"	2008	"Barkhamsted"	1		969	1223	1095.0	822		
"CT"	2008	"Beacon Falls"	3		1576	1483	1656.0	836		
"CT"	2008	"Berlin"	1		4957	6028	5684.0	2926		
"CT"	2008	"Bethany"	3		1525	1781	1933.0	970		
"CT"	2008	"Bethel"	5		4370	5179	4194.0	4215		
"CT"	2008	"Bethlehem"	5		1214	1027	993.0	1046		
"CT"	2008	"Bloomfield"	1		1778	10384	8440.0	1438		
"CT"	2008	"Bolton"	2		1300	1692	1567.0	1048		
"CT"	2008	"Bozrah"	2		633	723	750.0	432		
"CT"	2008	"Branford"	3		5906	9062	9959.0	3104		
"CT"	2008	"Bridgeport"	4		6507	33976	28678.0	7662		
"CT"	2008	"Bridgewater"	5		580	587	521.0	560		
"CT"	2008	"Bristol"	1		10203	15966	14992.0	6528		
"CT"	2008	"Brookfield"	5		4753	4340	3538.0	4625		
"CT"	2008	"Brooklyn"	2		1674	1932	1973.0	1146		
"CT"	2008	"Burlington"	5		2406	2716	2420.0	2084		
"CT"	2008	"Canaan"	5		189	429	371.0	166		
"CT"	2008	"Canterbury"	2		1345	1334	1475.0	1007		
"CT"	2008	"Canton"	5		2472	3412	2978.0	2199		
"CT"	2008	"Chaplin"	2		440	663	668.0	313		
"CT"	2008	"Cheshire"	5		6839	8177	7876.0	5579		
"CT"	2008	"Chester"	2		710	1527	1467.0	575		
"CT"	2008	"Clinton"	2		3004	3898	3735.0	2479		
"CT"	2008	"Colchester"	2		3355	4712	5120.0	2474		
"CT"	2008	"Colebrook"	1		421	460	437.0	322		
"CT"	2008	"Columbia"	2		1306	1843	1750.0	978		
"CT"	2008	"Cornwall"	5		218	732	624.0	229		
"CT"	2008	"Coventry"	2		2621	3888	3526.0	1977		
"CT"	2008	"Cromwell"	1		2989	4551	4657.0	2134		
"CT"	2008	"Danbury"	5		10732	16028	12700.0	11266		
"CT"	2008	"Darien"	4		5949	4943	3067.0	7474		
"CT"	2008	"Deep River"	2		946	1668	1554.0	755		
"CT"	2008	"Derby"	3		2383	2880	3429.0	1018		
"CT"	2008	"Durham"	2	3	1893	2187	1601.0	1129	672	330
"CT"	2008	"East Granby"	1		1303	1612	1468.0	1038		
"CT"	2008	"East Haddam"	2		1918	2874	2794.0	1518		
"CT"	2008	"East Hampton"	2		2895	3844	3697.0	2280		
"CT"	2008	"East Hartford"	1		5195	14811	11973.0	3013		
"CT"	2008	"East Haven"	3		5287	6878	7192.0	2169		
"CT"	2008	"East Lyme"	2		3819	5961	6138.0	2798		
"CT"	2008	"East Windsor"	1		2100	3106	3220.0	1315		
"CT"	2008	"Eastford"	2		488	485	497.0	385		
"CT"	2008	"Easton"	4		2259	2238	1568.0	2613		
"CT"	2008	"Ellington"	2		3519	4236	4093.0	2548		
"CT"	2008	"Enfield"	2		7656	11584	12075.0	5413		
"CT"	2008	"Essex"	2		1541	2542	2397.0	1380		
"CT"	2008	"Fairfield"	4		13071	17236	13077.0	16068		
"CT"	2008	"Farmington"	5		5822	8088	7272.0	5074		
