state	year	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_DEL_dv	g2004_DEL_rv	g2004_DEL_tv	g2004_SHADR_dv	g2004_SHADR_rv	g2004_SHADR_tv
"DC"	2004	1	1491	90	1581	1477	73	1550	1328	121	1449
"DC"	2004	2	213	62	275	224	45	269	174	54	228
"DC"	2004	3	1008	363	1371	1052	290	1342	830	186	1016
"DC"	2004	4	925	266	1191	904	251	1155	761	178	939
"DC"	2004	5	1771	600	2371	1753	523	2276	1443	288	1731
"DC"	2004	6	1793	693	2486	1796	594	2390	1533	353	1886
"DC"	2004	7	871	347	1218	862	325	1187	752	193	945
"DC"	2004	8	1854	640	2494	1867	555	2422	1413	372	1785
"DC"	2004	9	780	498	1278	825	401	1226	698	129	827
"DC"	2004	10	1521	491	2012	1553	389	1942	1251	210	1461
"DC"	2004	11	2534	646	3180	2505	602	3107	2038	576	2614
"DC"	2004	12	385	176	561	403	145	548	322	68	390
"DC"	2004	13	1030	252	1282	1020	226	1246	753	174	927
"DC"	2004	14	2042	324	2366	1998	330	2328	1558	411	1969
"DC"	2004	15	2392	257	2649	2341	269	2610	1772	485	2257
"DC"	2004	16	1950	217	2167	1892	246	2138	1485	386	1871
"DC"	2004	17	2374	330	2704	2363	310	2673	1933	437	2370
"DC"	2004	18	1959	104	2063	1945	94	2039	1652	239	1891
"DC"	2004	19	1887	89	1976	1904	72	1976	1620	216	1836
"DC"	2004	20	816	27	843	789	18	807	726	52	778
"DC"	2004	21	784	41	825	768	40	808	630	100	730
"DC"	2004	22	1563	130	1693	1523	123	1646	1187	299	1486
"DC"	2004	23	1162	57	1219	1130	68	1198	884	184	1068
"DC"	2004	24	1547	111	1658	1496	140	1636	1067	371	1438
"DC"	2004	25	2862	334	3196	2794	351	3145	1752	1026	2778
"DC"	2004	26	2316	389	2705	2277	382	2659	1605	472	2077
"DC"	2004	27	1954	296	2250	1919	288	2207	1365	352	1717
