state	year	precinct	g2006_DEL_dv	g2006_DEL_tv	g2006_MAY_dv	g2006_MAY_rv	g2006_MAY_tv	g2006_COC_dv	g2006_COC_tv	g2006_SHADS_dv	g2006_SHADS_rv	g2006_SHADS_tv	g2006_SHADR_dv	g2006_SHADR_rv	g2006_SHADR_tv
"DC"	2006	1	640	654	642	33	675	628	640	547	81	628	486	51	537
"DC"	2006	2	95	104	86	21	107	98	106	79	16	95	67	25	92
"DC"	2006	3	664	701	606	128	734	639	665	469	124	593	407	176	583
"DC"	2006	4	481	515	435	118	553	464	482	392	76	468	339	128	467
"DC"	2006	5	924	986	893	173	1066	879	925	674	113	787	558	238	796
"DC"	2006	6	759	804	693	161	854	736	762	576	121	697	490	195	685
"DC"	2006	7	548	572	505	111	616	532	545	434	85	519	363	148	511
"DC"	2006	8	1280	1354	1252	234	1486	1222	1270	948	183	1131	795	311	1106
"DC"	2006	9	572	604	551	177	728	556	575	427	68	495	328	242	570
"DC"	2006	10	973	1010	942	155	1097	916	938	733	104	837	656	207	863
"DC"	2006	11	1343	1424	1224	188	1412	1258	1312	1012	259	1271	931	229	1160
"DC"	2006	12	260	275	251	80	331	244	255	183	33	216	157	85	242
"DC"	2006	13	558	575	549	81	630	524	540	404	85	489	376	94	470
"DC"	2006	14	922	966	820	116	936	872	900	696	163	859	657	120	777
"DC"	2006	15	1196	1238	1074	99	1173	1105	1142	895	213	1108	831	120	951
"DC"	2006	16	989	1026	922	92	1014	923	959	774	161	935	752	94	846
"DC"	2006	17	1230	1279	1111	141	1252	1172	1215	981	219	1200	893	154	1047
"DC"	2006	18	1103	1123	1059	48	1107	1053	1073	865	183	1048	811	61	872
"DC"	2006	19	1016	1032	978	24	1002	957	977	762	219	981	752	47	799
"DC"	2006	20	250	254	240	9	249	247	250	205	34	239	195	7	202
"DC"	2006	21	425	435	405	11	416	395	405	333	70	403	312	16	328
"DC"	2006	22	839	863	767	52	819	788	814	682	124	806	620	63	683
"DC"	2006	23	625	636	585	18	603	580	589	502	98	600	462	28	490
"DC"	2006	24	725	754	697	46	743	670	684	524	170	694	511	67	578
"DC"	2006	25	1426	1516	1335	119	1454	1362	1415	1016	351	1367	976	149	1125
"DC"	2006	26	1135	1190	1045	161	1206	1086	1125	845	187	1032	786	175	961
"DC"	2006	27	1120	1166	1062	113	1175	1044	1084	785	169	954	723	148	871
"DC"	2006	28	1175	1218	1092	226	1318	1111	1148	871	181	1052	795	257	1052
"DC"	2006	29	506	532	494	67	561	494	509	388	88	476	355	78	433
"DC"	2006	30	706	734	676	116	792	665	684	548	80	628	466	136	602
"DC"	2006	31	1202	1270	1143	171	1314	1150	1191	948	165	1113	814	182	996
"DC"	2006	32	1252	1309	1213	136	1349	1165	1230	926	179	1105	851	182	1033
"DC"	2006	33	1331	1374	1258	132	1390	1227	1275	952	211	1163	884	166	1050
"DC"	2006	34	1451	1512	1316	187	1503	1383	1425	1096	239	1335	1012	216	1228
"DC"	2006	35	1152	1202	1073	46	1119	1073	1104	833	282	1115	800	65	865
"DC"	2006	36	854	873	829	29	858	812	828	667	167	834	606	58	664
