state	year	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_DEL_dv	g2008_DEL_tv	g2008_SHADS_dv	g2008_SHADS_rv	g2008_SHADS_tv	g2008_SHADR_dv	g2008_SHADR_rv	g2008_SHADR_tv
"DC"	2008	1	1550	46	1596	1413	1488	1125	46	1171	1078	191	1269
"DC"	2008	2	256	58	314	238	274	188	58	246	209	41	250
"DC"	2008	3	1071	304	1375	1095	1228	735	266	1001	845	153	998
"DC"	2008	4	1264	326	1590	1178	1362	868	337	1205	973	180	1153
"DC"	2008	5	1859	497	2356	1801	2062	1199	472	1671	1346	259	1605
"DC"	2008	6	1866	545	2411	1833	2079	1210	518	1728	1431	257	1688
"DC"	2008	7	994	306	1300	994	1150	671	306	977	791	178	969
"DC"	2008	8	2056	542	2598	2005	2269	1334	510	1844	1454	291	1745
"DC"	2008	9	978	435	1413	1037	1178	616	405	1021	755	127	882
"DC"	2008	10	1732	392	2124	1623	1851	1169	373	1542	1281	193	1474
"DC"	2008	11	2932	626	3558	2735	3179	2118	604	2722	2295	483	2778
"DC"	2008	12	461	159	620	462	526	302	158	460	353	68	421
"DC"	2008	13	1109	222	1331	1039	1154	724	219	943	809	111	920
"DC"	2008	14	2307	300	2607	2116	2381	1603	298	1901	1757	299	2056
"DC"	2008	15	2509	236	2745	2306	2546	1774	251	2025	1890	292	2182
"DC"	2008	16	2373	222	2595	2171	2401	1712	240	1952	1823	270	2093
"DC"	2008	17	3302	403	3705	3064	3428	2449	408	2857	2596	438	3034
"DC"	2008	18	2547	115	2662	2331	2534	1980	138	2118	1976	346	2322
"DC"	2008	19	2464	69	2533	2274	2440	1911	82	1993	1757	477	2234
"DC"	2008	20	678	15	693	610	664	507	21	528	504	95	599
"DC"	2008	21	1066	43	1109	966	1049	797	48	845	820	127	947
"DC"	2008	22	2426	108	2534	2202	2398	1723	172	1895	1784	290	2074
"DC"	2008	23	1661	80	1741	1493	1636	1196	88	1284	1231	231	1462
"DC"	2008	24	1922	147	2069	1734	1932	1353	175	1528	1444	250	1694
"DC"	2008	25	3185	311	3496	2803	3222	2097	340	2437	2233	483	2716
"DC"	2008	26	2346	276	2622	2144	2393	1597	302	1899	1686	277	1963
"DC"	2008	27	2029	247	2276	1901	2098	1322	274	1596	1414	244	1658
"DC"	2008	28	1971	460	2431	1925	2190	1405	447	1852	1522	264	1786
"DC"	2008	29	1084	174	1258	1026	1141	739	193	932	821	121	942
"DC"	2008	30	1055	232	1287	1036	1159	729	208	937	809	121	930
"DC"	2008	31	1881	323	2204	1800	2020	1316	329	1645	1432	212	1644
"DC"	2008	32	2218	297	2515	2100	2309	1519	308	1827	1610	243	1853
"DC"	2008	33	2348	284	2632	2178	2416	1593	301	1894	1697	275	1972
"DC"	2008	34	2962	440	3402	2766	3076	2075	401	2476	2233	358	2591
"DC"	2008	35	2612	134	2746	2310	2597	1756	145	1901	1839	394	2233
"DC"	2008	36	2636	150	2786	2370	2575	1883	161	2044	1925	360	2285
"DC"	2008	37	1689	46	1735	1552	1668	1326	50	1376	1316	209	1525
"DC"	2008	38	1589	57	1646	1425	1557	1204	53	1257	1193	234	1427
"DC"	2008	39	2617	135	2752	2315	2578	1765	174	1939	1848	430	2278
"DC"	2008	40	2650	158	2808	2362	2675	1790	175	1965	1864	479	2343
"DC"	2008	41	1793	86	1879	1659	1786	1383	65	1448	1352	259	1611
"DC"	2008	42	1136	38	1174	994	1086	820	47	867	846	145	991
"DC"	2008	43	991	23	1014	904	971	759	38	797	755	144	899
"DC"	2008	44	1941	153	2094	1827	1965	1555	124	1679	1538	244	1782
"DC"	2008	45	1479	25	1504	1351	1428	1126	41	1167	1091	198	1289
"DC"	2008	46	1922	31	1953	1817	1895	1525	50	1575	1510	212	1722
"DC"	2008	47	1865	76	1941	1725	1854	1299	97	1396	1305	285	1590
"DC"	2008	48	2006	62	2068	1845	1952	1423	82	1505	1425	267	1692
"DC"	2008	49	500	7	507	447	476	376	18	394	375	63	438
"DC"	2008	50	1695	280	1975	1648	1815	1140	267	1407	1266	197	1463
"DC"	2008	51	2798	509	3307	2717	2988	1856	480	2336	2063	284	2347
"DC"	2008	52	1041	152	1193	1023	1115	699	166	865	772	113	885
"DC"	2008	53	885	54	939	853	899	667	49	716	655	131	786
"DC"	2008	54	1615	54	1669	1525	1605	1225	52	1277	1205	213	1418
"DC"	2008	55	1723	31	1754	1592	1661	1368	36	1404	1335	169	1504
"DC"	2008	56	2078	32	2110	1958	2047	1641	45	1686	1609	204	1813
"DC"	2008	57	1865	36	1901	1751	1825	1486	45	1531	1431	226	1657
"DC"	2008	58	1593	24	1617	1485	1548	1267	29	1296	1216	185	1401
"DC"	2008	59	1870	22	1892	1769	1844	1478	34	1512	1416	228	1644
"DC"	2008	60	1479	38	1517	1336	1376	1113	40	1153	1062	169	1231
"DC"	2008	61	1260	34	1294	1170	1224	977	38	1015	964	140	1104
"DC"	2008	62	2571	84	2655	2408	2559	1884	106	1990	1924	299	2223
"DC"	2008	63	2426	74	2500	2245	2407	1775	86	1861	1757	347	2104
"DC"	2008	64	1723	20	1743	1633	1693	1342	35	1377	1307	202	1509
"DC"	2008	65	2021	30	2051	1900	1966	1594	50	1644	1533	207	1740
"DC"	2008	66	3212	46	3258	3052	3152	2582	68	2650	2539	312	2851
"DC"	2008	67	2255	62	2317	2174	2249	1829	46	1875	1783	256	2039
"DC"	2008	68	1430	101	1531	1336	1453	1083	83	1166	1060	226	1286
"DC"	2008	69	1601	34	1635	1530	1596	1272	39	1311	1237	205	1442
"DC"	2008	70	1163	36	1199	1088	1161	907	36	943	900	161	1061
"DC"	2008	71	1731	23	1754	1655	1702	1392	28	1420	1366	188	1554
"DC"	2008	72	2631	21	2652	2520	2591	2178	37	2215	2142	226	2368
"DC"	2008	73	1391	63	1454	1287	1386	1040	75	1115	1053	235	1288
"DC"	2008	74	2695	85	2780	2523	2643	2129	81	2210	2070	304	2374
"DC"	2008	75	1840	32	1872	1706	1804	1460	51	1511	1416	281	1697
"DC"	2008	76	598	14	612	539	556	477	19	496	462	57	519
"DC"	2008	77	1913	24	1937	1749	1817	1453	42	1495	1428	213	1641
"DC"	2008	78	1835	14	1849	1688	1734	1441	26	1467	1412	161	1573
"DC"	2008	79	1250	14	1264	1123	1151	994	30	1024	966	127	1093
"DC"	2008	80	971	21	992	901	940	793	28	821	776	90	866
"DC"	2008	81	3138	143	3281	2942	3122	2448	159	2607	2485	338	2823
"DC"	2008	82	1832	133	1965	1726	1857	1366	151	1517	1409	230	1639
"DC"	2008	83	2081	108	2189	1919	2061	1650	114	1764	1663	233	1896
"DC"	2008	84	1580	279	1859	1516	1693	1082	316	1398	1219	228	1447
"DC"	2008	85	2025	378	2403	1953	2182	1341	458	1799	1576	290	1866
"DC"	2008	86	1618	173	1791	1506	1661	1172	180	1352	1233	201	1434
"DC"	2008	87	1928	108	2036	1857	1971	1482	140	1622	1548	236	1784
"DC"	2008	88	1649	235	1884	1564	1733	1089	312	1401	1247	203	1450
"DC"	2008	89	2034	505	2539	1971	2253	1248	588	1836	1505	277	1782
"DC"	2008	90	1171	205	1376	1104	1253	799	251	1050	905	176	1081
"DC"	2008	91	2592	194	2786	2437	2634	1975	227	2202	2049	300	2349
"DC"	2008	92	1088	6	1094	1017	1042	892	21	913	887	87	974
"DC"	2008	93	1036	9	1045	965	989	824	12	836	831	96	927
"DC"	2008	94	1286	19	1305	1212	1248	1040	22	1062	1035	92	1127
"DC"	2008	95	1042	9	1051	964	984	862	16	878	865	63	928
"DC"	2008	96	1398	7	1405	1301	1321	1146	16	1162	1129	100	1229
"DC"	2008	97	896	7	903	821	852	715	14	729	704	69	773
"DC"	2008	98	1278	13	1291	1220	1248	1045	15	1060	1042	118	1160
"DC"	2008	99	973	8	981	895	934	775	9	784	752	115	867
"DC"	2008	100	1286	7	1293	1184	1209	1015	18	1033	1036	88	1124
"DC"	2008	101	1219	3	1222	1135	1163	972	21	993	971	126	1097
"DC"	2008	102	1735	10	1745	1628	1678	1414	13	1427	1401	157	1558
"DC"	2008	103	2417	9	2426	2216	2265	1925	27	1952	1915	184	2099
"DC"	2008	104	1706	14	1720	1590	1633	1369	35	1404	1362	140	1502
"DC"	2008	105	1453	12	1465	1366	1398	1217	20	1237	1188	126	1314
"DC"	2008	106	1985	25	2010	1893	1948	1680	30	1710	1653	166	1819
"DC"	2008	107	1158	4	1162	1036	1077	919	21	940	933	84	1017
"DC"	2008	108	883	13	896	840	867	717	15	732	717	82	799
"DC"	2008	109	782	10	792	733	766	631	23	654	625	88	713
"DC"	2008	110	2881	45	2926	2739	2816	2307	60	2367	2275	291	2566
"DC"	2008	111	1628	8	1636	1517	1564	1284	16	1300	1256	158	1414
"DC"	2008	112	1430	13	1443	1380	1412	1204	22	1226	1195	126	1321
"DC"	2008	113	1739	31	1770	1639	1680	1422	36	1458	1404	150	1554
"DC"	2008	114	1992	7	1999	1792	1848	1549	38	1587	1513	177	1690
"DC"	2008	115	1634	6	1640	1458	1494	1262	23	1285	1223	141	1364
"DC"	2008	116	2392	12	2404	2203	2257	1983	24	2007	1910	184	2094
"DC"	2008	117	1209	4	1213	1146	1170	1005	25	1030	994	87	1081
"DC"	2008	118	1772	7	1779	1639	1679	1424	19	1443	1393	146	1539
"DC"	2008	119	1637	23	1660	1507	1554	1322	38	1360	1304	140	1444
"DC"	2008	120	1142	8	1150	1058	1086	928	19	947	898	99	997
"DC"	2008	121	2070	9	2079	1917	1973	1717	25	1742	1665	147	1812
"DC"	2008	122	1264	8	1272	1186	1218	1061	17	1078	1051	105	1156
"DC"	2008	123	1531	36	1567	1448	1498	1259	38	1297	1229	147	1376
"DC"	2008	124	1730	8	1738	1604	1652	1389	26	1415	1365	167	1532
"DC"	2008	125	2878	9	2887	2689	2768	2362	34	2396	2301	252	2553
"DC"	2008	126	2378	32	2410	2212	2297	1935	55	1990	1905	227	2132
"DC"	2008	127	2731	185	2916	2562	2756	2022	188	2210	2069	318	2387
"DC"	2008	128	1412	119	1531	1308	1423	1017	133	1150	1073	177	1250
"DC"	2008	129	1500	228	1728	1395	1561	1138	208	1346	1233	205	1438
"DC"	2008	130	637	237	874	628	751	415	226	641	499	131	630
"DC"	2008	131	364	43	407	330	363	258	47	305	260	56	316
"DC"	2008	132	1393	9	1402	1331	1360	1158	24	1182	1147	112	1259
"DC"	2008	133	1031	9	1040	972	992	830	22	852	827	94	921
"DC"	2008	134	1419	10	1429	1309	1347	1182	21	1203	1163	126	1289
"DC"	2008	135	1884	76	1960	1773	1888	1464	84	1548	1458	249	1707
"DC"	2008	136	756	81	837	692	762	509	89	598	546	79	625
"DC"	2008	137	636	30	666	581	626	461	41	502	480	86	566
"DC"	2008	138	1749	264	2013	1651	1837	1211	274	1485	1330	192	1522
"DC"	2008	139	1425	20	1445	1371	1398	1146	25	1171	1106	150	1256
"DC"	2008	140	1315	22	1337	1212	1239	1039	16	1055	1015	116	1131
"DC"	2008	141	1836	120	1956	1628	1807	1298	148	1446	1370	224	1594
"DC"	2008	142	954	109	1063	913	1004	702	120	822	721	146	867
"DC"	2008	143	1735	318	2053	1578	1813	1258	313	1571	1333	281	1614
"DC"	2008	301	1400	90	1490	311	331	0	0	0	0	0	0
