state	year	precinct	g2010_DEL_dv	g2010_DEL_rv	g2010_DEL_tv	g2010_MAY_dv	g2010_MAY_rv	g2010_MAY_tv	g2010_COC_dv	g2010_COC_tv	g2010_SHADR_dv	g2010_SHADR_rv	g2010_SHADR_tv
"DC"	2010	1	702	32	734	650	94	744	682	740	598	37	635
"DC"	2010	2	87	21	108	77	24	101	79	105	77	28	105
"DC"	2010	3	556	95	651	394	221	615	481	607	440	139	579
"DC"	2010	4	509	132	641	365	246	611	479	582	428	159	587
"DC"	2010	5	777	191	968	450	530	980	707	866	594	239	833
"DC"	2010	6	609	169	778	383	382	765	593	729	462	219	681
"DC"	2010	7	486	115	601	280	306	586	452	548	382	157	539
"DC"	2010	8	1023	255	1278	618	693	1311	991	1159	773	340	1113
"DC"	2010	9	525	220	745	344	376	720	508	629	389	269	658
"DC"	2010	10	885	198	1083	575	453	1028	809	965	710	245	955
"DC"	2010	11	1103	231	1334	663	619	1282	988	1259	929	262	1191
"DC"	2010	12	206	80	286	127	142	269	197	236	150	101	251
"DC"	2010	13	488	79	567	306	260	566	447	524	392	95	487
"DC"	2010	14	818	100	918	501	400	901	722	889	675	148	823
"DC"	2010	15	1016	95	1111	636	494	1130	921	1114	856	143	999
"DC"	2010	16	1033	83	1116	596	530	1126	889	1074	862	125	987
"DC"	2010	17	1243	123	1366	892	512	1404	1142	1364	1052	191	1243
"DC"	2010	18	1221	61	1282	985	313	1298	1159	1282	1045	79	1124
"DC"	2010	19	1157	41	1198	997	231	1228	1102	1234	971	58	1029
"DC"	2010	20	268	8	276	244	35	279	262	283	240	11	251
"DC"	2010	21	448	26	474	341	146	487	417	473	394	39	433
"DC"	2010	22	1172	58	1230	718	530	1248	1042	1214	1008	92	1100
"DC"	2010	23	783	42	825	637	211	848	754	841	699	48	747
"DC"	2010	24	808	35	843	540	317	857	710	859	700	65	765
"DC"	2010	25	1445	133	1578	882	735	1617	1275	1590	1184	184	1368
"DC"	2010	26	1050	118	1168	707	454	1161	952	1126	891	160	1051
