state	year	precinct	g2004_USP_tv	g2004_USP_dv	g2004_USP_rv	g2004_USH_tv	g2004_USH_dv	g2004_USH_rv	g2004_GOV_tv	g2004_GOV_dv	g2004_GOV_rv	g2004_LTG_tv	g2004_LTG_dv	g2004_LTG_rv	g2004_INS_tv	g2004_INS_dv	g2004_INS_rv	g2004_STS_tv	g2004_STS_dv	g2004_STS_rv	sd	g2004_STH_tv	g2004_STH_dv	g2004_STH_rv	ld
"DE"	2004	"01-01"	1002	825	168	922	446	464	974	740	226	932	801	124	924	754	170					866	866		1
"DE"	2004	"01-02"	23	18	5	18	16	2	20	16	3	18	17	1	18	15	3	17	17		3	18	18		2
"DE"	2004	"01-03"	699	623	70	552	374	165	617	494	108	572	521	41	556	508	48	530	530		3	534	534		3
"DE"	2004	"01-04"	1064	603	456	1027	179	830	1043	566	462	1016	609	396	1004	533	471					998	310	688	4
"DE"	2004	"01-05"	837	581	251	784	375	398	800	462	320	776	565	203	761	539	222	643	643		11	655	655		5
"DE"	2004	"01-06"	801	438	352	760	192	554	781	374	378	746	433	295	739	339	400					748	365	383	6
"DE"	2004	"01-07"	673	337	327	655	131	518	662	336	317	641	360	276	637	295	342	444		444	4	649	208	438	7
"DE"	2004	"01-08"	1098	442	649	1053	176	868	1081	415	647	1032	516	506	1022	409	613	1025	349	676	10	795	795		8
"DE"	2004	"01-09"	608	355	250	580	194	377	584	285	281	562	360	196	554	337	217					564	271	293	9
"DE"	2004	"01-10"	979	518	448	917	272	626	945	478	450	900	559	327	894	464	430	583		583	4	897	331	540	10
"DE"	2004	"01-11"	522	230	284	489	82	400	508	252	246	496	273	216	484	188	296					375		375	11
"DE"	2004	"01-12"	848	518	319	816	284	523	831	409	395	811	520	282	798	475	323					792	413	379	12
"DE"	2004	"01-13"	1047	623	406	1008	299	697	1021	489	498	988	630	342	959	589	370					827	827		13
"DE"	2004	"01-14"	2144	988	1147	2042	527	1497	2110	1026	1016	2045	1185	832	2004	892	1112	2011	786	1225	18	2069	1371	689	14
"DE"	2004	"01-15"	1612	1191	413	1514	850	649	1548	1040	481	1508	1178	307	1489	1122	367					1514	966	548	15
"DE"	2004	"01-16"	423	284	135	406	173	224	411	220	167	393	285	93	391	283	108					407	283	124	16
"DE"	2004	"01-17"	101	71	30	90	33	57	91	38	48	91	64	27	88	58	30	70	70		2	87	63	24	17
"DE"	2004	"01-18"	912	531	376	870	278	582	893	476	400	866	585	273	850	498	352					630		630	18
"DE"	2004	"01-19"	1224	784	431	1165	407	752	1178	667	482	1139	794	330	1131	697	434					945	945		19
"DE"	2004	"01-20"	898	396	492	877	145	720	877	399	464	870	459	397	837	371	466					690		690	20
"DE"	2004	"01-21"	1252	615	625	1212	231	969	1235	609	612	1196	703	482	1158	563	595					1185	336	849	21
"DE"	2004	"01-22"	489	227	258	470	81	383	481	235	240	458	252	205	444	199	245	348		348	4	369		369	22
"DE"	2004	"01-23"	369	248	111	329	151	166	338	211	111	315	218	80	297	205	92	179		179	6	319	206	113	23
"DE"	2004	"01-24"	445	273	170	420	137	278	431	217	199	411	267	137	405	244	161	404	194	210	10	298		298	24
"DE"	2004	"01-25"	626	447	152	578	264	287	590	411	158	566	418	120	552	386	166	288		288	6	573	344	229	25
"DE"	2004	"01-26"	620	436	179	585	242	332	610	329	262	590	408	169	586	394	192	507	507		11	507	507		26
"DE"	2004	"01-27"	952	595	349	899	301	585	923	507	394	885	583	287	869	490	379	891	420	471	10	596		596	27
"DE"	2004	"01-28"	551	336	207	511	207	292	529	219	246	504	320	154	513	290	223					475	475		28
"DE"	2004	"01-29"	2207	916	1277	2104	494	1577	2163	784	1104	2076	1173	827	2072	853	1219					2140	861	1279	29
"DE"	2004	"01-30"	1768	634	1114	1682	383	1274	1742	611	973	1677	868	759	1661	686	975					1705	753	952	30
"DE"	2004	"01-31"	235	87	148	228	57	171	231	78	146	224	110	111	224	79	145					189		189	31
"DE"	2004	"01-32"	1406	751	638	1315	459	831	1357	604	636	1315	814	469	1297	691	606	1320	674	625	17	1323	582	741	32
"DE"	2004	"01-33"	214	85	126	211	52	157	214	76	120	209	122	78	207	96	111					152		152	33
"DE"	2004	"01-34"	77	16	58	77	9	67	79	17	59	78	30	46	76	12	64	79	16	62	17	72		72	34
"DE"	2004	"01-35"	1709	445	1235	1628	303	1294	1684	585	987	1618	785	795	1593	584	1009					1443		1344	35
"DE"	2004	"01-36"	1399	531	851	1360	266	1071	1377	643	662	1357	761	564	1331	562	769	1354	318	1036	18	1363	526	837	36
"DE"	2004	"01-37"	1896	918	965	1813	456	1345	1871	1001	838	1785	1072	697	1770	742	1028	1781	652	1129	18	1787	576	1211	37
"DE"	2004	"01-38"	1886	604	1267	1804	327	1459	1852	763	1022	1789	876	891	1768	642	1126					1872	639	1233	38
"DE"	2004	"01-39"	544	151	387	530	90	439	539	195	318	523	257	259	520	169	351					535	219	316	39
"DE"	2004	"01-40"	1326	489	823	1295	275	1005	1321	566	686	1293	746	514	1272	598	674	1311	868	443	21	1053		1053	40
"DE"	2004	"01-41"	1124	299	816	1095	152	931	1115	348	685	1088	549	522	1084	364	720	1086	582	504	21	1103	176	927	41
"DE"	2004	"02-01"	835	760	70	749	461	272	784	618	149	745	663	76	750	653	97					733	733		1
"DE"	2004	"02-02"	881	839	38	731	538	188	789	650	130	727	694	28	720	667	53	731	731		2	759	759		2
"DE"	2004	"02-03"	1020	724	287	954	370	576	982	623	337	942	708	225	917	674	243	827	827		3	849	849		3
"DE"	2004	"02-04"	516	245	269	502	79	419	503	262	239	500	259	238	481	202	279	356		356	4	488	128	360	4
"DE"	2004	"02-05"	628	436	187	585	255	319	598	352	223	583	432	139	576	397	179	490	490		11	497	497		5
"DE"	2004	"02-06"	1284	759	510	1242	301	928	1256	706	524	1227	796	420	1222	557	665					1225	630	595	6
"DE"	2004	"02-07"	1061	543	508	1014	231	775	1037	561	467	1000	576	416	980	430	550					1021	360	657	7
"DE"	2004	"02-08"	1705	890	805	1604	487	1101	1661	785	838	1586	929	636	1562	823	739					1260	1260		8
"DE"	2004	"02-09"	1689	743	935	1620	401	1209	1658	774	855	1589	892	685	1558	709	849	1576	640	936	10	1618	489	1129	9
"DE"	2004	"02-10"	1100	588	499	1050	265	776	1081	569	498	1034	624	398	1017	507	510	731		731	4	1032	374	644	10
"DE"	2004	"02-11"	598	343	250	577	161	407	588	302	275	575	360	205	564	262	302					392		392	11
"DE"	2004	"02-12"	176	108	66	164	47	113	169	98	66	162	111	50	157	96	61					154	70	84	12
"DE"	2004	"02-13"	121	95	23	109	67	40	105	76	26	109	87	20	103	86	17	93	93		3	91	91		13
"DE"	2004	"02-14"	1610	825	772	1538	464	1063	1585	783	771	1529	927	586	1495	772	723	1488	699	789	18	1569	1141	396	14
"DE"	2004	"02-15"	988	690	293	921	402	515	950	575	360	917	672	239	911	644	267					935	535	400	15
"DE"	2004	"02-16"	675	617	55	594	455	137	609	481	121	602	556	43	587	543	44	582	582		2	620	566	54	16
"DE"	2004	"02-17"	269	180	86	255	112	140	262	153	102	249	178	68	249	171	78					250	203	47	17
"DE"	2004	"02-18"	370	203	164	349	109	235	352	181	157	337	196	134	338	192	146					226		226	18
"DE"	2004	"02-19"	843	530	305	792	265	518	812	436	353	788	548	227	762	502	260					665	665		19
"DE"	2004	"02-20"	726	392	327	694	163	522	711	373	326	687	434	247	667	356	311					511		511	20
"DE"	2004	"02-21"	572	307	260	548	135	408	563	269	275	546	351	191	524	296	228					544	158	386	21
"DE"	2004	"02-22"	732	346	381	714	149	556	720	381	336	701	387	305	694	300	394	531		531	6	531		531	22
"DE"	2004	"02-23"	994	546	431	953	236	702	969	546	406	936	566	355	917	438	479	623		623	6	953	463	490	23
"DE"	2004	"02-24"	1157	746	401	1062	403	646	1106	618	466	1057	730	319	1026	640	386	859	859		11	783		783	24
"DE"	2004	"02-25"	1007	577	416	967	308	645	980	527	425	949	584	345	951	554	397	959	379	580	10	976	423	553	25
"DE"	2004	"02-26"	795	533	259	755	339	408	763	456	291	742	521	213	726	494	232	734	432	302	10	590	590		26
"DE"	2004	"02-27"	722	417	297	689	227	448	706	358	326	672	412	243	663	376	287	680	292	388	10	450		450	27
"DE"	2004	"02-28"	1729	820	893	1638	460	1156	1696	648	857	1614	952	599	1608	732	876					1414	1414		28
"DE"	2004	"02-29"	1859	874	970	1770	506	1237	1822	780	923	1763	1002	705	1726	764	962					1781	850	931	29
"DE"	2004	"02-30"	304	116	182	292	74	213	302	98	175	289	145	135	288	119	169					297	135	162	30
"DE"	2004	"02-31"	1729	870	842	1631	455	1162	1699	797	831	1609	959	627	1579	779	800	1651	876	761	17	1178		1178	31
"DE"	2004	"02-32"	1192	541	635	1131	268	852	1164	497	597	1131	646	465	1116	492	624	1142	494	631	17	1144	394	750	32
"DE"	2004	"02-33"	1237	474	752	1188	272	901	1219	491	673	1164	603	540	1159	450	709	1200	346	854	16	918		918	33
"DE"	2004	"02-34"	165	48	113	159	24	131	162	53	99	158	71	85	159	52	107	161	48	110	17	133		133	34
"DE"	2004	"02-35"	2218	836	1358	2109	498	1567	2168	932	1127	2095	1166	889	2061	916	1145					1801		1651	35
"DE"	2004	"02-36"	1488	509	972	1440	269	1153	1466	684	724	1427	792	615	1403	586	817	1423	330	1093	18	1447	537	910	36
