state	year	precinct	g2006_USS_tv	g2006_USS_dv	g2006_USS_rv	g2006_USH_tv	g2006_USH_dv	g2006_USH_rv	g2006_ATG_tv	g2006_ATG_dv	g2006_ATG_rv	g2006_TRE_tv	g2006_TRE_dv	g2006_TRE_rv	g2006_AUD_tv	g2006_AUD_dv	g2006_AUD_rv	g2006_STS_tv	g2006_STS_dv	g2006_STS_rv	sd	g2006_STH_tv	g2006_STH_dv	g2006_STH_rv	ld
"DE"	2006	"01-01"	734	661	65	728	446	253	726	548	178	717	624	93	688	506	182	727	440	265	1	649	649		1
"DE"	2006	"01-02"	13	10	2	12	9	2	12	9	3	12	10	2	11	9	2					12	12		2
"DE"	2006	"01-03"	348	322	22	346	263	71	347	304	43	339	304	35	322	276	46					324	324		3
"DE"	2006	"01-04"	843	580	255	850	260	559	853	359	494	824	672	152	801	339	462	817	485	300	1	849	329	520	4
"DE"	2006	"01-05"	540	426	111	538	303	216	539	377	162	528	406	122	532	352	180					461	461		5
"DE"	2006	"01-06"	492	331	151	498	178	283	501	243	258	493	338	155	489	233	256	497	299	171	1	501	262	216	6
"DE"	2006	"01-07"	491	341	144	493	151	328	501	227	274	485	336	149	479	196	283					490	175	315	7
"DE"	2006	"01-08"	723	430	284	733	191	517	731	270	461	715	428	287	713	235	478					731	509	222	8
"DE"	2006	"01-09"	367	272	92	372	157	206	372	208	164	367	274	93	363	204	159	367	227	121	14	370	194	176	9
"DE"	2006	"01-10"	713	497	197	722	287	408	729	376	353	698	481	217	688	344	344					730	299	431	10
"DE"	2006	"01-11"	367	239	123	376	109	247	378	135	243	365	248	117	361	123	238	375	101	274	5	374	137	237	11
"DE"	2006	"01-12"	546	423	118	559	249	289	563	327	236	541	410	131	542	308	234	558	452	106	7	543	273	270	12
"DE"	2006	"01-13"	654	499	151	673	266	382	669	391	278	655	500	155	654	355	299	665	506	159	7	669	373	296	13
"DE"	2006	"01-14"	1501	975	510	1688	654	975	1692	833	859	1670	1074	596	1633	709	924					1687	1153	517	14
"DE"	2006	"01-15"	1039	884	144	1041	662	340	1045	794	251	1023	852	171	1021	756	265	521		521	12	1044	821	223	15
"DE"	2006	"01-16"	258	206	48	255	157	90	256	199	57	255	217	38	252	182	70	230	230		13	230	230		16
"DE"	2006	"01-17"	58	46	11	56	33	22	57	45	12	56	47	9	55	42	13					58	47	11	17
"DE"	2006	"01-18"	577	431	140	569	251	294	576	328	248	562	426	136	559	310	249	484	484		9	577	213	364	18
"DE"	2006	"01-19"	811	629	179	806	414	359	826	472	354	802	651	151	794	451	343	699	699		9	696	696		19
"DE"	2006	"01-20"	655	395	254	669	160	475	670	224	446	653	435	218	650	218	432	651	404	247	7	663	261	402	20
"DE"	2006	"01-21"	789	548	232	801	275	501	802	379	423	775	560	215	763	343	420	794	448	346	8	582		582	21
"DE"	2006	"01-22"	333	216	116	340	78	253	342	139	203	332	235	97	332	104	228					278		258	22
"DE"	2006	"01-23"	191	151	34	194	108	65	197	139	58	192	158	34	191	133	58					158	158		23
"DE"	2006	"01-24"	235	174	59	237	95	134	238	134	104	233	170	63	229	132	97					166		166	24
"DE"	2006	"01-25"	365	295	62	374	197	144	375	254	121	370	314	56	359	231	128					379	246	133	25
"DE"	2006	"01-26"	307	252	52	305	159	137	311	208	103	302	232	70	303	193	110					273	273		26
"DE"	2006	"01-27"	587	439	145	599	277	303	588	339	249	597	432	165	590	323	267					605	329	276	27
"DE"	2006	"01-28"	294	221	70	285	136	129	297	188	109	285	214	71	284	154	130	299	211	68	14	273	273		28
"DE"	2006	"01-29"	1539	985	534	1553	553	937	1567	768	799	1526	1048	478	1534	567	967	1229	1229		15	1171		1171	29
"DE"	2006	"01-30"	1142	692	432	1174	370	739	1171	573	598	1155	740	415	1151	367	784	899	899		15	1179	475	704	30
"DE"	2006	"01-31"	188	114	73	188	53	131	191	86	105	188	123	65	185	58	127	146	146		15	191	59	132	31
"DE"	2006	"01-32"	730	496	225	751	284	428	759	407	352	745	498	247	753	318	435					525		525	32
"DE"	2006	"01-33"	143	95	45	144	50	86	146	79	67	144	94	50	146	53	93	118	118		15	148	71	77	33
"DE"	2006	"01-34"	61	24	37	64	11	51	63	17	46	63	34	29	63	13	50					64	16	48	34
"DE"	2006	"01-35"	891	507	374	1121	292	761	1129	457	672	1101	570	531	1103	285	818	982	763	219	19	942		942	35
"DE"	2006	"01-36"	797	483	298	882	223	614	879	377	502	870	568	302	867	225	642					865	324	541	36
"DE"	2006	"01-37"	1332	839	477	1426	469	897	1433	646	787	1400	905	495	1388	559	829					941		941	37
"DE"	2006	"01-38"	1114	659	437	1390	384	950	1395	564	831	1333	729	604	1348	438	910	1027	1027		20	1415	365	1050	38
"DE"	2006	"01-39"	351	188	163	388	86	292	383	143	240	382	214	168	385	95	290	299	237	62	19	384	105	279	39
"DE"	2006	"01-40"	667	468	194	831	222	576	832	380	452	821	492	329	819	244	575					661		661	40
"DE"	2006	"01-41"	707	453	246	876	190	659	890	370	520	869	507	362	858	212	646					881	212	655	41
"DE"	2006	"02-01"	545	507	35	536	375	139	540	463	77	532	494	38	505	435	70	542	389	143	1	516	516		1
"DE"	2006	"02-02"	527	514	12	498	393	96	528	483	45	508	470	38	483	426	57					506	506		2
"DE"	2006	"02-03"	588	499	84	593	309	261	597	394	203	580	517	63	574	384	190					558	558		3
"DE"	2006	"02-04"	395	223	170	395	102	286	398	134	264	387	256	131	387	129	258					396	146	250	4
"DE"	2006	"02-05"	313	259	51	313	184	114	311	236	75	304	256	48	300	228	72					275	275		5
"DE"	2006	"02-06"	903	678	218	916	343	524	924	489	435	913	704	209	888	457	431	911	551	297	1	910	592	295	6
"DE"	2006	"02-07"	710	471	231	717	229	464	731	303	428	700	454	246	693	279	414	720	291	429	5	722	267	455	7
"DE"	2006	"02-08"	1266	876	381	1273	543	700	1270	682	588	1238	886	352	1222	612	610	1257	690	472	14	1271	972	299	8
"DE"	2006	"02-09"	1014	670	333	1035	393	611	1032	490	542	1012	673	339	1000	428	572					1036	429	607	9
"DE"	2006	"02-10"	773	552	214	789	307	452	790	382	408	776	559	217	762	354	408					781	334	447	10
"DE"	2006	"02-11"	401	291	104	408	160	230	409	214	195	408	310	98	401	204	197	408	206	202	5	407	197	210	11
"DE"	2006	"02-12"	125	91	27	123	53	62	127	73	54	123	104	19	119	63	56	125	87	38	8	120	58	62	12
"DE"	2006	"02-13"	46	34	11	45	22	21	46	31	15	44	35	9	43	29	14					45	28	17	13
"DE"	2006	"02-14"	1024	755	256	1127	476	606	1131	635	496	1114	750	364	1087	543	544					1123	845	266	14
"DE"	2006	"02-15"	581	488	89	578	340	219	584	427	157	563	458	105	563	394	169	301		301	12	578	498	80	15
"DE"	2006	"02-16"	376	359	16	365	289	66	376	339	37	362	333	29	361	324	37					355	355		16
"DE"	2006	"02-17"	179	145	28	180	103	71	183	128	55	175	146	29	170	113	57	143	143		13	183	156	27	17
"DE"	2006	"02-18"	227	168	55	226	90	122	234	131	103	225	169	56	224	119	105	184	184		9	235	94	141	18
"DE"	2006	"02-19"	526	397	127	535	243	278	532	309	223	524	416	108	512	304	208	462	462		9	467	467		19
"DE"	2006	"02-20"	547	385	156	550	165	354	555	262	293	541	410	131	532	229	303	550	327	223	8	543	255	288	20
"DE"	2006	"02-21"	398	294	104	398	156	229	398	208	190	392	301	91	387	197	190	325	325		9	293		293	21
"DE"	2006	"02-22"	490	333	152	494	134	340	494	199	295	492	345	147	484	193	291					407		368	22
"DE"	2006	"02-23"	728	519	199	747	247	456	740	340	400	736	531	205	718	330	388					595	595		23
"DE"	2006	"02-24"	599	483	108	597	297	275	603	396	207	586	450	136	581	349	232					376		376	24
"DE"	2006	"02-25"	711	526	176	715	312	374	719	396	323	697	522	175	689	374	315					723	373	350	25
"DE"	2006	"02-26"	471	379	86	478	269	185	482	342	140	468	375	93	468	325	143					427	427		26
"DE"	2006	"02-27"	401	295	104	403	178	209	405	241	164	401	286	115	398	216	182					405	228	177	27
"DE"	2006	"02-28"	1138	768	356	1128	433	635	1153	611	542	1118	802	316	1116	436	680	1148	680	364	14	984	984		28
"DE"	2006	"02-29"	1442	946	481	1460	565	835	1470	753	717	1456	932	524	1447	605	842	1136	1136		15	1046		1046	29
"DE"	2006	"02-30"	206	117	87	209	57	139	213	87	126	209	121	88	215	56	159	155	155		15	214	79	135	30
"DE"	2006	"02-31"	1025	729	294	1051	349	651	1060	552	508	1041	714	327	1038	391	647					1064	532	532	31
"DE"	2006	"02-32"	748	493	244	764	245	477	772	373	399	760	536	224	759	251	508					561		561	32
"DE"	2006	"02-33"	974	560	407	981	315	634	993	448	545	973	624	349	982	334	648					987	473	514	33
