state	year	precinct	g2008_USP_tv	g2008_USP_dv	g2008_USP_rv	g2008_STS_tv	g2008_STS_dv	g2008_STS_rv	sd	g2008_USS_tv	g2008_USS_dv	g2008_USS_rv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv	g2008_GOV_tv	g2008_GOV_dv	g2008_GOV_rv	g2008_LTG_tv	g2008_LTG_dv	g2008_LTG_rv	g2008_INS_tv	g2008_INS_dv	g2008_INS_rv	g2008_STH_tv	g2008_STH_dv	g2008_STH_rv	ld
"DE"	2008	"01-01"	1101	973	122					1058	953	105	971	534	433	1038	952	84	1001	785	216	975	806	151	996	885	111	1
"DE"	2008	"01-02"	31	27	2	19	19		3	28	27	1	23	19	4	24	22	2	24	21	3	26	24	2	25	23		2
"DE"	2008	"01-03"	777	747	27	588	588		3	713	672	41	607	467	133	670	641	26	626	551	75	636	562	56	619	619		3
"DE"	2008	"01-04"	1040	696	330					1005	697	308	1001	241	749	1014	748	259	1006	601	405	975	544	418	990	746	236	4
"DE"	2008	"01-05"	1042	836	198	820	820		11	992	789	203	943	555	385	986	791	194	961	720	241	949	700	240	840	840		5
"DE"	2008	"01-06"	810	497	301					770	492	278	754	241	504	759	485	268	763	429	334	744	384	332	558	558		6
"DE"	2008	"01-07"	680	410	263	645	345	300	4	660	409	251	652	167	479	652	413	235	649	359	290	635	325	297	647	320	327	7
"DE"	2008	"01-08"	1148	560	569	1115	722	393	10	1106	586	520	1097	259	824	1100	621	479	1076	535	540	1062	516	520	1096	508	588	8
"DE"	2008	"01-09"	673	434	234					650	438	212	627	272	350	638	454	181	631	416	215	629	422	197	637	351	286	9
"DE"	2008	"01-10"	1175	703	453	1091	608	483	4	1112	735	377	1083	383	684	1112	731	373	1086	627	458	1061	586	460	1116	577	533	10
"DE"	2008	"01-11"	500	286	207					484	292	192	467	115	350	486	323	159	472	258	214	464	239	217	464	152	312	11
"DE"	2008	"01-12"	849	604	232					816	610	206	796	337	452	815	613	192	795	548	246	788	517	250	473		473	12
"DE"	2008	"01-13"	1051	732	306					1016	740	276	979	389	580	1022	759	258	995	687	308	994	613	353	849	810		13
