state	year	precinct	g2010_USS_tv	g2010_USS_dv	g2010_USS_rv	g2010_USH_tv	g2010_USH_dv	g2010_USH_rv	g2010_ATG_tv	g2010_ATG_dv	g2010_TRE_tv	g2010_TRE_dv	g2010_TRE_rv	g2010_AUD_tv	g2010_AUD_dv	g2010_AUD_rv	g2010_STS_tv	g2010_STS_dv	g2010_STS_rv	sd	g2010_STH_tv	g2010_STH_dv	g2010_STH_rv	ld
"DE"	2010	"01-01"	833	753	71	823	738	80	797	751	801	661	140	798	650	148	731	731		1	741	741		1
"DE"	2010	"01-02"	14	11	3	14	11	3	10	10	11	9	2	12	9	3					9	9		2
"DE"	2010	"01-03"	295	279	13	284	274	8	287	283	280	266	14	273	258	15					281	237		3
"DE"	2010	"01-04"	905	677	213	913	635	268	825	688	881	486	395	867	434	433	685	685		1	906	618	288	4
"DE"	2010	"01-05"	738	553	167	727	555	158	674	596	715	522	193	714	501	213					634	634		5
"DE"	2010	"01-06"	575	315	235	574	320	239	478	365	553	274	279	551	256	295	387	387		1	569	255	308	6
"DE"	2010	"01-07"	538	309	211	539	306	227	461	359	528	250	278	528	225	303					537	286	240	7
"DE"	2010	"01-08"	835	380	424	827	364	434	691	474	808	283	525	801	264	537					824	459	365	8
"DE"	2010	"01-09"	504	304	180	503	319	180	445	361	502	287	215	495	273	222	491	314	177	14	500	294	206	9
"DE"	2010	"01-10"	900	505	362	898	493	378	758	591	865	423	442	859	381	478					897	490	407	10
"DE"	2010	"01-11"	371	220	143	369	206	155	314	230	355	152	203	353	136	217	367	101	262	5	364	117	247	11
"DE"	2010	"01-12"	552	379	156	550	370	163	493	409	537	319	218	538	314	224	532	372	160	7	369		301	12
"DE"	2010	"01-13"	725	436	250	715	445	244	635	523	697	404	293	700	390	310	711	485	226	7	602	530		13
"DE"	2010	"01-14"	2200	1093	1026	2207	1053	1119	1802	1342	2151	999	1152	2136	941	1195					2200	1221	979	14
"DE"	2010	"01-15"	1501	1242	235	1483	1243	227	1432	1313	1471	1205	266	1468	1183	285	580		580	12	1470	1270	188	15
"DE"	2010	"01-16"	294	196	89	287	214	67	263	233	286	191	95	280	183	97	242	242		13	239	239		16
"DE"	2010	"01-17"	59	36	18	57	37	18	52	44	59	40	19	54	32	22					44	44		17
"DE"	2010	"01-18"	650	402	230	636	395	227	566	471	626	346	280	624	347	277	630	453	177	9	644	261	369	18
"DE"	2010	"01-19"	896	575	286	890	585	288	775	645	869	500	369	857	492	365	881	698	183	9	887	686	201	19
"DE"	2010	"01-20"	682	346	313	683	330	341	557	399	678	253	425	665	267	398	670	329	341	7	678	226	452	20
"DE"	2010	"01-21"	923	564	335	920	529	373	786	637	895	409	486	894	405	489	907	530	377	8	665		665	21
"DE"	2010	"01-22"	406	211	182	402	195	200	339	240	394	146	248	390	127	263					401	104	297	22
"DE"	2010	"01-23"	194	148	44	191	134	53	176	148	175	127	48	177	122	55					186	141	45	23
"DE"	2010	"01-24"	308	191	104	300	193	97	277	219	302	182	120	299	164	135					306	215	91	24
"DE"	2010	"01-25"	395	312	75	398	315	72	370	318	383	269	114	376	249	127					389	287	102	25
"DE"	2010	"01-26"	354	258	85	351	251	92	321	274	341	239	102	338	242	96					308	300	8	26
"DE"	2010	"01-27"	731	485	217	731	466	237	653	510	713	441	272	700	406	294					716	499	217	27
"DE"	2010	"01-28"	429	301	115	426	304	110	395	348	418	279	139	415	281	134	427	350	77	14	420	335	85	28
"DE"	2010	"01-29"	2667	1293	1273	2628	1380	1190	2102	1672	2612	1231	1381	2592	1159	1433	2660	1538	1122	15	2620	1255	1365	29
"DE"	2010	"01-30"	1529	542	893	1524	607	864	1142	827	1512	500	1012	1492	461	1031	1514	606	908	15	1161		1161	30
"DE"	2010	"01-31"	221	75	135	217	72	141	165	121	217	61	156	214	60	154	218	83	135	15	219	92	127	31
"DE"	2010	"01-32"	1034	571	411	1011	599	382	840	692	1000	543	457	1001	523	478					1015	598	368	32
"DE"	2010	"01-33"	252	98	139	250	108	133	199	154	244	103	141	248	92	156	251	115	136	15	245	112	133	33
"DE"	2010	"01-34"	123	49	68	121	55	63	86	68	121	45	76	121	45	76					122	40	74	34
"DE"	2010	"01-35"	1528	385	1101	1517	446	1041	1128	661	1502	413	1089	1485	405	1080	1161		1161	19	1515	371	1144	35
"DE"	2010	"01-36"	1057	410	611	1055	421	612	870	598	1038	348	690	1029	336	693					1052	402	650	36
"DE"	2010	"01-37"	1562	909	619	1582	858	704	1266	1038	1555	796	759	1528	683	845					1560	721	839	37
"DE"	2010	"01-38"	1611	552	999	1621	532	1051	1206	774	1587	508	1079	1578	504	1074	999	999		20	1360		1360	38
"DE"	2010	"01-39"	477	119	338	476	121	345	344	217	471	107	364	470	131	339	396		396	19	411		411	39
"DE"	2010	"01-40"	979	290	638	979	325	622	748	488	955	311	644	947	342	605					805		805	40
"DE"	2010	"01-41"	1177	288	841	1181	367	783	937	585	1150	324	826	1148	351	797					1179	624	555	41
"DE"	2010	"02-01"	664	632	28	653	620	29	660	640	660	599	61	649	589	60	611	611		1	626	626		1
"DE"	2010	"02-02"	867	836	27	847	818	23	856	850	825	792	33	826	791	35					811	811		2
"DE"	2010	"02-03"	738	592	121	729	595	114	706	630	718	535	183	711	528	183					707	642		3
"DE"	2010	"02-04"	454	245	202	467	240	225	369	273	456	177	279	455	161	294					456	199	257	4
"DE"	2010	"02-05"	382	287	83	381	292	84	356	311	374	279	95	372	280	92					341	341		5
"DE"	2010	"02-06"	1062	697	337	1065	709	342	924	755	1039	558	481	1032	517	515	799	799		1	1063	502	549	6
"DE"	2010	"02-07"	781	445	312	779	448	315	637	520	760	363	397	739	330	409	755	303	448	5	781	392	371	7
"DE"	2010	"02-08"	1748	1012	693	1735	1006	699	1457	1160	1712	938	774	1684	915	769	1693	1082	611	14	1723	1095	628	8
"DE"	2010	"02-09"	1287	613	617	1277	632	627	1062	786	1267	513	754	1247	508	739					1285	582	703	9
"DE"	2010	"02-10"	835	513	283	834	491	322	723	578	811	396	415	805	374	431					827	434	393	10
"DE"	2010	"02-11"	447	282	151	442	279	148	386	311	444	229	215	436	227	209	446	182	258	5	446	184	262	11
"DE"	2010	"02-12"	132	87	40	134	90	42	122	105	130	81	49	128	71	57	129	92	37	8	98		84	12
"DE"	2010	"02-13"	74	53	18	73	57	14	67	59	74	53	21	73	58	15					64	62		13
"DE"	2010	"02-14"	1362	796	524	1358	762	565	1156	920	1333	721	612	1333	702	631					1353	844	509	14
"DE"	2010	"02-15"	855	682	156	848	685	152	806	729	845	675	170	835	640	195	368		368	12	849	689	146	15
"DE"	2010	"02-16"	529	494	29	517	482	28	510	498	519	482	37	509	480	29					498	498		16
"DE"	2010	"02-17"	222	160	51	217	164	48	210	186	216	150	66	214	151	63	183	183		13	183	183		17
"DE"	2010	"02-18"	270	162	93	270	171	92	235	186	267	142	125	262	147	115	267	188	79	9	269	121	144	18
"DE"	2010	"02-19"	570	387	159	566	394	159	502	415	552	345	207	549	330	219	556	439	117	9	564	422	142	19
"DE"	2010	"02-20"	584	346	222	577	337	228	507	390	566	272	294	564	272	292	570	343	227	8	573	247	326	20
"DE"	2010	"02-21"	411	250	138	417	256	150	356	288	405	204	201	406	205	201	404	293	111	9	291		291	21
