state	year	county	precinct	g2002_GOV_tv	g2002_GOV_rv	g2002_GOV_dv	g2002_USS_tv	g2002_USS_rv	g2002_USS_dv
"GA"	2002	"Appling County"	"1A"	115	84	26	116	76	38
"GA"	2002	"Appling County"	"1A1"	121	90	30	120	81	39
"GA"	2002	"Appling County"	"1B"	435	293	135	433	262	169
"GA"	2002	"Appling County"	"1C"	329	248	80	328	220	107
"GA"	2002	"Appling County"	"1D"	65	41	20	65	42	21
"GA"	2002	"Appling County"	"2"	602	203	386	588	203	380
"GA"	2002	"Appling County"	"3A"	140	108	29	141	107	31
"GA"	2002	"Appling County"	"3B"	168	74	90	169	63	104
"GA"	2002	"Appling County"	"3C"	495	341	146	501	329	158
"GA"	2002	"Appling County"	"4A"	168	132	35	168	124	43
"GA"	2002	"Appling County"	"4B"	192	162	27	193	154	36
"GA"	2002	"Appling County"	"4C"	170	129	40	169	116	51
"GA"	2002	"Appling County"	"4D"	405	294	108	407	281	122
"GA"	2002	"Appling County"	"5A"	335	250	78	335	227	101
"GA"	2002	"Appling County"	"5B"	144	107	36	140	95	45
"GA"	2002	"Appling County"	"5B1"	52	20	32	54	19	34
"GA"	2002	"Appling County"	"5C"	138	109	27	140	106	32
"GA"	2002	"Atkinson County"	"0001"	496	385	106	495	365	123
"GA"	2002	"Atkinson County"	"0002"	218	179	37	213	172	39
"GA"	2002	"Atkinson County"	"0003"	478	245	222	478	257	216
"GA"	2002	"Atkinson County"	"0004"	274	115	152	270	118	142
"GA"	2002	"Atkinson County"	"0005 - ABS"						
"GA"	2002	"Atkinson County"	"0006 - PROV"	121	73	45	121	70	45
"GA"	2002	"Bacon County"	"DOUGLAS"	1202	684	499	1198	706	482
"GA"	2002	"Bacon County"	"NEW LACY"	357	252	104	360	245	114
"GA"	2002	"Bacon County"	"TAYLOR"	288	208	72	288	192	93
"GA"	2002	"Bacon County"	"WARE"	207	177	28	206	168	34
"GA"	2002	"Bacon County"	"WARNOCK"	160	106	52	160	100	58
"GA"	2002	"Baker County"	"ANNA"	88	40	46	87	40	47
"GA"	2002	"Baker County"	"ELMODEL"	146	67	77	147	59	85
"GA"	2002	"Baker County"	"HOGGARDS MILL"	125	22	99	120	22	95
"GA"	2002	"Baker County"	"MILFORD"	147	67	77	148	69	78
"GA"	2002	"Baker County"	"NEWTON"	463	184	274	465	188	274
"GA"	2002	"Baldwin County"	"BODDIE"	266	98	164	263	85	176
"GA"	2002	"Baldwin County"	"CITY HALL ANNEX"	296	138	152	296	113	179
"GA"	2002	"Baldwin County"	"COOPERS"	545	372	165	550	344	202
"GA"	2002	"Baldwin County"	"COURTHOUSE"	328	162	162	327	145	178
"GA"	2002	"Baldwin County"	"E BALDWIN"	1245	683	543	1240	625	605
"GA"	2002	"Baldwin County"	"E HARDWICK"	330	103	216	329	89	238
"GA"	2002	"Baldwin County"	"FIRE DEPT"	546	187	351	551	180	370
"GA"	2002	"Baldwin County"	"MERIWEATHER"	839	551	276	839	532	296
"GA"	2002	"Baldwin County"	"NO BALDWIN"	1300	866	414	1302	855	438
"GA"	2002	"Baldwin County"	"NO MILLEDGEVILLE"	964	551	396	965	513	443
"GA"	2002	"Baldwin County"	"SCOTTSBORO"	339	212	122	339	186	149
"GA"	2002	"Baldwin County"	"SO MILLEDGEVILLE"	286	76	203	288	68	216
"GA"	2002	"Baldwin County"	"W BALDWIN"	591	296	283	594	276	308
"GA"	2002	"Baldwin County"	"W HARDWICK"	1037	291	726	1051	247	790
"GA"	2002	"Banks County"	"#1 ANDERSON"	373	245	124	376	249	123
"GA"	2002	"Banks County"	"#10 HOMER"	411	250	149	413	234	168
"GA"	2002	"Banks County"	"#11 POPLAR SPRINGS"	439	284	146	440	280	151
"GA"	2002	"Banks County"	"#12 WASHINGTON"	232	142	87	227	126	99
"GA"	2002	"Banks County"	"#13 WILMONTS"	170	101	64	170	97	71
"GA"	2002	"Banks County"	"#2 BALDWIN"	251	165	81	252	164	88
"GA"	2002	"Banks County"	"#3 BERLIN"	108	73	33	108	60	47
"GA"	2002	"Banks County"	"#4 BUSHVILLE"	246	170	67	248	152	92
"GA"	2002	"Banks County"	"#5 COLUMBIA"	120	86	31	121	75	42
"GA"	2002	"Banks County"	"#6 DAVIDS"	383	283	91	384	264	112
"GA"	2002	"Banks County"	"#7 GOLDEN HILL"	239	167	66	238	161	74
"GA"	2002	"Banks County"	"#8 GROVE RIVER"	190	135	54	191	139	51
"GA"	2002	"Banks County"	"#9 HOLLINGSWORTH"	246	154	84	246	148	95
"GA"	2002	"Barrow County"	"01 BETHLEHEM ELEM"	692	413	248	690	405	266
"GA"	2002	"Barrow County"	"02 COUNTYLINE FD"	1120	801	274	1123	833	268
"GA"	2002	"Barrow County"	"03 BRAMLETT ELEM"	550	378	152	550	401	138
"GA"	2002	"Barrow County"	"04 WESTSIDE MS"	953	633	270	962	648	293
"GA"	2002	"Barrow County"	"05 STATHAM FD"	354	253	91	353	249	99
"GA"	2002	"Barrow County"	"06 WINDER-BARROW HS"	536	354	168	541	341	194
"GA"	2002	"Barrow County"	"07 STATHAM ELEM"	1078	653	391	1078	663	391
"GA"	2002	"Barrow County"	"08 HOLSENBECK ELEM"	643	429	188	643	422	205
"GA"	2002	"Barrow County"	"09 LIONS CLUB"	355	253	99	356	245	109
"GA"	2002	"Barrow County"	"10 RECREATION DEPT"	535	236	284	531	239	281
"GA"	2002	"Barrow County"	"11 APALACHEE HS"	787	501	255	785	507	266
"GA"	2002	"Barrow County"	"12 AUBURN ELEM"	719	512	173	725	516	187
"GA"	2002	"Barrow County"	"13 COMMUNITY CTR"	816	490	286	818	497	310
"GA"	2002	"Bartow County"	"ADAIRSVILLE"	1277	786	458	1276	721	532
"GA"	2002	"Bartow County"	"ALLATOONA"	1046	592	414	1046	625	392
"GA"	2002	"Bartow County"	"CARTERSVILLE EAST"	1527	876	604	1526	847	637
"GA"	2002	"Bartow County"	"CARTERSVILLE WEST"	2280	1348	891	2278	1399	849
"GA"	2002	"Bartow County"	"CASSVILLE"	2372	1541	772	2377	1510	829
"GA"	2002	"Bartow County"	"CENTER"	927	652	254	926	642	267
"GA"	2002	"Bartow County"	"EMERSON"	740	452	258	741	450	275
"GA"	2002	"Bartow County"	"EUHARLEE"	822	525	273	823	533	271
"GA"	2002	"Bartow County"	"FOLSOM"	362	211	133	360	206	145
"GA"	2002	"Bartow County"	"KINGSTON"	687	386	277	687	356	316
"GA"	2002	"Bartow County"	"MISSION ROAD"	2014	1294	662	2015	1275	703
"GA"	2002	"Bartow County"	"PINE LOG"	662	450	178	665	432	217
"GA"	2002	"Bartow County"	"TAYLORSVILLE"	626	432	172	626	413	199
"GA"	2002	"Bartow County"	"WHITE"	717	480	219	720	456	251
"GA"	2002	"Bartow County"	"ZENA DRIVE"	1027	572	425	1036	571	448
"GA"	2002	"Berrien County"	"ALAPAHA"	466	262	203	463	234	221
"GA"	2002	"Berrien County"	"ENIGMA"	277	166	106	277	156	112
"GA"	2002	"Berrien County"	"JORDAN"	204	144	54	207	139	65
"GA"	2002	"Berrien County"	"LOWER TENTH"	127	102	23	128	85	42
"GA"	2002	"Berrien County"	"NASHVILLE"	1609	945	632	1610	847	737
"GA"	2002	"Berrien County"	"NEW LOIS"	116	75	38	116	84	32
"GA"	2002	"Berrien County"	"NEW RIVER"	106	69	36	106	67	38
"GA"	2002	"Berrien County"	"RAY CITY"	375	204	165	373	191	174
"GA"	2002	"Berrien County"	"UPPER TENTH"	99	82	17	101	81	20
"GA"	2002	"Bibb County"	"EM 1"	294	20	269	299	24	272
"GA"	2002	"Bibb County"	"EM 2"	719	71	636	723	75	646
"GA"	2002	"Bibb County"	"EM 3"	469	21	440	465	21	443
"GA"	2002	"Bibb County"	"EM 4"	610	256	333	608	259	339
"GA"	2002	"Bibb County"	"EM 5"	627	105	513	629	105	518
"GA"	2002	"Bibb County"	"EM 6"	592	40	546	605	42	561
"GA"	2002	"Bibb County"	"EM 7"	529	160	366	532	159	367
"GA"	2002	"Bibb County"	"EM 8"	638	93	538	650	91	554
"GA"	2002	"Bibb County"	"EM 9"	620	288	319	623	307	313
"GA"	2002	"Bibb County"	"GF 1"	401	63	328	410	66	339
"GA"	2002	"Bibb County"	"GF 2"	423	25	395	424	33	388
"GA"	2002	"Bibb County"	"GF 3"	451	15	427	456	13	437
"GA"	2002	"Bibb County"	"GF 4"	478	109	365	478	100	371
"GA"	2002	"Bibb County"	"GF 5"	324	112	205	323	109	213
"GA"	2002	"Bibb County"	"GF 6"	396	109	279	396	105	288
"GA"	2002	"Bibb County"	"GF 7"	550	67	477	555	86	465
"GA"	2002	"Bibb County"	"GF 8"	638	193	433	646	195	445
"GA"	2002	"Bibb County"	"GF 9"	712	196	507	713	189	516
"GA"	2002	"Bibb County"	"HA 1"	810	175	618	814	181	625
"GA"	2002	"Bibb County"	"HA 2"	1276	800	453	1284	811	463
"GA"	2002	"Bibb County"	"HA 3"	1309	704	579	1314	713	596
"GA"	2002	"Bibb County"	"HA 4"	718	536	166	720	535	171
"GA"	2002	"Bibb County"	"HA 5"	573	135	433	574	126	446
"GA"	2002	"Bibb County"	"HA 6"	594	160	427	593	166	421
"GA"	2002	"Bibb County"	"HA 7"	744	466	270	743	512	228
"GA"	2002	"Bibb County"	"HO 1"	774	539	228	774	567	204
"GA"	2002	"Bibb County"	"HO 2"	1567	1120	435	1573	1192	377
"GA"	2002	"Bibb County"	"HO 3"	1439	908	492	1442	950	481
"GA"	2002	"Bibb County"	"HO 4"	801	539	250	802	590	204
"GA"	2002	"Bibb County"	"HO 5"	775	532	230	776	532	238
"GA"	2002	"Bibb County"	"HO 6"	660	415	234	664	435	223
"GA"	2002	"Bibb County"	"HO 7"	1081	744	324	1081	758	318
"GA"	2002	"Bibb County"	"HO 8"	1333	927	383	1340	975	354
"GA"	2002	"Bibb County"	"HO 9"	1213	920	279	1216	972	238
"GA"	2002	"Bibb County"	"JONES CO"						
"GA"	2002	"Bibb County"	"MC 1"	465	114	344	466	102	360
"GA"	2002	"Bibb County"	"MC 2"	433	52	370	435	55	375
"GA"	2002	"Bibb County"	"MC 3"	418	20	389	427	31	393
"GA"	2002	"Bibb County"	"RU 1"	1812	1255	535	1820	1252	557
"GA"	2002	"Bibb County"	"RU 2"	1142	849	277	1148	823	320
"GA"	2002	"Bibb County"	"VV 1"	517	192	311	522	194	323
"GA"	2002	"Bibb County"	"VV 2"	335	23	304	338	26	310
"GA"	2002	"Bibb County"	"VV 3"	484	57	422	484	57	422
"GA"	2002	"Bibb County"	"VV 4"	738	94	630	740	94	640
"GA"	2002	"Bibb County"	"VV 5"	466	60	391	474	59	409
"GA"	2002	"Bibb County"	"VV 6"	1100	750	328	1099	773	319
"GA"	2002	"Bibb County"	"VV 7"	530	253	256	535	274	250
"GA"	2002	"Bibb County"	"VV 8"	603	328	266	606	339	263
"GA"	2002	"Bibb County"	"VV 9"	581	349	220	580	349	229
"GA"	2002	"Bibb County"	"WA 1"	926	579	338	929	559	366
"GA"	2002	"Bibb County"	"WA 2"	1058	663	384	1067	642	418
"GA"	2002	"Bleckley County"	"FAIRGROUND"	3120	2310	774	3146	2036	1077
"GA"	2002	"Brantley County"	"ATKINSON"	271	186	78	270	155	110
"GA"	2002	"Brantley County"	"CALVARY"	462	387	69	464	361	99
"GA"	2002	"Brantley County"	"HICKOX"	301	232	66	303	184	109
"GA"	2002	"Brantley County"	"HOBOKEN"	422	340	65	430	300	122
"GA"	2002	"Brantley County"	"HORTENSE"	308	219	83	303	183	115
"GA"	2002	"Brantley County"	"LULATON"	150	96	45	152	72	76
"GA"	2002	"Brantley County"	"NAHUNTA"	580	389	169	580	308	263
"GA"	2002	"Brantley County"	"SCHLATTERVILLE"	201	165	31	205	156	46
"GA"	2002	"Brantley County"	"WAYNESVILLE"	426	306	106	428	277	144
"GA"	2002	"Brooks County"	"BARNEY"	228	137	87	228	139	88
"GA"	2002	"Brooks County"	"BRIGGS"	488	311	167	486	318	162
"GA"	2002	"Brooks County"	"DIXIE"	195	67	125	192	63	126
"GA"	2002	"Brooks County"	"DRY LAKE"	118	56	62	116	64	52
"GA"	2002	"Brooks County"	"GROOVERVILLE"	122	53	65	123	47	72
"GA"	2002	"Brooks County"	"MORVEN"	322	133	187	321	136	182
"GA"	2002	"Brooks County"	"NANKIN"	200	130	66	198	114	76
"GA"	2002	"Brooks County"	"QUITMAN"	1013	391	604	1015	400	601
"GA"	2002	"Brooks County"	"WILLIAMS"	139	69	67	139	67	69
"GA"	2002	"Bryan County"	"1 - PEMBROKE WEST"	271	115	150	272	111	156
"GA"	2002	"Bryan County"	"2 - PEMBROKE EAST"	543	309	218	542	256	277
"GA"	2002	"Bryan County"	"3 - HENDRIX PARK"	624	422	188	622	353	254
"GA"	2002	"Bryan County"	"4 - BLITCHTON"	337	181	147	338	151	181
"GA"	2002	"Bryan County"	"5 - WAYS STATION"	567	392	169	564	404	155
"GA"	2002	"Bryan County"	"6 - DANIEL SIDING FIRE STN"	728	415	304	727	402	314
"GA"	2002	"Bryan County"	"7 - RECREATION CENTER"	1071	784	273	1069	804	258
"GA"	2002	"Bryan County"	"8 - HWY 144 EAST"	472	346	125	471	350	121
"GA"	2002	"Bryan County"	"9 - KELLER"	717	552	156	715	559	150
"GA"	2002	"Bulloch County"	"1 LOCKHART"	132	85	43	130	74	56
"GA"	2002	"Bulloch County"	"10 EMIT"	568	373	189	568	380	185
"GA"	2002	"Bulloch County"	"11 STATESBORO"	2278	1132	1117	2290	1184	1089
"GA"	2002	"Bulloch County"	"12 PORTAL"	613	310	292	612	296	310
"GA"	2002	"Bulloch County"	"13 FAIR"	2053	1136	877	2067	1196	854
"GA"	2002	"Bulloch County"	"14 AMORY"	1763	943	793	1769	933	823
"GA"	2002	"Bulloch County"	"2 BLITCH"	663	414	236	664	433	226
"GA"	2002	"Bulloch County"	"3 HAGIN"	633	358	265	631	353	271
"GA"	2002	"Bulloch County"	"4 BROOKLET"	674	439	218	671	424	241
"GA"	2002	"Bulloch County"	"5 STILSON"	672	476	183	673	450	206
"GA"	2002	"Bulloch County"	"6 BAY"	350	231	108	352	212	131
"GA"	2002	"Bulloch County"	"7 NEVILS"	336	228	105	334	208	125
"GA"	2002	"Bulloch County"	"8 SINKHOLE"	146	97	48	143	100	41
"GA"	2002	"Bulloch County"	"9 REGISTER"	307	165	137	308	157	149
"GA"	2002	"Burke County"	"ALEXANDER"	170	77	92	165	76	88
"GA"	2002	"Burke County"	"FOUR POINTS"	463	277	178	462	283	174
"GA"	2002	"Burke County"	"GIRARD"	270	110	157	265	105	160
"GA"	2002	"Burke County"	"GOUGH"	175	51	119	176	57	114
"GA"	2002	"Burke County"	"GREENSCUT"	484	232	243	478	243	232
"GA"	2002	"Burke County"	"KEYSVILLE"	236	89	144	235	76	154
"GA"	2002	"Burke County"	"MIDVILLE"	231	83	146	226	80	144
"GA"	2002	"Burke County"	"MUNNERLYN"	125	45	74	125	43	77
"GA"	2002	"Burke County"	"N WAYNESBORO"	765	202	552	769	195	564
"GA"	2002	"Burke County"	"S WAYNESBORO"	1128	701	415	1123	701	411
"GA"	2002	"Burke County"	"SARDIS"	364	166	189	358	150	204
"GA"	2002	"Burke County"	"SCOTTS CROSSROADS"	119	30	88	121	33	86
"GA"	2002	"Burke County"	"ST CLAIR"	152	44	107	153	45	103
"GA"	2002	"Burke County"	"TELFAIR"	186	109	72	189	109	77
"GA"	2002	"Burke County"	"VIDETTE"	140	71	67	143	66	75
"GA"	2002	"Butts County"	"COURTHOUSE"	287	77	206	288	77	211
"GA"	2002	"Butts County"	"FLOVILLA"	310	89	216	308	87	220
"GA"	2002	"Butts County"	"JENKINSBURG"	423	271	141	425	266	154
"GA"	2002	"Butts County"	"LIBRARY"	456	270	178	457	283	171
"GA"	2002	"Butts County"	"MT VERNON"	485	318	156	488	317	162
"GA"	2002	"Butts County"	"NO MULBERRY"	240	45	190	245	41	202
"GA"	2002	"Butts County"	"SHILOH"	273	83	180	273	75	191
"GA"	2002	"Butts County"	"STARK"	748	549	182	749	530	212
"GA"	2002	"Butts County"	"TOWALIGA"	589	409	167	589	396	184
"GA"	2002	"Butts County"	"WORTHVILLE"	638	440	175	636	435	195
"GA"	2002	"Calhoun County"	"ARLINGTON"	254	69	181	254	81	171
"GA"	2002	"Calhoun County"	"EDISON"	253	80	170	254	71	182
"GA"	2002	"Calhoun County"	"EDISON-ARLINGTON"	265	133	131	266	133	130
"GA"	2002	"Calhoun County"	"LEARY"	330	107	218	329	105	222
"GA"	2002	"Calhoun County"	"MORGAN"	280	120	159	280	109	169
"GA"	2002	"Camden County"	"BROWNTOWN"	199	132	60	198	122	66
"GA"	2002	"Camden County"	"GROSS ROAD"	958	542	389	956	548	382
"GA"	2002	"Camden County"	"HARRIETTS BLUFF"	535	343	185	537	338	193
"GA"	2002	"Camden County"	"KINGSLAND"	488	289	187	483	272	196
"GA"	2002	"Camden County"	"MARY LEE CLARK"	1317	790	512	1312	794	504
"GA"	2002	"Camden County"	"NORTH KINGSLAND"	496	198	277	502	187	307
"GA"	2002	"Camden County"	"NORTH SAINT MAR"	533	320	200	534	317	213
"GA"	2002	"Camden County"	"PROVISONAL"	1	0	1	1	0	1
"GA"	2002	"Camden County"	"SOUTH SAINT MAR"	744	355	370	747	358	377
"GA"	2002	"Camden County"	"TARBORO"	253	136	111	248	112	130
"GA"	2002	"Camden County"	"WAVERLY"	307	160	141	313	144	164
"GA"	2002	"Camden County"	"WEST KINGSLAND"	593	361	222	589	353	227
"GA"	2002	"Camden County"	"WOODBINE"	561	270	276	558	243	305
"GA"	2002	"Candler County"	"CHANDLER"	878	548	311	874	493	366
"GA"	2002	"Candler County"	"METTER"	1038	583	438	1031	511	503
"GA"	2002	"Carroll County"	"BETHANY"	799	548	229	800	509	278
"GA"	2002	"Carroll County"	"BONNER"	735	445	275	734	419	307
"GA"	2002	"Carroll County"	"BOWDON"	972	590	361	971	521	434
"GA"	2002	"Carroll County"	"BOWDON JCT"	364	220	137	362	187	171
"GA"	2002	"Carroll County"	"BURWELL"	510	362	137	513	327	179
"GA"	2002	"Carroll County"	"CENTER POINT"	569	420	139	566	393	166
"GA"	2002	"Carroll County"	"CENTRAL"	380	256	117	382	233	145
"GA"	2002	"Carroll County"	"CLEM"	773	550	202	776	516	244
"GA"	2002	"Carroll County"	"CO ADM BLDG"	717	417	270	720	369	335
"GA"	2002	"Carroll County"	"EMC"	508	308	186	501	259	232
"GA"	2002	"Carroll County"	"GEORGIAN SCHL"	483	230	247	482	221	255
"GA"	2002	"Carroll County"	"HULETT"	1419	963	421	1420	953	450
"GA"	2002	"Carroll County"	"KANSAS"	374	270	94	377	240	128
"GA"	2002	"Carroll County"	"LAKESHORE RC"	536	339	188	534	341	185
"GA"	2002	"Carroll County"	"LOWELL"	463	341	115	461	296	160
"GA"	2002	"Carroll County"	"MT. ZION"	504	345	136	505	302	196
"GA"	2002	"Carroll County"	"NEW HOPE"	378	241	123	379	212	155
"GA"	2002	"Carroll County"	"OAK GROVE"	551	407	137	553	363	182
"GA"	2002	"Carroll County"	"OLD CAMP"	901	626	250	909	566	323
"GA"	2002	"Carroll County"	"ROOPVILLE"	500	339	141	503	326	164
"GA"	2002	"Carroll County"	"SANDHILL"	851	529	300	850	508	326
"GA"	2002	"Carroll County"	"TABERNACLE CH"	512	327	169	515	292	214
"GA"	2002	"Carroll County"	"TEMPLE"	1255	810	410	1260	764	473
"GA"	2002	"Carroll County"	"TYUS"	605	415	174	605	364	237
"GA"	2002	"Carroll County"	"VILLA RICA CITY"	745	425	303	744	395	331
"GA"	2002	"Carroll County"	"VILLA RICA CO-N"	953	619	314	955	604	339
"GA"	2002	"Carroll County"	"VILLA RICA CO-S"	693	470	203	696	449	237
"GA"	2002	"Carroll County"	"W-SIDE REC CTR"	474	81	383	474	84	384
"GA"	2002	"Carroll County"	"W. GA COLLEGE"	614	409	188	616	417	189
"GA"	2002	"Carroll County"	"WHITESBURG"	621	400	201	626	382	240
"GA"	2002	"Catoosa County"	"BLACKSTOCK"	478	294	174	479	258	209
"GA"	2002	"Catoosa County"	"BOYNTON"	1549	1005	520	1554	1024	516
"GA"	2002	"Catoosa County"	"CATOOSA KEITH"	616	380	228	617	364	245
"GA"	2002	"Catoosa County"	"CHAMBERS"	695	471	206	696	452	229
"GA"	2002	"Catoosa County"	"DUNCAN PARK"	451	271	173	452	248	192
"GA"	2002	"Catoosa County"	"FT OGLETHORPE"	1107	640	445	1109	631	463
"GA"	2002	"Catoosa County"	"GRAYSVILLE"	1112	676	420	1117	697	413
"GA"	2002	"Catoosa County"	"LAKEVIEW"	894	524	346	898	499	378
"GA"	2002	"Catoosa County"	"POPLAR SPRINGS"	1091	735	332	1092	715	363
"GA"	2002	"Catoosa County"	"RINGGOLD"	1808	1171	612	1820	1188	611
"GA"	2002	"Catoosa County"	"WESTSIDE"	833	526	291	834	509	312
"GA"	2002	"Catoosa County"	"WOODSTATION"	715	449	253	715	452	255
"GA"	2002	"Charlton County"	"FOLKSTON - 1"	234	89	142	233	102	129
"GA"	2002	"Charlton County"	"FOLKSTON - 2"	250	126	117	248	138	106
"GA"	2002	"Charlton County"	"FOLKSTON - 5"	376	276	95	373	278	94
