state	year	county	precinct	g2006_REG_tv	g2006_GOV_tv	g2006_GOV_rv	g2006_GOV_dv
"GA"	2006	"Appling County"	"1A"	222	106	77	27
"GA"	2006	"Appling County"	"1A1"	226	126	80	45
"GA"	2006	"Appling County"	"1B"	979	403	278	119
"GA"	2006	"Appling County"	"1C"	646	306	208	96
"GA"	2006	"Appling County"	"1D"	108	44	27	16
"GA"	2006	"Appling County"	"2"	1567	458	195	252
"GA"	2006	"Appling County"	"3A"	248	101	82	18
"GA"	2006	"Appling County"	"3B"	314	123	45	77
"GA"	2006	"Appling County"	"3C"	1188	393	269	111
"GA"	2006	"Appling County"	"4A"	313	140	92	41
"GA"	2006	"Appling County"	"4B"	370	161	129	28
"GA"	2006	"Appling County"	"4C"	327	161	128	31
"GA"	2006	"Appling County"	"4D"	737	346	260	75
"GA"	2006	"Appling County"	"5A"	800	288	214	73
"GA"	2006	"Appling County"	"5B"	312	129	98	26
"GA"	2006	"Appling County"	"5B1"	138	44	14	29
"GA"	2006	"Appling County"	"5C"	289	134	91	38
"GA"	2006	"Atkinson County"	"Axson"	186	185	131	49
"GA"	2006	"Atkinson County"	"Pearson City"	183	178	78	95
"GA"	2006	"Atkinson County"	"Pearson County"	382	379	223	145
"GA"	2006	"Atkinson County"	"Willacoochee"	406	401	186	206
"GA"	2006	"Augusta-Richmond County"	"101"	471	469	289	161
"GA"	2006	"Augusta-Richmond County"	"102"	308	302	158	138
"GA"	2006	"Augusta-Richmond County"	"103"	419	408	55	345
"GA"	2006	"Augusta-Richmond County"	"104"	787	767	117	641
"GA"	2006	"Augusta-Richmond County"	"105"	187	180	30	145
"GA"	2006	"Augusta-Richmond County"	"106"	172	170	93	72
"GA"	2006	"Augusta-Richmond County"	"107"	703	694	409	264
"GA"	2006	"Augusta-Richmond County"	"108"	161	158	44	113
"GA"	2006	"Augusta-Richmond County"	"109"	100	99	41	53
"GA"	2006	"Augusta-Richmond County"	"110"	65	63	22	39
"GA"	2006	"Augusta-Richmond County"	"111"	271	268	114	145
"GA"	2006	"Augusta-Richmond County"	"112"	239	227	125	97
"GA"	2006	"Augusta-Richmond County"	"113"	199	195	46	143
"GA"	2006	"Augusta-Richmond County"	"201"	402	395	62	325
"GA"	2006	"Augusta-Richmond County"	"202"	926	914	366	529
"GA"	2006	"Augusta-Richmond County"	"203"	432	423	46	375
"GA"	2006	"Augusta-Richmond County"	"204"	327	323	211	101
"GA"	2006	"Augusta-Richmond County"	"205"	352	341	53	284
"GA"	2006	"Augusta-Richmond County"	"206"	235	230	142	77
"GA"	2006	"Augusta-Richmond County"	"207"	507	491	61	420
"GA"	2006	"Augusta-Richmond County"	"208"	390	385	111	261
