state	year	precinct	cd	g2004_REG_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv
"HI"	2004	"01-01"	2	1840	487	228	722	512	153	694	488	216	704
"HI"	2004	"01-02"	2	994	242	131	377	290	69	370	234	137	371
"HI"	2004	"01-03"	2	311	92	30	124	97	18	122	80	41	121
"HI"	2004	"01-04"	2	2314	678	358	1055	801	162	1020	702	338	1040
"HI"	2004	"01-05"	2	801	247	126	375	281	63	367	256	112	368
"HI"	2004	"01-06"	2	181	64	10	75	62	7	73	58	13	71
"HI"	2004	"01-07"	2	700	196	100	299	229	45	291	204	89	293
"HI"	2004	"01-08"	2	205	78	31	109	76	15	103	84	22	106
"HI"	2004	"01-09"	2	216	49	27	78	57	11	73	56	19	75
"HI"	2004	"01-10"	2	362	130	62	193	147	32	186	131	59	190
"HI"	2004	"01-11"	2	1001	318	88	410	384	16	402	320	83	403
"HI"	2004	"01-12"	2	874	215	116	334	270	45	322	239	92	331
"HI"	2004	"01-13"	2	1318	305	172	482	369	75	467	325	147	472
"HI"	2004	"01-14"	2	689	127	52	181	121	28	167	114	62	176
"HI"	2004	"01-15"	2	352	79	50	130	83	38	129	73	54	127
"HI"	2004	"02-01"	2	2812	632	415	1049	805	172	1012	698	344	1042
"HI"	2004	"02-02"	2	1549	304	207	513	390	99	501	333	162	495
"HI"	2004	"02-03"	2	973	202	111	318	240	55	305	214	95	309
"HI"	2004	"02-04"	2	865	189	81	271	203	46	265	185	81	266
"HI"	2004	"02-05"	2	1469	301	162	467	338	80	444	302	151	453
"HI"	2004	"02-06"	2	1333	298	150	460	341	69	447	248	200	448
"HI"	2004	"02-07"	2	1165	211	116	330	253	47	315	239	88	327
"HI"	2004	"02-08"	2	1191	236	146	390	308	55	374	257	122	379
"HI"	2004	"02-09"	2	1364	299	232	536	407	99	528	323	206	529
"HI"	2004	"03-01"	2	1700	436	327	767	600	131	748	453	307	760
"HI"	2004	"03-02"	2	422	58	45	103	88	11	102	76	26	102
"HI"	2004	"03-03"	2	457	105	54	161	145	14	159	128	33	161
