state	year	precinct	precinct_name	cd	g2010_REG_tv	g2010_USS_dv	g2010_USS_tv	g2010_USS_rv	g2010_USH_dv	g2010_USH_tv	g2010_USH_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_GOV_rv
"HI"	2010	"01-01"	"Kohala High/Elementary School"	2	3760	862	1179	240	808	1132	278	716	1197	466
"HI"	2010	"01-02"	"Hilo Union Elementary School"	2	699	124	169	26	130	161	26	131	175	43
"HI"	2010	"01-03"	"Kulaimano Community Center"	2	1729	525	621	73	512	592	74	452	636	180
"HI"	2010	"01-04"	"Honokaa High School"	2	2836	736	920	145	683	863	159	604	944	331
"HI"	2010	"01-05"	"Paauilo Elementary School"	2	898	282	358	56	277	348	60	256	371	110
"HI"	2010	"01-06"	"Kalanianaole Elem/Inter School"	2	929	271	344	52	271	335	52	221	346	123
"HI"	2010	"01-07"	"Papaaloa Gym"	2	920	224	292	50	209	277	59	199	298	96
"HI"	2010	"01-08"	"Honohina Hongwanji"	2	273	73	114	35	70	110	35	65	113	48
"HI"	2010	"01-09"	"Puueo Multi-Culture Center"	2	1384	329	434	87	309	414	85	296	447	148
"HI"	2010	"02-01"	"Ernest B. DeSilva Elementary School"	2	3023	779	999	184	735	964	206	643	1029	381
"HI"	2010	"02-02"	"Kaumana Elementary School"	2	1656	460	579	93	423	552	116	374	594	215
"HI"	2010	"02-03"	"Hilo High School"	2	3808	821	1030	159	811	994	160	709	1069	355
"HI"	2010	"02-04"	"Keaukaha Elementary School"	2	1446	395	480	59	386	467	63	305	483	173
"HI"	2010	"02-05"	"Edith Kanakaole Tennis Stadium"	2	3525	596	760	126	559	717	135	502	783	277
"HI"	2010	"03-01"	"AJA Memorial Hall"	2	4135	1072	1299	192	1015	1243	195	858	1337	466
"HI"	2010	"03-02"	"Hale Aloha Nazarene School"	2	460	146	171	25	139	159	18	108	172	64
"HI"	2010	"03-03"	"Hilo Daijingu Activity Center"	2	500	145	162	17	131	154	23	105	165	59
"HI"	2010	"03-04"	"Waiakea High School"	2	2280	554	641	81	517	610	87	434	650	212
"HI"	2010	"03-05"	"Keaau Middle School"	2	2083	615	751	109	582	713	114	486	761	267
"HI"	2010	"03-06"	"Waiakea Elementary School"	2	2981	812	958	113	760	901	118	638	964	317
"HI"	2010	"03-07"	"Waiakeawaena Elementary School"	2	1784	493	582	72	468	559	76	377	592	211
"HI"	2010	"04-01"	"Kurtistown Assembly of God Church"	2	1949	496	679	110	502	655	120	507	696	179
"HI"	2010	"04-02"	"Keaau High School"	2	1774	405	556	105	408	542	118	379	577	194
"HI"	2010	"04-03"	"Hawaiian Paradise Community Center"	2	2917	765	1091	230	753	1051	245	737	1118	358
"HI"	2010	"04-04"	"Keonepoko Elementary School"	2	2132	562	780	164	547	748	165	500	791	284
"HI"	2010	"04-05"	"Pahoa Community Center"	2	4282	1163	1556	226	1182	1507	221	1196	1613	383
"HI"	2010	"04-06"	"Church on a Sure Foundation"	2	3345	816	1183	293	804	1135	299	701	1208	488
"HI"	2010	"05-01"	"Mt. View Elementary School"	2	723	236	297	45	222	289	56	197	301	102
"HI"	2010	"05-02"	"Mt. View Senior Center"	2	1647	416	566	97	428	551	97	398	581	175
"HI"	2010	"05-03"	"Cooper Center"	2	1763	555	752	132	555	731	142	523	767	233
"HI"	2010	"05-04"	"Kau High School"	2	831	239	259	11	236	257	12	196	265	67
"HI"	2010	"05-05"	"Naalehu Elementary School"	2	1400	342	487	106	323	458	112	302	500	193
"HI"	2010	"05-06"	"Ocean View Community Center"	2	1775	465	676	155	436	646	170	445	688	235
"HI"	2010	"05-07"	"Milolii Halau"	2	505	143	194	34	149	185	31	153	199	44
"HI"	2010	"05-08"	"Hookena Elementary School"	2	519	162	196	21	161	190	24	138	200	57
"HI"	2010	"05-09"	"St. Benedict Catholic Church"	2	1036	319	384	44	308	369	51	287	389	99
"HI"	2010	"05-10"	"Konawaena Elementary School"	2	1821	499	659	113	480	635	132	445	666	215
"HI"	2010	"05-11"	"Konawaena High School"	2	2098	610	743	100	559	696	116	514	760	238
"HI"	2010	"06-01"	"Kealakehe Intermediate School"	2	1610	422	539	95	383	512	119	330	549	210
"HI"	2010	"06-02"	"Kahakai Elementary School"	2	3868	688	1109	378	601	1047	411	579	1125	535
"HI"	2010	"06-03"	"Kona Vistas Recreation Center"	2	2916	530	902	331	478	865	360	462	928	455
"HI"	2010	"06-04"	"Kona Imin Center"	2	1281	289	479	168	258	458	189	243	492	244
"HI"	2010	"06-05"	"Kekuaokalani Gym"	2	4751	702	1169	407	641	1116	435	607	1196	572
"HI"	2010	"07-01"	"Kealakehe High School"	2	1676	319	519	179	294	502	203	266	534	265
"HI"	2010	"07-02"	"Kona Palisades Community Center"	2	3712	753	1175	353	698	1111	379	642	1202	544
"HI"	2010	"07-03"	"Waikoloa Elementary School"	2	4107	868	1466	530	798	1417	582	762	1479	704
"HI"	2010	"07-04"	"Waimea Civic Center"	2	4311	838	1150	247	783	1098	279	698	1171	462
"HI"	2010	"07-05"	"Waimea New Hope Church"	2	1151	242	313	52	242	310	57	189	320	129
"HI"	2010	"08-01"	"Waihee Elementary School"	2	1730	456	594	108	442	585	116	340	614	264
"HI"	2010	"08-02"	"Velma McWayne Santos Community Center"	2	3425	897	1074	147	885	1050	150	668	1095	412
"HI"	2010	"08-03"	"Baldwin High School"	2	1548	366	445	59	341	427	72	282	462	172
