state	year	county	precinct	cd	ld	g2002_STH_dv	g2002_STH_rv	g2002_STH_tv	ld2	g2002_STH_dv2	g2002_STH_rv2	g2002_STH_tv2	ld3	g2002_STH_dv3	g2002_STH_rv3	g2002_STH_tv3	ld4	g2002_STH_dv4	g2002_STH_rv4	g2002_STH_tv4	ld5	g2002_STH_dv5	g2002_STH_rv5	g2002_STH_tv5	ld6	g2002_STH_dv6	g2002_STH_rv6	g2002_STH_tv6	ld7	g2002_STH_dv7	g2002_STH_rv7	g2002_STH_tv7	ld8	g2002_STH_dv8	g2002_STH_rv8	g2002_STH_tv8	ld9	g2002_STH_dv9	g2002_STH_rv9	g2002_STH_tv9	ld10	g2002_STH_dv10	g2002_STH_rv10	g2002_STH_tv10	ld11	g2002_STH_dv11	g2002_STH_rv11	g2002_STH_tv11	ld12	g2002_STH_dv12	g2002_STH_rv12	g2002_STH_tv12	ld13	g2002_STH_dv13	g2002_STH_rv13	g2002_STH_tv13	g2002_STS_dv	g2002_STS_rv	sd	g2002_STS_tv	g2002_STS_dv2	g2002_STS_rv2	sd2	g2002_STS_tv2	g2002_STS_dv3	g2002_STS_rv3	sd3	g2002_STS_tv3	g2002_STS_dv4	g2002_STS_rv4	sd4	g2002_STS_tv4	g2002_STS_dv5	g2002_STS_rv5	sd5	g2002_STS_tv5	g2002_STS_dv6	g2002_STS_rv6	sd6	g2002_STS_tv6	g2002_STS_dv7	g2002_STS_rv7	sd7	g2002_STS_tv7	g2002_STS_dv8	g2002_STS_rv8	sd8	g2002_STS_tv8	g2002_STS_dv9	g2002_STS_rv9	sd9	g2002_STS_tv9	g2002_STS_dv10	g2002_STS_rv10	sd10	g2002_STS_tv10	g2002_STS_dv11	g2002_STS_rv11	sd11	g2002_STS_tv11	g2002_STS_dv12	g2002_STS_rv12	sd12	g2002_STS_tv12	g2002_STS_dv13	g2002_STS_rv13	sd13	g2002_STS_tv13
"IA"	2002	"Adair"	"Absentee and Special Ballots"	5	58	212	290	502																																																	187	290	29	477																																																
"IA"	2002	"Adair"	"Adair Summit Casey Walnut N Eureka"	5	58	202	221	423																																																	151	247	29	398																																																
"IA"	2002	"Adair"	"Bridgewater Jackson Washington"	5	58	104	110	214																																																	99	100	29	199																																																
"IA"	2002	"Adair"	"City Of Orient Orient Union"	5	58	92	150	242																																																	87	136	29	223																																																
"IA"	2002	"Adair"	"Fontanelle Richland S Summerset"	5	58	127	244	372																																																	120	228	29	348																																																
"IA"	2002	"Adair"	"N Grand River Grove N Lee"	5	58	56	71	127																																																	43	74	29	117																																																
"IA"	2002	"Adair"	"S Eureka Prussia N Summerset"	5	58	31	118	149																																																	43	100	29	143																																																
"IA"	2002	"Adair"	"Se Greenfield & Twp S Lee Grndrvr"	5	58	120	145	265																																																	104	147	29	251																																																
"IA"	2002	"Adair"	"Stuart Lincoln Harrison Jefferson"	5	58	218	170	389																																																	208	161	29	369																																																
"IA"	2002	"Adair"	"Sw & N Greenfield"	5	58	256	342	598																																																	212	351	29	563																																																
"IA"	2002	"Adams"	"Absentee and Special Ballots"	5	96	0	237	240																																																	0	0	48	0																																																
"IA"	2002	"Adams"	"Carbon"	5	96	0	166	166																																																	0	0	48	0																																																
"IA"	2002	"Adams"	"Corning A"	5	96	0	218	220																																																	0	0	48	0																																																
"IA"	2002	"Adams"	"Corning B"	5	96	0	195	195																																																	0	0	48	0																																																
"IA"	2002	"Adams"	"Nodaway"	5	96	0	78	78																																																	0	0	48	0																																																
"IA"	2002	"Adams"	"Prescott"	5	96	0	123	125																																																	0	0	48	0																																																
"IA"	2002	"Adams"	"Quincy West Jasper"	5	96	0	115	115																																																	0	0	48	0																																																
"IA"	2002	"Adams"	"Se Adams"	5	96	0	174	175																																																	0	0	48	0																																																
"IA"	2002	"Allamakee"	"Absentee and Special Ballots"	4	16	0	583	589																																																	344	460	8	805																																																
"IA"	2002	"Allamakee"	"Center Twp"	4	16	0	75	78																																																	32	65	8	97																																																
"IA"	2002	"Allamakee"	"Fairview Twp"	4	16	0	25	25																																																	12	25	8	37																																																
"IA"	2002	"Allamakee"	"Franklin"	4	16	0	89	89																																																	27	70	8	97																																																
"IA"	2002	"Allamakee"	"French Creek Twp"	4	16	0	55	56																																																	25	51	8	76																																																
"IA"	2002	"Allamakee"	"Hanover"	4	16	0	37	37																																																	32	31	8	63																																																
"IA"	2002	"Allamakee"	"Iowa New Albin"	4	16	0	143	145																																																	73	122	8	195																																																
"IA"	2002	"Allamakee"	"Jefferson"	4	16	0	98	99																																																	51	79	8	130																																																
"IA"	2002	"Allamakee"	"Lafayette"	4	16	0	79	82																																																	31	75	8	107																																																
"IA"	2002	"Allamakee"	"Lansing"	4	16	0	48	48																																																	21	45	8	66																																																
"IA"	2002	"Allamakee"	"Linton"	4	16	0	135	138																																																	50	114	8	165																																																
"IA"	2002	"Allamakee"	"Ludlow"	4	16	0	333	334																																																	207	242	8	449																																																
"IA"	2002	"Allamakee"	"Makee"	4	16	0	123	125																																																	69	98	8	167																																																
"IA"	2002	"Allamakee"	"Paint Creek"	4	16	0	126	127																																																	36	120	8	157																																																
"IA"	2002	"Allamakee"	"Post"	4	16	0	109	109																																																	55	75	8	130																																																
"IA"	2002	"Allamakee"	"Postville"	4	16	0	362	363																																																	181	272	8	454																																																
"IA"	2002	"Allamakee"	"Taylor Harpers Ferry"	4	16	0	138	139																																																	116	102	8	218																																																
"IA"	2002	"Allamakee"	"Union City Twp"	4	16	0	75	75																																																	15	68	8	83																																																
"IA"	2002	"Allamakee"	"Union Prairie"	4	16	0	114	114																																																	40	97	8	138																																																
"IA"	2002	"Allamakee"	"Waterloo Twp"	4	16	0	57	58																																																	34	48	8	82																																																
"IA"	2002	"Allamakee"	"Waukon 1"	4	16	0	374	375																																																	156	292	8	450																																																
