state	year	county	precinct	g2004_USP_dv	g2004_USP_rv	g2004_USS_dv	g2004_USS_rv	g2004_USH_dv	g2004_USH_rv	g2004_STS_dv	g2004_STS_rv	g2004_STH_dv	g2004_STH_rv	ld	sd	cd	g2004_USP_tv	g2004_USS_tv	g2004_USH_tv	g2004_STS_tv	g2004_STH_tv
"IA"	2004	"Adair"	"Absentee and Special Ballots"	480	460	273	652	434	464			394	538	58		5	945.0	941.0	899.0	0.0	934.0
"IA"	2004	"Adair"	"Adair Summit Casey Walnut N Eureka"	196	304	73	422	191	277			142	353	58		5	504.0	498.0	469.0	0.0	495.0
"IA"	2004	"Adair"	"Bridgewater Jackson Washington"	119	123	39	197	111	116			82	160	58		5	243.0	240.0	227.0	0.0	242.0
"IA"	2004	"Adair"	"City Of Orient Orient Union"	131	178	60	244	153	138			101	202	58		5	310.0	311.0	292.0	0.0	304.0
"IA"	2004	"Adair"	"Fontanelle Richland S Summerset"	186	281	73	390	152	281			125	347	58		5	473.0	468.0	433.0	0.0	472.0
"IA"	2004	"Adair"	"N Grand River Grove N Lee"	45	94	28	104	47	83			43	93	58		5	140.0	136.0	131.0	0.0	136.0
"IA"	2004	"Adair"	"S Eureka Prussia N Summerset"	57	117	13	158	46	118			35	139	58		5	174.0	174.0	164.0	0.0	174.0
"IA"	2004	"Adair"	"Se Greenfield & Twp S Lee Grndrvr"	127	172	57	232	112	164			117	181	58		5	302.0	294.0	276.0	0.0	298.0
"IA"	2004	"Adair"	"Stuart Lincoln Harrison Jefferson"	228	263	97	389	257	206			270	218	58		5	495.0	492.0	464.0	0.0	489.0
"IA"	2004	"Adair"	"Sw & N Greenfield"	275	410	103	571	250	397			210	478	58		5	692.0	685.0	647.0	0.0	688.0
"IA"	2004	"Adair Total"		1844	2402	816	3359	1753	2244	0	0	1519	2709				4278.0	4239.0	4002.0	0.0	4232.0
"IA"	2004	"Adams"	"Absentee and Special Ballots"	235	302	136	386	229	278	245	283	216	296	96	48	5	545.0	533.0	507.0	528.0	512.0
"IA"	2004	"Adams"	"Carbon"	102	155	35	214	102	136	110	148	91	147	96	48	5	260.0	257.0	238.0	258.0	238.0
"IA"	2004	"Adams"	"Corning 1A"	65	100	26	139	72	88	90	74	66	94	96	48	5	167.0	166.0	160.0	164.0	160.0
"IA"	2004	"Adams"	"Corning 1B"	27	29	11	45	25	31	27	31	23	33	96	48	5	56.0	58.0	56.0	58.0	56.0
"IA"	2004	"Adams"	"Corning 2A"	40	60	12	86	40	58	54	48	36	65	96	48	5	101.0	99.0	98.0	102.0	101.0
"IA"	2004	"Adams"	"Corning 2B"	64	70	24	106	62	69	69	64	52	76	96	48	5	136.0	133.0	131.0	133.0	128.0
"IA"	2004	"Adams"	"Corning 3A"	37	58	11	84	41	53	47	50	42	52	96	48	5	97.0	97.0	94.0	97.0	94.0
"IA"	2004	"Adams"	"Corning 3B"	53	75	17	108	52	72	50	79	39	90	96	48	5	129.0	126.0	124.0	129.0	129.0
"IA"	2004	"Adams"	"Nodaway"	51	83	13	117	41	86	54	83	51	82	96	48	5	137.0	133.0	127.0	137.0	133.0
"IA"	2004	"Adams"	"Prescott"	90	104	34	159	96	95	96	103	67	125	96	48	5	198.0	197.0	191.0	199.0	192.0
"IA"	2004	"Adams"	"Quincy"	81	116	37	155	78	106	101	97	89	102	96	48	5	199.0	198.0	184.0	199.0	191.0
"IA"	2004	"Adams"	"SE Adams"	132	165	51	242	133	152	153	145	91	202	96	48	5	299.0	297.0	285.0	298.0	293.0
"IA"	2004	"Adams Total"		977	1317	407	1841	971	1224	1096	1205	863	1364				2324.0	2294.0	2195.0	2302.0	2227.0
"IA"	2004	"Allamakee"	"Absentee and Special Ballots"	932	777	564	1105	859	821	772	922	0	1224	16	8	4	1732.0	1711.0	1680.0	1695.0	1239.0
"IA"	2004	"Allamakee"	"Center Twp"	74	68	29	107	62	74	53	85	0	112	16	8	4	144.0	139.0	136.0	138.0	112.0
"IA"	2004	"Allamakee"	"Fairview Twp"	30	30	16	39	26	24	21	34	0	38	16	8	4	60.0	57.0	50.0	55.0	38.0
"IA"	2004	"Allamakee"	"Franklin"	42	89	16	109	43	85	34	98	0	118	16	8	4	131.0	129.0	128.0	132.0	118.0
"IA"	2004	"Allamakee"	"French Creek"	37	54	17	73	34	55	31	59	0	70	16	8	4	92.0	90.0	89.0	90.0	71.0
"IA"	2004	"Allamakee"	"Hanover"	40	33	28	43	33	38	38	34	0	50	16	8	4	73.0	71.0	71.0	72.0	50.0
"IA"	2004	"Allamakee"	"Iowa New Albin"	163	179	104	217	144	182	132	193	0	245	16	8	4	345.0	334.0	327.0	325.0	246.0
"IA"	2004	"Allamakee"	"Jefferson"	80	113	34	155	74	116	71	120	0	158	16	8	4	194.0	193.0	190.0	191.0	158.0
"IA"	2004	"Allamakee"	"Lafayette"	93	86	53	114	90	83	78	100	0	123	16	8	4	185.0	177.0	173.0	178.0	125.0
"IA"	2004	"Allamakee"	"Lansing"	329	249	198	348	288	264	263	301	0	421	16	8	4	582.0	570.0	552.0	565.0	424.0
"IA"	2004	"Allamakee"	"Linton"	46	55	21	81	42	58	41	62	0	76	16	8	4	104.0	104.0	100.0	103.0	76.0
"IA"	2004	"Allamakee"	"Ludlow"	81	122	35	165	75	129	76	129	0	174	16	8	4	206.0	206.0	204.0	205.0	175.0
"IA"	2004	"Allamakee"	"Makee"	109	106	48	167	93	116	95	119	0	171	16	8	4	220.0	220.0	209.0	214.0	171.0
"IA"	2004	"Allamakee"	"Paint Creek"	66	134	29	169	60	133	50	149	0	174	16	8	4	200.0	202.0	193.0	199.0	174.0
"IA"	2004	"Allamakee"	"Post"	62	96	25	129	57	97	61	97	0	131	16	8	4	158.0	158.0	154.0	158.0	131.0
"IA"	2004	"Allamakee"	"Postville"	216	279	91	394	163	311	138	364	0	388	16	8	4	499.0	488.0	474.0	503.0	391.0
"IA"	2004	"Allamakee"	"Taylor Harpers Ferry"	169	96	99	160	148	105	145	118	0	170	16	8	4	268.0	265.0	254.0	263.0	171.0
"IA"	2004	"Allamakee"	"Union City Twp"	30	78	14	91	26	82	29	78	0	98	16	8	4	110.0	108.0	108.0	107.0	98.0
"IA"	2004	"Allamakee"	"Union Prairie"	77	113	30	154	63	121	74	117	0	159	16	8	4	191.0	188.0	184.0	191.0	160.0
"IA"	2004	"Allamakee"	"Waterloo"	58	46	27	78	52	53	47	65	0	84	16	8	4	112.0	110.0	105.0	112.0	84.0
"IA"	2004	"Allamakee"	"Waukon 1"	259	268	135	386	235	283	183	345	0	425	16	8	4	531.0	525.0	518.0	528.0	429.0
"IA"	2004	"Allamakee"	"Waukon 2"	253	238	131	362	233	258	200	296	0	408	16	8	4	495.0	500.0	491.0	498.0	411.0
"IA"	2004	"Allamakee"	"Waukon 3"	203	221	91	325	174	243	165	264	0	352	16	8	4	430.0	423.0	417.0	429.0	352.0
"IA"	2004	"Allamakee Total"		3449	3530	1835	4971	3074	3731	2797	4149	0	5369				7062.0	6968.0	6807.0	6951.0	5404.0
"IA"	2004	"Appanoose"	"Absentee and Special Ballots"	1230	940	834	1298	957	1138			1313	815	94		2	2185.0	2154.0	2116.0	0.0	2128.0
"IA"	2004	"Appanoose"	"Bellair Lincoln"	115	134	69	174	67	167			121	114	94		2	250.0	245.0	235.0	0.0	235.0
"IA"	2004	"Appanoose"	"Caldwell"	80	91	48	118	55	103			94	66	94		2	172.0	169.0	161.0	0.0	160.0
"IA"	2004	"Appanoose"	"Centerville W1"	220	298	120	381	136	345			278	212	94		2	523.0	507.0	485.0	0.0	491.0
"IA"	2004	"Appanoose"	"Centerville W2"	225	322	110	403	132	369			282	231	94		2	547.0	524.0	507.0	0.0	513.0
"IA"	2004	"Appanoose"	"Centerville W3"	229	280	130	365	130	345			223	214	94		2	519.0	508.0	483.0	0.0	437.0
"IA"	2004	"Appanoose"	"Johns Independence"	86	117	63	155	51	134			87	101	94		2	204.0	220.0	186.0	0.0	188.0
"IA"	2004	"Appanoose"	"Pleasant Franklin"	154	155	85	112	95	179			154	117	94		2	314.0	202.0	283.0	0.0	271.0
