state	year	county	precinct	cd	g2008_USP_rv	g2008_USP_dv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_tv	g2008_USH_dv	g2008_USH_rv
"IA"	2008	"01-Adair"	"ABSENTEE PRECINCT"	5	647	740	1406.0	821	570	1391.0	1336.0	555.0	746
"IA"	2008	"01-Adair"	"ADAIR COMMUNITY CENTRE"	5	340	232	582.0	337	245	582.0	563.0	174.0	379
"IA"	2008	"01-Adair"	"FONTANELLE COMMUNITY BUILDING"	5	307	251	566.0	349	217	567.0	533.0	174.0	340
"IA"	2008	"01-Adair"	"ORIENT UNITED METHODIST CHURCH"	5	206	214	428.0	259	162	421.0	408.0	154.0	245
"IA"	2008	"01-Adair"	"STUART RECREATIONAL CENTER"	5	290	231	530.0	280	245	526.0	507.0	188.0	307
"IA"	2008	"01-Adair"	"YMCA OF ADAIR COUNTY"	5	270	256	541.0	321	209	532.0	515.0	181.0	312
"IA"	2008	"02-Adams County"	"ABSENTEE PRECINCT"	5	309	417	735.0	444	280	724.0	711.0	341.0	349
"IA"	2008	"02-Adams County"	"CARBON UNITED METHODIST HALL"	5	100	104	207.0	114	88	202.0	198.0	86.0	106
"IA"	2008	"02-Adams County"	"CORNING AMERICAN LEGION-CG1A"	5	154	145	303.0	177	123	300.0	288.0	118.0	161
"IA"	2008	"02-Adams County"	"CORNING COMMUNITY CENTER"	5	136	119	262.0	142	112	254.0	253.0	99.0	137
"IA"	2008	"02-Adams County"	"KLINE MUSEUM"	5	123	105	239.0	134	102	236.0	232.0	85.0	136
"IA"	2008	"02-Adams County"	"NODAWAY COMMUNITY BUILDING"	5	78	43	123.0	64	57	121.0	117.0	34.0	79
"IA"	2008	"02-Adams County"	"PRESCOTT CITY HALL"	5	74	88	166.0	107	59	166.0	163.0	69.0	82
"IA"	2008	"02-Adams County"	"REDEEMER LUTHERAN CHURCH"	5	72	97	171.0	106	64	170.0	166.0	71.0	89
"IA"	2008	"03-Allamakee"	"ABSENTEE PRECINCT"	4	878	1598	2517.0	1676	794	2470.0	2428.0	1232.0	1195
"IA"	2008	"03-Allamakee"	"FV/TL/HF CITY"	4	113	216	333.0	234	87	322.0	316.0	171.0	144
"IA"	2008	"03-Allamakee"	"LF/CN/LS/LS CITY"	4	311	494	817.0	525	272	797.0	788.0	374.0	414
"IA"	2008	"03-Allamakee"	"PC/LT/WV CITY"	4	155	130	291.0	172	111	283.0	275.0	83.0	192
"IA"	2008	"03-Allamakee"	"PO/FK TWP"	4	130	100	233.0	118	111	229.0	228.0	44.0	184
"IA"	2008	"03-Allamakee"	"PV CITY"	4	219	182	410.0	220	166	386.0	382.0	127.0	255
"IA"	2008	"03-Allamakee"	"UC/IA/NA CITY"	4	223	181	415.0	239	170	409.0	407.0	154.0	253
"IA"	2008	"03-Allamakee"	"UP/MK/FC/JF/LL"	4	373	344	724.0	427	279	706.0	700.0	215.0	485
"IA"	2008	"03-Allamakee"	"WK 1 CITY"	4	191	204	410.0	241	159	401.0	400.0	141.0	258
"IA"	2008	"03-Allamakee"	"WK 2 CITY"	4	170	232	407.0	263	133	397.0	396.0	151.0	245
"IA"	2008	"03-Allamakee"	"WK 3 CITY"	4	146	181	336.0	202	120	322.0	320.0	110.0	210
"IA"	2008	"03-Allamakee"	"WL/HV"	4	56	109	169.0	112	51	164.0	166.0	76.0	89
"IA"	2008	"04-Appanoose County"	"ABSENTEE PRECINCT"	2	904	1281	2220.0	1392	793	2188.0	2133.0	1157.0	922
"IA"	2008	"04-Appanoose County"	"Bellair Lincoln"	2	136	76	217.0	110	106	216.0	213.0	84.0	120
"IA"	2008	"04-Appanoose County"	"Caldwell"	2	102	81	186.0	97	85	182.0	176.0	72.0	100
"IA"	2008	"04-Appanoose County"	"Centerville W1"	2	278	226	511.0	286	210	496.0	488.0	209.0	255
"IA"	2008	"04-Appanoose County"	"Centerville W2"	2	263	242	518.0	307	200	507.0	499.0	200.0	278
