state	year	precinct	county	g2000_USP_rv	g2000_USP_dv	g2000_REG_tv	g2000_BALL_tv	g2000_USH_rv	g2000_USH_dv
"ID"	2000	"1"	"Ada"	204	234	1085	525	238	247
"ID"	2000	"2"	"Ada"	277	188	939	525	276	211
"ID"	2000	"3"	"Ada"	321	295	1234	688	377	262
"ID"	2000	"4"	"Ada"	196	177	950	465	226	189
"ID"	2000	"5"	"Ada"	145	121	928	353	159	141
"ID"	2000	"6"	"Ada"	409	275	1103	726	449	252
"ID"	2000	"7"	"Ada"	275	187	929	535	306	188
"ID"	2000	"8"	"Ada"	241	148	1005	426	213	177
"ID"	2000	"9"	"Ada"	501	414	1535	974	565	364
"ID"	2000	"10"	"Ada"	347	176	843	566	381	164
"ID"	2000	"11"	"Ada"	112	234	1001	472	135	268
"ID"	2000	"12"	"Ada"	561	279	1421	897	550	296
"ID"	2000	"13"	"Ada"	253	227	939	565	280	223
"ID"	2000	"14"	"Ada"	386	251	1310	702	413	227
"ID"	2000	"15"	"Ada"	535	325	1576	952	526	348
"ID"	2000	"16"	"Ada"	907	390	2355	1374	849	423
"ID"	2000	"17"	"Ada"	388	218	1209	657	375	244
"ID"	2000	"18"	"Ada"	308	509	1496	961	378	519
"ID"	2000	"19"	"Ada"	130	312	1034	554	154	345
"ID"	2000	"20"	"Ada"	478	398	1829	1010	493	435
"ID"	2000	"21"	"Ada"	147	316	1124	639	187	382
"ID"	2000	"22"	"Ada"	183	355	1128	636	216	379
"ID"	2000	"23"	"Ada"	188	298	969	576	220	293
"ID"	2000	"24"	"Ada"	279	404	1341	844	296	490
"ID"	2000	"25"	"Ada"	424	389	1463	927	502	378
"ID"	2000	"26"	"Ada"	250	148	939	445	259	144
"ID"	2000	"27"	"Ada"	529	417	1587	1026	596	376
"ID"	2000	"28"	"Ada"	150	167	705	390	152	209
"ID"	2000	"29"	"Ada"	536	132	1048	706	520	155
"ID"	2000	"30"	"Ada"	269	243	1025	600	308	253
"ID"	2000	"31"	"Ada"	305	451	1514	938	385	492
"ID"	2000	"32"	"Ada"	288	252	1164	610	274	279
"ID"	2000	"33"	"Ada"	273	247	976	622	306	268
"ID"	2000	"34"	"Ada"	291	274	1051	645	294	303
"ID"	2000	"35"	"Ada"	363	239	1063	670	394	234
"ID"	2000	"36"	"Ada"	465	219	1199	740	432	254
"ID"	2000	"37"	"Ada"	265	225	904	572	305	218
"ID"	2000	"38"	"Ada"	414	299	1819	796	422	303
"ID"	2000	"39"	"Ada"	436	295	1515	800	451	305
"ID"	2000	"40"	"Ada"	311	238	1002	604	346	219
"ID"	2000	"41"	"Ada"	123	201	735	404	138	218
"ID"	2000	"42"	"Ada"	398	229	1059	702	355	318
"ID"	2000	"43"	"Ada"	289	232	945	584	318	221
"ID"	2000	"44"	"Ada"	327	235	1078	630	361	222
"ID"	2000	"45"	"Ada"	301	337	1149	734	346	335
"ID"	2000	"46"	"Ada"	242	103	538	369	232	113
"ID"	2000	"47"	"Ada"	636	186	1298	850	582	217
"ID"	2000	"48"	"Ada"	263	273	963	612	303	255
"ID"	2000	"49"	"Ada"	300	220	909	589	302	235
"ID"	2000	"50"	"Ada"	480	408	1626	1011	446	494
"ID"	2000	"51"	"Ada"	259	229	947	553	258	248
"ID"	2000	"52"	"Ada"	884	270	1726	1228	825	336
"ID"	2000	"53"	"Ada"	490	354	1511	924	512	345
"ID"	2000	"54"	"Ada"	389	208	922	643	362	243
"ID"	2000	"55"	"Ada"	402	163	896	595	362	208
"ID"	2000	"56"	"Ada"	373	194	1094	615	350	225
"ID"	2000	"57"	"Ada"	265	182	728	504	259	198
"ID"	2000	"58"	"Ada"	292	222	802	561	280	250
"ID"	2000	"59"	"Ada"	394	213	952	662	364	245
"ID"	2000	"60"	"Ada"	301	194	795	542	326	195
"ID"	2000	"61"	"Ada"	305	252	1053	618	327	238
"ID"	2000	"62"	"Ada"	352	273	1161	697	391	252
"ID"	2000	"63"	"Ada"	664	238	1606	988	613	301
"ID"	2000	"64"	"Ada"	492	380	1478	965	540	357
"ID"	2000	"65"	"Ada"	576	337	1501	974	539	397
"ID"	2000	"66"	"Ada"	692	233	1382	993	641	273
"ID"	2000	"67"	"Ada"	1305	471	2645	1855	1176	586
"ID"	2000	"68"	"Ada"	1458	441	2810	1986	1357	528
"ID"	2000	"69"	"Ada"	82	53	277	151	85	59
"ID"	2000	"70"	"Ada"	42	5	69	48	41	7
"ID"	2000	"71"	"Ada"	501	199	1343	758	483	218
"ID"	2000	"72"	"Ada"	479	172	1028	698	470	195
"ID"	2000	"73"	"Ada"	1278	388	2600	1751	1205	451
"ID"	2000	"74"	"Ada"	868	310	1828	1284	870	338
"ID"	2000	"75"	"Ada"	446	186	1110	674	404	233
"ID"	2000	"76"	"Ada"	546	224	1216	806	469	274
"ID"	2000	"77"	"Ada"	776	236	1547	1058	729	268
"ID"	2000	"78"	"Ada"	410	140	836	586	391	155
"ID"	2000	"79"	"Ada"	903	288	1903	1261	810	357
"ID"	2000	"80"	"Ada"	391	268	1832	799	416	278
"ID"	2000	"81"	"Ada"	225	133	800	387	228	139
"ID"	2000	"82"	"Ada"	753	431	2033	1267	714	468
"ID"	2000	"83"	"Ada"	932	291	1721	1278	901	315
"ID"	2000	"84"	"Ada"	506	306	1502	890	545	288
"ID"	2000	"85"	"Ada"	663	247	1522	979	630	288
"ID"	2000	"86"	"Ada"	751	398	2074	1229	716	437
"ID"	2000	"87"	"Ada"	884	428	2255	1382	818	473
"ID"	2000	"88"	"Ada"	877	370	2166	1342	835	414
"ID"	2000	"89"	"Ada"	637	280	1510	978	569	339
"ID"	2000	"90"	"Ada"	762	265	1717	1104	745	298
"ID"	2000	"91"	"Ada"	1764	506	3572	2422	1672	593
"ID"	2000	"92"	"Ada"	478	108	971	629	450	145
"ID"	2000	"93"	"Ada"	465	135	1049	658	419	187
"ID"	2000	"94"	"Ada"	233	63	498	319	197	99
"ID"	2000	"95"	"Ada"	1022	348	2337	1439	967	387
"ID"	2000	"96"	"Ada"	711	235	1774	999	660	259
"ID"	2000	"97"	"Ada"	576	183	1316	809	528	237
"ID"	2000	"98"	"Ada"	846	364	2190	1307	818	403
"ID"	2000	"99"	"Ada"	800	297	1729	1190	736	365
"ID"	2000	"100"	"Ada"	806	248	1620	1109	718	303
"ID"	2000	"101"	"Ada"	751	249	1578	1057	693	305
"ID"	2000	"102"	"Ada"	1213	470	2433	1761	1164	486
"ID"	2000	"103"	"Ada"	699	265	1589	1020	647	306
"ID"	2000	"104"	"Ada"	196	132	600	353	184	146
"ID"	2000	"105"	"Ada"	1379	473	2556	1923	1277	536
"ID"	2000	"106"	"Ada"	568	416	1650	1072	562	424
"ID"	2000	"107"	"Ada"	754	570	2539	1441	688	654
"ID"	2000	"108"	"Ada"	178	192	667	423	172	221
"ID"	2000	"109"	"Ada"	214	77	500	321	193	109
"ID"	2000	"110"	"Ada"	393	336	1468	830	453	320
"ID"	2000	"111"	"Ada"	968	531	2482	1593	1026	499
"ID"	2000	"112"	"Ada"	493	166	1109	717	466	190
"ID"	2000	"113"	"Ada"	385	278	1062	719	440	240
"ID"	2000	"114"	"Ada"	605	445	1781	1116	657	393
"ID"	2000	"115"	"Ada"	326	318	1121	718	350	340
"ID"	2000	"116"	"Ada"	717	198	1460	978	671	234
"ID"	2000	"117"	"Ada"	661	407	1978	1151	628	435
"ID"	2000	"118"	"Ada"	456	294	1227	809	419	333
"ID"	2000	"119"	"Ada"	626	297	1559	1000	594	347
"ID"	2000	"120"	"Ada"	642	338	1702	1046	627	362
"ID"	2000	"121"	"Ada"	497	368	1608	933	548	324
"ID"	2000	"122"	"Ada"	814	439	2196	1327	759	486
"ID"	2000	"123"	"Ada"	796	348	1995	1227	754	396
"ID"	2000	"124"	"Ada"	470	210	1125	725	414	254
"ID"	2000	"125"	"Ada"	1103	388	2301	1566	1019	432
"ID"	2000	"126"	"Ada"	271	212	784	531	250	242
"ID"	2000	"127"	"Ada"	322	157	819	508	295	177
"ID"	2000	"128"	"Ada"	506	309	1508	886	557	283
