state	year	precinct	county	cd	g2004_REG_tv	g2004_BALL_tv	g2004_USP_rv	g2004_USP_dv	g2004_USS_rv	g2004_USS_dv	g2004_USH_dv	g2004_USH_rv
"ID"	2004	"1"	"Ada"	1	2527	1692	1244	404	1413	1	383	1224
"ID"	2004	"2"	"Ada"	1	2276	1553	1137	386	1332	1	391	1088
"ID"	2004	"3"	"Ada"	1	1594	1083	654	407	879	3	380	631
"ID"	2004	"4"	"Ada"	1	2645	1777	1282	474	1551	1	459	1228
"ID"	2004	"5"	"Ada"	1	1203	771	510	243	624	1	240	483
"ID"	2004	"6"	"Ada"	1	2458	1504	1009	442	1274	0	441	968
"ID"	2004	"7"	"Ada"	1	2502	1633	1103	490	1371	1	496	1026
"ID"	2004	"8"	"Ada"	1	2140	1572	1208	331	1385	0	309	1162
"ID"	2004	"9"	"Ada"	1	4570	3093	2291	744	2719	1	749	2148
"ID"	2004	"10"	"Ada"	1	880	417	305	107	362	1	103	289
"ID"	2004	"11"	"Ada"	1	2023	1290	800	443	1060	1	422	790
"ID"	2004	"12"	"Ada"	1	1423	930	499	402	733	2	390	483
"ID"	2004	"13"	"Ada"	2	1816	1178	601	544	927	5	440	665
"ID"	2004	"14"	"Ada"	2	849	588	289	285	453	1	210	355
"ID"	2004	"15"	"Ada"	2	1112	741	395	329	593	3	233	479
"ID"	2004	"16"	"Ada"	2	1988	1331	593	697	979	0	469	781
"ID"	2004	"17"	"Ada"	1	2117	1295	927	344	1128	1	337	883
"ID"	2004	"18"	"Ada"	1	2010	1303	885	384	1116	6	369	861
"ID"	2004	"19"	"Ada"	1	1238	808	540	248	693	2	256	509
"ID"	2004	"20"	"Ada"	1	1089	707	442	238	607	0	228	446
"ID"	2004	"21"	"Ada"	1	879	588	378	194	502	1	186	370
"ID"	2004	"22"	"Ada"	1	2102	1312	737	530	1060	4	521	700
"ID"	2004	"23"	"Ada"	2	1522	785	446	282	607	3	261	441
"ID"	2004	"24"	"Ada"	2	1158	460	278	171	400	0	102	339
"ID"	2004	"25"	"Ada"	2	2644	1609	820	761	1253	5	626	890
"ID"	2004	"26"	"Ada"	2	1630	1029	504	493	774	9	416	571
"ID"	2004	"27"	"Ada"	1	1965	1256	861	365	1069	0	357	834
"ID"	2004	"28"	"Ada"	1	1584	997	700	267	857	0	291	628
"ID"	2004	"29"	"Ada"	1	1124	759	492	240	659	2	231	485
"ID"	2004	"30"	"Ada"	1	1526	995	669	300	842	0	300	640
"ID"	2004	"31"	"Ada"	1	1981	1171	728	419	975	0	419	685
"ID"	2004	"32"	"Ada"	2	889	626	374	238	520	1	167	423
"ID"	2004	"33"	"Ada"	2	2055	1264	636	577	919	3	523	657
"ID"	2004	"34"	"Ada"	2	1078	731	323	381	513	6	304	387
"ID"	2004	"35"	"Ada"	2	738	482	201	267	345	0	239	219
"ID"	2004	"36"	"Ada"	2	1363	818	249	544	515	6	442	325
"ID"	2004	"37"	"Ada"	2	1606	1048	299	716	653	9	571	421
"ID"	2004	"38"	"Ada"	2	1501	982	365	590	674	11	402	535
"ID"	2004	"39"	"Ada"	2	1727	1069	224	791	595	6	672	350
"ID"	2004	"40"	"Ada"	2	1029	639	156	460	355	1	398	203
"ID"	2004	"41"	"Ada"	2	1856	1117	421	671	782	7	491	562
"ID"	2004	"42"	"Ada"	1	659	480	379	89	429	2	93	354
"ID"	2004	"43"	"Ada"	1	3462	2123	1605	460	1871	2	483	1481
"ID"	2004	"44"	"Ada"	1	3416	2108	1542	504	1858	0	528	1405
"ID"	2004	"45"	"Ada"	1	2162	1362	914	391	1176	0	429	837
"ID"	2004	"46"	"Ada"	1	2553	1489	1074	369	1295	3	364	1002
"ID"	2004	"47"	"Ada"	1	2148	1429	1039	362	1253	0	371	961
"ID"	2004	"48"	"Ada"	1	990	640	448	170	554	1	191	408
"ID"	2004	"49"	"Ada"	1	2062	1322	867	404	1096	0	426	793
"ID"	2004	"50"	"Ada"	1	2450	1457	905	513	1211	0	499	850
"ID"	2004	"51"	"Ada"	1	1834	1134	728	375	966	0	358	712
"ID"	2004	"52"	"Ada"	1	1423	907	538	333	746	4	343	488
"ID"	2004	"53"	"Ada"	1	1741	1090	629	410	904	1	403	590
"ID"	2004	"54"	"Ada"	1	1181	780	435	297	617	1	309	418
"ID"	2004	"55"	"Ada"	2	1686	1118	653	431	905	2	325	728
"ID"	2004	"56"	"Ada"	2	1643	892	510	351	729	2	294	527
"ID"	2004	"57"	"Ada"	2	1997	1182	610	533	921	0	454	630
"ID"	2004	"58"	"Ada"	2	1103	639	269	340	454	1	309	267
"ID"	2004	"59"	"Ada"	2	2067	1352	359	946	800	5	806	463
"ID"	2004	"60"	"Ada"	2	1950	963	249	670	553	10	559	321
"ID"	2004	"61"	"Ada"	1	1481	940	736	186	827	0	202	661
"ID"	2004	"62"	"Ada"	1	1340	890	638	220	781	0	229	589
"ID"	2004	"63"	"Ada"	1	2259	1461	1031	371	1266	2	405	943
"ID"	2004	"64"	"Ada"	1	2781	1731	1127	559	1455	5	589	1020
"ID"	2004	"65"	"Ada"	1	1836	1043	701	321	878	4	310	660
"ID"	2004	"66"	"Ada"	1	1689	1002	624	348	851	2	351	565
"ID"	2004	"67"	"Ada"	2	1781	959	524	394	763	1	338	536
"ID"	2004	"68"	"Ada"	2	1435	829	416	369	638	1	292	466
"ID"	2004	"69"	"Ada"	2	941	576	252	303	432	4	252	281
"ID"	2004	"70"	"Ada"	2	930	554	236	295	418	1	227	287
"ID"	2004	"71"	"Ada"	2	1199	680	324	326	522	3	269	376
"ID"	2004	"72"	"Ada"	2	1252	721	230	466	469	4	409	273
"ID"	2004	"73"	"Ada"	2	1194	803	304	482	568	4	356	404
"ID"	2004	"74"	"Ada"	2	2115	1463	730	683	1135	11	463	907
"ID"	2004	"75"	"Ada"	2	1797	812	345	438	615	2	317	410
"ID"	2004	"76"	"Ada"	2	1460	874	354	497	622	6	359	465
"ID"	2004	"77"	"Ada"	2	1574	988	294	675	654	4	512	431
"ID"	2004	"78"	"Ada"	1	2274	1406	1008	366	1217	0	387	907
"ID"	2004	"79"	"Ada"	1	833	552	362	166	476	0	169	344
"ID"	2004	"80"	"Ada"	2	804	509	270	219	414	0	176	311
"ID"	2004	"81"	"Ada"	2	1812	1085	600	443	858	7	360	650
"ID"	2004	"82"	"Ada"	2	1510	893	500	365	710	7	300	526
"ID"	2004	"83"	"Ada"	2	1933	1089	521	529	821	5	452	565
"ID"	2004	"84"	"Ada"	2	1119	727	329	371	562	3	275	411
"ID"	2004	"85"	"Ada"	2	1797	1080	446	594	793	5	469	548
"ID"	2004	"86"	"Ada"	2	1478	763	333	395	552	4	353	358
"ID"	2004	"87"	"Ada"	2	2224	1180	538	602	894	6	450	632
"ID"	2004	"88"	"Ada"	2	965	616	299	298	462	1	241	346
"ID"	2004	"89"	"Ada"	1	2353	1648	1212	400	1447	1	419	1157
"ID"	2004	"90"	"Ada"	1	1840	1204	927	262	1080	0	284	865
"ID"	2004	"91"	"Ada"	1	1539	1021	778	230	905	4	240	722
"ID"	2004	"92"	"Ada"	1	1260	789	548	207	693	0	215	521
"ID"	2004	"93"	"Ada"	1	2019	1410	1021	358	1217	0	362	966
"ID"	2004	"94"	"Ada"	1	2794	1723	1221	469	1477	0	464	1129
"ID"	2004	"95"	"Ada"	1	653	392	234	145	317	0	123	235
"ID"	2004	"96"	"Ada"	2	69	36	20	15	30	1	15	18
"ID"	2004	"97"	"Ada"	2	1557	971	543	396	788	3	306	594
"ID"	2004	"98"	"Ada"	2	1665	1018	588	387	817	2	347	599
"ID"	2004	"99"	"Ada"	2	1591	943	511	390	721	1	355	508
"ID"	2004	"100"	"Ada"	2	1641	1055	518	494	787	4	433	554
"ID"	2004	"101"	"Ada"	2	1022	650	351	281	515	2	232	386
"ID"	2004	"102"	"Ada"	2	1715	1081	477	564	800	7	484	548
"ID"	2004	"103"	"Ada"	2	1155	774	373	370	610	0	268	452
"ID"	2004	"104"	"Ada"	2	1776	1126	541	549	877	2	405	653
"ID"	2004	"105"	"Ada"	2	1666	1065	536	496	838	6	363	633
"ID"	2004	"106"	"Ada"	2	1457	954	517	426	792	0	243	667
"ID"	2004	"107"	"Ada"	2	1679	1039	556	455	819	3	359	620
"ID"	2004	"108"	"Ada"	2	1530	1018	491	502	816	5	384	584
"ID"	2004	"109"	"Ada"	1	771	537	412	119	478	2	135	379
"ID"	2004	"110"	"Ada"	1	1347	948	680	250	834	2	243	641
"ID"	2004	"111"	"Ada"	1	1876	1310	912	358	1124	0	384	850
"ID"	2004	"112"	"Ada"	1	1796	1154	749	379	978	5	373	718
"ID"	2004	"113"	"Ada"	2	301	189	137	43	166	1	35	139
"ID"	2004	"114"	"Ada"	2	2031	1359	790	542	1119	3	414	874
"ID"	2004	"115"	"Ada"	1	2414	1639	1169	448	1386	2	471	1083
"ID"	2004	"116"	"Ada"	2	3431	2207	1362	785	1770	2	648	1405
"ID"	2004	"117"	"Ada"	1	2861	2075	1611	417	1829	3	478	1466
"ID"	2004	"118"	"Ada"	1	1045	697	513	157	594	0	200	453
"ID"	2004	"119"	"Ada"	1	1623	1090	771	293	921	1	304	702
"ID"	2004	"120"	"Ada"	1	1211	726	469	240	605	0	267	428
"ID"	2004	"121"	"Ada"	2	66	37	25	11	29	0	13	20
"ID"	2004	"122"	"Ada"	1	2585	1615	1248	328	1410	1	407	1093
"ID"	2004	"123"	"Ada"	1	1253	897	712	161	815	0	185	669
"ID"	2004	"124"	"Ada"	1	1737	1190	898	266	1017	1	310	811
"ID"	2004	"125"	"Ada"	1	82	58	49	9	54	0	12	41
"ID"	2004	"126 Absentee"	"Ada"	1	0	937	580	342	750	7	312	578
"ID"	2004	"127 Absentee"	"Ada"	1	0	3333	2349	919	2803	9	890	2305
"ID"	2004	"128 Absentee"	"Ada"	1	0	2166	1352	748	1744	12	748	1300
"ID"	2004	"129 Absentee"	"Ada"	1	0	971	577	368	797	2	340	577
"ID"	2004	"130 Absentee"	"Ada"	1	0	116	58	56	80	2	55	57
"ID"	2004	"131 Absentee"	"Ada"	1	0	634	353	267	503	4	228	367
"ID"	2004	"132 Absentee"	"Ada"	2	0	978	560	388	761	7	314	594
"ID"	2004	"133 Absentee"	"Ada"	2	0	1221	590	589	903	10	466	677
"ID"	2004	"134 Absentee"	"Ada"	1	0	87	54	31	71	0	22	58
"ID"	2004	"135 Absentee"	"Ada"	2	0	1434	750	629	1058	8	533	823
"ID"	2004	"136 Absentee"	"Ada"	2	0	1276	734	488	998	8	438	767
"ID"	2004	"137 Absentee"	"Ada"	1	0	574	384	174	474	0	169	378
"ID"	2004	"138 Absentee"	"Ada"	2	0	2337	1199	1070	1739	12	860	1362
"ID"	2004	"139 Absentee"	"Ada"	2	0	343	154	182	249	3	143	183
"ID"	2004	"140 Absentee"	"Ada"	2	0	3221	1318	1827	2163	32	1505	1531
"ID"	2004	"141 Absentee"	"Ada"	1	0	1971	1351	579	1681	8	552	1329
"ID"	2004	"142 Absentee"	"Ada"	1	0	1461	1057	368	1274	8	347	1050
"ID"	2004	"143 Absentee"	"Ada"	1	0	203	127	71	173	0	62	133
"ID"	2004	"144 Absentee"	"Ada"	1	0	195	137	55	164	2	53	126
"ID"	2004	"145 Absentee"	"Ada"	1	0	2827	2052	716	2386	11	762	1923
"ID"	2004	"146 Absentee"	"Ada"	2	0	63	35	26	48	0	22	35
"ID"	2004	"1 Indian Valley"	"Adams"	1	219	187	129	52	142	0	55	123
"ID"	2004	"2 Council"	"Adams"	1	653	504	378	107	386	0	101	355
"ID"	2004	"3 No. Council"	"Adams"	1	814	626	456	139	482	1	117	458
"ID"	2004	"4 Bear"	"Adams"	1	39	32	22	4	22	0	3	19
"ID"	2004	"5 New Meadows"	"Adams"	1	881	879	449	234	565	0	190	476
"ID"	2004	"6 Little Salmon River"	"Adams"	1	73	55	34	19	36	0	19	28
"ID"	2004	"Pocatello 1"	"Bannock"	2	864	540	305	221	405	11	198	324
"ID"	2004	"Pocatello 2"	"Bannock"	2	848	545	334	195	449	4	206	328
"ID"	2004	"Pocatello 3"	"Bannock"	2	727	496	307	177	389	7	177	298
"ID"	2004	"Pocatello 4"	"Bannock"	2	1143	692	325	326	498	5	362	311
"ID"	2004	"Pocatello 5"	"Bannock"	2	1126	762	425	314	609	12	324	426
"ID"	2004	"Pocatello 6"	"Bannock"	2	1033	585	273	272	426	14	300	259
"ID"	2004	"Pocatello 7"	"Bannock"	2	677	425	253	162	346	9	180	234
"ID"	2004	"Pocatello 8"	"Bannock"	2	664	424	193	203	317	9	230	179
"ID"	2004	"Pocatello 9"	"Bannock"	2	830	515	297	183	426	3	221	272
"ID"	2004	"Pocatello 10"	"Bannock"	2	959	638	373	225	535	6	297	330
"ID"	2004	"Pocatello 11"	"Bannock"	2	896	599	338	238	495	1	289	293
"ID"	2004	"Pocatello 12"	"Bannock"	2	997	660	414	221	560	5	296	345
"ID"	2004	"Pocatello 13"	"Bannock"	2	787	520	320	172	430	2	233	263
"ID"	2004	"Pocatello 14"	"Bannock"	2	978	641	386	230	530	1	281	340
"ID"	2004	"Pocatello 15"	"Bannock"	2	846	532	321	195	436	3	241	280
"ID"	2004	"Pocatello 16"	"Bannock"	2	467	288	175	103	242	2	118	164
"ID"	2004	"Pocatello 17"	"Bannock"	2	689	455	304	137	384	4	169	276
"ID"	2004	"Pocatello 18"	"Bannock"	2	834	580	389	182	493	3	204	355
"ID"	2004	"Pocatello 19"	"Bannock"	2	679	484	299	152	401	7	189	282
"ID"	2004	"Pocatello 20"	"Bannock"	2	920	539	300	210	424	9	256	261
"ID"	2004	"Pocatello 21"	"Bannock"	2	897	617	392	210	531	3	225	375
"ID"	2004	"Pocatello 22"	"Bannock"	2	1106	656	434	198	547	7	237	398
"ID"	2004	"Pocatello 23"	"Bannock"	2	882	563	318	215	452	7	245	301
"ID"	2004	"Pocatello 24"	"Bannock"	2	772	468	250	200	337	10	227	225
"ID"	2004	"Pocatello 25"	"Bannock"	2	864	436	186	212	323	9	231	187
"ID"	2004	"Pocatello 26"	"Bannock"	2	1230	628	358	248	469	19	231	368
"ID"	2004	"Pocatello 27"	"Bannock"	2	944	486	304	170	391	21	169	297
"ID"	2004	"Pocatello 28"	"Bannock"	2	1114	615	365	216	496	6	255	340
"ID"	2004	"Absentee 29"	"Bannock"	2	0	2835	1562	1182	2124	60	1227	1527
"ID"	2004	"Absentee 30"	"Bannock"	2	0	1998	864	1060	1335	50	1157	784
"ID"	2004	"Pocatello 31"	"Bannock"	2	931	505	228	258	346	25	250	227
"ID"	2004	"Pocatello 32"	"Bannock"	2	777	450	256	188	334	13	188	247
"ID"	2004	"Pocatello 36"	"Bannock"	2	1049	630	446	171	521	5	172	438
"ID"	2004	"Pocatello 37"	"Bannock"	2	1022	629	391	222	509	5	221	391
"ID"	2004	"Pocatello 38"	"Bannock"	2	1248	729	452	260	563	10	264	432
"ID"	2004	"Pocatello 39"	"Bannock"	2	841	525	283	227	416	9	264	250
"ID"	2004	"Pocatello 40"	"Bannock"	2	849	592	353	225	429	8	255	323
"ID"	2004	"Arimo 41"	"Bannock"	2	531	374	296	71	320	1	119	247
"ID"	2004	"Downey 42"	"Bannock"	2	672	470	345	101	398		168	292
"ID"	2004	"Inkom 43"	"Bannock"	2	1296	941	631	268	766	4	462	464
"ID"	2004	"Lava Hot Springs 44"	"Bannock"	2	743	552	347	172	449	3	253	285
"ID"	2004	"McCammon 45"	"Bannock"	2	905	689	456	197	571	11	353	323
"ID"	2004	"Pocatello 46"	"Bannock"	2	1132	635	434	181	533	10	183	430
"ID"	2004	"Pocatello 47"	"Bannock"	2	884	554	371	172	464	9	184	352
"ID"	2004	"Pocatello 48"	"Bannock"	2	1037	618	424	182	550	13	209	395
"ID"	2004	"Pocatello 49"	"Bannock"	2	1211	760	542	208	657	6	231	513
"ID"	2004	"Chubbuck 50"	"Bannock"	2	1226	667	478	172	581	6	198	453
"ID"	2004	"Chubbuck 51"	"Bannock"	2	962	726	510	195	620	9	231	474
"ID"	2004	"Chubbuck 52"	"Bannock"	2	984	683	468	204	599	5	243	425
"ID"	2004	"Chubbuck 53"	"Bannock"	2	1006	663	417	219	559	3	271	379
"ID"	2004	"Chubbuck 54"	"Bannock"	2	1604	972	694	246	844	2	322	617
"ID"	2004	"Chubbuck 55"	"Bannock"	2	1008	681	482	170	592	4	213	450
"ID"	2004	"Chubbuck 56"	"Bannock"	2	1355	888	602	243	748	7	327	537
"ID"	2004	"Chubbuck 57"	"Bannock"	2	831	561	209	322	423	2	312	229
"ID"	2004	"Montpelier 1"	"Bear Lake"	2	564	454	349	78	389	0	93	343
"ID"	2004	"Montpelier 2"	"Bear Lake"	2	491	411	321	73	350	0	75	307
"ID"	2004	"Montpelier 3"	"Bear Lake"	2	509	404	315	72	342	0	79	310
"ID"	2004	"Georgetown"	"Bear Lake"	2	431	359	302	38	325	4	42	301
"ID"	2004	"Bennington"	"Bear Lake"	2	184	158	147	9	147	0	11	143
"ID"	2004	"Bailey Creek"	"Bear Lake"	2	84	74	59	12	65	0	14	59
"ID"	2004	"Paris"	"Bear Lake"	2	391	321	249	55	268	0	56	241
"ID"	2004	"Bern"	"Bear Lake"	2	89	85	61	22	70	0	23	60
"ID"	2004	"Dingle"	"Bear Lake"	2	204	178	144	22	160	0	26	141
"ID"	2004	"Fish Haven"	"Bear Lake"	2	181	145	99	41	112	1	41	86
"ID"	2004	"St. Charles"	"Bear Lake"	2	172	150	117	26	118	0	35	108
"ID"	2004	"Bloominton"	"Bear Lake"	2	148	135	107	18	116	0	26	102
"ID"	2004	"Liberty"	"Bear Lake"	2	237	209	172	24	181	0	34	168
"ID"	2004	"Geneva"	"Bear Lake"	2	74	65	64	4	63	0	9	58
"ID"	2004	"1 Benewah"	"Benewah"	1	162	141	91	38	113	4	39	93
"ID"	2004	"2 Center"	"Benewah"	1	464	411	310	91	321	11	77	291
"ID"	2004	"3 College"	"Benewah"	1	594	494	319	145	358	14	133	311
"ID"	2004	"4 Emida"	"Benewah"	1	169	138	78	46	93	3	41	82
"ID"	2004	"5 Fernwood"	"Benewah"	1	323	250	175	53	183	2	53	169
"ID"	2004	"6 Plummer"	"Benewah"	1	856	682	408	236	560	0	147	479
"ID"	2004	"7 Santa"	"Benewah"	1	235	192	136	44	137	3	38	133
"ID"	2004	"8 St. Joe"	"Benewah"	1	65	56	43	10	48	0	12	41
"ID"	2004	"9 St. Maries"	"Benewah"	1	993	819	621	159	643	14	146	578
"ID"	2004	"10 Tensed"	"Benewah"	1	447	340	196	127	258	0	98	209
"ID"	2004	"11 Townsite"	"Benewah"	1	818	669	446	199	491	29	182	428
"ID"	2004	"01  Blackfoot"	"Bingham"	2	1402	1093	789	261	946	0	257	798
"ID"	2004	"02  Blackfoot"	"Bingham"	2	682	518	373	129	444	1	156	342
"ID"	2004	"03  Blackfoot"	"Bingham"	2	1017	742	498	219	618	8	203	516
"ID"	2004	"04  Blackfoot"	"Bingham"	2	1289	892	619	219	730	1	248	604
"ID"	2004	"05  Blackfoot"	"Bingham"	2	1297	934	620	276	755	3	255	634
"ID"	2004	"06  Blackfoot"	"Bingham"	2	1117	845	606	212	722	4	219	601
"ID"	2004	"07  Firth"	"Bingham"	2	1192	927	768	117	843	0	169	720
"ID"	2004	"08  Firth"	"Bingham"	2	894	694	572	106	632	0	136	532
"ID"	2004	"09  Groveland"	"Bingham"	2	1235	948	713	200	811	5	220	691
"ID"	2004	"10  Jameston"	"Bingham"	2	763	612	494	100	549	4	132	460
"ID"	2004	"11  Moreland"	"Bingham"	2	1577	1144	909	190	1045	5	231	868
"ID"	2004	"12  Rockford"	"Bingham"	2	936	720	610	77	647	2	111	580
"ID"	2004	"13  Shelley"	"Bingham"	2	1148	845	704	106	758	6	129	668
"ID"	2004	"14  Shelley"	"Bingham"	2	1244	929	781	116	856	3	131	761
"ID"	2004	"15  Aberdeen"	"Bingham"	2	1154	805	598	155	710	1	172	572
"ID"	2004	"16  Springfield/Sterling"	"Bingham"	2	392	285	226	51	245	0	65	204
"ID"	2004	"17  Riverside"	"Bingham"	2	1459	1098	840	211	951	2	244	818
"ID"	2004	"18  Pingree"	"Bingham"	2	693	519	413	91	464	1	115	388
"ID"	2004	"19  Wapello"	"Bingham"	2	513	420	320	81	375	0	88	309
"ID"	2004	"20  Fort Hall"	"Bingham"	2	1063	705	137	537	458	0	386	235
"ID"	2004	"21  Shelley West"	"Bingham"	2	1120	872	771	78	828	1	111	717
"ID"	2004	"22  Groveland"	"Bingham"	2	606	463	373	73	417	0	84	355
"ID"	2004	"NW Ketchum"	"Blaine"	2	895	531	147	364	340	1	261	236
"ID"	2004	"SW Ketchum"	"Blaine"	2	1142	672	169	485	435	1	335	275
"ID"	2004	"N & E Ketchum"	"Blaine"	2	405	238	80	153	157	3	111	115
"ID"	2004	"S Ketchum"	"Blaine"	2	606	348	111	226	216	3	177	147
"ID"	2004	"Northeast Blaine"	"Blaine"	2	693	407	140	253	273	2	173	211
"ID"	2004	"Hailey #1"	"Blaine"	2	1041	601	194	397	391	3	294	262
"ID"	2004	"Hailey #2"	"Blaine"	2	1306	763	239	505	531	1	373	344
"ID"	2004	"Hailey #3"	"Blaine"	2	1389	826	348	458	606	2	334	438
"ID"	2004	"Yale"	"Blaine"	2	17	9	8	1	9	0	2	7
"ID"	2004	"Bellevue"	"Blaine"	2	1495	913	435	456	694	1	338	521
"ID"	2004	"Gannett-Picabo"	"Blaine"	2	440	280	169	92	224	0	71	186
"ID"	2004	"Carey"	"Blaine"	2	494	338	257	69	308	0	52	269
"ID"	2004	"Sun Valley"	"Blaine"	2	1000	509	230	265	377	2	183	299
"ID"	2004	"Hailey #4"	"Blaine"	2	1689	943	366	557	694	4	397	504
"ID"	2004	"Absentee"	"Blaine"	2		2912	1141	1711	1941	16	1308	1391
"ID"	2004	"Garden Valley"	"Boise"	1	1384	842	617	202	693	4	206	600
"ID"	2004	"Horseshoe Bend"	"Boise"	1	1046	721	547	131	621	0	131	553
"ID"	2004	"Idaho City"	"Boise"	1	737	441	276	145	339	0	127	283
"ID"	2004	"Lowman"	"Boise"	1	212	140	98	31	110	8	25	105
"ID"	2004	"Mores Creek"	"Boise"	1	1360	740	468	242	561	0	232	468
"ID"	2004	"Placerville"	"Boise"	1	259	156	112	37	134	3	34	114
"ID"	2004	"Absentee"	"Boise"	1		580	383	182	461	9	184	377
"ID"	2004	"1 Airport"	"Bonner"	1	660	528	299	219	402	5	181	309
"ID"	2004	"2 Algoma"	"Bonner"	1	892	680	430	231	508	11	191	438
"ID"	2004	"3 Baldy"	"Bonner"	1	1194	901	494	372	649	5	309	492
"ID"	2004	"4 Blue Lake"	"Bonner"	1	156	134	94	28	109	0	25	101
"ID"	2004	"5 Careywood"	"Bonner"	1	807	603	413	160	471	6	160	402
"ID"	2004	"6 Clark Fork"	"Bonner"	1	731	588	341	220	424	3	196	341
"ID"	2004	"7 Cocolalla"	"Bonner"	1	552	434	295	118	338	5	112	288
"ID"	2004	"8 Colburn"	"Bonner"	1	946	738	418	283	496	15	263	387
"ID"	2004	"9 Dover"	"Bonner"	1	411	335	169	156	222	8	130	172
"ID"	2004	"10 E. Priest River"	"Bonner"	1	1125	821	577	207	634	3	224	540
"ID"	2004	"11 Edgemere"	"Bonner"	1	916	710	422	256	553	2	229	417
"ID"	2004	"12 Gamlin Lake"	"Bonner"	1	475	398	226	158	266	11	156	209
"ID"	2004	"13 Grouse Creek"	"Bonner"	1	696	580	322	232	379	15	202	321
"ID"	2004	"14 Hope"	"Bonner"	1	804	673	343	308	470	23	278	346
"ID"	2004	"15 Humbird"	"Bonner"	1	1137	841	419	384	552	12	344	406
"ID"	2004	"16 Kootenai"	"Bonner"	1	1382	1115	675	398	842	11	363	662
"ID"	2004	"17 Laclede"	"Bonner"	1	370	316	199	100	252	4	83	207
"ID"	2004	"18 Lakeview"	"Bonner"	1	54	44	35	8	37	1	8	33
"ID"	2004	"19 Lamb Creek"	"Bonner"	1	460	344	208	124	276	4	97	223
"ID"	2004	"21 Oden"	"Bonner"	1	517	393	233	151	272	5	130	234
"ID"	2004	"22 Oldtown"	"Bonner"	1	1095	856	569	258	679	2	269	504
"ID"	2004	"23 Priest Lake"	"Bonner"	1	200	169	103	65	134	2	52	104
"ID"	2004	"24 Priest River West City"	"Bonner"	1	320	232	121	100	155	0	91	116
"ID"	2004	"25 Sagle"	"Bonner"	1	1284	999	632	332	736	10	301	610
"ID"	2004	"26 Sandpoint"	"Bonner"	1	1063	731	286	412	415	22	358	307
"ID"	2004	"27 Selle"	"Bonner"	1	804	635	365	240	426	14	213	365
"ID"	2004	"28 South Side"	"Bonner"	1	166	132	79	48	84	4	44	79
"ID"	2004	"29 Spirt Valley"	"Bonner"	1	751	600	423	149	495	7	157	416
"ID"	2004	"30 Washington"	"Bonner"	1	1372	1015	527	449	707	18	367	553
"ID"	2004	"31 West Branch"	"Bonner"	1	301	241	141	92	173	3	88	135
"ID"	2004	"32 Westmond"	"Bonner"	1	888	696	455	227	533	3	189	446
"ID"	2004	"33 W. Priest River Bench"	"Bonner"	1	369	302	210	75	239	2	72	194
"ID"	2004	"34 Wrenco"	"Bonner"	1	350	280	174	89	209	1	73	183
"ID"	2004	"1"	"Bonneville"	2	1070	887	630	221	768	15	196	647
"ID"	2004	"2"	"Bonneville"	2	844	691	543	127	601	4	136	535
"ID"	2004	"3"	"Bonneville"	2	900	738	510	192	622	16	194	514
"ID"	2004	"4"	"Bonneville"	2	685	546	383	139	442	9	140	376
"ID"	2004	"5"	"Bonneville"	2	950	761	550	179	647	1	197	524
"ID"	2004	"6"	"Bonneville"	2	1590	1330	1017	277	1168	8	276	1015
"ID"	2004	"7"	"Bonneville"	2	687	537	350	152	443	2	145	357
"ID"	2004	"8"	"Bonneville"	2	758	599	369	193	488	9	186	386
"ID"	2004	"9"	"Bonneville"	2	810	628	403	184	512	4	205	393
"ID"	2004	"10"	"Bonneville"	2	913	672	492	147	578	2	160	488
"ID"	2004	"11"	"Bonneville"	2	935	664	405	228	516	12	213	421
"ID"	2004	"12"	"Bonneville"	2	1009	741	427	275	580	19	250	458
"ID"	2004	"13"	"Bonneville"	2	1372	1069	790	252	933	8	245	789
"ID"	2004	"14"	"Bonneville"	2	954	753	475	238	601	23	240	487
"ID"	2004	"15"	"Bonneville"	2	1446	1170	818	319	979	29	296	828
