state	year	precinct	county	cd	g2006_REG_tv	g2006_BALL_tv	g2006_GOV_dv	g2006_GOV_rv	g2006_LTG_dv	g2006_LTG_rv	g2006_SOS_rv	g2006_COM_rv	g2006_COM_dv	g2006_TRE_rv	g2006_TRE_dv	g2006_ATG_dv	g2006_ATG_rv	g2006_USH_dv	g2006_USH_rv
"ID"	2006	"1"	"Ada"	1	2986	1849	565	1229	498	1260	1556	1250	519	1365	388	445	1326	625	1084
"ID"	2006	"2"	"Ada"	1	2438	1454	516	905	391	1024	1237	932	460	1054	331	356	1028	577	802
"ID"	2006	"3"	"Ada"	1	1815	1101	616	460	497	560	838	502	542	633	387	449	590	612	408
"ID"	2006	"4"	"Ada"	1	2685	1502	644	824	483	949	1252	862	569	1050	361	443	983	674	756
"ID"	2006	"5"	"Ada"	1	1158	648	246	384	210	416	539	394	228	442	166	193	428	266	330
"ID"	2006	"6"	"Ada"	1	2337	1252	582	615	474	710	1010	654	521	752	410	451	728	606	517
"ID"	2006	"7"	"Ada"	1	2428	1238	586	606	512	664	974	640	541	756	424	463	712	629	530
"ID"	2006	"8"	"Ada"	1	3316	1511	515	938	402	1048	1275	984	461	1081	370	406	1052	558	862
"ID"	2006	"9"	"Ada"	1	5660	2864	1054	1730	819	1938	2468	1865	884	2082	641	759	1990	1131	1608
"ID"	2006	"10"	"Ada"	1	653	371	154	210	108	250	310	220	135	264	88	114	239	167	180
"ID"	2006	"11"	"Ada"	1	2061	1218	633	551	538	633	975	592	569	717	405	446	692	701	438
"ID"	2006	"12"	"Ada"	1	1304	723	430	258	374	310	550	282	390	342	326	345	335	424	224
"ID"	2006	"13"	"Ada"	2	1691	877	302	174	259	215	367	192	277	238	227	236	235	415	229
"ID"	2006	"14"	"Ada"	2	793	508	313	178	276	214	397	180	296	254	220	252	226	248	235
"ID"	2006	"15"	"Ada"	2	1146	727	410	297	355	346	583	300	398	408	278	311	387	319	379
"ID"	2006	"16"	"Ada"	2	1969	1183	753	390	647	499	916	405	723	587	509	585	534	583	555
"ID"	2006	"17"	"Ada"	1	2077	1091	460	603	363	696	956	635	413	789	243	277	765	491	540
"ID"	2006	"18"	"Ada"	1	1892	1098	469	593	391	666	919	593	446	734	287	347	690	486	544
"ID"	2006	"19"	"Ada"	1	1193	715	317	374	270	418	598	391	294	463	203	237	430	347	320
"ID"	2006	"20"	"Ada"	1	1041	556	245	290	214	312	459	310	221	364	164	185	348	270	254
"ID"	2006	"21"	"Ada"	1	846	538	270	251	225	287	433	263	251	324	189	194	325	281	215
"ID"	2006	"22"	"Ada"	1	1981	1056	548	470	457	568	849	510	492	600	390	423	585	572	398
"ID"	2006	"23"	"Ada"	2	1318	483	245	196	230	212	361	209	241	220	236	247	209	206	224
"ID"	2006	"24"	"Ada"	2	757	455	229	218	195	246	374	201	231	273	149	161	270	170	275
"ID"	2006	"25"	"Ada"	2	2419	1260	783	437	721	498	994	488	730	568	627	634	573	644	568
"ID"	2006	"26"	"Ada"	2	1571	903	563	302	497	369	676	317	544	410	437	465	397	460	396
"ID"	2006	"27"	"Ada"	1	1969	1014	426	557	352	611	833	576	387	682	270	309	653	445	511
"ID"	2006	"28"	"Ada"	1	1511	833	376	421	310	489	668	446	326	531	236	260	502	366	391
"ID"	2006	"29"	"Ada"	1	1055	635	289	312	256	350	527	347	257	410	181	210	391	321	272
"ID"	2006	"30"	"Ada"	1	1433	846	407	401	348	456	715	438	369	523	280	311	491	405	363
"ID"	2006	"31"	"Ada"	1	1846	990	513	439	449	506	822	476	467	585	348	369	583	551	373
"ID"	2006	"32"	"Ada"	2	843	563	284	252	247	295	453	277	249	336	183	192	333	207	327
"ID"	2006	"33"	"Ada"	2	1869	854	499	313	456	354	631	308	494	365	426	443	350	431	353
"ID"	2006	"34"	"Ada"	2	1048	605	395	185	368	217	414	195	376	228	335	349	224	344	222
"ID"	2006	"35"	"Ada"	2	718	398	269	116	265	115	272	104	271	129	229	255	114	235	143
"ID"	2006	"36"	"Ada"	2	1278	728	550	154	515	190	485	167	527	221	454	477	214	503	186
"ID"	2006	"37"	"Ada"	2	1346	911	723	162	663	213	576	192	681	280	564	593	265	636	234
"ID"	2006	"38"	"Ada"	2	1460	944	660	263	593	327	672	254	653	415	479	514	384	529	375
"ID"	2006	"39"	"Ada"	2	1502	901	752	115	714	147	521	142	713	185	641	663	178	674	172
"ID"	2006	"40"	"Ada"	2	985	531	436	83	404	116	322	105	410	132	365	381	130	382	120
"ID"	2006	"41"	"Ada"	2	1773	1026	725	282	654	339	729	259	724	424	525	581	394	604	384
"ID"	2006	"42"	"Ada"	1	758	408	135	261	116	278	352	276	111	309	75	87	303	133	255
"ID"	2006	"43"	"Ada"	1	3550	1858	683	1103	577	1183	1561	1224	558	1341	436	502	1278	721	1000
"ID"	2006	"44"	"Ada"	1	3239	1631	643	921	522	1027	1394	1006	537	1100	428	477	1058	633	848
"ID"	2006	"45"	"Ada"	1	1940	947	399	508	353	546	773	541	352	580	318	332	569	416	456
"ID"	2006	"46"	"Ada"	1	2199	1160	447	671	369	743	996	722	392	819	291	340	774	451	634
"ID"	2006	"47"	"Ada"	1	2048	1093	431	627	378	683	928	670	371	742	294	333	715	438	562
"ID"	2006	"48"	"Ada"	1	929	483	190	269	169	289	405	285	174	317	137	162	298	188	254
"ID"	2006	"49"	"Ada"	1	1878	999	432	521	381	566	832	553	397	631	306	334	616	436	493
"ID"	2006	"50"	"Ada"	1	2246	1177	544	589	474	635	966	621	515	717	399	451	678	579	503
"ID"	2006	"51"	"Ada"	1	1676	935	463	431	377	511	756	472	418	565	309	355	535	474	384
"ID"	2006	"52"	"Ada"	1	1348	688	340	314	304	339	550	329	323	375	267	295	351	342	291
"ID"	2006	"53"	"Ada"	1	1643	846	428	380	377	430	679	386	421	447	354	378	427	452	309
"ID"	2006	"54"	"Ada"	1	1029	648	351	273	291	329	519	296	324	347	262	261	358	362	226
"ID"	2006	"55"	"Ada"	2	1618	1024	555	421	497	482	818	449	535	563	408	459	526	436	538
"ID"	2006	"56"	"Ada"	2	1454	683	357	304	315	342	550	340	313	403	239	266	384	266	383
"ID"	2006	"57"	"Ada"	2	1917	882	514	322	481	363	675	350	487	419	408	434	405	425	395
"ID"	2006	"58"	"Ada"	2	1017	425	289	115	278	127	286	117	280	144	251	265	132	268	130
"ID"	2006	"59"	"Ada"	2	1920	1123	895	196	812	281	743	218	857	298	730	754	316	792	284
"ID"	2006	"60"	"Ada"	2	1805	752	548	161	531	175	482	141	557	194	496	506	193	511	188
"ID"	2006	"61"	"Ada"	1	1157	684	238	426	205	449	577	439	213	466	179	182	463	247	385
"ID"	2006	"62"	"Ada"	1	1213	646	260	343	232	385	549	393	224	430	183	204	417	250	337
"ID"	2006	"63"	"Ada"	1	2170	992	400	542	333	618	842	587	364	652	290	301	649	383	514
"ID"	2006	"64"	"Ada"	1	2547	1272	553	663	512	690	1068	697	520	822	387	455	759	586	588
"ID"	2006	"65"	"Ada"	1	1689	852	335	470	281	522	719	506	305	580	227	242	571	374	419
"ID"	2006	"66"	"Ada"	1	1578	701	361	310	302	367	549	340	328	390	274	285	372	359	291
"ID"	2006	"67"	"Ada"	2	1627	706	381	289	352	322	543	295	376	339	323	344	325	310	335
"ID"	2006	"68"	"Ada"	2	1358	661	376	241	334	277	505	270	357	298	319	322	306	324	277
"ID"	2006	"69"	"Ada"	2	887	495	339	141	310	171	376	177	297	227	240	265	204	266	205
"ID"	2006	"70"	"Ada"	2	873	494	327	141	9	302	362	149	326	188	278	285	183	295	173
"ID"	2006	"71"	"Ada"	2	1068	513	283	209	243	230	384	228	254	248	229	228	254	226	258
"ID"	2006	"72"	"Ada"	2	1215	551	399	131	378	157	373	131	393	169	340	358	170	361	157
"ID"	2006	"73"	"Ada"	2	1352	871	618	237	546	304	647	233	600	333	459	462	349	493	347
"ID"	2006	"74"	"Ada"	2	2198	1253	752	451	649	560	957	484	693	630	526	561	617	603	577
"ID"	2006	"75"	"Ada"	2	1513	546	330	173	305	206	393	175	314	195	286	305	189	288	216
"ID"	2006	"76"	"Ada"	2	1370	716	492	199	433	252	519	205	472	304	353	380	289	392	281
"ID"	2006	"77"	"Ada"	2	1361	799	640	137	579	194	560	187	579	231	522	521	248	529	232
"ID"	2006	"78"	"Ada"	1	2100	903	363	482	317	536	750	518	332	558	290	305	548	384	434
"ID"	2006	"79"	"Ada"	1	769	421	190	209	153	238	344	238	162	246	152	158	244	189	178
"ID"	2006	"80"	"Ada"	2	752	442	218	204	203	216	361	224	201	256	168	168	257	177	241
"ID"	2006	"81"	"Ada"	2	1665	923	503	379	482	410	746	408	490	480	409	414	482	395	474
"ID"	2006	"82"	"Ada"	2	1388	709	372	314	335	340	569	327	351	364	308	318	358	305	353
"ID"	2006	"83"	"Ada"	2	1606	909	542	318	516	336	661	329	543	365	493	491	376	492	359
"ID"	2006	"84"	"Ada"	2	1074	618	400	193	352	231	475	235	362	282	304	311	279	305	275
"ID"	2006	"85"	"Ada"	2	1700	961	644	265	567	357	721	311	608	398	504	522	392	521	378
"ID"	2006	"86"	"Ada"	2	1287	552	358	164	330	196	408	180	335	199	314	312	206	301	213
"ID"	2006	"87"	"Ada"	2	2090	949	631	285	560	348	703	308	592	398	492	492	404	498	394
"ID"	2006	"88"	"Ada"	2	898	482	309	150	266	192	371	170	289	209	233	247	198	251	204
"ID"	2006	"89"	"Ada"	1	2418	1361	479	827	410	888	1170	845	460	956	337	370	930	507	757
