state	year	precinct	county	cd	g2008_REG_tv	g2008_BALL_tv	g2008_USP_rv	g2008_USP_dv	g2008_USS_dv	g2008_USS_rv	g2008_USH_dv	g2008_USH_rv
"ID"	2008	"Ada 1"	"Ada"	1	1947	1630	1116	465	405	1071	648	925
"ID"	2008	"Ada 2"	"Ada"	1	1278	1077	731	321	284	702	476	556
"ID"	2008	"Ada 3"	"Ada"	1	1215	1105	519	569	483	566	707	375
"ID"	2008	"Ada 4"	"Ada"	1	1189	979	625	337	281	632	441	498
"ID"	2008	"Ada 5"	"Ada"	1	1387	1120	690	392	334	680	568	519
"ID"	2008	"Ada 6"	"Ada"	1	2576	1999	1144	790	715	1089	1067	874
"ID"	2008	"Ada 7"	"Ada"	1	1808	1517	845	623	533	831	828	629
"ID"	2008	"Ada 8"	"Ada"	1	1115	929	638	260	209	639	395	498
"ID"	2008	"Ada 9"	"Ada"	1	1893	1600	1129	446	356	1139	698	854
"ID"	2008	"Ada 10"	"Ada"	1	742	607	393	210	162	398	297	282
"ID"	2008	"Ada 11"	"Ada"	1	2182	1795	937	823	713	970	1083	643
"ID"	2008	"Ada 12"	"Ada"	1	1452	1113	437	631	571	430	730	331
"ID"	2008	"Ada 13"	"Ada"	2	1795	1348	551	762	700	530	537	735
"ID"	2008	"Ada 14"	"Ada"	2	813	670	286	366	350	284	253	393
"ID"	2008	"Ada 15"	"Ada"	2	1190	1004	460	514	462	471	299	665
"ID"	2008	"Ada 16"	"Ada"	2	2085	1760	704	1006	882	794	599	1085
"ID"	2008	"Ada 17"	"Ada"	1	2277	1764	1065	655	551	1104	858	856
"ID"	2008	"Ada 18"	"Ada"	1	1905	1579	948	585	525	927	798	733
"ID"	2008	"Ada 19"	"Ada"	1	1250	1012	552	434	388	527	561	407
"ID"	2008	"Ada 20"	"Ada"	1	1121	892	488	369	328	470	498	373
"ID"	2008	"Ada 21"	"Ada"	1	895	711	378	303	284	364	417	276
"ID"	2008	"Ada 22"	"Ada"	1	2193	1666	845	767	710	813	995	630
"ID"	2008	"Ada 23"	"Ada"	2	1382	934	426	450	429	378	416	472
"ID"	2008	"Ada 24"	"Ada"	2	803	699	357	334	290	364	181	485
"ID"	2008	"Ada 25"	"Ada"	2	2549	1929	746	1098	999	748	803	1018
"ID"	2008	"Ada 26"	"Ada"	2	1630	1294	505	734	706	477	570	670
"ID"	2008	"Ada 27"	"Ada"	1	2149	1734	953	730	648	987	940	750
"ID"	2008	"Ada 28"	"Ada"	1	1606	1246	697	502	443	675	645	561
"ID"	2008	"Ada 29"	"Ada"	1	1121	902	502	369	342	484	510	371
"ID"	2008	"Ada 30"	"Ada"	1	1533	1193	640	504	435	620	626	512
"ID"	2008	"Ada 31"	"Ada"	1	2032	1557	778	735	655	761	956	530
"ID"	2008	"Ada 32"	"Ada"	2	880	742	403	319	294	392	201	514
"ID"	2008	"Ada 33"	"Ada"	2	2140	1501	536	893	804	546	685	696
"ID"	2008	"Ada 34"	"Ada"	2	1125	898	319	547	508	312	432	421
