state	year	county	cd	g2010_REG_tv	g2010_BALL_tv	g2010_USS_rv	g2010_USS_dv	g2010_GOV_dv	g2010_GOV_rv	g2010_LTG_rv	g2010_LTG_dv	g2010_SOS_dv	g2010_SOS_rv	g2010_COM_dv	g2010_COM_rv	g2010_TRE_rv	g2010_ATG_rv	g2010_USH_dv	g2010_USH_rv
"ID"	2010	"1"	1	2056	1270	1017	200	256	915	1003	185	205	1033	990	234	1094	1108	340.0	833.0
"ID"	2010	"2"	1	1263	826	667	128	238	521	633	124	133	660	621	160	668	672	299.0	493.0
"ID"	2010	"3"	1	1335	881	570	282	381	433	530	278	246	589	509	309	638	637	466.0	359.0
"ID"	2010	"4"	1	1142	703	553	130	260	417	521	144	130	547	503	166	575	583	261.0	405.0
"ID"	2010	"5"	1	1332	800	596	170	239	499	572	171	155	617	564	187	652	651	295.0	460.0
"ID"	2010	"6"	1	2305	1411	1027	329	503	803	948	342	306	1041	909	410	1081	1100	633.0	687.0
"ID"	2010	"7"	1	1814	1144	806	298	415	648	773	293	277	829	727	359	902	911	475.0	570.0
"ID"	2010	"8"	1	967	612	488	97	152	415	456	105	90	498	443	134	514	508	209.0	358.0
"ID"	2010	"9"	1	1913	1234	1058	155	287	894	985	162	145	1042	958	203	1062	1077	406.0	788.0
"ID"	2010	"10"	1	757	487	401	79	128	335	388	82	70	405	359	109	410	411	177.0	288.0
"ID"	2010	"11"	1	2055	1387	921	416	555	701	881	422	358	977	789	518	997	1031	733.0	549.0
"ID"	2010	"12"	1	1303	702	388	272	341	283	362	282	256	406	345	309	503	499	390.0	242.0
"ID"	2010	"13"	2	1607	911	503	377	434	377	453	395	339	543	467	402	653	663	352.0	497.0
"ID"	2010	"14"	2	749	488	276	191	230	208	261	200	157	306	246	205	309	308	181.0	282.0
"ID"	2010	"15"	2	1117	763	477	260	355	351	446	260	219	519	432	290	513	527	219.0	492.0
"ID"	2010	"16"	2	2005	1342	762	545	720	550	740	533	480	816	622	635	894	912	499.0	782.0
"ID"	2010	"17"	1	2100	1244	954	248	426	719	868	279	237	962	807	366	1025	1047	493.0	667.0
"ID"	2010	"18"	1	2012	1241	909	284	438	707	813	322	255	945	827	347	970	992	496.0	661.0
"ID"	2010	"19"	1	1095	730	538	167	260	405	495	181	148	558	470	215	556	558	318.0	348.0
"ID"	2010	"20"	1	1019	594	410	165	221	320	363	175	156	412	366	189	461	460	279.0	272.0
"ID"	2010	"21"	1	801	512	346	146	205	271	315	149	135	362	302	178	374	385	254.0	212.0
"ID"	2010	"22"	1	1872	1119	712	351	422	577	681	346	324	745	666	392	841	846	525.0	471.0
"ID"	2010	"23"	2	1165	522	300	170	194	242	273	183	183	314	296	196	372	378	156.0	293.0
"ID"	2010	"24"	2	763	513	346	152	209	276	336	155	119	384	295	192	394	390	136.0	348.0
"ID"	2010	"25"	2	2298	1292	682	561	655	494	632	559	479	773	623	595	913	935	510.0	690.0
"ID"	2010	"26"	2	1475	882	475	368	441	351	430	386	332	520	438	400	602	604	332.0	490.0
"ID"	2010	"27"	1	2048	1140	825	277	383	658	764	289	272	825	745	334	891	894	478.0	570.0
"ID"	2010	"28"	1	1452	837	596	209	297	462	526	226	192	606	517	262	628	641	366.0	412.0
"ID"	2010	"29"	1	1037	655	463	173	241	371	424	183	169	464	400	220	521	526	305.0	298.0
"ID"	2010	"30"	1	1357	819	538	231	301	429	503	248	224	572	476	299	652	650	382.0	342.0
"ID"	2010	"31"	1	1821	1013	673	307	396	535	588	339	291	697	596	369	799	814	527.0	400.0
"ID"	2010	"32"	2	827	561	366	166	219	295	354	172	146	393	323	200	430	425	144.0	381.0
"ID"	2010	"33"	2	1801	847	390	410	444	303	387	383	381	442	378	427	565	567	366.0	414.0
"ID"	2010	"34"	2	999	570	269	276	295	198	257	272	260	293	237	309	376	379	257.0	265.0
"ID"	2010	"35"	2	683	347	128	199	215	101	125	195	196	138	118	208	163	166	183.0	133.0
"ID"	2010	"36"	2	1289	723	235	459	500	161	218	444	386	304	207	470	385	381	404.0	270.0
"ID"	2010	"37"	2	1387	856	300	521	627	175	258	544	442	379	232	555	410	438	443.0	357.0
