state	year	cd	county	precinct	g2000_USP_dv	g2000_USP_rv	g2000_USH_dv	g2000_USH_rv
"KS"	2000	2	"Allen"	"CARLYLE TOWNSHIP"	39	66	23	80
"KS"	2000	2	"Allen"	"COTTAGE GROVE TOWNSHIP"	27	75	22	83
"KS"	2000	2	"Allen"	"DEER CREEK TOWNSHIP"	18	33	15	37
"KS"	2000	2	"Allen"	"EAST ELM"	95	148	69	172
"KS"	2000	2	"Allen"	"GENEVA TOWNSHIP"	14	45	15	44
"KS"	2000	2	"Allen"	"HUMBOLDT TOWNSHIP"	46	64	29	86
"KS"	2000	2	"Allen"	"HUMBOLDT TOWNSHIP RURAL ENCLAVE"				
"KS"	2000	2	"Allen"	"HUMBOLDT TOWNSHIP SPLIT"				
"KS"	2000	2	"Allen"	"HUMBOLDT WARD 1"	194	179	132	239
"KS"	2000	2	"Allen"	"HUMBOLDT WARD 2"	168	222	112	282
"KS"	2000	2	"Allen"	"IOLA WARD 1"	233	388	146	482
"KS"	2000	2	"Allen"	"IOLA WARD 2"	178	249	103	315
"KS"	2000	2	"Allen"	"IOLA WARD 2 ENCLAVE"				
"KS"	2000	2	"Allen"	"IOLA WARD 3"	207	322	151	372
"KS"	2000	2	"Allen"	"IOLA WARD 4"	179	256	115	322
"KS"	2000	2	"Allen"	"LOGAN TOWNSHIP"	28	45	18	54
"KS"	2000	2	"Allen"	"MARMATON TOWNSHIP"	134	229	108	252
"KS"	2000	2	"Allen"	"NORTH ELSMORE"	32	77	25	88
"KS"	2000	2	"Allen"	"NORTH IOLA"	31	63	26	71
"KS"	2000	2	"Allen"	"NORTH IOLA RURAL ENCLAVE"				
"KS"	2000	2	"Allen"	"OSAGE TOWNSHIP"	35	91	30	90
"KS"	2000	2	"Allen"	"SALEM TOWNSHIP"	31	83	31	86
"KS"	2000	2	"Allen"	"SOUTH ELSMORE"	22	45	19	54
"KS"	2000	2	"Allen"	"SOUTH IOLA"	69	141	44	171
"KS"	2000	2	"Allen"	"SOUTH IOLA ENCLAVE"				
"KS"	2000	2	"Allen"	"WEST ELM"	143	265	107	313
"KS"	2000	2	"Allen"	"Advance"	194	268	137	328
"KS"	2000	2	"Allen"	"Provisional (Challenged)"	15	25	8	30
"KS"	2000	2	"Anderson"	"COLONY"				
"KS"	2000	2	"Anderson"	"GARNETT Precinct 1"	162	259	137	281
"KS"	2000	2	"Anderson"	"GARNETT Precinct 1 EXCLAVE"				
"KS"	2000	2	"Anderson"	"GARNETT Precinct 2"	137	251	120	265
"KS"	2000	2	"Anderson"	"GARNETT Precinct 3"	143	195	113	226
"KS"	2000	2	"Anderson"	"GARNETT Precinct 4"	40	41	28	50
"KS"	2000	2	"Anderson"	"GREELEY"				
"KS"	2000	2	"Anderson"	"HARRIS"				
"KS"	2000	2	"Anderson"	"INDIAN CREEK TOWNSHIP"	12	50	12	48
"KS"	2000	2	"Anderson"	"JACKSON TOWNSHIP"	52	109	39	120
"KS"	2000	2	"Anderson"	"KINCAID"				
"KS"	2000	2	"Anderson"	"LINCOLN TOWNSHIP"	26	60	23	59
"KS"	2000	2	"Anderson"	"LONE ELM CITY"				
"KS"	2000	2	"Anderson"	"LONE ELM TOWNSHIP"	35	57	21	67
"KS"	2000	2	"Anderson"	"MONROE TOWNSHIP"	62	74	45	88
"KS"	2000	2	"Anderson"	"MONROE TOWNSHIP ENCLAVE"				
"KS"	2000	2	"Anderson"	"NORTH RICH TOWNSHIP"	13	26	9	32
"KS"	2000	2	"Anderson"	"OZARK TOWNSHIP"	77	140	63	156
"KS"	2000	2	"Anderson"	"PUTNAM TOWNSHIP"	59	63	47	71
"KS"	2000	2	"Anderson"	"REEDER TOWNSHIP"	31	45	25	53
"KS"	2000	2	"Anderson"	"RICH TOWNSHIP"	51	73	32	85
"KS"	2000	2	"Anderson"	"WALKER TOWNSHIP"	129	115	109	127
"KS"	2000	2	"Anderson"	"WASHINGTON TOWNSHIP"	24	53	20	60
"KS"	2000	2	"Anderson"	"WELDA TOWNSHIP"	39	84	34	92
"KS"	2000	2	"Anderson"	"WESTPHALIA CITY"				
"KS"	2000	2	"Anderson"	"WESTPHALIA TOWNSHIP"	48	87	32	95
"KS"	2000	2	"Anderson"	"Advance"	184	193	147	229
"KS"	2000	2	"Anderson"	"Provisional (Challenged)"	3	9	5	7
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 1"	135	130	97	171
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 2 EAST"	123	109	85	145
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 2 WEST"	164	146	114	191
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 3 EAST"	231	255	171	305
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 3 WEST"	315	187	223	257
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 3 WEST EXCLAVE"	0	0	0	0
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 4"	263	192	176	236
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 4 EXCLAVE A"	0	0	0	0
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 4 EXCLAVE B"	0	0	0	0
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 5 NORTH"	276	258	199	321
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 5 NORTH EXCLAVE A"	0	0	0	0
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 5 NORTH EXCLAVE B"	0	0	0	0
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 5 SOUTH"	182	151	119	209
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 5 SOUTH EXCLAVE A"	0	0	0	0
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 5 SOUTH EXCLAVE B"	0	0	0	0
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 5 SOUTH EXCLAVE C"	0	0	0	0
"KS"	2000	2	"Atchison"	"ATCHISON PRECINCT 5 SOUTH EXCLAVE D"	0	0	0	0
"KS"	2000	2	"Atchison"	"BENTON TOWNSHIP"	177	266	98	338
"KS"	2000	2	"Atchison"	"CENTER TOWNSHIP"	77	182	39	223
"KS"	2000	2	"Atchison"	"GRASSHOPPER TOWNSHIP"	72	182	54	209
"KS"	2000	2	"Atchison"	"HURON TOWNSHIP"	39	33	22	48
"KS"	2000	2	"Atchison"	"KAPIOMA TOWNSHIP"	42	72	42	75
"KS"	2000	2	"Atchison"	"LANCASTER TOWNSHIP"	108	132	58	170
"KS"	2000	2	"Atchison"	"MOUNT PLEASANT TOWNSHIP"	108	166	82	181
