state	year	cd	county	precinct	vtd	g2002_ATG_dv	g2002_ATG_rv	g2002_TRE_dv	g2002_TRE_rv	g2002_GOV_dv	g2002_GOV_rv	g2002_USS_rv	g2002_SOS_dv	g2002_SOS_rv	g2002_USH_dv	g2002_USH_rv
"KS"	2002	2	"ALLEN"	"ADVANCE"	"999998"	228	159	193	192	245	127	305	142	237	145	239
"KS"	2002	2	"ALLEN"	"Carlyle Township"	"000010"	37	40	33	41	42	33	62	18	54	17	59
"KS"	2002	2	"ALLEN"	"Cottage Grove Township"	"000020"	33	64	33	65	41	53	87	17	77	14	85
"KS"	2002	2	"ALLEN"	"Deer Creek Township"	"000030"	20	14	14	19	21	9	26	10	21	11	22
"KS"	2002	2	"ALLEN"	"East Elm"	"000040"	93	87	92	87	99	71	130	62	111	50	127
"KS"	2002	2	"ALLEN"	"Geneva Township"	"000050"	18	15	13	20	16	18	27	10	24	11	22
"KS"	2002	2	"ALLEN"	"Humboldt Township"	"00006A"	43	43	39	45	40	44	79	22	63	19	69
"KS"	2002	2	"ALLEN"	"Humboldt Ward 1"	"000070"	156	129	155	130	164	97	207	102	160	99	183
"KS"	2002	2	"ALLEN"	"Humboldt Ward 2"	"000080"	164	153	163	154	172	137	258	102	201	93	223
"KS"	2002	2	"ALLEN"	"Iola Ward 1"	"000090"	274	252	206	318	264	242	449	124	387	125	395
"KS"	2002	2	"ALLEN"	"Iola Ward 2"	"00010A"	171	165	142	190	187	135	270	88	232	81	248
"KS"	2002	2	"ALLEN"	"Iola Ward 3"	"000110"	193	188	176	202	202	174	301	121	247	119	265
"KS"	2002	2	"ALLEN"	"Iola Ward 4"	"000120"	203	156	159	198	217	135	289	95	254	100	259
"KS"	2002	2	"ALLEN"	"Logan Township"	"000130"	39	26	35	26	36	25	49	21	39	20	43
"KS"	2002	2	"ALLEN"	"Marmaton Township"	"000140"	160	120	138	133	159	106	225	82	187	71	202
"KS"	2002	2	"ALLEN"	"North Elmsmore"	"000150"	44	49	37	55	49	43	77	27	61	20	72
"KS"	2002	2	"ALLEN"	"North Iola Part A"	"00016A"	37	42	28	51	44	33	70	13	61	15	65
"KS"	2002	2	"ALLEN"	"Osage Township"	"000170"	50	52	51	52	55	47	83	25	71	24	77
"KS"	2002	2	"ALLEN"	"PROVISIONAL"	"999999"	30	25	25	31	28	25	40	23	32	19	37
"KS"	2002	2	"ALLEN"	"Salem Township"	"000180"	47	51	46	52	49	50	83	28	65	26	72
"KS"	2002	2	"ALLEN"	"South Elmsmore"	"000190"	30	38	30	39	33	32	46	22	44	18	47
"KS"	2002	2	"ALLEN"	"South Iola"	"00020A"	86	85	74	97	91	70	143	39	124	39	131
"KS"	2002	2	"ALLEN"	"West Elm"	"000210"	183	144	146	180	187	136	264	103	212	99	227
"KS"	2002	2	"ANDERSON"	"ADVANCE"	"999998"	124	101	125	98	147	78	166	90	123	88	135
"KS"	2002	2	"ANDERSON"	"Colony"	"000010"	65	64	50	77	70	59	100	26	80	38	92
"KS"	2002		"ANDERSON"	"Garnett Precinct 1 Exclave"	"00002B"	0	0									
"KS"	2002	2	"ANDERSON"	"Garnett Precinct 1"	"00002A"	188	215	179	207	234	162	305	127	256	132	252
"KS"	2002	2	"ANDERSON"	"Garnett Precinct 2"	"000030"	142	185	149	168	176	141	257	98	215	100	221
"KS"	2002	2	"ANDERSON"	"Garnett Precinct 3"	"000040"	108	146	110	140	142	110	210	68	174	93	161
"KS"	2002	2	"ANDERSON"	"Garnett Precinct 4"	"000050"	41	20	42	20	40	22	40	36	24	29	29
"KS"	2002	2	"ANDERSON"	"Greeley"	"000060"	58	40	52	49	73	30	61	48	54	43	52
"KS"	2002		"ANDERSON"	"Harris"	"000070"	0	0									
"KS"	2002	2	"ANDERSON"	"Indian Creek Township"	"000080"	22	24	17	25	16	29	42	9	35	12	34
"KS"	2002	2	"ANDERSON"	"Jackson Township H9"	"200020"	67	79	58	81	69	76	120	43	97	44	102
"KS"	2002	2	"ANDERSON"	"Kincaid"	"000100"	19	22	18	23	17	23	32	15	19	20	17
"KS"	2002	2	"ANDERSON"	"Lincoln Township"	"000110"	21	67	30	55	46	38	73	15	67	15	68
"KS"	2002	2	"ANDERSON"	"Lone Elm City"	"000120"	3	4	1	6	5	2	6	1	6	3	3
"KS"	2002	2	"ANDERSON"	"Lone Elm Township"	"000130"	34	36	36	31	40	30	55	17	49	17	53
"KS"	2002	2	"ANDERSON"	"Monroe Township"	"00014A"	72	55	67	55	82	48	94	41	80	45	81
"KS"	2002	2	"ANDERSON"	"North Rich Township"	"000150"	11	15	9	16	11	16	23	12	15	5	21
"KS"	2002	2	"ANDERSON"	"Ozark Township"	"000160"	21	27	26	23	35	13	42	22	45	7	42
