state	year	cd	county	precinct	vtd	g2004_USS_rv	g2004_USS_dv	g2004_USP_rv	g2004_USP_dv	g2004_USH_dv	g2004_USH_rv
"KS"	2004	2	"ALLEN"	"ADVANCED"	"999998"	395	161	333	242	265	298
"KS"	2004	2	"ALLEN"	"Carlyle Township"	"000010"	89	17	87	21	43	67
"KS"	2004	2	"ALLEN"	"Cottage Grove Township"	"000020"	94	22	86	31	46	70
"KS"	2004	2	"ALLEN"	"Deer Creek Township"	"000030"	39	11	38	12	28	21
"KS"	2004	2	"ALLEN"	"East Elm"	"000040"	188	54	165	79	128	123
"KS"	2004	2	"ALLEN"	"Geneva Township"	"000050"	47	14	43	21	27	36
"KS"	2004	2	"ALLEN"	"Humboldt Township"	"00006A"	107	21	98	32	46	84
"KS"	2004	2	"ALLEN"	"Humboldt Ward 1"	"000070"	272	113	235	157	196	187
"KS"	2004	2	"ALLEN"	"Humboldt Ward 2"	"000080"	294	95	263	137	205	193
"KS"	2004	2	"ALLEN"	"Iola Ward 1"	"000090"	503	139	460	191	288	353
"KS"	2004	2	"ALLEN"	"Iola Ward 2"	"00010A"	301	95	282	129	200	206
"KS"	2004	2	"ALLEN"	"Iola Ward 3"	"000110"	336	133	318	169	240	243
"KS"	2004	2	"ALLEN"	"Iola Ward 4"	"000120"	338	104	309	147	205	244
"KS"	2004	2	"ALLEN"	"Logan Township"	"000130"	75	21	64	31	49	44
"KS"	2004	2	"ALLEN"	"Marmaton Township"	"000140"	246	82	221	124	187	159
"KS"	2004	2	"ALLEN"	"North Elmsmore"	"000150"	99	14	84	33	58	58
"KS"	2004	2	"ALLEN"	"North Iola Part A"	"00016A"	89	17	83	29	39	69
"KS"	2004	2	"ALLEN"	"Osage Township"	"000170"	82	25	63	45	59	50
"KS"	2004	2	"ALLEN"	"PROVISIONAL"	"999999"	64	29	59	37	41	50
"KS"	2004	2	"ALLEN"	"Salem Township"	"000180"	97	20	86	34	56	65
"KS"	2004	2	"ALLEN"	"South Elmsmore"	"000190"	60	19	56	24	31	51
"KS"	2004	2	"ALLEN"	"South Iola"	"00020A"	173	47	151	73	107	117
"KS"	2004	2	"ALLEN"	"West Elm"	"000210"	324	81	283	124	213	200
"KS"	2004	2	"ANDERSON"	"ADVANCED"	"999998"	378	159	328	219	215	311
"KS"	2004		"ANDERSON"	"Colony"	"000010"			0	0		
"KS"	2004		"ANDERSON"	"Garnett Precinct 1 Exclave"	"00002B"	0	0				
"KS"	2004	2	"ANDERSON"	"Garnett Precinct 1"	"00002A"	358	99	319	144	166	292
"KS"	2004	2	"ANDERSON"	"Garnett Precinct 2"	"000030"	295	82	277	106	143	234
"KS"	2004	2	"ANDERSON"	"Garnett Precinct 3"	"000040"	256	79	235	106	127	208
"KS"	2004	2	"ANDERSON"	"Garnett Precinct 4"	"000050"	56	28	52	38	45	44
