state	year	county	precinct	vtd	g2006_GOV_rv	g2006_GOV_dv	g2006_ATG_rv	g2006_ATG_dv	g2006_SOS_dv	g2006_SOS_rv	g2006_TRE_rv	g2006_TRE_dv	g2006_USH_dv	g2006_USH_rv
"KS"	2006	"ALLEN"	"Carlyle Township"	"000010"	39	59	51	45	19	72	74	18	41	58
"KS"	2006	"ALLEN"	"Cottage Grove Township"	"000020"	50	40	57	35	17	69	72	17	33	59
"KS"	2006	"ALLEN"	"Deer Creek Township"	"000030"	11	21	15	19	12	20	21	13	18	15
"KS"	2006	"ALLEN"	"East Elm"	"000040"	71	126	96	110	65	122	133	69	108	92
"KS"	2006	"ALLEN"	"Geneva Township"	"000050"	15	46	20	41	27	29	33	26	40	21
"KS"	2006	"ALLEN"	"Humboldt Township"	"00006A"	45	48	50	46	17	72	68	25	41	54
"KS"	2006	"ALLEN"	"Humboldt Township Rural Enclave"	"00006B"	0	0	0	0	0	0	0	0	0	0
"KS"	2006	"ALLEN"	"Humboldt Township Split"	"00006C"	0	0	0	0	0	0	0	0	0	0
"KS"	2006	"ALLEN"	"Humboldt Ward 1"	"000070"	83	233	121	195	133	154	154	160	199	110
"KS"	2006	"ALLEN"	"Humboldt Ward 2"	"000080"	132	204	166	168	109	213	211	116	174	156
"KS"	2006	"ALLEN"	"Iola Ward 1"	"000090"	239	336	292	288	152	399	388	187	283	287
"KS"	2006	"ALLEN"	"Iola Ward 2"	"00010A"	122	220	150	190	98	231	209	122	184	159
"KS"	2006	"ALLEN"	"Iola Ward 2 Exclave"	"00010B"	0	0	0	0	0	0	0	0	0	0
"KS"	2006	"ALLEN"	"Iola Ward 3"	"000110"	142	237	166	215	120	247	235	141	216	162
"KS"	2006	"ALLEN"	"Iola Ward 4"	"000120"	120	253	157	225	115	254	230	148	212	169
"KS"	2006	"ALLEN"	"Logan Township"	"000130"	27	46	33	41	24	45	46	29	39	36
"KS"	2006	"ALLEN"	"Marmaton Township"	"000140"	110	181	142	152	90	184	187	99	147	139
"KS"	2006	"ALLEN"	"North Elsmore"	"000150"	23	35	32	33	16	46	45	18	35	27
"KS"	2006	"ALLEN"	"North Iola Part A"	"00016A"	45	56	52	47	15	81	74	24	33	66
"KS"	2006	"ALLEN"	"North Iola Part A Rural Enclave"	"00016B"	0	0	0	0	0	0	0	0	0	0
"KS"	2006	"ALLEN"	"Osage Township"	"000170"	35	63	39	58	31	64	57	36	55	44
"KS"	2006	"ALLEN"	"Salem Township"	"000180"	38	64	48	56	35	68	67	37	55	49
"KS"	2006	"ALLEN"	"South Elsmore"	"000190"	35	52	46	41	24	60	53	30	44	41
"KS"	2006	"ALLEN"	"South Iola"	"00020A"	78	128	92	114	66	137	135	63	102	102
"KS"	2006	"ALLEN"	"South Iola Enclave"	"00020B"	0	0	0	0	0	0	0	0	0	0
"KS"	2006	"ALLEN"	"West Elm"	"000210"	111	242	135	222	107	239	224	126	215	136
"KS"	2006	"ANDERSON"	"ADVANCED"	"999998"	101	168	108	161	96	155	151	102	143	125
"KS"	2006	"ANDERSON"	"Garnett Precinct 1"	"00002A"	153	218	160	213	105	245	227	125	181	176
"KS"	2006	"ANDERSON"	"Garnett Precinct 1 Exclave"	"00002B"	0	0	0	0	0	0	0	0	0	0
"KS"	2006	"ANDERSON"	"Garnett Precinct 2"	"000030"	122	187	148	170	93	196	187	113	158	146
"KS"	2006	"ANDERSON"	"Garnett Precinct 3"	"000040"	96	136	91	135	63	147	146	75	113	111
"KS"	2006	"ANDERSON"	"Garnett Precinct 4"	"000050"	15	54	18	50	35	30	29	38	44	22
"KS"	2006	"ANDERSON"	"Indian Creek Township"	"000080"	23	17	27	13	7	32	28	11	12	29
"KS"	2006	"ANDERSON"	"Jackson Township H5"	"200010"	0	0	0	0	0	0	0	0	0	0
"KS"	2006	"ANDERSON"	"Jackson Township H9"	"200020"	71	67	67	73	43	93	83	49	64	76
"KS"	2006	"ANDERSON"	"Lincoln Township"	"000110"	27	25	31	24	11	36	37	14	21	31
"KS"	2006	"ANDERSON"	"Lone Elm Township"	"000130"	16	52	23	48	25	40	39	28	44	24
"KS"	2006	"ANDERSON"	"Monroe Township"	"00014A"	48	75	48	79	36	78	67	46	65	59
"KS"	2006	"ANDERSON"	"Monroe Township Enclave"	"00014B"	0	0	0	0	0	0	0	0	0	0
"KS"	2006	"ANDERSON"	"North Rich Township"	"000150"	12	15	12	14	6	21	20	8	13	14
"KS"	2006	"ANDERSON"	"Ozark Township"	"000160"	88	113	108	91	59	129	129	62	94	104
"KS"	2006	"ANDERSON"	"PROVISIONAL"	"999999"	14	10	17	9	5	20	22	5	7	18
"KS"	2006	"ANDERSON"	"Putnam Township"	"000170"	30	58	29	63	38	47	50	37	56	35
"KS"	2006	"ANDERSON"	"Reeder Township"	"000180"	26	31	36	26	19	34	34	21	28	32
"KS"	2006	"ANDERSON"	"Rich Township"	"000190"	40	68	55	55	38	62	61	47	57	51
"KS"	2006	"ANDERSON"	"Walker Township"	"000200"	49	181	58	163	125	86	82	131	152	74
"KS"	2006	"ANDERSON"	"Washington Township"	"000210"	27	55	33	49	27	50	50	27	46	34
"KS"	2006	"ANDERSON"	"Welda Township"	"000220"	34	74	38	69	44	62	58	46	53	51
"KS"	2006	"ANDERSON"	"Westphalia Township"	"000240"	48	77	63	65	43	77	73	47	67	58
"KS"	2006	"ATCHISON"	"Atchison Precinct 1"	"000010"	57	142	62	143	103	87	84	119	133	68
"KS"	2006	"ATCHISON"	"Atchison Precinct 2 East"	"000020"	92	134	90	140	83	134	123	94	115	115
