state	year	cd	precinct	county	vtd	g2008_USP_dv	g2008_USP_rv	g2008_USS_rv	g2008_USS_dv	g2008_USH_dv	g2008_USH_rv
"KS"	2008	2	"ADVANCE"	"ALLEN"	"800010"	5	9	10	3	4	9
"KS"	2008	2	"Carlyle Township"	"ALLEN"	"000010"	38	114	103	41	49	95
"KS"	2008	2	"Cottage Grove Township"	"ALLEN"	"000020"	41	81	72	45	35	82
"KS"	2008	2	"Deer Creek Township"	"ALLEN"	"000030"	16	52	46	17	20	46
"KS"	2008	2	"East Elm"	"ALLEN"	"000040"	127	155	140	127	139	136
"KS"	2008	2	"Geneva Township"	"ALLEN"	"000050"	19	44	42	19	32	31
"KS"	2008	2	"Humboldt Township"	"ALLEN"	"00006A"	36	100	100	39	52	87
"KS"	2008	2	"Humboldt Ward 1"	"ALLEN"	"000070"	197	209	213	177	198	194
"KS"	2008	2	"Humboldt Ward 2"	"ALLEN"	"000080"	181	257	259	173	187	244
"KS"	2008	2	"Iola Ward 1"	"ALLEN"	"000090"	267	460	475	244	325	406
"KS"	2008	2	"Iola Ward 2 Exclave"	"ALLEN"	"00010B"					0	0
"KS"	2008	2	"Iola Ward 2"	"ALLEN"	"00010A"	186	284	285	178	217	255
"KS"	2008	2	"Iola Ward 3"	"ALLEN"	"000110"	210	290	282	214	237	261
"KS"	2008	2	"Iola Ward 4"	"ALLEN"	"000120"	198	262	255	192	228	224
"KS"	2008	2	"Logan Township"	"ALLEN"	"000130"	46	69	66	46	47	64
"KS"	2008	2	"Marmaton Township"	"ALLEN"	"000140"	138	246	225	148	165	217
"KS"	2008	2	"North Elmsmore"	"ALLEN"	"000150"	33	72	66	36	40	63
"KS"	2008	2	"North Iola Part A"	"ALLEN"	"00016A"	36	97	86	47	59	75
"KS"	2008	2	"Osage Township"	"ALLEN"	"000170"	48	86	85	45	61	74
"KS"	2008	2	"PROVISIONAL"	"ALLEN"	"800020"	4	4	4	3	5	2
"KS"	2008	2	"Salem Township"	"ALLEN"	"000180"	56	92	90	49	61	81
"KS"	2008	2	"South Elmsmore"	"ALLEN"	"000190"	25	51	47	27	31	41
"KS"	2008	2	"South Iola"	"ALLEN"	"00020A"	108	183	185	107	122	170
"KS"	2008	2	"West Elm"	"ALLEN"	"000210"	174	335	312	182	214	283
"KS"	2008	2	"Garnett Precinct 1"	"ANDERSON"	"00002A"	166	363	359	145	189	318
"KS"	2008	2	"Garnett Precinct 2"	"ANDERSON"	"000030"	148	295	294	126	178	261
"KS"	2008	2	"Garnett Precinct 3"	"ANDERSON"	"000040"	127	221	223	102	148	186
"KS"	2008	2	"Garnett Precinct 4"	"ANDERSON"	"000050"	40	51	57	32	41	47
"KS"	2008	2	"Indian Creek Township"	"ANDERSON"	"000080"	12	57	51	15	19	48
"KS"	2008	2	"Jackson Township H9"	"ANDERSON"	"200020"	63	143	145	53	71	133
"KS"	2008	2	"Lincoln Township"	"ANDERSON"	"000110"	32	69	67	23	32	67
"KS"	2008	2	"Lone Elm Township"	"ANDERSON"	"000130"	29	82	73	31	45	64
"KS"	2008	2	"Monroe Township"	"ANDERSON"	"00014A"	48	116	110	49	53	108
"KS"	2008	2	"North Rich Township"	"ANDERSON"	"000150"	17	29	27	20	14	31
"KS"	2008	2	"Ozark Township"	"ANDERSON"	"000160"	73	208	188	57	99	178
"KS"	2008	2	"Putnam Township"	"ANDERSON"	"000170"	59	84	81	85	67	71
"KS"	2008	2	"Reeder Township"	"ANDERSON"	"000180"	28	80	66	40	44	66
"KS"	2008	2	"Rich Township"	"ANDERSON"	"000190"	53	97	95	44	52	95
"KS"	2008	2	"Walker Township"	"ANDERSON"	"000200"	129	171	166	119	143	148
"KS"	2008	2	"Washington Township"	"ANDERSON"	"000210"	43	88	90	37	40	88
"KS"	2008	2	"Welda Township"	"ANDERSON"	"000220"	49	102	95	47	50	95
"KS"	2008	2	"Westphalia Township"	"ANDERSON"	"000240"	59	106	104	54	64	97
"KS"	2008	2	"Atchison Precinct 1"	"ATCHISON"	"000010"	149	125	114	154	141	124
"KS"	2008	2	"Atchison Precinct 2 East"	"ATCHISON"	"000020"	149	161	155	146	161	123
"KS"	2008	2	"Atchison Precinct 2 West"	"ATCHISON"	"000030"	187	184	160	209	204	146
"KS"	2008	2	"Atchison Precinct 3 East"	"ATCHISON"	"000040"	326	311	299	320	320	264
"KS"	2008	2	"Atchison Precinct 3 West"	"ATCHISON"	"00005A"	495	419	408	482	487	387
"KS"	2008	2	"Atchison Precinct 4"	"ATCHISON"	"00006A"	300	217	203	312	313	186
"KS"	2008	2	"Atchison Precinct 5 North"	"ATCHISON"	"00007A"	313	324	273	352	327	283
"KS"	2008	2	"Atchison Precinct 5 South"	"ATCHISON"	"00008A"	179	211	181	206	186	192
"KS"	2008	2	"Benton Township"	"ATCHISON"	"000090"	202	309	278	223	228	278
"KS"	2008	2	"Center Township"	"ATCHISON"	"000100"	96	223	205	115	102	216
"KS"	2008	2	"Grasshopper Township"	"ATCHISON"	"000110"	68	227	201	86	85	199
"KS"	2008	2	"Huron Township"	"ATCHISON"	"000120"	37	65	53	49	42	59
