state	year	county_code	county	precinct_code	precinct	cd	sd	ld	g2008_REG_dv	g2008_REG_rv	g2008_REG_ov	g2008_REG_mv	g2008_REG_fv	g2008_REG_tv	g2008_USP_dv	g2008_USS_rv	g2008_USS_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_tv
"KY"	2008	1	"ADAIR"	"A102"	"WHITE OAK"	1	15	51	73	403	12	232	255	488	40	187	66	221	263	253
"KY"	2008	1	"ADAIR"	"A104"	"EUNICE/PELLYTON"	1	15	51	139	505	39	344	339	683	76	251	88	260	343	339
"KY"	2008	1	"ADAIR"	"A105"	"LITTLE CAKE"	1	15	51	79	438	24	274	267	541	28	211	63	248	279	274
"KY"	2008	1	"ADAIR"	"A99"	"MAGIS.DIST. TOTALS"	0	0	0	291	1346	75	850	861	1712						
"KY"	2008	1	"ADAIR"	"B102"	"E. COLUMBIA"	1	15	51	424	736	44	559	645	1204	175	382	207	418	602	589
"KY"	2008	1	"ADAIR"	"B104"	"OZARK"	1	15	51	189	450	25	325	339	664	66	273	95	313	379	368
"KY"	2008	1	"ADAIR"	"B99"	"MAGIS.DIST. TOTALS"	0	0	0	613	1186	69	884	984	1868						
"KY"	2008	1	"ADAIR"	"C102"	"SOUTH COLUMBIA-HARMONY"	1	15	51	321	457	32	386	423	810	107	260	130	288	401	390
"KY"	2008	1	"ADAIR"	"C104"	"GLENSFORK/MELSON RIDGE"	1	15	51	323	521	22	410	456	866	119	320	148	359	489	468
"KY"	2008	1	"ADAIR"	"C99"	"MAGIS.DIST. TOTALS"	0	0	0	644	978	54	796	879	1676						
"KY"	2008	1	"ADAIR"	"D101"	"GRADYVILLE/NELL"	1	15	51	115	411	28	280	274	554	43	212	61	241	294	273
"KY"	2008	1	"ADAIR"	"D103"	"SPARKSVILLE/BREEDING"	1	15	51	207	534	52	411	382	793	73	302	113	335	420	415
"KY"	2008	1	"ADAIR"	"D104"	"SOUTH COLUMBIA # 2"	1	15	51	222	313	21	257	299	556	109	168	118	187	298	286
"KY"	2008	1	"ADAIR"	"D99"	"MAGIS.DIST. TOTALS"	0	0	0	544	1258	101	948	955	1903						
"KY"	2008	1	"ADAIR"	"E101"	"MILLTOWN"	1	15	51	187	555	19	386	375	761	59	299	92	351	413	391
"KY"	2008	1	"ADAIR"	"E104"	"WEST COLUMBIA"	1	15	51	326	607	38	420	550	971	146	322	186	357	510	508
"KY"	2008	1	"ADAIR"	"E99"	"MAGIS.DIST. TOTALS"	0	0	0	513	1162	57	806	925	1732						
"KY"	2008	1	"ADAIR"	"F101"	"CANE VALLEY/HOLMES"	1	15	51	433	676	43	610	542	1152	191	445	232	484	686	677
"KY"	2008	1	"ADAIR"	"F103"	"KNIFLEY/ROLEY"	1	15	51	257	414	44	368	347	715	93	250	120	281	381	370
"KY"	2008	1	"ADAIR"	"F99"	"MAGIS.DIST. TOTALS"	0	0	0	690	1090	87	978	889	1867						
"KY"	2008	1	"ADAIR"	"G101"	"NORTH COLUMBIA"	1	15	51	185	347	22	235	319	554	66	215	92	247	315	307
"KY"	2008	1	"ADAIR"	"G102"	"HURT"	1	15	51	382	841	49	622	650	1272	149	466	221	534	698	687
"KY"	2008	1	"ADAIR"	"G99"	"MAGIS.DIST. TOTALS"	0	0	0	567	1188	71	857	969	1826						
"KY"	2008	1	"ADAIR"		"ABSENTEE PAPER"										32	124	41	132	165	165
"KY"	2008	1	"ADAIR"		"ABSENTEE MACHINE"										96	233	125	256	362	358
"KY"	2008	1	"ADAIR"	"9999"	"TOTAL ALL PRECINCTS"	0	0	0	3862	8208	514	6119	6462	12584	1668	4920	2198	5512	7298	7118
"KY"	2008	2	"ALLEN"	"AB"	"ABSENTEE"										161	298	174	311	480	472
"KY"	2008	2	"ALLEN"	"A101"	"ONE"	1	9	22	496	806	89	609	782	1391	234	367	251	395	638	618
