state	year	county	precinct	g2010_BALL_tv	g2010_USS_rv	g2010_USS_dv	g2010_USS_tv	cd	g2010_USH_rv	g2010_USH_dv	g2010_USH_tv	cd2	g2010_USH_rv2	g2010_USH_dv2	g2010_USH_tv2	sd	g2010_STS_rv	g2010_STS_dv	g2010_STS_iv	g2010_STS_tv	ld	g2010_STH_rv	g2010_STH_dv	g2010_STH_tv	ld2	g2010_STH_rv2	g2010_STH_dv2	g2010_STH_tv2	ld3	g2010_STH_rv3	g2010_STH_dv3	g2010_STH_tv3	ld4	g2010_STH_rv4	g2010_STH_dv4	g2010_STH_tv4	cd5	g2010_STH_rv5	g2010_STH_dv5	g2010_STH_tv5
"KY"	2010	"Adair"	"AB"	568	364	147	511	1	412	97	509										51	440		440																
"KY"	2010	"Adair"	"A102"	233	158	44	202	1	171	33	204										51	165		165																
"KY"	2010	"Adair"	"A104"	325	232	70	302	1	247	43	290										51	242		242																
"KY"	2010	"Adair"	"A105"	298	195	65	260	1	219	37	256										51	219		219																
"KY"	2010	"Adair"	"B102"	563	325	203	528	1	401	105	506										51	402		402																
"KY"	2010	"Adair"	"B104"	386	244	105	349	1	277	60	337										51	277		277																
"KY"	2010	"Adair"	"C102"	410	243	131	374	1	280	83	363										51	285		285																
"KY"	2010	"Adair"	"C104"	480	288	152	440	1	334	90	424										51	333		333																
"KY"	2010	"Adair"	"D101"	285	206	52	258	1	214	32	246										51	207		207																
"KY"	2010	"Adair"	"D103"	402	281	94	375	1	305	65	370										51	298		298																
"KY"	2010	"Adair"	"D104"	267	131	117	248	1	180	65	245										51	177		177																
"KY"	2010	"Adair"	"E101"	381	272	79	351	1	300	42	342										51	276		276																
"KY"	2010	"Adair"	"E104"	517	306	170	476	1	362	109	471										51	363		363																
"KY"	2010	"Adair"	"F101"	657	393	219	612	1	428	155	583										51	454		454																
"KY"	2010	"Adair"	"F103"	320	196	102	298	1	219	78	297										51	257		257																
"KY"	2010	"Adair"	"G101"	306	202	81	283	1	250	41	291										51	223		223																
"KY"	2010	"Adair"	"G102"	729	462	201	663	1	554	116	670										51	538		538																
"KY"	2010	"Adair"	"Total:"	7127	4498	2032	6530	1	5153	1251	6404										51	5156		5156																
"KY"	2010	"Allen"	"AB"	423	249	140	391	1	290	89	379										22		325	325																
"KY"	2010	"Allen"	"A101"	554	319	194	513	1	383	122	505										22		429	429																
"KY"	2010	"Allen"	"A102"	391	256	112	368	1	301	73	374										22		298	298																
"KY"	2010	"Allen"	"B101"	693	426	223	649	1	530	126	656										22		550	550																
"KY"	2010	"Allen"	"B102"	386	253	100	353	1	302	59	361										22		288	288																
"KY"	2010	"Allen"	"B103"	255	160	79	239	1	194	47	241										22		192	192																
"KY"	2010	"Allen"	"C101"	733	442	236	678	1	538	143	681										22		591	591																
"KY"	2010	"Allen"	"C102"	690	440	197	637	1	507	132	639										22		554	554																
"KY"	2010	"Allen"	"D101"	692	454	205	659	1	522	132	654										22		524	524																
"KY"	2010	"Allen"	"D102"	323	212	94	306	1	240	63	303										22		247	247																
"KY"	2010	"Allen"	"D103"	528	311	185	496	1	379	124	503										22		388	388																
"KY"	2010	"Allen"	"E101"	342	208	103	311	1	238	76	314										22		250	250																
"KY"	2010	"Allen"	"E102"	546	343	161	504	1	388	127	515										22		383	383																
"KY"	2010	"Allen"	"E103"	310	204	86	290	1	236	61	297										22		234	234																
"KY"	2010	"Allen"	"Total:"	6866	4277	2115	6394	1	5048	1374	6422										22		5253	5253																
"KY"	2010	"Anderson"	"AB"	302	174	117	291	6	167	128	295										55	136	161	297																
"KY"	2010	"Anderson"	"A101"	483	210	259	469	6	201	270	472										55	187	289	476																
"KY"	2010	"Anderson"	"A102"	593	304	262	566	6	282	292	574										55	265	318	583																
"KY"	2010	"Anderson"	"B101"	727	396	298	695	6	339	358	699										55	312	409	721																
"KY"	2010	"Anderson"	"B102"	988	552	391	943	6	521	438	959										55	471	505	976																
"KY"	2010	"Anderson"	"C101"	665	325	309	634	6	300	342	643										55	250	403	653																
"KY"	2010	"Anderson"	"C102"	516	269	226	496	6	247	248	495										55	225	285	510																
"KY"	2010	"Anderson"	"D101"	652	384	235	619	6	343	284	627										55	316	321	637																
"KY"	2010	"Anderson"	"D102"	696	380	287	667	6	343	326	669										55	302	381	683																
"KY"	2010	"Anderson"	"E101"	749	418	304	722	6	373	353	726										55	358	374	732																
"KY"	2010	"Anderson"	"E103"	665	367	273	640	6	349	291	641										55	298	361	659																
"KY"	2010	"Anderson"	"F101"	515	298	196	494	6	273	220	493										55	221	285	506																
"KY"	2010	"Anderson"	"F102"	325	178	130	308	6	170	131	301										55	149	171	320																
"KY"	2010	"Anderson"	"F103"	204	86	109	195	6	89	109	198										55	72	124	196																
"KY"	2010	"Anderson"	"F104"	377	231	127	360	6	202	157	361										55	172	200	372																
"KY"	2010	"Anderson"	"Total:"	8457	4572	3523	8099	6	4199	3947	8153										55	3734	4587	8321																
"KY"	2010	"Ballard"	"AB"	80	44	32	76	1	51	24	75					2	5	29	44	78	1	48	30	78																
"KY"	2010	"Ballard"	"A101"	211	111	90	201	1	146	59	205					2	18	94	98	210	1	129	79	208																
"KY"	2010	"Ballard"	"A102"	475	253	213	466	1	305	155	460					2	41	240	192	473	1	280	194	474																
"KY"	2010	"Ballard"	"A103"	89	63	25	88	1	66	20	86					2	7	28	54	89	1	71	18	89																
"KY"	2010	"Ballard"	"B101"	372	174	179	353	1	241	116	357					2	29	169	168	366	1	210	158	368																
"KY"	2010	"Ballard"	"B102"	117	68	46	114	1	81	33	114					2	7	61	48	116	1	77	40	117																
"KY"	2010	"Ballard"	"C101"	161	93	58	151	1	117	38	155					2	14	62	84	160	1	105	56	161																
"KY"	2010	"Ballard"	"C102"	217	123	85	208	1	157	53	210					2	6	79	132	217	1	147	70	217																
"KY"	2010	"Ballard"	"C103"	145	71	65	136	1	92	44	136					2	14	67	63	144	1	88	57	145																
"KY"	2010	"Ballard"	"C104"	185	100	75	175	1	118	62	180					2	12	90	81	183	1	108	74	182																
"KY"	2010	"Ballard"	"D101"	412	191	209	400	1	257	141	398					2	35	214	156	405	1	208	204	412																
"KY"	2010	"Ballard"	"D102"	191	106	76	182	1	137	46	183					2	15	96	79	190	1	125	66	191																
"KY"	2010	"Ballard"	"E101"	281	137	134	271	1	173	102	275					2	23	154	103	280	1	161	119	280																
"KY"	2010	"Ballard"	"E102"	194	113	75	188	1	134	58	192					2	25	86	81	192	1	116	77	193																
"KY"	2010	"Ballard"	"Total:"	3130	1647	1362	3009	1	2075	951	3026					2	251	1469	1383	3103	1	1873	1242	3115																
"KY"	2010	"Barren"	"AB"	805	450	303	753	2	548	192	740										23	416	374	790																
"KY"	2010	"Barren"	"A101"	577	306	226	532	2	388	150	538										23	200	369	569																
"KY"	2010	"Barren"	"A102"	355	149	183	332	2	186	134	320										23	120	227	347																
"KY"	2010	"Barren"	"A103"	466	249	189	438	2	302	119	421										23	213	248	461																
"KY"	2010	"Barren"	"B101"	751	450	262	712	2	522	173	695										23	303	436	739																
"KY"	2010	"Barren"	"B102"	535	303	203	506	2	361	138	499										23	234	293	527																
"KY"	2010	"Barren"	"B103"	371	207	132	339	2	255	71	326										23	110	259	369																
"KY"	2010	"Barren"	"B104"	573	304	232	536	2	363	164	527										23	275	295	570																
"KY"	2010	"Barren"	"C101"	314	165	121	286	2	215	65	280										23	132	180	312																
"KY"	2010	"Barren"	"C102"	521	311	179	490	2	381	104	485										23	234	284	518																
"KY"	2010	"Barren"	"C103"	499	295	171	466	2	349	113	462										23	217	276	493																
"KY"	2010	"Barren"	"C104"	521	323	161	484	2	384	94	478										23	209	306	515																
"KY"	2010	"Barren"	"D101"	504	268	207	475	2	340	117	457										23	229	267	496																
"KY"	2010	"Barren"	"D102"	842	501	295	796	2	611	176	787										23	373	461	834																
"KY"	2010	"Barren"	"D103"	721	381	301	682	2	498	170	668										23	278	430	708																
"KY"	2010	"Barren"	"E101"	505	274	198	472	2	339	119	458										23	219	279	498																
"KY"	2010	"Barren"	"E102"	288	155	112	267	2	189	73	262										23	131	150	281																
"KY"	2010	"Barren"	"E103"	496	283	189	472	2	331	132	463										23	213	280	493																
"KY"	2010	"Barren"	"E104"	580	308	236	544	2	377	157	534										23	268	303	571																
"KY"	2010	"Barren"	"F101"	518	236	239	475	2	319	143	462										23	222	282	504																
"KY"	2010	"Barren"	"F102"	548	303	218	521	2	368	130	498										23	248	291	539																
"KY"	2010	"Barren"	"F103"	693	376	288	664	2	472	189	661										23	322	366	688																
"KY"	2010	"Barren"	"G101"	759	407	324	731	2	504	212	716										23	311	442	753																
"KY"	2010	"Barren"	"G102"	384	190	162	352	2	245	113	358										23	151	231	382																
"KY"	2010	"Barren"	"G103"	550	264	254	518	2	354	151	505										23	199	346	545																
"KY"	2010	"Barren"	"Total:"	13676	7458	5385	12843	2	9201	3399	12600										23	5827	7675	13502																
"KY"	2010	"Bath"	"AB"	257	99	118	217	4	101	66	167					28	81	140		221	72	74	149	223																
"KY"	2010	"Bath"	"A101"	181	60	95	155	4	74	62	136					28	67	93		160	72	53	101	154																
"KY"	2010	"Bath"	"A102"	209	74	107	181	4	98	79	177					28	85	100		185	72	66	122	188																
"KY"	2010	"Bath"	"A103"	196	84	91	175	4	94	62	156					28	67	103		170	72	51	119	170																
"KY"	2010	"Bath"	"A104"	137	60	55	115	4	70	35	105					28	46	68		114	72	36	80	116																
"KY"	2010	"Bath"	"B101"	448	168	239	407	4	208	182	390					28	153	258		411	72	139	267	406																
"KY"	2010	"Bath"	"B102"	349	105	205	310	4	139	152	291					28	93	213		306	72	76	242	318																
"KY"	2010	"Bath"	"B103"	550	210	266	476									28	163	312		475	72	123	368	491																
"KY"	2010	"Bath"	"C101"	354	124	185	309									28	108	213		321	72	92	222	314																
