state	year	parish	ward	precinct	cd	cd2	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USH_dv2	g2000_USH_rv2	g2000_USH_tv2
"LA"	2000	"St. Mary"	"0"	"1"	3	3	23	47	77		49	56		49	56
"LA"	2000	"Ascension"	"Early Voting"	"0"	6	3	319	650	993	176	479	673		265	313
"LA"	2000	"Jefferson"	"Early Voting"	"0"	1	3	1378	4126	5615	495	3850	4431		148	170
"LA"	2000	"Evangeline"	"Early Voting"	"0"	7	5	143	407	560	365		447	12	75	91
"LA"	2000	"Franklin"	"3-"	"7"	5		59	160	224	74	116	192			
"LA"	2000	"St. John The Baptist"	"0"	"6C"	3		45	82	130		57	77			
"LA"	2000	"Avoyelles"	"3-"	"1A"	5		119	79	203	38	97	139			
"LA"	2000	"Union"	"4-"	"4"	5		85	140	236	38	145	191			
"LA"	2000	"Red River"	"7-"	"3"	4		163	138	323	51	199	267			
"LA"	2000	"Terrebonne"	"0"	"20"	3		256	250	517		277	341			
"LA"	2000	"East Baton Rouge"	"1-"	"77A"	6		486	21	512	299	111	421			
"LA"	2000	"Orleans"	"17-"	"18"	1		160	265	435	30	329	377			
"LA"	2000	"Claiborne"	"0"	"5"	4		157	194	361	52	192	253			
"LA"	2000	"St. Bernard"	"0"	"27"	3		239	429	683		484	581			
"LA"	2000	"West Feliciana"	"7-"	"1"	6		74	64	144	29	59	89			
"LA"	2000	"Orleans"	"9-"	"44I"	2		667	49	722						
"LA"	2000	"Avoyelles"	"3-"	"2B"	5		11	7	19	7	8	15			
"LA"	2000	"Morehouse"	"0"	"16"	5		88	274	375	59	265	327			
"LA"	2000	"East Baton Rouge"	"2-"	"11C"	6		444	102	552	318	184	511			
"LA"	2000	"Rapides"	"0"	"36A"	5		12	20	34	5	14	22			
"LA"	2000	"East Baton Rouge"	"1-"	"104A"	6		261	153	429	163	224	397			
"LA"	2000	"East Baton Rouge"	"1-"	"53B"	6		86	357	449	49	376	429			
"LA"	2000	"Allen"	"5-"	"8"	7		181	82	275	189		225			
"LA"	2000	"Richland"	"4-"	"1"	5		59	173	235	44	129	176			
"LA"	2000	"Evangeline"	"1-"	"17-R"	7		17	64	85	53		58			
"LA"	2000	"East Baton Rouge"	"3-"	"25"	6		228	576	819	138	632	786			
"LA"	2000	"Lafayette"	"0"	"106"	7		255	545	825	412		525			
"LA"	2000	"Jefferson"	"0"	"179A"	2		459	357	831						
"LA"	2000	"Union"	"9-"	"6"	5		20	18	39	7	20	28			
"LA"	2000	"Terrebonne"	"0"	"53"	3		308	189	522		280	360			
"LA"	2000	"Orleans"	"9-"	"21"	2		451	8	462						
"LA"	2000	"Orleans"	"9-"	"3A"	2		498	7	509						
"LA"	2000	"Rapides"	"0"	"31"	5		31	87	120	18	62	82			
"LA"	2000	"St. Landry"	"6-"	"1"	7		250	266	528	282		329			
"LA"	2000	"Terrebonne"	"0"	"15A"	3		142	597	744		483	535			
"LA"	2000	"Tangipahoa"	"0"	"109"	1		277	144	429	123	138	274			
"LA"	2000	"West Baton Rouge"	"4-"	"5B"	6		29	27	60	16	34	50			
"LA"	2000	"East Baton Rouge"	"1-"	"36"	6		380	172	565	251	250	519			
"LA"	2000	"Rapides"	"0"	"45"	5		244	6	256	115	15	135			
"LA"	2000	"Ascension"	"0"	"22A"	6		252	477	744	160	478	651			
"LA"	2000	"Caddo"	"0"	"19"	4		110	157	278	55	186	249			
"LA"	2000	"St. Martin"	"Early Voting"	"0"	7		134	382	525	18		20			
