state	year	parish	ward	precinct	sd	ld	ld2	g2001_STH_dv	g2001_STH_rv	g2001_STH_tv	g2001_STH_dv2	g2001_STH_rv2	g2001_STH_tv2	g2001_STS_dv	g2001_STS_rv	g2001_STS_tv	r2001_SC6_dv	r2001_SC6_rv	r2001_SC6_tv	r2001_STS_dv	r2001_STS_rv	r2001_STS_tv	r2001_STH_dv	r2001_STH_rv	r2001_STH_tv	g2001_SC6_dv	g2001_SC6_rv	g2001_SC6_tv
"LA"	2001	"Jefferson"	"Early Voting"			88	86		55	59		47	47				20		20					28	28	19	2	21
"LA"	2001	"Orleans"	"Early Voting"			86	100		87	87	38		38										24		24			
"LA"	2001	"Iberia"	"6-"	"5"													52		52							23	52	75
"LA"	2001	"East Feliciana"	"2-"	"1A"	15									86		134												
"LA"	2001	"St. Bernard"	"0"	"27"													113		113							325	15	340
"LA"	2001	"Plaquemines"	"5-"	"1"													158		158							438	52	490
"LA"	2001	"East Baton Rouge"	"2-"	"24"	15									219		220												
"LA"	2001	"St. John The Baptist"	"0"	"14B"													94		94							83	9	92
"LA"	2001	"Iberia"	"12-"	"6"													33		33							14	28	42
"LA"	2001	"Iberia"	"13-"	"5"													67		67							33	58	91
"LA"	2001	"Lafourche"	"3-"	"3"	20									86	322	416	286		286	215	227	442				354	7	361
"LA"	2001	"Plaquemines"	"1-"	"3"													49		49							250	14	264
"LA"	2001	"St. Charles"	"7-"	"1"													55		55							114	23	137
"LA"	2001	"West Feliciana"	"4-"	"3"	15									43		69												
"LA"	2001	"Assumption"	"Early Voting"														45		45							66	5	71
"LA"	2001	"Orleans"	"9-"	"44Q"		100		296		296													286		286			
"LA"	2001	"St. Charles"	"3-"	"1A"													89		89							144	68	212
"LA"	2001	"St. James"	"0"	"15"													70		70							71	1	72
"LA"	2001	"Orleans"	"9-"	"44N"		100		318		319													335		335			
"LA"	2001	"Terrebonne"	"0"	"55E"	20	53		231	36	267				193	152	345	197		197	215	101	316	284		284	93	19	112
"LA"	2001	"Plaquemines"	"7-"	"2"													57		57							173	16	189
"LA"	2001	"Terrebonne"	"0"	"34R"	20	53		99	6	105				53	13	66	71		71	92	14	106	118		118	37	2	39
"LA"	2001	"St. Mary"	"0"	"25A"													4		4							1	2	3
"LA"	2001	"Jefferson"	"0"	"248"													33		33							23	0	23
"LA"	2001	"Jefferson"	"0"	"249"													67		67							63	1	64
"LA"	2001	"St. Bernard"	"0"	"58"													64		64							192	2	194
"LA"	2001	"Lafourche"	"3-"	"6"	20									59	431	491	296		296	153	331	484				351	19	370
"LA"	2001	"Orleans"	"9-"	"44B"		100		221		222													229		229			
"LA"	2001	"Iberia"	"14-"	"5"													33		33							11	18	29
"LA"	2001	"Terrebonne"	"0"	"4J"													175		175							116	9	125
"LA"	2001	"East Baton Rouge"	"3-"	"3B"		69			201	201														269	269			
"LA"	2001	"East Feliciana"	"5-"	"1A"	15									129		246												
"LA"	2001	"St. Martin"	"5-"	"3"													126		126							52	132	184
"LA"	2001	"St. John The Baptist"	"0"	"10E"													52		52							46	1	47
"LA"	2001	"Lafourche"	"11-"	"3"	20									100	124	231	199		199	144	143	287				194	11	205
"LA"	2001	"West Feliciana"	"3-"	"3"	15									272		288												
"LA"	2001	"St. Charles"	"5-"	"2"													0		0							0	0	0
"LA"	2001	"Jefferson"	"0"	"16"		88			118	122																		
"LA"	2001	"West Feliciana"	"2-"	"3"	15									22		53												
"LA"	2001	"Orleans"	"9-"	"39A"		100		152		152													142		142			
"LA"	2001	"Terrebonne"	"0"	"25"	20	53		238	20	258				141	105	246	218		218	146	105	251	266		266	143	15	158
"LA"	2001	"East Feliciana"	"2-"	"1E"	15									6		9												
"LA"	2001	"St. Bernard"	"0"	"54"													81		81							247	5	252
"LA"	2001	"Terrebonne"	"0"	"72"	20									77	58	135	116		116	89	62	151				76	8	84
"LA"	2001	"Terrebonne"	"0"	"14K"													183		183							104	13	117
"LA"	2001	"St. John The Baptist"	"0"	"11B"													159		159							148	9	157
"LA"	2001	"Jefferson"	"0"	"192"													92		92							94	36	130
"LA"	2001	"West Feliciana"	"5-"	"1"	15									29		36												
"LA"	2001	"St. Bernard"	"0"	"18"													130		130							345	11	356
"LA"	2001	"St. Helena"	"6-"	"1"	15									35		301												
"LA"	2001	"Terrebonne"	"0"	"17A"		53		202	25	227							149		149				234		234	92	8	100
"LA"	2001	"Jefferson"	"0"	"4"		88			154	156																		
"LA"	2001	"East Baton Rouge"	"1-"	"95B"	15									259		261												
"LA"	2001	"St. Charles"	"6-"	"3"													158		158							195	29	224
"LA"	2001	"St. Charles"	"2-"	"1"													91		91							141	6	147
"LA"	2001	"Livingston"	"0"	"23"		69			248	248														222	222			
"LA"	2001	"Livingston"	"0"	"21"		69			75	75														135	135			
"LA"	2001	"St. Martin"	"6-"	"4"													153		153							68	133	201
"LA"	2001	"St. John The Baptist"	"0"	"6A"													262		262							235	12	247
"LA"	2001	"West Feliciana"	"3-"	"1"	15									26		50												
"LA"	2001	"St. Charles"	"5-"	"1"													220		220							314	5	319
"LA"	2001	"St. Mary"	"0"	"20"													183		183							153	114	267
"LA"	2001	"Lafourche"	"8-"	"1"													135		135							162	14	176
"LA"	2001	"St. Charles"	"4-"	"3"													130		130							231	19	250
"LA"	2001	"Lafourche"	"7-"	"3"													46		46							49	3	52
"LA"	2001	"St. Charles"	"6-"	"5"													48		48							56	1	57
"LA"	2001	"Terrebonne"	"0"	"22"	20	53		9	1	10				7	5	12	8		8	11	3	14	7		7	3	0	3
"LA"	2001	"Terrebonne"	"0"	"69A"													258		258							155	18	173
"LA"	2001	"St. Martin"	"6-"	"1"													121		121							48	112	160
"LA"	2001	"Terrebonne"	"0"	"16"													10		10							5	2	7
"LA"	2001	"Jefferson"	"0"	"58"		88			35	37																		
"LA"	2001	"St. Charles"	"7-"	"2"													132		132							195	48	243
"LA"	2001	"Lafourche"	"10-"	"13"	20									74	183	260	153		153	87	216	303				244	3	247
"LA"	2001	"St. Bernard"	"0"	"53"													24		24							61	3	64
"LA"	2001	"Livingston"	"Early Voting"			69			10	10														2	2			
"LA"	2001	"Lafourche"	"4-"	"5"	20									65	385	457	207		207	129	388	517				252	16	268
"LA"	2001	"St. Martin"	"7-"	"1"													59		59							26	67	93
"LA"	2001	"East Baton Rouge"	"3-"	"16A"		69			215	215														343	343			
"LA"	2001	"Orleans"	"15-"	"14G"		86			109	109														98	98			
"LA"	2001	"St. Charles"	"1-"	"6"													177		177							301	62	363
"LA"	2001	"Iberia"	"10-"	"2"													81		81							22	54	76
"LA"	2001	"Plaquemines"	"8-"	"1"													117		117							445	39	484
"LA"	2001	"Lafourche"	"3-"	"4"	20									51	187	244	155		155	151	120	271				194	8	202
"LA"	2001	"Iberia"	"6-"	"1"													102		102							24	94	118
"LA"	2001	"Lafourche"	"3-"	"2"													150		150							160	1	161
"LA"	2001	"Lafourche"	"3-"	"1"													277		277							270	5	275
"LA"	2001	"Lafourche"	"6-"	"4"													112		112							169	3	172
"LA"	2001	"West Feliciana"	"6-"	"1"	15									22		58												
"LA"	2001	"Jefferson"	"0"	"246B"													54		54							61	12	73
"LA"	2001	"St. James"	"Early Voting"														90		90							51	2	53
"LA"	2001	"Lafourche"	"10-"	"16"	20									57	150	210	117		117	82	171	253				153	5	158
"LA"	2001	"West Feliciana"	"4-"	"2"	15									19		19												
"LA"	2001	"Iberia"	"11-"	"5"													58		58							27	40	67
"LA"	2001	"Lafourche"	"5-"	"1"													218		218							238	1	239
"LA"	2001	"Lafourche"	"2-"	"13"													163		163							157	8	165
"LA"	2001	"St. John The Baptist"	"0"	"14A"													230		230							200	32	232
"LA"	2001	"Orleans"	"9-"	"44E"		100		442		446													461		461			
"LA"	2001	"Lafourche"	"2-"	"11"													258		258							236	4	240
"LA"	2001	"St. James"	"0"	"17"													257		257							230	7	237
"LA"	2001	"St. Charles"	"7-"	"2A"													110		110							187	44	231
"LA"	2001	"St. Helena"	"6-"	"2"	15									7		69												
"LA"	2001	"Terrebonne"	"0"	"17M"		53		205	17	222							156		156				223		223	98	9	107
"LA"	2001	"Lafourche"	"1-"	"3B"													277		277							292	2	294
"LA"	2001	"St. Helena"	"3-"	"1"	15									228		302												
"LA"	2001	"St. Mary"	"0"	"18"													46		46							19	19	38
"LA"	2001	"St. Charles"	"6-"	"3A"													184		184							222	32	254
"LA"	2001	"Terrebonne"	"0"	"30"	20	53		108	12	120				70	40	110	83		83	88	28	116	110		110	54	4	58
"LA"	2001	"Terrebonne"	"0"	"7A"													75		75							43	1	44
"LA"	2001	"St. Mary"	"0"	"4B"													67		67							21	19	40
"LA"	2001	"Lafourche"	"10-"	"9"	20									112	188	302	166		166	89	242	331				272	9	281
"LA"	2001	"St. Martin"	"3-"	"4"													127		127							26	233	259
"LA"	2001	"St. Martin"	"3-"	"6"													63		63							15	39	54
"LA"	2001	"Iberia"	"9-"	"3"													34		34							16	69	85
"LA"	2001	"West Feliciana"	"6-"	"3"	15									29		93												
"LA"	2001	"St. John The Baptist"	"0"	"9F"													149		149							139	8	147
"LA"	2001	"Plaquemines"	"6-"	"1"													131		131							458	37	495
"LA"	2001	"West Feliciana"	"1-"	"1"	15									114		240												
"LA"	2001	"East Feliciana"	"4-"	"1C"	15									29		39												
"LA"	2001	"Iberia"	"10-"	"4"													74		74							33	83	116
"LA"	2001	"Orleans"	"9-"	"44G"		100		228		265													267		267			
"LA"	2001	"St. Bernard"	"0"	"22"													70		70							170	3	173
"LA"	2001	"St. Bernard"	"0"	"36"													151		151							378	18	396
"LA"	2001	"Lafourche"	"1-"	"3A"													337		337							351	4	355
"LA"	2001	"Iberia"	"3-"	"3"													96		96							27	130	157
"LA"	2001	"Iberia"	"14-"	"3"													53		53							16	49	65
"LA"	2001	"Terrebonne"	"0"	"58"	20	53		164	3	167				253	25	278	158		158	292	24	316	192		192	126	3	129
"LA"	2001	"St. Mary"	"0"	"22"													136		136							58	50	108
"LA"	2001	"Jefferson"	"L"	"1B"													0		0							0	0	0
"LA"	2001	"East Feliciana"	"4-"	"2B"	15									15		28												
"LA"	2001	"East Baton Rouge"	"1-"	"99A"		69			138	138														241	241			
"LA"	2001	"East Baton Rouge"	"2-"	"1A"	15									151		195												
"LA"	2001	"St. Martin"	"7-"	"2"													55		55							26	44	70
"LA"	2001	"Jefferson"	"0"	"9"		88			99	103																		
"LA"	2001	"Livingston"	"0"	"43"		69			1	1														2	2			
"LA"	2001	"St. James"	"0"	"6"													268		268							224	17	241
"LA"	2001	"Terrebonne"	"0"	"14A"													182		182							118	14	132
"LA"	2001	"Iberia"	"9-"	"2"													85		85							29	101	130
"LA"	2001	"Lafourche"	"11-"	"2"	20									159	185	348	176		176	239	175	414				178	11	189
"LA"	2001	"Terrebonne"	"0"	"11A"													92		92							65	3	68
"LA"	2001	"Terrebonne"	"0"	"69F"													256		256							177	18	195
"LA"	2001	"Terrebonne"	"0"	"19K"	20	53		129	7	136				83	46	129	89		89	72	49	121	134		134	72	4	76
"LA"	2001	"Jefferson"	"0"	"204"													56		56							79	12	91
"LA"	2001	"St. Helena"	"3-"	"3"	15									7		33												
"LA"	2001	"West Feliciana"	"7-"	"2"	15									111		130												
"LA"	2001	"Jefferson"	"0"	"189"													69		69							93	17	110
"LA"	2001	"East Baton Rouge"	"2-"	"11C"	15									185		221												
"LA"	2001	"East Baton Rouge"	"3-"	"7A"		69			117	117														189	189			
"LA"	2001	"Jefferson"	"0"	"24"		88			234	243																		
"LA"	2001	"Jefferson"	"0"	"237"		86			234	234														238	238			
"LA"	2001	"Terrebonne"	"0"	"43"	20									128	83	212	157		157	138	87	225				100	11	111
"LA"	2001	"Assumption"	"5-"	"3"													60		60							99	7	106
"LA"	2001	"Jefferson"	"0"	"231"		86			287	287														325	325			
"LA"	2001	"Jefferson"	"0"	"17"		88			253	258																		
"LA"	2001	"Lafourche"	"1-"	"4"													91		91							89	0	89
"LA"	2001	"East Baton Rouge"	"1-"	"86A"	15									195		195												
"LA"	2001	"Assumption"	"9-"	"1"													150		150							335	15	350
"LA"	2001	"East Baton Rouge"	"2-"	"5A"	15									149		286												
"LA"	2001	"East Feliciana"	"4-"	"1A"	15									86		107												
"LA"	2001	"Lafourche"	"10-"	"8"	20									159	121	280	149		149	113	165	278				196	3	199
"LA"	2001	"West Feliciana"	"6-"	"4"	15									4		7												
"LA"	2001	"St. Mary"	"0"	"8"													30		30							11	10	21
"LA"	2001	"St. James"	"0"	"9"													177		177							186	3	189
"LA"	2001	"Lafourche"	"6-"	"2"													321		321							376	11	387
"LA"	2001	"Terrebonne"	"0"	"8"													140		140							76	8	84
"LA"	2001	"Assumption"	"1-"	"1"													99		99							165	10	175
"LA"	2001	"Lafourche"	"7-"	"4"													123		123							134	9	143
"LA"	2001	"St. Bernard"	"0"	"15"													143		143							300	20	320
"LA"	2001	"St. Bernard"	"0"	"30"													63		63							119	2	121
"LA"	2001	"Terrebonne"	"0"	"29"	20	53		160	16	176				121	70	194	145		145	143	62	205	194		194	93	6	99
"LA"	2001	"Jefferson"	"0"	"193"													37		37							56	10	66
"LA"	2001	"St. John The Baptist"	"0"	"8B"													200		200							221	8	229
"LA"	2001	"East Baton Rouge"	"1-"	"74B"		69			173	173														210	210			
"LA"	2001	"Lafourche"	"2-"	"8"													475		475							468	8	476
"LA"	2001	"Terrebonne"	"0"	"26"	20	53		109	15	124				56	50	107	90		90	70	45	115	121		121	63	2	65
"LA"	2001	"Orleans"	"9-"	"40"		100		249		249													263		263			
"LA"	2001	"Plaquemines"	"5-"	"2"													25		25							69	3	72
"LA"	2001	"East Baton Rouge"	"1-"	"101B"	15									176		177												
"LA"	2001	"St. Helena"	"2-"	"3"	15									3		5												
"LA"	2001	"Terrebonne"	"0"	"12"													163		163							90	30	120
"LA"	2001	"Orleans"	"15-"	"18"		86			131	131														153	153			
"LA"	2001	"Orleans"	"9-"	"41A"		100		95		96													111		111			
"LA"	2001	"Jefferson"	"L"	"1A"													99		99							94	4	98
"LA"	2001	"Terrebonne"	"0"	"1"													112		112							88	2	90
"LA"	2001	"Iberia"	"4-"	"2"													104		104							24	49	73
"LA"	2001	"St. Bernard"	"0"	"33"													217		217							506	24	530
"LA"	2001	"St. Martin"	"9-"	"4"													99		99							40	82	122
"LA"	2001	"Terrebonne"	"0"	"70"	20									31	33	65	41		41	67	30	97				29	4	33
"LA"	2001	"St. Charles"	"5-"	"3"													85		85							140	12	152
"LA"	2001	"St. Charles"	"2-"	"4"													167		167							309	23	332
"LA"	2001	"Jefferson"	"0"	"6"		88			38	40																		
"LA"	2001	"Plaquemines"	"1-"	"4"													0		0							0	0	0
"LA"	2001	"Iberia"	"13-"	"6"													18		18							1	20	21
"LA"	2001	"East Baton Rouge"	"3-"	"38B"		69			212	212														332	332			
"LA"	2001	"Iberia"	"9-"	"1"													100		100							19	88	107
"LA"	2001	"Assumption"	"3-"	"2"													116		116							141	35	176
"LA"	2001	"St. John The Baptist"	"0"	"10B"													164		164							161	9	170
"LA"	2001	"St. Bernard"	"0"	"25"													94		94							202	8	210
"LA"	2001	"Jefferson"	"0"	"195"													23		23							54	5	59
"LA"	2001	"St. Bernard"	"0"	"55"													140		140							391	12	403
"LA"	2001	"Lafourche"	"2-"	"3"													308		308							298	6	304
"LA"	2001	"East Feliciana"	"3-"	"2B"	15									121		193												
"LA"	2001	"Lafourche"	"10-"	"14"	20									87	219	310	154		154	104	274	378				224	5	229
"LA"	2001	"St. John The Baptist"	"0"	"9D"													0		0							0	0	0
"LA"	2001	"St. Martin"	"8-"	"2"													8		8							6	8	14
"LA"	2001	"Iberia"	"6-"	"4"													2		2							0	2	2
"LA"	2001	"Plaquemines"	"1-"	"2"													56		56							209	7	216
"LA"	2001	"St. Bernard"	"0"	"10"													159		159							288	30	318
"LA"	2001	"St. Mary"	"0"	"31"													75		75							74	50	124
"LA"	2001	"Iberia"	"3-"	"1"													156		156							46	185	231
"LA"	2001	"East Baton Rouge"	"2-"	"12A"	15									119		255												
"LA"	2001	"Terrebonne"	"0"	"36"	20									42	41	84	56		56	57	35	92				35	4	39
"LA"	2001	"Iberia"	"4-"	"6"													31		31							10	38	48
"LA"	2001	"Lafourche"	"7-"	"2"													103		103							107	3	110
"LA"	2001	"Terrebonne"	"0"	"23"	20	53		76	1	77				64	14	78	79		79	113	12	125	125		125	54	1	55
"LA"	2001	"St. Martin"	"4-"	"5"													78		78							29	107	136
"LA"	2001	"Jefferson"	"0"	"182"													27		27							39	9	48
"LA"	2001	"East Baton Rouge"	"1-"	"100A"	15									21		21												
"LA"	2001	"St. John The Baptist"	"0"	"12A"													17		17							10	6	16
"LA"	2001	"Lafourche"	"2-"	"7"													145		145							151	0	151
"LA"	2001	"Orleans"	"9-"	"40B"		100		157		157													151		151			
"LA"	2001	"East Feliciana"	"3-"	"1C"	15									36		82												
"LA"	2001	"Iberia"	"14-"	"1"													65		65							23	98	121
"LA"	2001	"Orleans"	"9-"	"44L"		100		395		396													384		384			
"LA"	2001	"Terrebonne"	"0"	"13"													79		79							44	4	48
"LA"	2001	"Terrebonne"	"0"	"59L"	20	53		259	27	286				235	70	306	141		141	267	60	327	275		275	85	11	96
"LA"	2001	"Lafourche"	"9-"	"1"	20									22	188	211	112		112	54	142	196				142	4	146
"LA"	2001	"Plaquemines"	"2-"	"1"													172		172							647	114	761
"LA"	2001	"Lafourche"	"10-"	"3B"	20									59	91	151	85		85	73	106	179				113	1	114
"LA"	2001	"West Feliciana"	"6-"	"2"	15									91		162												
"LA"	2001	"Lafourche"	"2-"	"5"													157		157							161	5	166
"LA"	2001	"Assumption"	"1-"	"2"													230		230							395	16	411
"LA"	2001	"Iberia"	"13-"	"4"													95		95							27	95	122
"LA"	2001	"St. Martin"	"8-"	"4"													189		189							82	149	231
"LA"	2001	"Lafourche"	"2-"	"10"													118		118							127	0	127
"LA"	2001	"Iberia"	"4-"	"1"													55		55							19	38	57
"LA"	2001	"St. Bernard"	"0"	"20"													77		77							188	16	204
"LA"	2001	"Iberia"	"8-"	"5"													111		111							22	131	153
"LA"	2001	"Iberia"	"12-"	"2"													51		51							26	18	44
"LA"	2001	"East Baton Rouge"	"1-"	"72B"		69			108	108														151	151			
"LA"	2001	"St. Bernard"	"0"	"50"													78		78							267	9	276
"LA"	2001	"St. Martin"	"1-"	"5"													74		74							58	40	98
"LA"	2001	"St. Mary"	"0"	"11"													99		99							43	53	96
"LA"	2001	"Lafourche"	"10-"	"6"	20									136	81	218	113		113	92	154	246				147	3	150
"LA"	2001	"St. Charles"	"Early Voting"														102		102							273	42	315
"LA"	2001	"Jefferson"	"0"	"18"		88			204	208																		
"LA"	2001	"Orleans"	"9-"	"40C"		100		225		227													231		231			
"LA"	2001	"Orleans"	"15-"	"18E"		86			381	381														342	342			
"LA"	2001	"Iberia"	"10-"	"1"													50		50							16	51	67
"LA"	2001	"St. Mary"	"0"	"35"													155		155							163	89	252
"LA"	2001	"St. Martin"	"6-"	"2"													76		76							36	77	113
"LA"	2001	"Iberia"	"1-"	"2"													114		114							31	47	78
"LA"	2001	"East Baton Rouge"	"1-"	"99B"		69			153	153														260	260			
"LA"	2001	"East Feliciana"	"Early Voting"		15									9		68												
"LA"	2001	"Terrebonne"	"0"	"19A"	20	53		125	11	136				90	61	153	117		117	73	49	122	142		142	91	7	98
"LA"	2001	"East Feliciana"	"7-"	"1"	15									132		190												
"LA"	2001	"East Baton Rouge"	"3-"	"10A"		69			128	128														175	175			
"LA"	2001	"East Feliciana"	"5-"	"3"	15									5		49												
"LA"	2001	"Terrebonne"	"0"	"38"	20									106	72	179	122		122	123	70	193				79	7	86
"LA"	2001	"St. Mary"	"0"	"34A"													77		77							54	11	65
"LA"	2001	"St. Bernard"	"0"	"12"													163		163							328	14	342
"LA"	2001	"St. Martin"	"4-"	"4"													139		139							45	189	234
"LA"	2001	"East Feliciana"	"4-"	"2A"	15									33		98												
"LA"	2001	"St. John The Baptist"	"0"	"13B"													132		132							123	20	143
"LA"	2001	"St. Martin"	"3-"	"7"													15		15							3	11	14
"LA"	2001	"Jefferson"	"0"	"22"		88			51	52																		
"LA"	2001	"Jefferson"	"0"	"19"		88			79	80																		
"LA"	2001	"St. Bernard"	"0"	"42A"													126		126							352	8	360
"LA"	2001	"Lafourche"	"5-"	"2"													342		342							358	10	368
"LA"	2001	"St. Martin"	"3-"	"5"													18		18							11	15	26
"LA"	2001	"St. Mary"	"0"	"2"													36		36							13	21	34
"LA"	2001	"West Feliciana"	"2-"	"2"	15									62		221												
"LA"	2001	"Terrebonne"	"0"	"7L"													90		90							57	2	59
"LA"	2001	"Orleans"	"15-"	"18C"		86			274	274														278	278			
"LA"	2001	"East Feliciana"	"2-"	"1D"	15									28		109												
"LA"	2001	"East Feliciana"	"2-"	"1C"	15									55		157												
"LA"	2001	"East Feliciana"	"2-"	"1B"	15									34		84												
"LA"	2001	"Terrebonne"	"0"	"42"	20									77	49	130	105		105	80	57	137				73	10	83
"LA"	2001	"St. Martin"	"5-"	"1"													43		43							34	29	63
"LA"	2001	"Orleans"	"9-"	"39B"		100		144		145													153		153			
"LA"	2001	"East Feliciana"	"1-"	"1"	15									27		217												
"LA"	2001	"St. Charles"	"3-"	"3"													152		152							270	40	310
"LA"	2001	"East Baton Rouge"	"1-"	"92B"	15									112		112												
"LA"	2001	"East Baton Rouge"	"3-"	"8A"	15									52		159												
"LA"	2001	"Assumption"	"2-"	"1"													115		115							174	11	185
"LA"	2001	"Jefferson"	"0"	"246A"													0		0							0	0	0
"LA"	2001	"St. Mary"	"0"	"33"													175		175							178	55	233
"LA"	2001	"East Baton Rouge"	"1-"	"103B"		69			122	122														233	233			
"LA"	2001	"East Baton Rouge"	"3-"	"24B"	15									225		278												
"LA"	2001	"West Feliciana"	"Early Voting"		15									23		48												
"LA"	2001	"West Feliciana"	"7-"	"1"	15									49		72												
"LA"	2001	"Assumption"	"8-"	"1A"													99		99							158	9	167
"LA"	2001	"Jefferson"	"0"	"185"													48		48							70	15	85
"LA"	2001	"St. Bernard"	"0"	"13"													106		106							190	13	203
"LA"	2001	"Iberia"	"2-"	"1"													47		47							20	38	58
"LA"	2001	"Iberia"	"5-"	"1"													85		85							24	103	127
"LA"	2001	"St. Mary"	"0"	"4"													136		136							75	46	121
"LA"	2001	"St. Mary"	"0"	"19"													165		165							90	88	178
"LA"	2001	"Plaquemines"	"Early Voting"														82		82							462	35	497
"LA"	2001	"East Baton Rouge"	"1-"	"72C"		69			116	116														169	169			
"LA"	2001	"St. Mary"	"0"	"32"													60		60							87	37	124
"LA"	2001	"Terrebonne"	"0"	"50"	20									6	11	17	10		10	9	8	17				10	0	10
"LA"	2001	"Iberia"	"13-"	"1"													107		107							42	101	143
"LA"	2001	"St. Charles"	"6-"	"1"													107		107							176	6	182
"LA"	2001	"East Baton Rouge"	"1-"	"84B"	15									212		216												
"LA"	2001	"Terrebonne"	"0"	"41"	20									3	2	5	4		4	1	5	6				3	0	3
"LA"	2001	"Lafourche"	"10-"	"10"	20									201	208	412	230		230	199	242	441				309	12	321
"LA"	2001	"East Baton Rouge"	"2-"	"25B"	15									100		210												
"LA"	2001	"Livingston"	"0"	"17"		69			61	61														99	99			
"LA"	2001	"St. James"	"0"	"8A"													5		5							7	0	7
"LA"	2001	"Iberia"	"11-"	"3"													107		107							41	75	116
"LA"	2001	"Jefferson"	"0"	"11"		88			97	101																		
"LA"	2001	"East Feliciana"	"1-"	"3"	15									32		125												
"LA"	2001	"St. Mary"	"0"	"3"													131		131							62	34	96
"LA"	2001	"St. John The Baptist"	"0"	"6B"													279		279							240	3	243
"LA"	2001	"East Baton Rouge"	"1-"	"100B"	15									10		10												
"LA"	2001	"St. Martin"	"5-"	"4"													98		98							37	119	156
"LA"	2001	"Lafourche"	"7-"	"1"													52		52							55	0	55
"LA"	2001	"East Baton Rouge"	"2-"	"9B"	15									166		189												
"LA"	2001	"St. Charles"	"6-"	"6"													67		67							127	10	137
"LA"	2001	"East Baton Rouge"	"2-"	"11B"	15									176		206												
"LA"	2001	"Terrebonne"	"0"	"20"	20									94	64	158	158		158	94	65	159				98	3	101
"LA"	2001	"East Baton Rouge"	"3-"	"11B"		69			75	75														111	111			
"LA"	2001	"St. Martin"	"1-"	"7"													115		115							37	173	210
"LA"	2001	"Iberia"	"1-"	"1"													86		86							41	32	73
"LA"	2001	"Orleans"	"15-"	"19C"		86			125	125														85	85			
