state	year	parish	ward	precinct	cd	cd2	cd3	g2002_USS_dv	g2002_USS_rv	g2002_USS_tv	g2002_USH_dv	g2002_USH_rv	g2002_USH_tv	g2002_USH_dv2	g2002_USH_rv2	g2002_USH_tv2	g2002_USH_rv3	g2002_USH_tv3
"LA"	2002	"Acadia"	"1"	"02A"	7			156	132	289	246		280					
"LA"	2002	"Acadia"	"1"	"02B"	7			139	209	348	299		341					
"LA"	2002	"Acadia"	"1"	"03A"	7			159	305	466	419		465					
"LA"	2002	"Acadia"	"1"	"03B"	7			166	104	275	243		259					
"LA"	2002	"Acadia"	"1"	"04A"	7			125	180	308	265		302					
"LA"	2002	"Acadia"	"1"	"04B"	7			99	179	280	229		275					
"LA"	2002	"Acadia"	"1"	"05A"	7			108	162	273	251		268					
"LA"	2002	"Acadia"	"1"	"05B"	7			160	75	238	222		240					
"LA"	2002	"Acadia"	"1"	"1"	7			133	246	379	317		357					
"LA"	2002	"Acadia"	"1"	"10"	7			7	35	42	27		40					
"LA"	2002	"Acadia"	"1"	"11"	7			8	25	33	23		32					
"LA"	2002	"Acadia"	"1"	"6"	7			293	34	335	310		317					
"LA"	2002	"Acadia"	"1"	"7"	7			305	89	401	364		384					
"LA"	2002	"Acadia"	"1"	"8"	7			101	126	227	194		223					
"LA"	2002	"Acadia"	"1"	"9"	7			95	133	230	186		223					
"LA"	2002	"Acadia"	"2"	"1"	7			114	196	313	271		301					
"LA"	2002	"Acadia"	"2"	"2"	7			55	251	309	253		303					
"LA"	2002	"Acadia"	"2"	"3"	7			85	156	241	201		229					
"LA"	2002	"Acadia"	"2"	"4"	7			57	225	282	217		265					
"LA"	2002	"Acadia"	"2"	"5"	7			49	141	190	158		184					
"LA"	2002	"Acadia"	"3"	"03A"	7			185	182	368	324		348					
"LA"	2002	"Acadia"	"3"	"03B"	7			68	110	178	148		167					
"LA"	2002	"Acadia"	"3"	"03C"	7			19	16	35	28		32					
"LA"	2002	"Acadia"	"3"	"1"	7			176	214	393	335		374					
"LA"	2002	"Acadia"	"3"	"2"	7			69	198	269	221		247					
"LA"	2002	"Acadia"	"3"	"4"	7			216	50	266	239		254					
"LA"	2002	"Acadia"	"3"	"5"	7			37	56	93	79		89					
"LA"	2002	"Acadia"	"3"	"6"	7			66	63	131	113		126					
"LA"	2002	"Acadia"	"3"	"7"	7			128	166	296	259		287					
"LA"	2002	"Acadia"	"4"	"1"	7			118	150	269	232		251					
"LA"	2002	"Acadia"	"4"	"2"	7			121	261	383	328		366					
"LA"	2002	"Acadia"	"4"	"3"	7			19	68	87	69		85					
"LA"	2002	"Acadia"	"4"	"4"	7			155	223	378	315		357					
"LA"	2002	"Acadia"	"4"	"5"	7			171	281	454	360		423					
"LA"	2002	"Acadia"	"4"	"6"	7			88	185	278	222		257					
"LA"	2002	"Acadia"	"5"	"01A"	7			94	76	171	139		170					
"LA"	2002	"Acadia"	"5"	"01B"	7			53	35	88	65		79					
"LA"	2002	"Acadia"	"5"	"02A"	7			114	91	207	185		204					
"LA"	2002	"Acadia"	"5"	"02B"	7			10	16	26	20		25					
"LA"	2002	"Acadia"	"5"	"3"	7			51	77	128	106		122					
"LA"	2002	"Acadia"	"5"	"4"	7			110	79	190	157		182					
"LA"	2002	"Acadia"	"5"	"5"	7			71	44	115	95		110					
"LA"	2002	"Acadia"	"5"	"6"	7			24	33	60	50		59					
"LA"	2002	"Acadia"	"6"	"02A"	7			3	2	5	5		5					
"LA"	2002	"Acadia"	"6"	"03A"	7			189	194	386	330		370					
"LA"	2002	"Acadia"	"6"	"03B"	7			49	164	213	177		207					
"LA"	2002	"Acadia"	"6"	"1"	7			167	110	279	245		268					
"LA"	2002	"Acadia"	"6"	"10"	7			53	78	131	111		132					
