state	year	parish	ward	precinct	cd	cd2	cd3	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_USH_dv2	g2004_USH_rv2	g2004_USH_tv2	g2004_USH_dv3	g2004_USH_rv3	g2004_USH_tv3
"LA"	2004	"Acadia"	"1"	"02A"	7			139	168	308	189	107	306	147	156	303						
"LA"	2004	"Acadia"	"1"	"02B"	7			88	272	362	177	179	357	129	220	349						
"LA"	2004	"Acadia"	"1"	"03A"	7			106	392	501	242	250	494	139	353	492						
"LA"	2004	"Acadia"	"1"	"03B"	7			164	162	326	252	67	322	188	130	318						
"LA"	2004	"Acadia"	"1"	"04A"	7			100	279	379	194	178	375	140	235	375						
"LA"	2004	"Acadia"	"1"	"04B"	7			102	231	336	178	150	331	132	201	333						
"LA"	2004	"Acadia"	"1"	"05A"	7			104	198	304	172	127	304	124	174	298						
"LA"	2004	"Acadia"	"1"	"05B"	7			165	85	252	189	56	248	177	61	238						
"LA"	2004	"Acadia"	"1"	"1"	7			172	476	656	357	285	650	225	415	640						
"LA"	2004	"Acadia"	"1"	"10"	7			14	57	71	28	43	71	19	51	70						
"LA"	2004	"Acadia"	"1"	"11"	7			11	51	63	30	34	64	20	44	64						
"LA"	2004	"Acadia"	"1"	"6"	7			343	14	359	362	6	378	358	10	368						
"LA"	2004	"Acadia"	"1"	"7"	7			332	91	425	364	58	434	353	73	426						
"LA"	2004	"Acadia"	"1"	"8"	7			128	246	376	217	158	376	148	217	365						
"LA"	2004	"Acadia"	"1"	"9"	7			114	266	384	223	159	382	157	220	377						
"LA"	2004	"Acadia"	"2"	"1"	7			178	426	608	342	248	600	218	372	590						
"LA"	2004	"Acadia"	"2"	"2"	7			58	366	425	169	254	426	95	327	422						
"LA"	2004	"Acadia"	"2"	"3"	7			105	223	331	177	150	332	138	189	327						
"LA"	2004	"Acadia"	"2"	"4"	7			52	381	435	155	273	429	86	343	429						
"LA"	2004	"Acadia"	"2"	"5"	7			42	248	290	143	149	293	77	211	288						
"LA"	2004	"Acadia"	"3"	"03A"	7			237	452	696	392	292	690	325	360	685						
"LA"	2004	"Acadia"	"3"	"03B"	7			134	192	327	199	126	325	162	160	322						
"LA"	2004	"Acadia"	"3"	"1"	7			240	396	640	369	253	630	332	291	623						
"LA"	2004	"Acadia"	"3"	"2"	7			118	371	496	224	262	490	194	293	487						
"LA"	2004	"Acadia"	"3"	"4"	7			351	78	433	397	33	444	402	44	446						
"LA"	2004	"Acadia"	"3"	"5"	7			47	120	171	79	86	169	64	105	169						
"LA"	2004	"Acadia"	"3"	"6"	7			95	138	235	149	81	235	130	108	238						
"LA"	2004	"Acadia"	"3"	"7"	7			164	368	538	318	218	540	242	286	528						
"LA"	2004	"Acadia"	"4"	"1"	7			121	272	398	191	199	393	174	217	391						
"LA"	2004	"Acadia"	"4"	"2"	7			161	404	568	273	296	572	205	356	561						
"LA"	2004	"Acadia"	"4"	"3"	7			11	93	104	37	67	104	24	80	104						
"LA"	2004	"Acadia"	"4"	"4"	7			160	471	637	358	270	630	260	358	618						
"LA"	2004	"Acadia"	"4"	"5"	7			188	446	645	329	307	640	292	342	634						
"LA"	2004	"Acadia"	"4"	"6"	7			81	328	413	177	242	421	132	281	413						
"LA"	2004	"Acadia"	"5"	"01A"	7			144	125	276	186	84	270	155	105	260						
"LA"	2004	"Acadia"	"5"	"01B"	7			56	68	125	78	45	125	66	59	125						
"LA"	2004	"Acadia"	"5"	"02A"	7			134	202	339	227	110	338	179	152	331						
"LA"	2004	"Acadia"	"5"	"02B"	7			7	33	40	19	20	40	14	26	40						
"LA"	2004	"Acadia"	"5"	"3"	7			65	137	202	115	86	205	82	122	204						
"LA"	2004	"Acadia"	"5"	"4"	7			151	169	327	217	110	331	169	155	324						
"LA"	2004	"Acadia"	"5"	"5"	7			91	71	163	118	40	158	92	67	159						
"LA"	2004	"Acadia"	"5"	"6"	7			25	64	89	50	37	90	25	63	88						
"LA"	2004	"Acadia"	"6"	"03A"	7			280	250	533	380	149	531	290	236	526						
"LA"	2004	"Acadia"	"6"	"03B"	7			34	194	229	107	122	231	65	162	227						
"LA"	2004	"Acadia"	"6"	"1"	7			303	165	471	379	93	475	331	139	470						
"LA"	2004	"Acadia"	"6"	"10"	7			50	129	181	100	78	179	71	107	178						
"LA"	2004	"Acadia"	"6"	"11"	7			495	17	512	521	4	536	516	10	526						
