state	year	parish	ward	precinct	sd	sd2	ld	ld2	g2005_STS_dv	g2005_STS_rv	g2005_STS_tv	g2005_STS_dv2	g2005_STS_rv2	g2005_STS_tv2	g2005_STH_dv	g2005_STH_rv	g2005_STH_tv	g2005_STH_dv2	g2005_STH_rv2	g2005_STH_tv2	r2005_STS_dv	r2005_STS_rv	r2005_STS_tv	r2005_STH_dv	r2005_STH_rv	r2005_STH_tv	r2005_STH_dv2	r2005_STH_rv2	r2005_STH_tv2
"LA"	2005	"East Baton Rouge"	"1"	"103A"			66								9	159	168							0	207	207			
"LA"	2005	"East Baton Rouge"	"1"	"103B"			66								9	129	138							0	153	153			
"LA"	2005	"East Baton Rouge"	"1"	"104A"			66								11	56	67							0	59	59			
"LA"	2005	"East Baton Rouge"	"1"	"104B"			66								9	57	66							0	60	60			
"LA"	2005	"East Baton Rouge"	"1"	"17"			29								23	6	29							23	0	23			
"LA"	2005	"East Baton Rouge"	"1"	"23"			29								53	2	55							54	0	54			
"LA"	2005	"East Baton Rouge"	"1"	"52A"			66								21	212	233							0	251	251			
"LA"	2005	"East Baton Rouge"	"1"	"52B"			66								13	223	236							0	242	242			
"LA"	2005	"East Baton Rouge"	"1"	"53A"			66								6	182	188							0	182	182			
"LA"	2005	"East Baton Rouge"	"1"	"53B"			66								3	207	210							0	223	223			
"LA"	2005	"East Baton Rouge"	"1"	"54A"			66								34	154	188							0	189	189			
"LA"	2005	"East Baton Rouge"	"1"	"54B"			66								39	202	241							0	237	237			
"LA"	2005	"East Baton Rouge"	"1"	"55A"			66								14	200	214							0	230	230			
"LA"	2005	"East Baton Rouge"	"1"	"55B"			66								8	247	255							0	262	262			
"LA"	2005	"East Baton Rouge"	"1"	"58A"			29								40	5	45							54	0	54			
"LA"	2005	"East Baton Rouge"	"1"	"58B"			29								27	3	30							27	0	27			
"LA"	2005	"East Baton Rouge"	"1"	"60A"			66								19	232	251							0	267	267			
"LA"	2005	"East Baton Rouge"	"1"	"60B"			66								21	250	271							0	264	264			
"LA"	2005	"East Baton Rouge"	"1"	"70A"			29								95	6	101							128	0	128			
"LA"	2005	"East Baton Rouge"	"1"	"70B"			29								84	8	92							115	0	115			
"LA"	2005	"East Baton Rouge"	"1"	"71A"			66								19	217	236							0	254	254			
"LA"	2005	"East Baton Rouge"	"1"	"71B"			66								10	167	177							0	207	207			
"LA"	2005	"East Baton Rouge"	"1"	"72A"			66								9	140	149							0	148	148			
"LA"	2005	"East Baton Rouge"	"1"	"72B"			66								15	121	136							0	151	151			
"LA"	2005	"East Baton Rouge"	"1"	"77A"			29								137	4	141							171	0	171			
"LA"	2005	"East Baton Rouge"	"1"	"77B"			29								98	4	102							125	0	125			
"LA"	2005	"East Baton Rouge"	"1"	"78A"			29								37	10	47							50	0	50			
"LA"	2005	"East Baton Rouge"	"1"	"78B"			29								20	3	23							34	0	34			
"LA"	2005	"East Baton Rouge"	"1"	"81A"			66								8	40	48							0	56	56			
"LA"	2005	"East Baton Rouge"	"1"	"81B"			66								3	29	32							0	40	40			
"LA"	2005	"East Baton Rouge"	"1"	"82A"			29								78	14	92							102	0	102			
"LA"	2005	"East Baton Rouge"	"1"	"82B"			29								64	15	79							101	0	101			
"LA"	2005	"East Baton Rouge"	"1"	"83A"			66								5	85	90							0	99	99			
"LA"	2005	"East Baton Rouge"	"1"	"83B"			66								7	83	90							0	97	97			
"LA"	2005	"East Baton Rouge"	"1"	"84A"			29								120	5	125							117	0	117			
"LA"	2005	"East Baton Rouge"	"1"	"84B"			29								130	13	143							140	0	140			
"LA"	2005	"East Baton Rouge"	"1"	"85A"			29								71	1	72							79	0	79			
"LA"	2005	"East Baton Rouge"	"1"	"85B"			29								66	4	70							64	0	64			
"LA"	2005	"East Baton Rouge"	"1"	"87A"			66								8	216	224							0	240	240			
"LA"	2005	"East Baton Rouge"	"1"	"87B"			66								19	174	193							0	204	204			
"LA"	2005	"East Baton Rouge"	"1"	"88A"			29								39	8	47							50	0	50			
"LA"	2005	"East Baton Rouge"	"1"	"88B"			29								41	6	47							35	0	35			
"LA"	2005	"East Baton Rouge"	"1"	"88C"			29								48	7	55							59	0	59			
"LA"	2005	"East Baton Rouge"	"1"	"89"			66								16	152	168							0	162	162			
"LA"	2005	"East Baton Rouge"	"1"	"9"			66								20	270	290							0	287	287			
"LA"	2005	"East Baton Rouge"	"1"	"90A"			66								14	141	155							0	155	155			
"LA"	2005	"East Baton Rouge"	"1"	"90B"			66								16	145	161							0	154	154			
"LA"	2005	"East Baton Rouge"	"1"	"93"			29								17	9	26							33	0	33			
"LA"	2005	"East Baton Rouge"	"2"	"1A"			29								75	11	86							101	0	101			
"LA"	2005	"East Baton Rouge"	"2"	"1B"			29								71	5	76							97	0	97			
"LA"	2005	"East Baton Rouge"	"2"	"23A"			29								56	0	56							50	0	50			
"LA"	2005	"East Baton Rouge"	"2"	"23B"			29								63	1	64							77	0	77			
"LA"	2005	"East Baton Rouge"	"2"	"30A"			29								97	1	98							86	0	86			
"LA"	2005	"East Baton Rouge"	"2"	"30B"			29								100	2	102							98	0	98			
"LA"	2005	"East Baton Rouge"	"3"	"24A"			29								96	7	103							118	0	118			
"LA"	2005	"East Baton Rouge"	"3"	"24B"			29								69	8	77							90	0	90			
"LA"	2005	"East Baton Rouge"	"3"	"27A"			66								14	83	97							0	109	109			
"LA"	2005	"East Baton Rouge"	"3"	"27B"			66								16	67	83							0	84	84			
"LA"	2005	"East Baton Rouge"	"Early Voting"				66	29							11	156	167	16	4	20				0	243	243	21		21
"LA"	2005	"Jefferson"	"0"	"100"	6				9	123	133											127	127						
"LA"	2005	"Jefferson"	"0"	"101"	6				13	88	101											98	98						
