state	year	parish	ward	precinct	sd	ld	g2009_STS_dv	g2009_STS_rv	g2009_STS_tv	g2009_STH_dv	g2009_STH_rv	g2009_STH_tv	g2009_CCA_dv	g2009_CCA_rv	g2009_CCA_tv	g2009_PSC4_dv	g2009_PSC4_rv	g2009_PSC4_tv	g2009_SC4_rv	g2009_SC4_dv	g2009_SC4_tv	r2009_STS_dv	r2009_STS_rv	r2009_STS_tv	r2009_STH_dv	r2009_STH_rv	r2009_STH_tv	jud_circ	jud_dist	jud_elec_sec	jud_div
"LA"	2009	"East Baton Rouge"	"1"	"103A"	16		0	168	168													0	163	163							
"LA"	2009	"East Baton Rouge"	"1"	"103B"	16		0	122	122													0	136	136							
"LA"	2009	"East Baton Rouge"	"1"	"105A"	16		0	213	213													0	206	206							
"LA"	2009	"East Baton Rouge"	"1"	"105B"	16		0	161	161													0	186	186							
"LA"	2009	"East Baton Rouge"	"1"	"12A"	16		0	178	178													0	167	167							
"LA"	2009	"East Baton Rouge"	"1"	"12B"	16		0	131	131													0	122	122							
"LA"	2009	"East Baton Rouge"	"1"	"33"	16		0	104	104													0	105	105							
"LA"	2009	"East Baton Rouge"	"1"	"34A"	16		0	152	152													0	152	152							
"LA"	2009	"East Baton Rouge"	"1"	"34B"	16		0	171	171													0	161	161							
"LA"	2009	"East Baton Rouge"	"1"	"35"	16		0	103	103													0	113	113							
"LA"	2009	"East Baton Rouge"	"1"	"41A"	16		0	113	113													0	114	114							
"LA"	2009	"East Baton Rouge"	"1"	"41B"	16		0	123	123													0	139	139							
"LA"	2009	"East Baton Rouge"	"1"	"42A"	16		0	195	195													0	209	209							
"LA"	2009	"East Baton Rouge"	"1"	"42B"	16		0	203	203													0	213	213							
"LA"	2009	"East Baton Rouge"	"1"	"43"	16		0	291	291													0	328	328							
"LA"	2009	"East Baton Rouge"	"1"	"47A"	16		0	276	276													0	286	286							
"LA"	2009	"East Baton Rouge"	"1"	"47B"	16		0	252	252													0	303	303							
"LA"	2009	"East Baton Rouge"	"1"	"49A"	16		0	146	146													0	150	150							
"LA"	2009	"East Baton Rouge"	"1"	"49B"	16		0	138	138													0	134	134							
"LA"	2009	"East Baton Rouge"	"1"	"52A"	16		0	136	136													0	144	144							
"LA"	2009	"East Baton Rouge"	"1"	"52B"	16		0	161	161													0	176	176							
"LA"	2009	"East Baton Rouge"	"1"	"53A"	16		0	132	132													0	120	120							
"LA"	2009	"East Baton Rouge"	"1"	"53B"	16		0	142	142													0	157	157							
"LA"	2009	"East Baton Rouge"	"1"	"55A"	16		0	159	159													0	170	170							
"LA"	2009	"East Baton Rouge"	"1"	"55B"	16		0	150	150													0	161	161							
"LA"	2009	"East Baton Rouge"	"1"	"56A"	16		0	274	274													0	310	310							
"LA"	2009	"East Baton Rouge"	"1"	"56B"	16		0	309	309													0	320	320							
"LA"	2009	"East Baton Rouge"	"1"	"60A"	16		0	179	179													0	185	185							
"LA"	2009	"East Baton Rouge"	"1"	"60B"	16		0	174	174													0	170	170							
"LA"	2009	"East Baton Rouge"	"1"	"66A"	16		0	104	104													0	102	102							
"LA"	2009	"East Baton Rouge"	"1"	"66B"	16		0	111	111													0	120	120							
"LA"	2009	"East Baton Rouge"	"1"	"69A"	16		0	237	237													0	277	277							
"LA"	2009	"East Baton Rouge"	"1"	"69B"	16		0	244	244													0	222	222							
"LA"	2009	"East Baton Rouge"	"1"	"71A"	16		0	139	139													0	140	140							
"LA"	2009	"East Baton Rouge"	"1"	"71B"	16		0	123	123													0	134	134							
"LA"	2009	"East Baton Rouge"	"1"	"72A"	16		0	132	132													0	149	149							
"LA"	2009	"East Baton Rouge"	"1"	"72B"	16		0	127	127													0	153	153							
"LA"	2009	"East Baton Rouge"	"1"	"74A"	16		0	157	157													0	181	181							
"LA"	2009	"East Baton Rouge"	"1"	"74B"	16		0	215	215													0	179	179							
"LA"	2009	"East Baton Rouge"	"1"	"75A"	16		0	246	246													0	251	251							
"LA"	2009	"East Baton Rouge"	"1"	"75B"	16		0	231	231													0	203	203							
"LA"	2009	"East Baton Rouge"	"1"	"80A"	16		0	189	189													0	178	178							
"LA"	2009	"East Baton Rouge"	"1"	"80B"	16		0	167	167													0	147	147							
"LA"	2009	"East Baton Rouge"	"1"	"87A"	16		0	142	142													0	140	140							
"LA"	2009	"East Baton Rouge"	"1"	"87B"	16		0	140	140													0	137	137							
"LA"	2009	"East Baton Rouge"	"1"	"9"	16		0	185	185													0	212	212							
"LA"	2009	"East Baton Rouge"	"1"	"90A"	16		0	124	124													0	128	128							
"LA"	2009	"East Baton Rouge"	"1"	"90B"	16		0	113	113													0	102	102							
"LA"	2009	"East Baton Rouge"	"3"	"11"	16		0	28	28													0	33	33							
"LA"	2009	"East Baton Rouge"	"3"	"13A"	16		0	266	266													0	266	266							
"LA"	2009	"East Baton Rouge"	"3"	"13B"	16		0	225	225													0	222	222							
"LA"	2009	"East Baton Rouge"	"3"	"15A"	16		0	118	118													0	112	112							
"LA"	2009	"East Baton Rouge"	"3"	"15B"	16		0	113	113													0	115	115							
"LA"	2009	"East Baton Rouge"	"3"	"16A"	16		0	234	234													0	213	213							
"LA"	2009	"East Baton Rouge"	"3"	"16B"	16		0	216	216													0	240	240							
"LA"	2009	"East Baton Rouge"	"3"	"17A"	16		0	214	214													0	201	201							
"LA"	2009	"East Baton Rouge"	"3"	"17B"	16		0	211	211													0	203	203							
"LA"	2009	"East Baton Rouge"	"3"	"18A"	16		0	79	79													0	96	96							
"LA"	2009	"East Baton Rouge"	"3"	"18B"	16		0	75	75													0	77	77							
"LA"	2009	"East Baton Rouge"	"3"	"19A"	16		0	214	214													0	197	197							
"LA"	2009	"East Baton Rouge"	"3"	"19B"	16		0	226	226													0	197	197							
"LA"	2009	"East Baton Rouge"	"3"	"22"	16		0	119	119													0	110	110							
"LA"	2009	"East Baton Rouge"	"3"	"27A"	16		0	98	98													0	98	98							
"LA"	2009	"East Baton Rouge"	"3"	"27B"	16		0	80	80													0	88	88							
"LA"	2009	"East Baton Rouge"	"3"	"29A"	16		0	131	131													0	98	98							
"LA"	2009	"East Baton Rouge"	"3"	"29B"	16		0	129	129													0	120	120							
"LA"	2009	"East Baton Rouge"	"3"	"31A"	16		0	134	134													0	138	138							
"LA"	2009	"East Baton Rouge"	"3"	"31B"	16		0	125	125													0	118	118							
"LA"	2009	"East Baton Rouge"	"3"	"33A"	16		0	129	129													0	128	128							
"LA"	2009	"East Baton Rouge"	"3"	"33B"	16		0	137	137													0	136	136							
"LA"	2009	"East Baton Rouge"	"3"	"34A"	16		0	73	73													0	72	72							
"LA"	2009	"East Baton Rouge"	"3"	"34B"	16		0	75	75													0	72	72							
"LA"	2009	"East Baton Rouge"	"3"	"35A"	16		0	117	117													0	95	95							
"LA"	2009	"East Baton Rouge"	"3"	"35B"	16		0	90	90													0	87	87							
"LA"	2009	"East Baton Rouge"	"3"	"36A"	16		0	262	262													0	260	260							
"LA"	2009	"East Baton Rouge"	"3"	"36B"	16		0	236	236													0	264	264							
"LA"	2009	"East Baton Rouge"	"3"	"38A"	16		0	136	136													0	138	138							
"LA"	2009	"East Baton Rouge"	"3"	"38B"	16		0	115	115													0	121	121							
"LA"	2009	"East Baton Rouge"	"3"	"39"	16		0	6	6													0	8	8							
"LA"	2009	"East Baton Rouge"	"3"	"3A"	16		0	136	136													0	153	153							
"LA"	2009	"East Baton Rouge"	"3"	"3B"	16		0	180	180													0	174	174							
"LA"	2009	"East Baton Rouge"	"3"	"40A"	16		0	147	147													0	164	164							
"LA"	2009	"East Baton Rouge"	"3"	"40B"	16		0	192	192													0	179	179							
"LA"	2009	"East Baton Rouge"	"3"	"41A"	16		0	200	200													0	220	220							
"LA"	2009	"East Baton Rouge"	"3"	"41B"	16		0	218	218													0	230	230							
"LA"	2009	"East Baton Rouge"	"3"	"43A"	16		0	106	106													0	114	114							
"LA"	2009	"East Baton Rouge"	"3"	"43B"	16		0	110	110													0	118	118							
"LA"	2009	"East Baton Rouge"	"3"	"45A"	16		0	127	127													0	146	146							
"LA"	2009	"East Baton Rouge"	"3"	"45B"	16		0	143	143													0	148	148							
"LA"	2009	"East Baton Rouge"	"3"	"47A"	16		0	124	124													0	121	121							
"LA"	2009	"East Baton Rouge"	"3"	"47B"	16		0	105	105													0	107	107							
"LA"	2009	"East Baton Rouge"	"3"	"48A"	16		0	194	194													0	188	188							
"LA"	2009	"East Baton Rouge"	"3"	"48B"	16		0	168	168													0	179	179							
"LA"	2009	"East Baton Rouge"	"3"	"49A"	16		0	136	136													0	133	133							
"LA"	2009	"East Baton Rouge"	"3"	"49B"	16		0	123	123													0	123	123							
"LA"	2009	"East Baton Rouge"	"3"	"49C"	16		0	68	68													0	93	93							
"LA"	2009	"East Baton Rouge"	"3"	"4A"	16		0	91	91													0	96	96							
"LA"	2009	"East Baton Rouge"	"3"	"4B"	16		0	116	116													0	119	119							
"LA"	2009	"East Baton Rouge"	"3"	"51"	16		0	121	121													0	113	113							
"LA"	2009	"East Baton Rouge"	"3"	"52A"	16		0	89	89													0	83	83							
"LA"	2009	"East Baton Rouge"	"3"	"52B"	16		0	76	76													0	73	73							
"LA"	2009	"East Baton Rouge"	"3"	"53A"	16		0	79	79													0	77	77							
"LA"	2009	"East Baton Rouge"	"3"	"53B"	16		0	64	64													0	72	72							
"LA"	2009	"East Baton Rouge"	"Early Voting"		16		0	1074	1074													0	1826	1826							
"LA"	2009	"Lafayette"	"0"	"11"	24		125	59	184													134	0	134							
"LA"	2009	"Lafayette"	"0"	"12"	24		117	46	163													95	0	95							
"LA"	2009	"Lafayette"	"0"	"13"	24		114	55	169													113	0	113							
"LA"	2009	"Lafayette"	"0"	"14"	24		45	24	69													69	0	69							
"LA"	2009	"Lafayette"	"0"	"15"	24		82	3	85													72	0	72							
"LA"	2009	"Lafayette"	"0"	"16"	24		45	14	59													44	0	44							
"LA"	2009	"Lafayette"	"0"	"17"	24		71	6	77													79	0	79							
"LA"	2009	"Lafayette"	"0"	"18"	24		173	5	178													177	0	177							
"LA"	2009	"Lafayette"	"0"	"19"	24		187	4	191													207	0	207							
"LA"	2009	"Lafayette"	"0"	"20"	24		110	17	127													119	0	119							
"LA"	2009	"Lafayette"	"0"	"21"	24		86	9	95													81	0	81							
"LA"	2009	"Lafayette"	"0"	"22"	24		62	0	62													65	0	65							
"LA"	2009	"Lafayette"	"0"	"23"	24		95	1	96													104	0	104							
"LA"	2009	"Lafayette"	"0"	"24"	24		100	3	103													128	0	128							
"LA"	2009	"Lafayette"	"0"	"2Y"	24		50	46	96													55	0	55							
"LA"	2009	"Lafayette"	"0"	"2Z"	24		51	36	87													45	0	45							
"LA"	2009	"Lafayette"	"0"	"5"	24		67	27	94													90	0	90							
"LA"	2009	"Lafayette"	"0"	"50"	24		39	0	39													31	0	31							
"LA"	2009	"Lafayette"	"0"	"51"	24		96	0	96													97	0	97							
"LA"	2009	"Lafayette"	"0"	"52"	24		47	12	59													36	0	36							
"LA"	2009	"Lafayette"	"0"	"53"	24		82	17	99													72	0	72							
"LA"	2009	"Lafayette"	"0"	"54"	24		91	3	94													88	0	88							
"LA"	2009	"Lafayette"	"0"	"55"	24		125	21	146													96	0	96							
"LA"	2009	"Lafayette"	"0"	"56"	24		142	2	144													137	0	137							
"LA"	2009	"Lafayette"	"0"	"57"	24		76	6	82													70	0	70							
"LA"	2009	"Lafayette"	"0"	"58"	24		56	1	57													46	0	46							
"LA"	2009	"Lafayette"	"0"	"59"	24		51	20	71													42	0	42							
"LA"	2009	"Lafayette"	"0"	"6"	24		76	78	154													92	0	92							
"LA"	2009	"Lafayette"	"0"	"61"	24		44	1	45													40	0	40							
"LA"	2009	"Lafayette"	"0"	"62"	24		18	0	18													18	0	18							
"LA"	2009	"Lafayette"	"0"	"63"	24		50	5	55													45	0	45							
"LA"	2009	"Lafayette"	"0"	"64"	24		70	38	108													57	0	57							
"LA"	2009	"Lafayette"	"0"	"68"	24		47	14	61													49	0	49							
"LA"	2009	"Lafayette"	"0"	"7"	24		78	28	106													113	0	113							
"LA"	2009	"Lafayette"	"Early Voting"		24		147	28	175													206	0	206							
"LA"	2009	"Lafourche"	"10"	"1"	20		121	33	154													174	59	233							
"LA"	2009	"Lafourche"	"10"	"10"	20		130	66	196													137	78	215							
"LA"	2009	"Lafourche"	"10"	"11"	20		63	29	92													84	25	109							
"LA"	2009	"Lafourche"	"10"	"12"	20		163	64	227													196	83	279							
"LA"	2009	"Lafourche"	"10"	"13"	20		152	70	222													198	83	281							
"LA"	2009	"Lafourche"	"10"	"14"	20		166	50	216													197	83	280							
"LA"	2009	"Lafourche"	"10"	"15"	20		105	39	144													121	62	183							
"LA"	2009	"Lafourche"	"10"	"16"	20		86	29	115													115	40	155							
"LA"	2009	"Lafourche"	"10"	"2"	20		126	45	171													141	59	200							
"LA"	2009	"Lafourche"	"10"	"3A"	20		114	86	200													148	112	260							
"LA"	2009	"Lafourche"	"10"	"3B"	20		64	33	97													88	51	139							
"LA"	2009	"Lafourche"	"10"	"4"	20		71	26	97													85	41	126							
"LA"	2009	"Lafourche"	"10"	"5"	20		78	30	108													93	53	146							
"LA"	2009	"Lafourche"	"10"	"6"	20		63	32	95													91	38	129							
"LA"	2009	"Lafourche"	"10"	"7"	20		31	9	40													41	10	51							
"LA"	2009	"Lafourche"	"10"	"8"	20		77	33	110													119	41	160							
"LA"	2009	"Lafourche"	"10"	"9"	20		136	63	199													161	94	255							
"LA"	2009	"Lafourche"	"11"	"1"	20		78	24	102													83	31	114							
"LA"	2009	"Lafourche"	"11"	"2"	20		112	197	309													106	291	397							
"LA"	2009	"Lafourche"	"11"	"3"	20		91	202	293													78	298	376							
"LA"	2009	"Lafourche"	"11"	"4"	20		11	21	32													13	45	58							
"LA"	2009	"Lafourche"	"3"	"4"	20		39	38	77													41	66	107							
"LA"	2009	"Lafourche"	"3"	"5"	20		63	88	151													80	120	200							
"LA"	2009	"Lafourche"	"3"	"6"	20		104	107	211													100	202	302							
"LA"	2009	"Lafourche"	"4"	"1"	20		119	104	223													94	204	298							
"LA"	2009	"Lafourche"	"4"	"2"	20		89	74	163													96	99	195							
"LA"	2009	"Lafourche"	"4"	"3"	20		56	69	125													59	90	149							
"LA"	2009	"Lafourche"	"4"	"4"	20		72	87	159													79	114	193							
"LA"	2009	"Lafourche"	"4"	"5"	20		106	98	204													117	162	279							
"LA"	2009	"Lafourche"	"4"	"6"	20		137	85	222													177	136	313							
"LA"	2009	"Lafourche"	"8"	"1"	20		47	109	156													98	102	200							
"LA"	2009	"Lafourche"	"9"	"1"	20		43	33	76													55	49	104							
"LA"	2009	"Lafourche"	"9"	"2"	20		89	43	132													103	51	154							
"LA"	2009	"Lafourche"	"Early Voting"		20		311	129	440													517	270	787							
"LA"	2009	"St. Landry"	"1"	"1"	24	40	134	0	134	102	0	106				79	35	114				134	0	134	152		152				
"LA"	2009	"St. Landry"	"1"	"10"	24	40	230	137	367	206	0	356				84	281	365				356	0	356	288		288				
"LA"	2009	"St. Landry"	"1"	"11"	24	40	116	8	124	109	0	116				65	37	102				130	0	130	128		128				
"LA"	2009	"St. Landry"	"1"	"12"	24	40	136	43	179	100	0	172				39	131	170				162	0	162	135		135				
"LA"	2009	"St. Landry"	"1"	"13"	24	40	178	22	200	131	0	154				101	76	177				195	0	195	150		150				
"LA"	2009	"St. Landry"	"1"	"14"	24	40	151	11	162	111	0	118				80	62	142				164	0	164	115		115				
"LA"	2009	"St. Landry"	"1"	"15"	24	40	108	9	117	91	0	96				71	35	106				121	0	121	111		111				
"LA"	2009	"St. Landry"	"1"	"15A"	24	40	98	0	98	95	0	95				62	20	82				87	0	87	124		124				
"LA"	2009	"St. Landry"	"1"	"16"	24	40	229	37	266	170	0	214				115	139	254				265	0	265	197		197				
"LA"	2009	"St. Landry"	"1"	"17"	24		306	129	435							108	318	426				370	0	370							
"LA"	2009	"St. Landry"	"1"	"18"	24	40	136	2	138	89	0	89				85	34	119				140	0	140	119		119				
"LA"	2009	"St. Landry"	"1"	"19"	24	40	68	10	78	42	0	61				46	29	75				78	0	78	66		66				
"LA"	2009	"St. Landry"	"1"	"2"	24	40	139	16	155	144	0	161				86	49	135				165	0	165	172		172				
"LA"	2009	"St. Landry"	"1"	"20"	24	40	108	23	131	100	0	117				56	62	118				143	0	143	134		134				
"LA"	2009	"St. Landry"	"1"	"21"	24	40	132	16	148	114	0	128				72	61	133				157	0	157	152		152				
"LA"	2009	"St. Landry"	"1"	"22"	24	40	159	12	171	131	0	142				90	50	140				173	0	173	152		152				
"LA"	2009	"St. Landry"	"1"	"23"	24	40	207	43	250	145	0	192				130	101	231				254	0	254	192		192				
"LA"	2009	"St. Landry"	"1"	"24"	24	40	65	38	103	42	0	64				26	71	97				99	0	99	58		58				
"LA"	2009	"St. Landry"	"1"	"25"	24	40	149	0	149	106	0	108				101	27	128				152	0	152	142		142				
"LA"	2009	"St. Landry"	"1"	"26"	24		27	31	58							22	33	55				62	0	62							
"LA"	2009	"St. Landry"	"1"	"26A"	24		63	34	97							25	70	95				105	0	105							
"LA"	2009	"St. Landry"	"1"	"28"	24		137	53	190							71	109	180				185	0	185							
"LA"	2009	"St. Landry"	"1"	"28A"	24		84	16	100							54	42	96				98	0	98							
"LA"	2009	"St. Landry"	"1"	"29"	24	40	238	3	241	180	0	182				126	65	191				274	0	274	231		231				
"LA"	2009	"St. Landry"	"1"	"2A"	24	40	110	17	127	102	0	111				71	42	113				129	0	129	124		124				
