state	year	parish	ward	precinct	g2010_LTG_rv	g2010_LTG_dv	g2010_LTG_tv	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	cd	g2010_USH_dv2	g2010_USH_rv2	g2010_USH_tv2	cd2	g2010_USH_dv3	g2010_USH_rv3	g2010_USH_tv3	cd3
"LA"	2010	"St. Tammany"	"00"	"S15"	175	116	291	94	176	296	83	195	287	1								
"LA"	2010	"Jefferson"	"00"	"098"	429	119	548	123	393	542	75	432	516	1								
"LA"	2010	"St. Tammany"	"00"	"604"	267	85	352	50	281	354	41	299	350	1								
"LA"	2010	"Jefferson"	"00"	"K002"	506	184	690	164	495	693	116	540	664	1								
"LA"	2010	"Jefferson"	"00"	"K004"	498	156	654	137	488	660	91	521	619	1								
"LA"	2010	"Jefferson"	"00"	"092"	253	48	301	39	252	301	23	264	288	1								
"LA"	2010	"St. Tammany"	"00"	"401"	491	114	605	102	475	611	72	520	605	1								
"LA"	2010	"Washington"	"01"	"02"	156	56	212	41	155	215	37	165	212	1								
"LA"	2010	"St. Tammany"	"00"	"801"	420	99	519	79	421	529	56	449	515	1								
"LA"	2010	"Orleans"	"05"	"13"	117	163	280	171	99	279	133	125	264	1								
"LA"	2010	"Jefferson"	"00"	"K009"	269	61	330	56	265	334	40	269	312	1								
"LA"	2010	"Jefferson"	"00"	"069"	262	83	345	66	267	356	45	280	334	1								
"LA"	2010	"St. Tammany"	"00"	"A04"	198	60	258	43	191	259	39	211	259	1								
"LA"	2010	"Tangipahoa"	"00"	"121"	134	37	171	24	133	171	21	122	153	1								
"LA"	2010	"Orleans"	"14"	"02"	112	122	234	136	91	236	91	134	228	1								
"LA"	2010	"St. Charles"	"03"	"2"	391	205	596	185	381	597	151	425	584	1								
"LA"	2010	"Tangipahoa"	"00"	"102"	284	132	416	103	283	411	76	290	376	1								
"LA"	2010	"Tangipahoa"	"00"	"049"	121	153	274	122	133	275	102	136	255	1								
"LA"	2010	"St. Tammany"	"00"	"203"	694	129	823	92	692	824	69	734	821	1								
"LA"	2010	"Tangipahoa"	"00"	"118"	607	261	868	169	639	855	136	651	835	1								
"LA"	2010	"St. Tammany"	"00"	"408"	609	109	718	95	597	723	63	649	720	1								
"LA"	2010	"Tangipahoa"	"00"	"121A"	318	180	498	122	356	503	109	324	467	1								
"LA"	2010	"St. Tammany"	"00"	"303"	385	100	485	75	370	484	63	412	481	1								
"LA"	2010	"Jefferson"	"00"	"K003"	270	175	445	146	278	452	97	316	422	1								
"LA"	2010	"Jefferson"	"00"	"021"	297	75	372	61	298	376	39	320	362	1								
"LA"	2010	"Jefferson"	"00"	"046"	182	60	242	56	173	250	45	189	240	1								
"LA"	2010	"St. Tammany"	"00"	"M01"	434	99	533	95	417	539	61	458	532	1								
"LA"	2010	"Jefferson"	"00"	"126"	328	163	491	137	323	490	80	374	466	1								
"LA"	2010	"Tangipahoa"	"00"	"139"	142	72	214	50	142	216	40	151	205	1								
"LA"	2010	"St. Tammany"	"00"	"808"	404	81	485	78	385	479	55	416	480	1								
"LA"	2010	"St. Tammany"	"00"	"A02"	382	164	546	144	378	550	103	426	542	1								
"LA"	2010	"Tangipahoa"	"00"	"109A"	5	71	76	66	4	79	61	5	71	1								
"LA"	2010	"Jefferson"	"00"	"226"	275	243	518	212	264	522	176	312	501	1								
"LA"	2010	"Jefferson"	"00"	"101"	137	33	170	33	129	168	26	130	157	1								
"LA"	2010	"Jefferson"	"00"	"130"	147	59	206	51	140	206	28	162	197	1								
"LA"	2010	"St. Tammany"	"00"	"705"	142	75	217	69	145	222	64	152	217	1								
"LA"	2010	"Jefferson"	"00"	"084"	248	77	325	48	261	327	46	262	315	1								
"LA"	2010	"Tangipahoa"	"00"	"041"	253	108	361	96	250	362	64	261	337	1								
"LA"	2010	"St. Tammany"	"00"	"M06"	645	155	800	116	656	804	88	707	807	1								
"LA"	2010	"Jefferson"	"00"	"061"	322	68	390	45	326	391	31	336	371	1								
"LA"	2010	"St. Tammany"	"00"	"C02"	247	66	313	58	234	315	37	248	298	1								
"LA"	2010	"Washington"	"05"	"02"	168	34	202	28	164	203	16	176	204	1								
"LA"	2010	"Jefferson"	"00"	"053"	331	108	439	69	338	434	40	365	413	1								
"LA"	2010	"Tangipahoa"	"00"	"043"	40	124	164	106	45	161	100	37	146	1								
"LA"	2010	"St. Tammany"	"00"	"C05"	243	65	308	56	241	311	47	254	307	1								
"LA"	2010	"Jefferson"	"00"	"045"	262	102	364	103	253	369	73	281	361	1								
"LA"	2010	"Jefferson"	"00"	"081"	128	47	175	28	139	178	22	142	167	1								
"LA"	2010	"Tangipahoa"	"00"	"106"	156	86	242	76	161	246	64	146	226	1								
"LA"	2010	"St. Tammany"	"00"	"501"	125	53	178	35	130	179	40	131	177	1								
"LA"	2010	"Orleans"	"04"	"18"	274	109	383	100	279	389	61	311	376	1								
"LA"	2010	"Jefferson"	"00"	"119"	271	78	349	77	262	352	35	279	318	1								
