state	year	town	cd	ward	precinct	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv
"MA"	2004	"Abington"	10		"1"	1315	572	1971	1104	849	1971
"MA"	2004	"Abington"	10		"2"	1095	514	1691	925	739	1680
"MA"	2004	"Abington"	10		"3"	1235	575	1886	978	887	1877
"MA"	2004	"Abington"	10		"4"	1442	662	2183	1185	972	2181
"MA"	2004	"Acton"	5		"1"	1050	511	1668	1069	552	1655
"MA"	2004	"Acton"	5		"2"	1184	574	1821	1128	645	1813
"MA"	2004	"Acton"	5		"3"	1411	599	2083	1372	662	2071
"MA"	2004	"Acton"	5		"4"	1196	509	1790	1190	557	1778
"MA"	2004	"Acton"	5		"5"	1191	487	1748	1210	505	1742
"MA"	2004	"Acton"	5		"6"	1115	505	1689	1094	564	1679
"MA"	2004	"Acushnet"	4		"1"	1275		1636	1194	405	1619
"MA"	2004	"Acushnet"	4		"2"	1501		1993	1316	652	1982
"MA"	2004	"Acushnet"	4		"3"	1425		1945	1280	640	1934
"MA"	2004	"Adams"	1		"1"	629		743	548	188	742
"MA"	2004	"Adams"	1		"2"	719		852	642	195	849
"MA"	2004	"Adams"	1		"3"	706		842	621	206	839
"MA"	2004	"Adams"	1		"4"	628		738	550	183	737
"MA"	2004	"Adams"	1		"5"	756		898	685	201	895
"MA"	2004	"Agawam"	2		"1"	1168		1527	890	594	1496
"MA"	2004	"Agawam"	2		"2"	1352		1883	979	848	1847
"MA"	2004	"Agawam"	2		"3"	1305		1712	990	684	1690
"MA"	2004	"Agawam"	2		"4"	1263		1670	930	690	1642
"MA"	2004	"Agawam"	2		"5"	1464		1958	1107	809	1926
"MA"	2004	"Agawam"	2		"6"	1329		1783	931	780	1730
"MA"	2004	"Agawam"	2		"7"	1258		1697	881	772	1667
"MA"	2004	"Agawam"	2		"8"	1352		1801	983	780	1778
"MA"	2004	"Alford"	1		"1"	247		303	208	89	303
"MA"	2004	"Amesbury"	6		"1"	985	462	1531	862	648	1529
"MA"	2004	"Amesbury"	6		"2"	871	338	1248	719	508	1244
"MA"	2004	"Amesbury"	6		"3"	905	382	1344	800	524	1342
"MA"	2004	"Amesbury"	6		"4"	725	314	1096	625	449	1090
"MA"	2004	"Amesbury"	6		"5"	944	488	1493	792	681	1489
"MA"	2004	"Amesbury"	6		"6"	848	319	1225	791	418	1219
"MA"	2004	"Amherst"	1		"1"	785		901	762	94	896
"MA"	2004	"Amherst"	1		"10"	621		711	619	64	707
"MA"	2004	"Amherst"	1		"2"	1044		1216	996	183	1212
"MA"	2004	"Amherst"	1		"3"	611		729	610	99	725
"MA"	2004	"Amherst"	1		"4"	625		735	649	71	735
"MA"	2004	"Amherst"	1		"5"	853		1015	845	129	1012
