state	year	town	ward	precinct	cd	g2006_USH_dv	g2006_USH_rv	g2006_USH_tv	g2006_ATG_dv	g2006_ATG_rv	g2006_ATG_tv	g2006_AUD_dv	g2006_AUD_tv	g2006_GOV_dv	g2006_GOV_rv	g2006_GOV_tv	g2006_SOS_dv	g2006_SOS_tv	g2006_TRE_dv	g2006_TRE_tv	g2006_USS_dv	g2006_USS_rv	g2006_USS_tv
"MA"	2006	"Abington"		"1"	10	956	343	1402	986	412	1400	1049	1308	653	586	1450	1148	1330	1180	1344	894	518	1418
"MA"	2006	"Abington"		"2"	10	820	334	1238	864	364	1228	893	1148	570	528	1282	1009	1171	1024	1183	775	466	1242
"MA"	2006	"Abington"		"3"	10	920	367	1382	943	438	1381	1028	1269	627	628	1440	1127	1297	1172	1315	869	543	1414
"MA"	2006	"Abington"		"4"	10	1159	422	1668	1165	512	1678	1264	1533	766	750	1736	1400	1584	1434	1581	1100	598	1701
"MA"	2006	"Acton"		"1"	5	957		978	840	337	1177	844	1039	744	431	1248	849	1101	892	1072	850	372	1226
"MA"	2006	"Acton"		"2"	5	1053		1081	905	383	1289	943	1146	745	474	1335	927	1201	968	1175	901	393	1297
"MA"	2006	"Acton"		"3"	5	1284		1327	1176	430	1608	1130	1428	1015	521	1668	1103	1495	1168	1470	1154	480	1634
"MA"	2006	"Acton"		"4"	5	1161		1188	1049	359	1409	1060	1277	886	465	1483	1040	1335	1059	1303	1043	404	1449
"MA"	2006	"Acton"		"5"	5	1168		1196	1068	313	1381	1019	1229	903	403	1439	1018	1296	1054	1263	1031	377	1409
"MA"	2006	"Acton"		"6"	5	1013		1044	932	334	1268	919	1135	781	471	1331	913	1170	965	1164	877	404	1283
"MA"	2006	"Acushnet"		"1"	4	1011		1013	923	211	1134	878	1094	787	311	1181	961	1109	950	1108	924	238	1162
"MA"	2006	"Acushnet"		"2"	4	1116		1129	1018	318	1339	948	1250	866	419	1406	1082	1298	1063	1284	1006	370	1377
"MA"	2006	"Acushnet"		"3"	4	1106		1113	1008	305	1313	963	1238	825	420	1365	1075	1258	1074	1260	984	362	1349
"MA"	2006	"Adams"		"1"	1	406		479	420	66	486	400	457	379	95	489	427	465	409	460	397	87	484
"MA"	2006	"Adams"		"2"	1	470		562	502	59	561	459	540	447	104	571	493	547	491	545	472	90	562
"MA"	2006	"Adams"		"3"	1	441		554	469	84	554	451	525	426	114	565	459	525	466	523	449	106	557
"MA"	2006	"Adams"		"4"	1	393		472	427	54	481	397	448	386	86	486	403	455	409	452	403	77	480
"MA"	2006	"Adams"		"5"	1	527		622	557	71	628	501	591	499	113	644	532	596	534	594	533	95	629
"MA"	2006	"Agawam"		"1"	2	894		901	742	289	1032	758	979	587	392	1098	839	989	795	986	704	362	1067
"MA"	2006	"Agawam"		"2"	2	1123		1146	900	492	1393	1020	1284	716	634	1485	1103	1313	1059	1290	885	553	1443
"MA"	2006	"Agawam"		"3"	2	1033		1053	851	399	1250	898	1164	721	477	1320	977	1168	965	1167	849	441	1291
"MA"	2006	"Agawam"		"4"	2	928		943	791	367	1160	845	1061	632	477	1231	938	1089	892	1076	773	421	1194
"MA"	2006	"Agawam"		"5"	2	1088		1102	907	453	1362	954	1245	703	597	1442	1043	1268	1035	1262	877	515	1392
"MA"	2006	"Agawam"		"6"	2	962		976	774	424	1199	834	1086	574	550	1280	882	1102	887	1101	737	504	1245
"MA"	2006	"Agawam"		"7"	2	928		945	741	422	1163	797	1064	574	542	1248	874	1095	851	1090	730	485	1221
"MA"	2006	"Agawam"		"8"	2	1007		1022	832	421	1253	881	1141	640	566	1330	957	1167	946	1168	774	527	1302
"MA"	2006	"Alford"		"1"	1	206		242	187	53	240	180	219	200	48	252	190	227	191	224	183	48	231
"MA"	2006	"Amesbury"		"1"	6	768	400	1168	783	382	1166	803	1059	596	499	1214	874	1087	880	1078	721	456	1179
"MA"	2006	"Amesbury"		"2"	6	655	238	893	649	237	886	605	797	501	313	919	689	843	674	832	614	287	902
"MA"	2006	"Amesbury"		"3"	6	714	267	982	715	272	987	680	883	572	365	1035	739	924	736	913	700	315	1017
"MA"	2006	"Amesbury"		"4"	6	504	216	720	526	196	722	510	674	388	290	756	562	697	556	691	480	265	745
"MA"	2006	"Amesbury"		"5"	6	730	398	1129	741	368	1110	746	996	589	482	1174	840	1039	805	1014	701	448	1150
"MA"	2006	"Amesbury"		"6"	6	623	208	831	615	204	821	575	757	500	272	860	617	779	622	774	600	249	849
"MA"	2006	"Amherst"		"1"	1	453		506	437	49	486	329	440	443	42	520	272	490	322	467	461	51	512
"MA"	2006	"Amherst"		"10"	1	325		347	313	28	341	242	314	320	23	357	191	344	236	332	323	27	350
"MA"	2006	"Amherst"		"10A"	1	84		87	81	9	92	63	85	82	7	96	70	89	72	88	84	8	93
"MA"	2006	"Amherst"		"2"	1	825		920	799	78	878	679	788	797	109	946	603	871	675	841	830	94	924
"MA"	2006	"Amherst"		"3"	1	343		395	338	41	379	281	346	335	51	405	252	374	294	358	345	48	394
"MA"	2006	"Amherst"		"3A"	1	89		97	81	15	96	70	95	88	8	103	70	99	75	96	88	13	101
"MA"	2006	"Amherst"		"4"	1	324		361	308	35	343	261	307	302	46	365	231	330	261	319	323	34	358
"MA"	2006	"Amherst"		"4A"	1	85		92	84	9	93	69	89	89	9	103	78	92	77	92	94	5	99
"MA"	2006	"Amherst"		"5"	1	604		683	594	71	667	500	625	603	76	713	441	660	491	639	631	67	698
"MA"	2006	"Amherst"		"6"	1	1045		1167	1014	123	1137	872	1044	998	143	1203	742	1120	837	1072	1042	140	1183
"MA"	2006	"Amherst"		"7"	1	811		934	783	119	904	689	841	797	119	961	569	893	672	868	822	121	944
"MA"	2006	"Amherst"		"8"	1	1271		1433	1247	155	1404	1071	1274	1227	189	1481	884	1373	1062	1330	1264	184	1451
"MA"	2006	"Amherst"		"9"	1	825		900	810	74	885	641	810	796	82	933	557	880	637	853	844	72	920
"MA"	2006	"Amherst"		"9A"	1	0		0	0	0	0	0	0	0	0	0			0	0	0	0	0
"MA"	2006	"Andover"		"1"	5	1068		1087	1009	429	1439	1034	1240	821	581	1486	1042	1316	1076	1287	933	510	1444
"MA"	2006	"Andover"		"2"	5	979		1007	882	452	1337	955	1185	653	636	1385	986	1221	992	1202	802	543	1345
"MA"	2006	"Andover"		"3"	5	1118		1147	1034	475	1509	1063	1311	820	640	1556	1113	1373	1122	1342	952	559	1514
"MA"	2006	"Andover"		"4"	5	909		921	831	422	1254	887	1112	600	630	1311	935	1138	933	1126	742	518	1263
"MA"	2006	"Andover"		"5"	5	1069		1087	894	512	1407	1008	1244	655	717	1475	998	1278	1021	1262	851	588	1440
"MA"	2006	"Andover"		"6"	5	996		1036	869	558	1430	998	1255	625	774	1495	1025	1300	1024	1278	815	628	1450
"MA"	2006	"Andover"		"7"	5	1076		1102	952	517	1469	1038	1306	741	683	1537	1096	1331	1102	1314	897	588	1485
"MA"	2006	"Andover"		"8"	5	1147		1189	1024	588	1612	1142	1396	773	798	1673	1165	1444	1172	1430	959	675	1637
"MA"	2006	"Andover"		"9"	5	1069		1086	905	534	1439	1021	1261	707	695	1501	1044	1307	1058	1273	884	584	1469
"MA"	2006	"Aquinnah"		"1"	10	178	17	207	178	18	196	153	183	176	20	213	159	203	159	202	197	15	212
"MA"	2006	"Arlington"		"1"	7	499		507	491	108	600	451	543	416	140	616	465	581	466	624	491	114	607
"MA"	2006	"Arlington"		"10"	7	873		893	869	197	1068	764	949	730	281	1100	730	1013	781	982	855	221	1078
"MA"	2006	"Arlington"		"11"	7	824		832	795	209	1004	772	900	620	336	1034	698	937	769	917	780	233	1017
"MA"	2006	"Arlington"		"12"	7	958		970	965	216	1181	861	1041	774	328	1220	815	1104	853	1045	939	249	1191
"MA"	2006	"Arlington"		"13"	7	784		797	713	326	1039	777	923	522	430	1057	765	956	768	932	690	339	1031
"MA"	2006	"Arlington"		"14"	7	742		756	724	185	910	647	810	609	235	930	602	871	651	837	719	185	909
"MA"	2006	"Arlington"		"15"	7	855		870	820	229	1052	770	954	683	306	1075	773	1008	802	971	813	230	1045
"MA"	2006	"Arlington"		"16"	7	851		870	819	237	1056	769	949	693	293	1091	723	1007	778	971	820	240	1062
"MA"	2006	"Arlington"		"17"	7	500		511	462	142	604	449	556	401	160	612	430	574	442	561	466	141	607
"MA"	2006	"Arlington"		"18"	7	775		796	730	282	1013	747	886	561	396	1037	745	925	765	904	714	296	1014
"MA"	2006	"Arlington"		"19"	7	844		864	817	220	1037	771	945	656	283	1055	738	989	741	958	818	217	1036
"MA"	2006	"Arlington"		"2"	7	747		757	688	221	912	694	825	581	268	945	671	869	706	857	693	227	924
"MA"	2006	"Arlington"		"20"	7	775		783	741	178	919	703	837	651	220	946	636	875	693	851	745	177	923
"MA"	2006	"Arlington"		"21"	7	755		766	759	149	908	675	833	629	217	930	637	873	693	855	731	179	913
"MA"	2006	"Arlington"		"3"	7	716		726	700	138	839	635	763	632	183	877	598	798	614	777	709	140	849
"MA"	2006	"Arlington"		"4"	7	698		712	658	143	801	597	734	569	177	828	567	774	591	761	680	131	812
"MA"	2006	"Arlington"		"5"	7	712		722	675	152	827	640	764	552	213	848	621	790	631	775	668	168	838
"MA"	2006	"Arlington"		"6"	7	759		771	731	173	904	675	818	609	245	931	653	870	666	842	728	183	913
"MA"	2006	"Arlington"		"7"	7	652		664	652	155	808	580	718	549	212	831	569	769	589	745	637	175	815
"MA"	2006	"Arlington"		"8"	7	896		908	888	148	1036	761	928	810	194	1078	643	1000	749	969	893	175	1069
"MA"	2006	"Arlington"		"9"	7	814		825	761	210	971	727	876	628	286	995	726	922	737	892	756	221	982
"MA"	2006	"Ashburnham"		"1"	1	1607		2191	1501	758	2259	1541	2081	1179	937	2364	1710	2131	1698	2121	1408	907	2315
"MA"	2006	"Ashby"		"1"	1	819		1225	793	486	1280	824	1169	581	592	1333	907	1194	907	1187	716	587	1306
"MA"	2006	"Ashfield"		"1"	1	702		859	694	132	886	639	766	693	135	882	574	815	615	801	711	154	865
"MA"	2006	"Ashland"		"1"	3	1216		1231	1138	396	1534	1152	1406	806	604	1567	1153	1430	1194	1423	1035	504	1541
"MA"	2006	"Ashland"		"2"	3	1198		1213	1138	466	1604	1151	1423	814	667	1645	1179	1455	1211	1448	1059	554	1614
"MA"	2006	"Ashland"		"3"	3	1065		1077	984	356	1342	1016	1236	690	540	1373	1029	1261	1054	1255	911	429	1348
