state	year	town	ward	precinct	cd	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv
"MA"	2008	"Abington"		"1"	10	1459		1489	1028	885	1955	1143	706	1904
"MA"	2008	"Abington"		"2"	10	1307		1325	861	782	1688	969	617	1651
"MA"	2008	"Abington"		"3"	10	1435		1464	954	918	1904	1080	734	1868
"MA"	2008	"Abington"		"4"	10	1942		1979	1251	1180	2496	1425	951	2445
"MA"	2008	"Acton"		"1"	5	1496		1541	1351	592	1989	1295	594	1935
"MA"	2008	"Acton"		"2"	5	1436		1465	1260	593	1882	1242	563	1851
"MA"	2008	"Acton"		"3"	5	1582		1624	1424	666	2126	1397	638	2084
"MA"	2008	"Acton"		"4"	5	1478		1514	1342	527	1911	1320	506	1880
"MA"	2008	"Acton"		"5"	5	1468		1495	1358	484	1881	1274	513	1835
"MA"	2008	"Acton"		"6"	5	1355		1405	1159	615	1812	1153	568	1776
"MA"	2008	"Acushnet"		"1"	4	1071	311	1531	1002	530	1579	1095	374	1548
"MA"	2008	"Acushnet"		"2"	4	1197	500	1855	1094	781	1932	1222	586	1881
"MA"	2008	"Acushnet"		"3"	4	1220	491	1887	1136	799	1984	1263	566	1925
"MA"	2008	"Adams"		"1"	1	600	122	722	561	159	739	574	122	722
"MA"	2008	"Adams"		"2"	1	687	153	840	645	181	852	678	135	834
"MA"	2008	"Adams"		"3"	1	630	155	786	564	201	794	610	143	786
"MA"	2008	"Adams"		"4"	1	615	117	732	590	142	745	609	98	735
"MA"	2008	"Adams"		"5"	1	744	166	912	706	210	938	722	164	913
"MA"	2008	"Agawam"		"1"	2	1203		1218	784	662	1497	892	509	1474
"MA"	2008	"Agawam"		"2"	2	1477		1504	993	937	1986	1111	728	1927
"MA"	2008	"Agawam"		"3"	2	1408		1746	983	714	1753	1103	534	1704
"MA"	2008	"Agawam"		"4"	2	1283		1299	891	729	1677	988	546	1619
"MA"	2008	"Agawam"		"5"	2	1508		1526	1029	867	1941	1127	688	1887
"MA"	2008	"Agawam"		"6"	2	1441		1464	932	875	1866	1052	665	1811
"MA"	2008	"Agawam"		"7"	2	1363		1385	927	809	1781	1017	651	1744
"MA"	2008	"Agawam"		"8"	2	1485		1518	1056	835	1935	1125	678	1882
"MA"	2008	"Alford"		"1"	1	251	58	309	261	57	321	253	56	315
"MA"	2008	"Amesbury"		"1"	6	1065	587	1652	982	705	1722	971	661	1690
"MA"	2008	"Amesbury"		"2"	6	886	406	1296	817	510	1365	845	428	1333
"MA"	2008	"Amesbury"		"3"	6	1000	420	1421	942	512	1489	953	466	1464
"MA"	2008	"Amesbury"		"4"	6	699	335	1034	632	436	1094	641	365	1062
"MA"	2008	"Amesbury"		"5"	6	973	546	1521	902	676	1615	907	588	1562
"MA"	2008	"Amesbury"		"6"	6	860	335	1197	836	383	1255	825	343	1224
"MA"	2008	"Amherst"		"1"	1	785	86	873	796	90	921	772	74	893
"MA"	2008	"Amherst"		"10"	1	784	75	868	839	79	950	806	69	913
"MA"	2008	"Amherst"		"10A"	1	0	0	0	0	0	0	0	0	0
"MA"	2008	"Amherst"		"2"	1	1033	107	1140	1023	136	1184	981	117	1134
"MA"	2008	"Amherst"		"3"	1	800	90	898	828	106	962	787	84	925
"MA"	2008	"Amherst"		"3A"	1	0	0	0	0	0	0	0	0	0
"MA"	2008	"Amherst"		"4"	1	923	108	1034	973	117	1113	937	106	1071
"MA"	2008	"Amherst"		"4A"	1	0	0	0	0	0	0	0	0	0
"MA"	2008	"Amherst"		"5"	1	939	89	1031	956	108	1092	915	95	1053
"MA"	2008	"Amherst"		"6"	1	1476	145	1624	1481	171	1697	1431	159	1644
"MA"	2008	"Amherst"		"7"	1	1235	128	1366	1252	159	1452	1200	138	1395
"MA"	2008	"Amherst"		"8"	1	1676	183	1868	1659	215	1918	1630	199	1880
