state	year	town	ward	precinct	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	cd	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv	g2010_AUD_dv	g2010_AUD_rv	g2010_AUD_tv	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_TRE_dv	g2010_TRE_rv	g2010_TRE_tv	s2010_USS_rv	s2010_USS_dv	s2010_USS_tv
"MA"	2010	"Abington"		"1"	682	601	1562	10	839	692	1532	672	734	1465	523	771	1546	866	576	1492	713	791	1505	1021	518	1554
"MA"	2010	"Abington"		"2"	601	486	1337	10	731	587	1318	546	640	1251	470	651	1322	780	467	1296	623	659	1284	824	464	1304
"MA"	2010	"Abington"		"3"	659	614	1512	10	821	667	1488	629	744	1427	486	775	1501	867	557	1463	663	797	1460	1021	488	1526
"MA"	2010	"Abington"		"4"	879	766	1924	10	1036	857	1895	745	1002	1803	642	1006	1917	1092	722	1856	861	1000	1864	1297	618	1929
"MA"	2010	"Acton"		"1"	1000	515	1567	5	1033	510	1545	745	638	1452	921	570	1564	1002	463	1516	935	572	1509	605	861	1472
"MA"	2010	"Acton"		"2"	906	545	1498	5	970	503	1473	611	694	1367	808	620	1488	937	452	1434	789	628	1417	698	843	1550
"MA"	2010	"Acton"		"3"	1091	584	1734	5	1152	545	1697	766	737	1597	1009	641	1721	1117	481	1660	988	669	1657	731	1046	1798
"MA"	2010	"Acton"		"4"	981	470	1516	5	1021	462	1486	716	605	1396	863	560	1509	996	405	1457	901	559	1461	619	922	1559
"MA"	2010	"Acton"		"5"	1035	410	1498	5	1054	416	1471	751	544	1373	919	479	1491	1059	336	1442	932	492	1424	570	921	1501
"MA"	2010	"Acton"		"6"	900	533	1485	5	953	502	1457	624	652	1350	806	608	1483	920	464	1432	806	611	1419	678	782	1472
"MA"	2010	"Acushnet"		"1"	639	445	1162	4	699	421	1120	618	379	1055	630	372	1138	707	331	1088	661	426	1087	559	499	1068
"MA"	2010	"Acushnet"		"2"	685	686	1456	4	794	606	1400	695	559	1314	706	576	1427	791	511	1367	726	636	1363	784	580	1373
"MA"	2010	"Acushnet"		"3"	700	667	1454	4	821	584	1405	715	553	1324	731	541	1427	827	477	1367	773	591	1366	796	548	1359
"MA"	2010	"Adams"		"1"	280	88	395	1	319	68	387	264	92	366	267	92	392	291	76	379	267	107	374	131	278	416
"MA"	2010	"Adams"		"2"	337	131	499	1	369	123	492	329	130	476	327	131	495	348	118	483	333	144	477	174	340	518
