state	year	county	ed	precinct	cd	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv
"MD"	2000	1	1	0	6	61	197	258	70	224	301	95	137	232
"MD"	2000	1	2	0	6	80	242	322	110	272	391	133	156	289
"MD"	2000	1	3	0	6	110	286	396	131	334	479	162	192	354
"MD"	2000	1	4	2	6	156	135	291	210	143	364	217	70	287
"MD"	2000	1	4	3	6	253	232	485	320	245	586	339	138	477
"MD"	2000	1	4	4	6	323	385	708	402	426	850	470	251	721
"MD"	2000	1	4	5	6	144	133	277	203	160	373	195	93	288
"MD"	2000	1	4	8	6	315	299	614	399	326	741	421	189	610
"MD"	2000	1	5	4	6	232	269	501	317	277	615	339	151	490
"MD"	2000	1	5	6	6	91	149	240	144	154	307	160	84	244
"MD"	2000	1	6	1	6	322	335	657	383	359	780	413	233	646
"MD"	2000	1	6	3	6	166	146	312	224	129	371	225	94	319
"MD"	2000	1	6	5	6	230	321	551	289	340	654	312	238	550
"MD"	2000	1	6	6	6	275	343	618	381	366	764	400	235	635
"MD"	2000	1	7	1	6	266	409	675	375	419	812	396	266	662
"MD"	2000	1	7	2	6	372	752	1124	444	841	1321	552	519	1071
"MD"	2000	1	8	0	6	275	573	848	352	660	1042	519	306	825
"MD"	2000	1	9	0	6	91	322	413	126	355	494	189	170	359
"MD"	2000	1	10	0	6	149	488	637	212	576	812	296	272	568
"MD"	2000	1	11	0	6	192	237	429	215	250	482	272	145	417
"MD"	2000	1	12	0	6	428	606	1034	504	670	1230	623	374	997
"MD"	2000	1	13	0	6	232	429	661	324	445	795	370	266	636
"MD"	2000	1	14	0	6	117	99	216	171	105	286	169	60	229
"MD"	2000	1	16	0	6	231	384	615	282	443	745	327	240	567
"MD"	2000	1	18	0	6	136	455	591	236	512	768	281	273	554
"MD"	2000	1	20	0	6	187	393	580	251	434	697	303	231	534
"MD"	2000	1	21	0	6	70	167	237	85	183	279	102	112	214
"MD"	2000	1	22	0	6	308	389	697	389	434	848	437	245	682
"MD"	2000	1	23	0	6	383	489	872	520	505	1058	542	323	865
"MD"	2000	1	24	0	6	200	347	547	246	388	655	279	229	508
"MD"	2000	1	26	0	6	408	500	908	493	528	1080	555	330	885
"MD"	2000	1	29	1	6	316	605	921	384	663	1068	453	419	872
"MD"	2000	1	29	2	6	346	609	955	443	647	1121	488	434	922
"MD"	2000	1	29	3	6	282	370	652	349	405	770	386	265	651
"MD"	2000	1	31	0	6	107	266	373	130	310	453	185	184	369
"MD"	2000	1	34	0	6	250	447	697	321	459	801	382	289	671
"MD"	2000	2	1	1	3	635	427	1062	443	629	1103	520	571	1091
"MD"	2000	2	1	2	3	429	344	773	321	458	812	363	439	802
"MD"	2000	2	1	3	1	440	610	1050	527	554	1099	587	494	1081
"MD"	2000	2	1	4	3	675	197	872	584	304	910	642	261	903
"MD"	2000	2	1	5	3	799	528	1327	685	654	1365	734	617	1351
"MD"	2000	2	1	6	3	577	332	909	518	403	947	536	399	935
"MD"	2000	2	1	7	3	488	329	817	366	451	847	417	435	852
"MD"	2000	2	1	8	3	703	464	1167	513	664	1221	590	616	1206
"MD"	2000	2	1	9	1	325	631	956	408	562	997	484	490	974
"MD"	2000	2	1	10	3	518	353	871	353	521	913	427	474	901
"MD"	2000	2	1	11	3	459	320	779	305	474	816	364	437	801
"MD"	2000	2	1	12	3	800	240	1040	712	334	1074	774	292	1066
