state	year	county	ed	precinct	cd	g2004_COM_dv	g2004_COM_tv	g2004_USH_dv	g2004_USH_rv	g2004_USH_tv	g2004_USP_dv	g2004_USP_rv	g2004_USP_tv	g2004_USS_dv	g2004_USS_rv	g2004_USS_tv
"MD"	2004	1	1	0	6		0	54	293	351	70	304	375	126	227	354
"MD"	2004	1	2	0	6		0	70	346	419	112	334	450	166	250	417
"MD"	2004	1	3	0	6		0	72	306	387	92	322	419	149	246	401
"MD"	2004	1	4	20	6		0	143	193	347	190	191	387	242	114	369
"MD"	2004	1	4	30	6		0	197	346	559	250	354	613	347	232	591
"MD"	2004	1	4	41	6		0	268	543	819	359	513	879	524	312	849
"MD"	2004	1	4	42	6		0	0	0	0	0	0	0	0	0	0
"MD"	2004	1	4	50	6		0	118	227	358	172	224	400	233	136	378
"MD"	2004	1	4	80	6		0	232	437	687	325	416	757	445	257	716
"MD"	2004	1	5	41	6		0	225	396	644	305	378	698	402	252	674
"MD"	2004	1	5	42	6		0	0	0	0	0	0	0	0	0	0
"MD"	2004	1	5	60	6		0	107	210	324	127	219	348	174	149	329
"MD"	2004	1	6	10	6		0	296	503	826	403	479	887	514	323	851
"MD"	2004	1	6	30	6		0	157	218	389	202	207	417	252	138	400
"MD"	2004	1	6	51	6		0	211	420	647	284	399	690	381	276	664
"MD"	2004	1	6	52	6		0	0	0	0	0	0	0	0	0	0
"MD"	2004	1	6	60	6		0	261	561	837	338	533	880	492	359	863
"MD"	2004	1	7	10	6		0	276	588	877	385	548	939	522	372	906
"MD"	2004	1	7	20	6		0	235	755	1008	340	726	1078	497	527	1033
"MD"	2004	1	8	0	6		0	220	1023	1262	361	1021	1385	644	657	1316
"MD"	2004	1	9	0	6		0	83	429	513	109	457	567	241	282	529
"MD"	2004	1	10	0	6		0	110	661	777	196	683	885	392	414	813
"MD"	2004	1	11	0	6		0	185	332	535	235	328	571	321	226	559
"MD"	2004	1	12	0	6		0	366	814	1213	500	796	1306	676	541	1241
"MD"	2004	1	13	0	6		0	232	609	854	319	591	919	455	411	877
"MD"	2004	1	14	0	6		0	109	158	275	140	161	304	195	85	287
"MD"	2004	1	16	0	6		0	181	594	796	265	590	865	405	407	821
"MD"	2004	1	18	0	6		0	128	632	770	203	635	841	335	451	791
"MD"	2004	1	20	0	6		0	174	569	759	227	579	813	372	400	785
"MD"	2004	1	21	0	6		0	99	348	453	134	362	497	195	265	463
"MD"	2004	1	22	1	6		0	302	586	908	398	577	985	555	375	945
"MD"	2004	1	22	2	6		0	0	0	0	0	0	0	0	0	0
"MD"	2004	1	23	1	6		0	355	640	1021	462	649	1129	631	437	1080
"MD"	2004	1	23	2	6		0	0	0	0	0	0	0	0	0	0
"MD"	2004	1	24	0	6		0	179	481	682	242	494	746	343	352	710
"MD"	2004	1	26	0	6		0	384	610	1041	518	617	1150	647	404	1082
"MD"	2004	1	29	10	6		0	292	807	1129	382	823	1212	565	577	1159
"MD"	2004	1	29	20	6		0	285	764	1069	388	735	1139	578	505	1097
"MD"	2004	1	29	30	6		0	210	537	759	278	529	813	437	349	793
"MD"	2004	1	31	0	6		0	130	460	598	172	457	631	280	323	609
"MD"	2004	1	34	0	6		0	213	624	855	286	594	894	436	427	872
"MD"	2004	2	1	1	3		0	590	565	1183	452	781	1247	615	588	1218
"MD"	2004	2	1	2	3		0	408	442	865	306	589	909	435	452	897
"MD"	2004	2	1	3	2		0	711	452	1207	494	770	1276	686	545	1257
"MD"	2004	2	1	4	2		0	646	246	911	605	410	1023	716	282	1004
"MD"	2004	2	1	5	2		0	987	623	1649	876	814	1719	1064	616	1699
"MD"	2004	2	1	6	2		0	710	375	1113	618	542	1177	746	391	1153
"MD"	2004	2	1	7	3		0	465	456	942	350	611	983	512	445	976
"MD"	2004	2	1	8	3		0	669	603	1299	478	869	1367	723	607	1344
"MD"	2004	2	1	9	2		0	586	435	1041	366	726	1105	568	512	1092
"MD"	2004	2	1	10	3		0	477	440	938	330	637	979	490	463	965
"MD"	2004	2	1	11	3		0	383	416	818	251	584	851	388	438	838
"MD"	2004	2	1	12	2		0	892	382	1300	877	505	1400	982	345	1353
"MD"	2004	2	1	13	2		0	347	200	560	266	328	597	371	215	591
"MD"	2004	2	1	14	2		0	641	356	1020	464	642	1116	627	443	1087
"MD"	2004	2	1	15	2		0	624	341	992	438	611	1062	624	407	1044
"MD"	2004	2	1	16	2		0	539	288	849	391	517	921	540	345	894
"MD"	2004	2	1	17	2		0	437	249	706	339	399	747	451	280	737
"MD"	2004	2	1	18	2		0	1049	414	1502	935	663	1611	1088	464	1574
"MD"	2004	2	1	19	2		0	905	459	1397	849	606	1467	991	422	1432
"MD"	2004	2	1	20	2		0	982	498	1511	905	669	1591	1057	490	1565
"MD"	2004	2	1	21	2		0	726	250	998	751	290	1055	787	229	1031
"MD"	2004	2	1	22	3		0	671	632	1333	603	784	1409	782	574	1384
"MD"	2004	2	1	23	3		0	45	60	108	45	69	114	47	59	110
"MD"	2004	2	2	1	3		0	701	787	1520	643	932	1594	847	690	1561
"MD"	2004	2	2	2	3		0	378	408	814	338	505	853	462	371	848
"MD"	2004	2	2	3	3		0	545	518	1087	452	669	1135	645	462	1117
"MD"	2004	2	2	4	3		0	690	567	1288	648	692	1356	821	513	1343
"MD"	2004	2	2	5	3		0	583	440	1060	519	585	1123	667	415	1100
"MD"	2004	2	2	6	3		0	386	423	839	313	577	897	490	370	867
"MD"	2004	2	2	7	3		0	618	542	1200	527	728	1275	707	521	1248
"MD"	2004	2	2	8	3		0	572	603	1222	437	821	1284	675	570	1266
"MD"	2004	2	2	9	3		0	688	520	1250	658	637	1315	788	481	1289
"MD"	2004	2	2	10	3		0	625	666	1331	532	872	1418	743	615	1387
"MD"	2004	2	2	11	3		0	364	373	767	319	483	811	438	340	797
"MD"	2004	2	2	12	3		0	410	420	862	353	551	922	491	391	899
"MD"	2004	2	2	13	3		0	348	371	732	290	461	764	417	326	752
"MD"	2004	2	2	14	3		0	899	462	1398	907	549	1468	1014	402	1439
"MD"	2004	2	2	15	3		0	709	562	1300	707	638	1365	844	471	1334
"MD"	2004	2	2	16	3		0	410	388	819	331	506	851	453	382	845
"MD"	2004	2	2	17	3		0	771	499	1308	735	636	1383	877	442	1346
"MD"	2004	2	2	18	3		0	466	415	924	443	513	979	548	376	952
