state	year	county	ed	precinct	cd	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv
"MD"	2008	"1"	"1"	"0"	6	86	279	374	83	305	393
"MD"	2008	"1"	"10"	"0"	6	166	570	751	192	601	805
"MD"	2008	"1"	"11"	"0"	6	232	321	561	256	307	580
"MD"	2008	"1"	"12"	"0"	6	530	731	1284	562	756	1357
"MD"	2008	"1"	"13"	"0"	6	275	527	823	295	559	880
"MD"	2008	"1"	"14"	"0"	6	149	131	288	159	147	315
"MD"	2008	"1"	"16"	"0"	6	287	591	897	268	640	936
"MD"	2008	"1"	"18"	"0"	6	179	577	767	197	604	818
"MD"	2008	"1"	"2"	"0"	6	122	285	419	125	320	450
"MD"	2008	"1"	"20"	"0"	6	228	545	798	225	599	841
"MD"	2008	"1"	"21"	"0"	6	136	330	474	135	363	509
"MD"	2008	"1"	"22"	"0"	6	386	495	907	386	550	959
"MD"	2008	"1"	"23"	"0"	6	454	598	1074	498	597	1129
"MD"	2008	"1"	"24"	"0"	6	256	460	733	248	519	780
"MD"	2008	"1"	"26"	"0"	6	459	543	1036	474	587	1084
"MD"	2008	"1"	"29"	"1"	6	405	701	1129	367	810	1196
"MD"	2008	"1"	"29"	"2"	6	388	647	1059	378	711	1110
"MD"	2008	"1"	"29"	"3"	6	299	476	788	286	515	814
"MD"	2008	"1"	"3"	"0"	6	118	265	395	118	291	419
"MD"	2008	"1"	"31"	"0"	6	177	444	632	186	466	662
"MD"	2008	"1"	"34"	"0"	6	322	514	854	284	600	898
"MD"	2008	"1"	"4"	"2"	6	179	177	363	209	175	393
"MD"	2008	"1"	"4"	"3"	6	278	289	587	289	319	619
"MD"	2008	"1"	"4"	"4"	6	367	444	826	362	493	872
"MD"	2008	"1"	"4"	"5"	6	186	186	388	198	208	420
"MD"	2008	"1"	"4"	"8"	6	320	378	714	304	418	745
"MD"	2008	"1"	"5"	"4"	6	298	337	653	329	350	694
"MD"	2008	"1"	"5"	"6"	6	106	193	308	113	211	328
"MD"	2008	"1"	"6"	"1"	6	370	367	750	389	384	793
"MD"	2008	"1"	"6"	"3"	6	201	184	393	201	202	412
"MD"	2008	"1"	"6"	"5"	6	294	351	656	302	367	679
"MD"	2008	"1"	"6"	"6"	6	323	454	799	295	504	818
"MD"	2008	"1"	"7"	"1"	6	339	548	904	322	600	947
"MD"	2008	"1"	"7"	"2"	6	313	699	1018	278	770	1070
"MD"	2008	"1"	"8"	"0"	6	347	882	1256	389	932	1342
"MD"	2008	"1"	"9"	"0"	6	112	377	504	122	413	541
"MD"	2008	"10"	"1"	"1"	1	293	442	764	187	582	777
"MD"	2008	"10"	"10"	"1"	1	58	68	130	45	89	140
"MD"	2008	"10"	"11"	"1"	1	21	17	39	14	26	40
"MD"	2008	"10"	"12"	"1"	1	85	83	178	62	116	183
"MD"	2008	"10"	"12"	"2"	1	156	58	226	155	75	233
"MD"	2008	"10"	"13"	"1"	1	46	68	116	33	86	119
"MD"	2008	"10"	"13"	"2"	1	75	31	108	81	30	112
"MD"	2008	"10"	"14"	"1"	1	503	636	1167	323	862	1197
"MD"	2008	"10"	"14"	"2"	1	26	11	38	24	16	40
"MD"	2008	"10"	"15"	"1"	1	554	460	1102	422	689	1128
"MD"	2008	"10"	"15"	"2"	1	29	29	60	18	42	61
"MD"	2008	"10"	"15"	"3"	1	519	146	691	522	188	712
"MD"	2008	"10"	"16"	"1"	1	91	157	254	53	206	262
"MD"	2008	"10"	"17"	"1"	1	82	36	119	55	68	125
"MD"	2008	"10"	"18"	"1"	1	13	24	38	10	28	39
"MD"	2008	"10"	"2"	"1"	1	353	491	863	203	680	892
"MD"	2008	"10"	"2"	"2"	1	156	90	255	139	123	266
"MD"	2008	"10"	"3"	"1"	1	83	89	179	58	125	184
"MD"	2008	"10"	"3"	"2"	1	113	73	196	130	82	214
"MD"	2008	"10"	"4"	"1"	1	60	75	135	48	86	136
"MD"	2008	"10"	"5"	"1"	1	59	94	159	33	127	163
"MD"	2008	"10"	"6"	"1"	1	117	119	239	67	174	246
"MD"	2008	"10"	"7"	"1"	1	661	431	1115	529	598	1149
"MD"	2008	"10"	"7"	"2"	1	1518	191	1735	1634	210	1856
"MD"	2008	"10"	"7"	"3"	1	262	262	537	195	355	556
"MD"	2008	"10"	"7"	"4"	1	192	98	296	176	119	301
"MD"	2008	"10"	"7"	"5"	1	62	43	106	60	51	112
"MD"	2008	"10"	"7"	"6"	1	942	704	1683	663	1028	1720
"MD"	2008	"10"	"7"	"7"	1	77	14	92	67	26	93
"MD"	2008	"10"	"8"	"1"	1	261	254	530	176	362	546
"MD"	2008	"10"	"9"	"1"	1	138	204	347	90	261	354
"MD"	2008	"11"	"1"	"1"	6	1230	1404	2730	1374	1402	2826
"MD"	2008	"11"	"1"	"2"	6	846	685	1585	949	664	1648
"MD"	2008	"11"	"10"	"1"	6	266	654	963	300	671	997
"MD"	2008	"11"	"11"	"1"	6	415	973	1439	480	956	1458
"MD"	2008	"11"	"12"	"1"	6	601	698	1343	653	698	1386
"MD"	2008	"11"	"13"	"1"	6	1034	1335	2471	1210	1306	2564
"MD"	2008	"11"	"13"	"2"	6	60	118	186	65	122	190
"MD"	2008	"11"	"14"	"1"	6	935	1455	2496	1032	1469	2550
"MD"	2008	"11"	"15"	"1"	6	660	1051	1776	664	1129	1823
"MD"	2008	"11"	"15"	"2"	6	678	1197	1969	730	1262	2033
"MD"	2008	"11"	"16"	"1"	6	733	1295	2111	854	1270	2163
"MD"	2008	"11"	"17"	"1"	6	289	676	1009	312	713	1043
"MD"	2008	"11"	"18"	"1"	6	1098	1777	2987	1234	1837	3133
"MD"	2008	"11"	"18"	"2"	6	508	1068	1619	539	1106	1677
"MD"	2008	"11"	"19"	"1"	6	226	586	842	244	603	871
"MD"	2008	"11"	"2"	"1"	6	1056	586	1713	1236	506	1776
"MD"	2008	"11"	"2"	"10"	6	1305	1052	2439	1500	983	2519
"MD"	2008	"11"	"2"	"11"	6	917	523	1508	1025	493	1552
"MD"	2008	"11"	"2"	"12"	6	450	330	800	505	303	819
"MD"	2008	"11"	"2"	"13"	6	1052	619	1734	1178	581	1790
"MD"	2008	"11"	"2"	"14"	6	462	386	887	527	385	922
"MD"	2008	"11"	"2"	"15"	6	1077	954	2101	1203	914	2157
"MD"	2008	"11"	"2"	"16"	6	660	434	1129	752	401	1178
"MD"	2008	"11"	"2"	"17"	6	788	309	1148	894	284	1206
"MD"	2008	"11"	"2"	"18"	6	442	421	893	517	392	924
"MD"	2008	"11"	"2"	"2"	6	367	271	669	430	253	699
"MD"	2008	"11"	"2"	"3"	6	974	648	1693	1109	602	1745
"MD"	2008	"11"	"2"	"4"	6	966	524	1546	1131	468	1619
"MD"	2008	"11"	"2"	"5"	6	550	398	971	617	359	993
"MD"	2008	"11"	"2"	"6"	6	880	790	1724	979	766	1777
"MD"	2008	"11"	"2"	"7"	6	991	814	1884	1128	774	1941
"MD"	2008	"11"	"2"	"8"	6	998	838	1890	1168	775	1965
"MD"	2008	"11"	"2"	"9"	6	815	499	1374	917	466	1409
"MD"	2008	"11"	"20"	"1"	6	448	882	1388	498	887	1420
"MD"	2008	"11"	"21"	"1"	6	533	994	1613	649	958	1640
"MD"	2008	"11"	"21"	"2"	6	539	526	1093	602	503	1120
"MD"	2008	"11"	"21"	"3"	6	766	939	1771	869	914	1812
"MD"	2008	"11"	"22"	"1"	6	303	506	842	346	487	850
"MD"	2008	"11"	"23"	"1"	6	1027	1232	2339	1138	1210	2390
"MD"	2008	"11"	"23"	"2"	6	11	16	27	13	13	28
"MD"	2008	"11"	"23"	"3"	6	0	0	0	0	0	0
"MD"	2008	"11"	"24"	"1"	6	452	634	1145	533	612	1171
"MD"	2008	"11"	"24"	"2"	6	673	710	1432	764	685	1467
"MD"	2008	"11"	"24"	"3"	6	166	196	379	191	187	385
"MD"	2008	"11"	"25"	"1"	6	890	972	1944	1034	898	1993
"MD"	2008	"11"	"26"	"1"	6	857	1225	2174	962	1243	2245
"MD"	2008	"11"	"26"	"2"	6	798	1137	2009	940	1076	2060
"MD"	2008	"11"	"3"	"1"	6	502	801	1354	562	802	1384
"MD"	2008	"11"	"3"	"2"	6	820	1331	2235	917	1336	2283
"MD"	2008	"11"	"3"	"3"	6	512	870	1419	583	862	1466
"MD"	2008	"11"	"4"	"1"	6	144	364	538	200	343	550
"MD"	2008	"11"	"5"	"1"	6	829	1199	2108	829	1313	2183
"MD"	2008	"11"	"6"	"1"	6	272	706	1018	316	709	1048
"MD"	2008	"11"	"7"	"1"	6	600	775	1430	679	776	1486
"MD"	2008	"11"	"7"	"2"	6	1120	970	2144	1274	960	2259
"MD"	2008	"11"	"7"	"3"	6	714	829	1580	776	840	1639
"MD"	2008	"11"	"7"	"4"	6	459	465	949	531	460	994
