state	year	county	ed	precinct	g2010_ATG_dv	g2010_ATG_tv	g2010_COM_dv	g2010_COM_rv	g2010_COM_tv	g2010_GOV_dv	g2010_GOV_rv	g2010_GOV_tv	sd	g2010_STS_dv	g2010_STS_rv	g2010_STS_tv	cd	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv
"MD"	2010	1	1	0	124	129	59	208	268	53	218	289	1		259	260	6	43	229	287	76	194	284
"MD"	2010	1	2	0	156	159	91	206	299	78	218	313	1		271	272	6	67	220	307	97	200	308
"MD"	2010	1	3	0	164	166	91	191	282	83	217	304	1		266	266	6	68	218	295	109	178	300
"MD"	2010	1	4	2	127	129	92	93	185	84	105	197	1		145	147	6	65	118	192	96	90	192
"MD"	2010	1	4	3	252	252	174	188	362	170	207	395	1		302	303	6	153	211	386	200	173	383
"MD"	2010	1	4	4	368	368	270	275	545	266	315	600	1		477	479	6	222	332	588	299	286	596
"MD"	2010	1	4	5	173	175	122	125	247	116	134	262	1		199	202	6	100	144	259	141	111	263
"MD"	2010	1	4	8	339	343	246	225	471	223	251	509	1		398	398	6	187	264	496	264	204	497
"MD"	2010	1	5	4	302	305	218	199	417	194	238	453	1		341	343	6	177	234	436	235	182	440
"MD"	2010	1	5	6	135	136	95	108	203	79	134	221	1		176	176	6	68	131	213	98	109	215
"MD"	2010	1	6	1	369	374	294	218	515	254	273	550	1		436	438	6	223	282	533	299	221	537
"MD"	2010	1	6	3	189	190	146	103	249	135	116	265	1		200	201	6	119	121	259	152	100	260
"MD"	2010	1	6	5	310	315	249	240	491	228	272	515	1		424	428	6	186	295	507	236	261	509
"MD"	2010	1	6	6	367	367	235	328	563	197	380	591	1		479	482	6	185	371	579	249	313	577
"MD"	2010	1	7	1	426	431	270	374	644	244	435	709	1		588	595	6	190	458	686	299	367	687
"MD"	2010	1	7	2	445	450	284	472	756	249	543	817	1		704	706	6	199	558	790	298	470	789
