state	year	town	county	town_name	cd	g2000_USP_rv	g2000_USP_dv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	ward	precinct
"ME"	2000	487	"AND"	"AUBURN"	2	1193	1321	2675	785	1802	2587	1820	799	2619	1	1
"ME"	2000	487	"AND"	"AUBURN"	2	858	1145	2145	666	1437	2103	1539	582	2121	2	1
"ME"	2000	487	"AND"	"AUBURN"	2	841	1175	2145	663	1446	2109	1596	541	2137	3	1
"ME"	2000	487	"AND"	"AUBURN"	2	868	1102	2104	643	1417	2060	1533	545	2078	4	1
"ME"	2000	487	"AND"	"AUBURN"	2	808	1271	2263	760	1470	2230	1699	529	2228	5	1
"ME"	2000	1	"AND"	"DURHAM"	2	919	851	1889	481	1369	1850	1194	634	1828	1	1
"ME"	2000	2	"AND"	"GREENE"	2	1002	960	2101	579	1476	2055	1471	605	2076	1	1
"ME"	2000	3	"AND"	"LEEDS"	2	434	464	959	280	652	932	683	248	931	1	1
"ME"	2000	488	"AND"	"LEWISTON"	2	845	1708	2733	1000	1675	2675	2138	541	2679	0	0
"ME"	2000	488	"AND"	"LEWISTON"	2	106	263	398	149	243	392	330	62	392	1	1
"ME"	2000	488	"AND"	"LEWISTON"	2	504	759	1327	505	804	1309	1033	288	1321	1	2
"ME"	2000	488	"AND"	"LEWISTON"	2	735	1108	1927	700	1222	1922	1504	424	1928	2	1
"ME"	2000	488	"AND"	"LEWISTON"	2	326	512	881	358	523	881	701	177	878	2	2
"ME"	2000	488	"AND"	"LEWISTON"	2	109	276	435	198	260	458	384	61	445	3	1
"ME"	2000	488	"AND"	"LEWISTON"	2	176	628	877	463	370	833	695	120	815	3	2
"ME"	2000	488	"AND"	"LEWISTON"	2	371	593	1001	355	656	1011	792	223	1015	4	1
"ME"	2000	488	"AND"	"LEWISTON"	2	485	821	1379	485	907	1392	1123	276	1399	4	2
"ME"	2000	488	"AND"	"LEWISTON"	2	119	317	466	210	270	480	395	88	483	5	1
"ME"	2000	488	"AND"	"LEWISTON"	2	240	506	787	357	446	803	681	127	808	5	2
"ME"	2000	488	"AND"	"LEWISTON"	2	106	220	354	148	217	365	289	66	355	6	1
"ME"	2000	488	"AND"	"LEWISTON"	2	342	597	989	418	576	994	798	194	992	6	2
"ME"	2000	488	"AND"	"LEWISTON"	2	260	521	826	334	501	835	681	154	835	7	1
"ME"	2000	488	"AND"	"LEWISTON"	2	531	834	1443	525	925	1450	1104	343	1447	7	2
